identificador,nombre,href,agencia,timestamp,ubicacion,CCAA,codigo_postal,planta,orientacion,precio,precio_m2,antiguedad,actualizacion,superficie_util,superficie_construida,superficie,habitaciones,baños,cocina_equipada,amueblado,terraza,armarios_empotrados,calefaccion,aire_acondicionado,ascensor,consumo,emisiones
35096610749_501470,Piso en Centro,https://www.pisos.com/alquilar/piso-almeria_capital_centro04004-35096610749_501470/,ALCASA SERVICIOS INMOBILIARIOS,2025-02-11,almeria_capital,Andalucía,4004.0,2.0,SUROESTE,800.0,7.0,Más de 50 años,2025-02-11,100.0,110.0,110.0,3.0,2.0,Si,Si,Si,,,,Si,Error al procesar consumo,Error al procesar emisiones
890502290_501470,Piso en Oliveros-Altamira-Barrio Alto,https://www.pisos.com/alquilar/piso-oliveros_altamira_barrio_alto-890502290_501470/,ALCASA SERVICIOS INMOBILIARIOS,2025-02-14,almeria_capital,Andalucía,,2.0,SIN ESPECIFICAR,1000.0,8.0,Entre 30 y 50 años,2025-02-14,120.0,125.0,125.0,4.0,2.0,Si,Si,,Si,,,Si,Error al procesar consumo,Error al procesar emisiones
50869799699_279300,Piso en Nueva Andalucía,https://www.pisos.com/alquilar/piso-almeria_capital_nueva_andalucia04006-50869799699_279300/,INMOBILIARIA NUEVA ANDALUCIA,2025-01-17,almeria_capital,Andalucía,4006.0,4.0,SUR,600.0,8.0,,2025-01-17,62.0,71.0,71.0,3.0,1.0,Si,Si,,,,Si,Si,"E, E","E, E"
491049618_501470,Piso en Ciudad Jardín-Tagarete-Zapillo,https://www.pisos.com/alquilar/piso-ciudad_jardin_tagarete_zapillo-491049618_501470/,ALCASA SERVICIOS INMOBILIARIOS,2025-02-18,almeria_capital,Andalucía,,4.0,NORESTE,800.0,8.0,Entre 5 y 10 años,2025-02-18,90.0,100.0,100.0,3.0,2.0,Si,Si,,Si,Si,Si,Si,Error al procesar consumo,Error al procesar emisiones
5913580316_100500,Piso en Zapillo,https://www.pisos.com/alquilar/piso-ciudad_jardin_tagarete_zapillo04007-5913580316_100500/,Brisa Hogar Servicios Inmobiliarios SL,2025-02-13,almeria_capital,Andalucía,4007.0,1.0,SIN ESPECIFICAR,500.0,12.0,Entre 10 y 20 años,2025-02-13,30.0,40.0,40.0,1.0,1.0,,Si,,Si,,Si,Si,"G, G","G, G"
891075076_279300,Piso en Ciudad Jardín-Tagarete-Zapillo,https://www.pisos.com/alquilar/piso-ciudad_jardin_tagarete_zapillo-891075076_279300/,INMOBILIARIA NUEVA ANDALUCIA,2024-08-25,almeria_capital,Andalucía,,2.0,SIN ESPECIFICAR,600.0,11.0,,2024-08-25,51.0,51.0,51.0,1.0,1.0,Si,Si,,,,,Si,"E, E","E, E"
142228817_279300,Piso en Oliveros-Altamira-Barrio Alto,https://www.pisos.com/alquilar/piso-oliveros_altamira_barrio_alto04008-142228817_279300/,INMOBILIARIA NUEVA ANDALUCIA,2024-12-12,almeria_capital,Andalucía,4008.0,4.0,OESTE,700.0,6.0,,2024-12-12,105.0,105.0,105.0,3.0,2.0,Si,Si,,Si,,,Si,"E, E","E, E"
5035490257_501470,Chalet en Ciudad Jardín-Tagarete-Zapillo,https://www.pisos.com/alquilar/chalet-ciudad_jardin_tagarete_zapillo-5035490257_501470/,ALCASA SERVICIOS INMOBILIARIOS,2025-02-11,almeria_capital,Andalucía,,,SURESTE,1600.0,10.0,Menos de 5 años,2025-02-11,140.0,150.0,150.0,4.0,2.0,Si,Si,Si,Si,,Si,,"E, E","E, E"
51702961484_501470,Piso en Carretera de Ronda,https://www.pisos.com/alquilar/piso-almeria_capital_nueva_andalucia04006-51702961484_501470/,ALCASA SERVICIOS INMOBILIARIOS,2025-02-11,almeria_capital,Andalucía,4006.0,2.0,SIN ESPECIFICAR,800.0,8.0,,2025-02-11,90.0,90.0,90.0,2.0,2.0,Si,Si,Si,Si,,Si,,Error al procesar consumo,Error al procesar emisiones
819188653_279300,Piso en Retamar,https://www.pisos.com/alquilar/piso-almeria_capital_retamar-819188653_279300/,INMOBILIARIA NUEVA ANDALUCIA,2024-08-25,almeria_capital,Andalucía,,0.0,SIN ESPECIFICAR,450.0,7.0,,2024-08-25,59.0,60.0,60.0,2.0,1.0,Si,Si,Si,,,,,"E, E","E, E"
