nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Tipo suelo,Calefacción,Cocina equipada,Comedor,Lavadero,Orientación,No se aceptan mascotas,Armarios empotrados,Vidrios dobles,Carpintería exterior,Teléfono,Aire acondicionado,Chimenea,Garaje,Trastero,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Adaptado a personas con movilidad reducida,Terraza,Jardín,Piscina,Soleado,Agua,Balcón,Amueblado,Carpintería interior,Se aceptan mascotas,Interior,Gastos de comunidad,Gas,Luz,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada,Superficie solar
Piso en Castilla,INMOBILIARIA INTERNACIONAL CPM,18 €/m²,4.400 €/mes,233 m²,28079,https://www.pisos.com/alquilar/piso-castilla28016-51712775722_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,233 m²,203 m²,5,5,2ª,N/A,Entre 30 y 50 años,En buen estado,SA3051-08419,,Central,N/A,,,Sur,N/A,,,,,N/A,,1,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,
"Piso en Avenida Arribes del Duero, 14",Sogeviso,15 €/m²,1.284 €/mes,85 m²,28134,https://www.pisos.com/alquilar/piso-arroyos_y_tempranales28701-4933088414_109700/,2024-12-18,Error al procesar consumo,Error al procesar emisiones,85 m²,,3,2,1ª,,,A estrenar,4528991-21490405,,Eléctrica,N/A,,,,,2,,,,Frío y calor,,N/A,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,
Piso en Palacio,Gilmar Alquileres Madrid Interior,38 €/m²,2.700 €/mes,71 m²,28079,https://www.pisos.com/alquilar/piso-centro_palacio28013-51698164571_102100/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,71 m²,,2,1,,,,,GM19-204023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interior,,,,,,,,
Chalet en El Viso,INMOBILIARIA INTERNACIONAL CPM,24 €/m²,8.500 €/mes,345 m²,28079,https://www.pisos.com/alquilar/chalet-chamartin_el_viso28002-51695451033_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,345 m²,337 m²,5,5,,,Más de 50 años,En buen estado,SA3051-08420,,,N/A,,,Sur,N/A,1,,,,N/A,,,,,,,,,N/A,N/A,,,,,N/A,,,,,,,,,,,
Piso en Salamanca,Gilmar Alquileres Madrid Interior,26 €/m²,3.900 €/mes,145 m²,28079,https://www.pisos.com/alquilar/piso-justicia_chueca28001-51712272021_102100/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,145 m²,,2,3,,Exterior,,,GM19-161654,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Avenida de Julio Fuentes,Inmob Homes,9 €/m²,2.750 €/mes,300 m²,28022,https://www.pisos.com/alquilar/casa_adosada-vinas_viejas-51685577677_109300/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,300 m²,270 m²,4,4,,,,,EP647-1107,,Gas natural,N/A,,,Suroeste,,,,,,Frío y calor,N/A,1,N/A,,,,,,,,,,N/A,,,,,,,,,Adosada,,,,
Casa unifamiliar en calle XIX,INMOBARALIA,6 €/m²,4.000 €/mes,600 m²,28127,https://www.pisos.com/alquilar/casa_unifamiliar-las_matas_los_penascales-29189878080_280500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,600 m²,600 m²,6,7,,,Entre 20 y 30 años,En buen estado,2805-002317,Tarima flotante,Gas natural,N/A,N/A,N/A,Sur,,Más de 2,Climalit,Aluminio,N/A,Frío,N/A,Más de 2,,,N/A,,,,N/A,Privado,Comunitaria,,,,,N/A,,,,N/A,,Unifamiliar,,,,
Chalet unifamiliar en Castillo-Campodón,INMODON,10 €/m²,6.000 €/mes,554 m²,28181,https://www.pisos.com/alquilar/chalet_unifamiliar-castillo_campodon-47560668046_990706/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,554 m²,500 m²,4,6,,,Entre 10 y 20 años,En buen estado,4990706-chainvlj,Gres,Aerotermia,N/A,N/A,N/A,Sur,,Más de 2,N/A,Aluminio,N/A,Frío y calor,N/A,2,,,,,,,N/A,Privado,Propia,,,,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,1.000 m²
Piso en calle de Rodríguez Marín,paKTum,24 €/m²,3.450 €,140 m²,28079,https://www.pisos.com/alquilar/piso-chamartin_hispanoamerica28016-51753691860_529118/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,140 m²,130 m²,3,2,7ª,N/A,Más de 50 años,En buen estado,4529118-Alquiler RM69,,Central,N/A,N/A,,,N/A,2,,,,Frío y calor,,,,,,,N/A,N/A,,,,N/A,,,N/A,,,,,,,,,,,
Piso en calle del Olivo,My City Home,23 €/m²,1.224 €/mes,52 m²,28079,https://www.pisos.com/alquilar/piso-moncloa_aravaca_aravaca28023-30873860939_518087/,2024-12-18,Error al procesar consumo,Error al procesar emisiones,52 m²,52 m²,2,1,2ª,,,En buen estado,4518087-Aravaca1,,Bomba de calor,N/A,,,,,,,,,Frío,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,,,
Piso en calle de San Blas,WALTER HAUS CHAMBERI,25 €/m²,3.000 €/mes,120 m²,28079,https://www.pisos.com/alquilar/piso-cortes_huertas28014-51666960001_101800/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,120 m²,,2,2,Entresuelo,,,,IF76602-M20192A,,Central,N/A,,,,,1,,,,,,1,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,
"Apartamento en calle de Topete, 11",FOR YOU RENTALS,44 €/m²,2.600 €,58 m²,28079,https://www.pisos.com/alquilar/apartamento-bellas_vistas28039-39229612489_527206/,2025-02-11,"B, B","B, B",58 m²,58 m²,3,1,1ª,N/A,Más de 50 años,Reformado,4527206-TPT11,Parquet,,Independiente,N/A,Lavadora,Oeste,,,,,,Frío y calor,,,,,,,N/A,,,,,,,,N/A,,N/A,,,,,,,,,
Piso en calle del Monte Esquinza,BM  INVERSIONES,29 €/m²,6.000 €/mes,204 m²,28079,https://www.pisos.com/alquilar/piso-chamberi_almagro28010-50063429326_100500/,2025-02-10,Error al procesar consumo,Error al procesar emisiones,204 m²,171 m²,4,3,2ª,N/A,,En buen estado,SA4633-BMREI-503,,,Cocina amueblada,,,,,,,,,Frío,,1,,,,,N/A,,,,,,,,,,,,,,,,,,,
"Piso en calle del Torero, 3",STAYADAY GLOBAL,20 €/m²,1.300 €/mes,62 m²,28079,https://www.pisos.com/alquilar/piso-moscardo28026-49241359947_100500/,2025-01-21,Error al procesar consumo,Error al procesar emisiones,62 m²,,2,1,1ª,N/A,Más de 50 años,En buen estado,SA5656-96521697,,,N/A,,,,N/A,1,,,,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,,,
"Apartamento en calle de Agustín de Foxá, 25",EL VISO INMOBILIARIA,16 €/m²,1.350 €/mes,81 m²,28079,https://www.pisos.com/alquilar/apartamento-castilla28046-20017805882_100500/,2025-01-15,Error al procesar consumo,Error al procesar emisiones,81 m²,62 m²,1,1,6ª,N/A,Entre 10 y 20 años,En buen estado,SA92-105800/EV,Tarima flotante,,Cocina amueblada,,,,,1,N/A,,,Frío,,1,,,N/A,,N/A,N/A,,,,,,,N/A,,,,Más de 100 €,,,,,,,
"Piso en calle de la Alameda, 16",LUXURY RENTALS MADRID,27 €/m²,1.900 €/mes,70 m²,28079,https://www.pisos.com/alquilar/piso-cortes_huertas28014-50911117765_529080/,2025-01-31,Error al procesar consumo,Error al procesar emisiones,70 m²,60 m²,1,1,Bajo,N/A,Entre 20 y 30 años,En buen estado,4529080-LRM-FEDERICO-GARCIA-LORCA,Parquet,Gas natural,N/A,N/A,N/A,Suroeste,,,,Aluminio,,Frío y calor,,,,,,,,,,,,,,,N/A,,,,,,,,,,,
Piso en calle de Galileo,YÑARRA SERVICIOS INMOBILIARIOS,25 €/m²,1.290 €/mes,50 m²,28079,https://www.pisos.com/alquilar/piso-gaztambide28015-51706235807_100500/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,50 m²,,1,1,,,Más de 50 años,En buen estado,SA2591-105331360,,,N/A,,,,N/A,,,,,,,,,,,,N/A,,,,,,,,N/A,,,N/A,,,,,,,,
Piso en calle de Granada,Urbanissimo  Real Estate,18 €/m²,1.750 €/mes,95 m²,28079,https://www.pisos.com/alquilar/piso-retiro_pacifico28007-27546722797_100500/,2025-02-04,"D, D","D, D",95 m²,90 m²,2,1,4ª,N/A,Entre 10 y 20 años,En buen estado,SA3986-RETIRO-Granada-amueblado,Tarima flotante,Gas natural,Cocina amueblada,,,Sur,,1,N/A,,,Frío,,1,,,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,
Piso en calle Doctor Esquerdo,DOMUM REALTY PROPERTIES & INVESTMENTS,25 €/m²,1.280 €/mes,50 m²,28079,https://www.pisos.com/alquilar/piso-retiro_estrella28007-50086418274_106000/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,50 m²,45 m²,1,1,3ª,,,,NI694-DR.A247,Tarima flotante,N/A,Americana - amueblada con elec.,N/A,,,,,,Aluminio,,A/a f/c,,,,,,,,,,,,,Gas natural,N/A,Completamente amueblado,,,,,,,,,,,
"Piso en calle de Martín Machío, 2",ALFIN ASESORES INMOBILIARIOS,22 €/m²,1.200 €/mes,54 m²,28079,https://www.pisos.com/alquilar/piso-chamartin_prosperidad28002-51666847349_100500/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,54 m²,,1,1,1ª,N/A,,En buen estado,SA5426-1047 Martín Machío,,,N/A,,,,N/A,1,,,,,,1,,,,,N/A,,,,,,,,,,,,,,,,,,,
"Piso en calle de Albadalejo, 26",SIGAB 21INMOBILIARIA,12 €/m²,1.800 €/mes,146 m²,28079,https://www.pisos.com/alquilar/piso-san_blas_simancas28037-50910186078_529208/,2025-02-10,Error al procesar consumo,Error al procesar emisiones,146 m²,140 m²,4,2,2ª,N/A,Entre 20 y 30 años,En buen estado,4529208-Albadalejo 26,,Gas natural,N/A,N/A,N/A,Sur,,Más de 2,,Aluminio,,,,1,,N/A,N/A,N/A,N/A,N/A,,Comunitario,Comunitaria,,,,,,,,,,,,,,,
Estudio en calle de Fuerteventura,Gestión Inmobiliaria Y Mucho Más.,22 €/m²,950 €/mes,42 m²,28134,https://www.pisos.com/alquilar/estudio-rosa_luxemburgo_padreron_poligono_industrial_norte-49235359894_100500/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,42 m²,,,1,,N/A,Menos de 5 años,En buen estado,SA3949-106695394,,,,,,,,,,,,N/A,,1,,,,,N/A,N/A,N/A,,N/A,,,,,,N/A,,,,,,,,,
Piso en calle Castelló,HABITANIA REALTY,33 €/m²,5.750 €/mes,170 m²,28079,https://www.pisos.com/alquilar/piso-recoletos28001-50894863614_995410/,2025-01-18,Error al procesar consumo,Error al procesar emisiones,170 m²,165 m²,2,3,2ª,N/A,Más de 50 años,A estrenar,4995410-Cast-2,Tarima maciza,Eléctrica,N/A,Gran salón comedor,,Sureste,,+12 armarios empotrados,N/A,Madera,,Frío y calor,,Más de 2,,Con cámara,N/A,12 horas/día los 7 días/semana.,Precioso de madera,,Gran mirador para 2 sillas y una mesita.,,,N/A,,N/A,,N/A,N/A,,,,,,,,,
Piso en calle de Santiago Massarnau,TUCASAMADRID.COM,18 €/m²,1.450 €/mes,78 m²,28079,https://www.pisos.com/alquilar/piso-fuencarral_el_pardo_las_tablas28050-51766618241_103800/,2025-02-15,Error al procesar consumo,Error al procesar emisiones,78 m²,,2,1,2ª,N/A,Menos de 5 años,A estrenar,INB726-1061-AI_S_MASSARN,,,N/A,,,,,,,,,,,,N/A,,,,N/A,,N/A,,,,,,,,,,,,,,,,,
Ático en calle de Cea Bermúdez,CISA CONSULTORES INMOBILIARIOS,23 €/m²,2.600 €/mes,109 m²,28079,https://www.pisos.com/alquilar/atico-gaztambide28015-51674268982_100500/,2025-02-13,"E, E","E, E",109 m²,,2,2,7ª,N/A,,En buen estado,SA5501-95326584,,Central,N/A,,,Este,N/A,1,,,,N/A,,1,,,,,N/A,N/A,N/A,,,,,,N/A,,,,,,,,,,,
Estudio en Chueca,MoMa Team Real Estate,32 €/m²,980 €/mes,30 m²,28079,https://www.pisos.com/alquilar/estudio-justicia_chueca28004-51730623982_100500/,2025-02-18,"D, E","D, E",30 m²,28 m²,,1,5ª,,Más de 50 años,,SA5559-MTEST_97/11900,Tarima maciza,N/A,,,,Este,,,,,,N/A,,,,,,,N/A,,,,,,N/A,,,,,,,,,,,,,
Apartamento en calle del General Pardiñas,PRESIDENCE,22 €/m²,2.200 €/mes,97 m²,28079,https://www.pisos.com/alquilar/apartamento-goya28001-50082224686_996580/,2025-02-04,Error al procesar consumo,Error al procesar emisiones,97 m²,84 m²,2,1,4ª,N/A,,Reformado,4996580-000004,Tarima maciza,Gas natural,N/A,N/A,,,N/A,Más de 2,N/A,Madera,,Frío y calor,,,,N/A,N/A,N/A,N/A,,,,,N/A,,N/A,N/A,N/A,,,,N/A,,,,,,
Piso en calle de Eloísa de la Hera,JAIME VALCARCE CONSULTING INMOBILAIRIO,2 €/m²,4.000 €/mes,1.959 m²,28079,https://www.pisos.com/alquilar/piso-ciudad_universitaria28035-51669384193_101800/,2025-02-20,"A, A","A, A",1.959 m²,,4,4,2ª,,Menos de 5 años,En buen estado,IF5271-313,,Gas natural,N/A,,,,,1,,,,Frío,,,N/A,,,,N/A,,N/A,,Comunitaria,,,,,,,,,,,,,,,
Piso en calle del Castillo de Oropesa,GINGER REAL ESTATE,12 €/m²,1.800 €/mes,149 m²,28127,https://www.pisos.com/alquilar/piso-europolis_montecillo_navalcarbon28232-51725457031_100500/,2025-02-17,"G, G","G, G",149 m²,120 m²,3,2,2ª,,Entre 20 y 30 años,,SA5783-GIN000041/11932,Parquet,Gas natural,,,,,,1,,,N/A,,,1,N/A,,,,N/A,,,N/A,Comunitaria,,N/A,,N/A,,,,,,,,,,,
Piso en calle de Embajadores,SOLO ALQUILERES ARGANZUELA,17 €/m²,1.700 €/mes,98 m²,28079,https://www.pisos.com/alquilar/piso-legazpi_barrio28045-51699468900_529210/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,98 m²,94 m²,3,2,4ª,N/A,,En buen estado,4529210-000004,,Gas natural,Equipada con todos los electrodomésticos,N/A,,Sureste,,1,,,,,,1,Incluido en el precio,,,,N/A,,,Comunitario,Comunitaria,,,,,,,,,,,,,,,
Piso en calle del Ángel,HOMES2RENT,22 €/m²,1.250 €/mes,55 m²,28079,https://www.pisos.com/alquilar/piso-centro_palacio28005-49214393386_529055/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,55 m²,48 m²,1,1,2ª,,Más de 50 años,Reformado,4529055-000038,Tarima flotante,Eléctrica,N/A,N/A,N/A,Noreste,N/A,1,,Madera,,Frío y calor,,,,,,,,,,,,N/A,,,N/A,N/A,,N/A,Entre 10 y 20 €,,,,,,,
Piso en calle de Poza de la Sal,Soluciones Tengacasa,12 €/m²,1.400 €/mes,111 m²,28079,https://www.pisos.com/alquilar/piso-villa_de_vallecas_santa_eugenia28031-50842688135_440000/,2025-02-20,"D, D","D, D",111 m²,100 m²,3,2,2ª,N/A,Entre 30 y 50 años,Reformado,4400-23690,Tarima flotante,Gas natural,Independiente,,,Suroeste,N/A,Más de 2,,Climalit,,Frío y calor,,1,,N/A,,,N/A,,N/A,Comunitario,,N/A,,,N/A,,,,,,,,,,,
Piso en calle de Pirra,Alfa Ilustración,14 €/m²,1.350 €/mes,96 m²,28079,https://www.pisos.com/alquilar/piso-rejas28022-51726649098_101000/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,96 m²,62 m²,2,1,,N/A,,,AF23-705/3197,,,,,,,,Más de 2,,,,Frío,,,N/A,,,"vigilancia 24h, con cámaras de seguridad",N/A,,,,N/A,,,,,,,,,,,,,,,
Piso en calle de Ponzano,BRAINVER R S,20 €/m²,1.600 €/mes,78 m²,28079,https://www.pisos.com/alquilar/piso-rios_rosas28003-51734375796_519513/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,78 m²,76 m²,1,1,5ª,,Entre 10 y 20 años,Reformado,4519513-000010,Mármol,Eléctrica,,,,,,2,,,,Frío,,,,,,,,,,,,,,,,,,N/A,,,,,,,,
"Apartamento en calle de Juan Ramón Jiménez, 8",DSI BUILDING,23 €/m²,1.800 €/mes,76 m²,28079,https://www.pisos.com/alquilar/apartamento-chamartin_hispanoamerica28036-5071111647_100100/,2025-02-05,Error al procesar consumo,Error al procesar emisiones,76 m²,,1,1,6ª,,,,4521170-DE-EU619-20052020-89427252,,,,,,,,,,,,,,1,,,,,N/A,,,,,,,,,,,,,,,,,,,
"Piso en calle de Brescia, 1",Fives Real Estate,25 €/m²,2.600 €/mes,103 m²,28079,https://www.pisos.com/alquilar/piso-guindalera28028-51685215548_108500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,103 m²,100 m²,1,1,,N/A,,,AG376-PIS0276,Gres,N/A,Americana,,,Noreste,,,N/A,,,N/A,N/A,,N/A,,,,,N/A,,,,,,,N/A,,,,,,,,,,,
Piso en calle de San Cipriano,INMOBILIARIA BLUE HOUSE,12 €/m²,1.500 €/mes,119 m²,28079,https://www.pisos.com/alquilar/piso-valderrivas28032-50873564602_521292/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,119 m²,95 m²,3,2,2ª,N/A,Entre 20 y 30 años,Reformado,4521292-000016,Parquet,Gas natural,N/A,,,,N/A,2,,,,Frío y calor,,2,N/A,,N/A,,N/A,,,Comunitario,Comunitaria,,,,N/A,,,,,N/A,,,,,,
"Piso en calle de Martín de los Heros, 80",BERNAL INMOBILIARIA,41 €/m²,3.500 €/mes,85 m²,28079,https://www.pisos.com/alquilar/piso-moncloa_aravaca_arguelles28008-49235046090_100500/,2025-02-13,"D, D","D, D",85 m²,80 m²,4,2,4ª,,Más de 50 años,En buen estado,SA3100-IS661-1,,Central,N/A,,,Sur,N/A,1,,,,N/A,,,,,,,N/A,N/A,,,,,,,N/A,,,N/A,,,,,,,,
"Piso en calle de José Ortega y Gasset, 17",WALTER HAUS MADRID,46 €/m²,4.250 €/mes,92 m²,28079,https://www.pisos.com/alquilar/piso-salamanca_castellana28006-47597675476_101800/,2025-02-20,"E, E","E, E",92 m²,,2,3,1ª,,,,IF75984-M11449A,,Central,N/A,,,,,1,,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,
Casa en calle de San Leopoldo,J.F. GESTION INMOBILIARIA,25 €/m²,1.000 €,40 m²,28079,https://www.pisos.com/alquilar/casa-tetuan_almenara28029-50899689584_992227/,2025-01-11,"E, D","E, D",40 m²,38 m²,1,1,,,Más de 50 años,Reformado,4992227-PA:1375 T,Gres,Eléctrica,Amueblada y equipada,,,Sur,N/A,1,N/A,PVC,,Frío y calor,,,,,N/A,Puerta entrada blindada,,,,,,,,,,N/A,,,,,,,,,,
Dúplex en Avenida de Monforte de Lemos,RE/MAX ANTARES,20 €/m²,1.100 €/mes,55 m²,28079,https://www.pisos.com/alquilar/duplex-penagrande28035-51710047391_100500/,2025-02-14,"C, B","C, B",55 m²,45 m²,1,2,,N/A,Más de 50 años,En buen estado,SA3318-3452-01250,,,N/A,,,Este,N/A,1,,,,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en calle Daoíz,Cotown Sharing Life SL,31 €/m²,1.260 €/mes,40 m²,28065,https://www.pisos.com/alquilar/piso-las_margaritas_universidad28903-50881455438_524075/,2025-01-29,Error al procesar consumo,Error al procesar emisiones,40 m²,37 m²,2,1,Bajo,N/A,,Reformado,4524075-GTF000.40.2I,,Central,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,
Chalet adosado en Plaza del Valle de la Jarosa,GAVAC GESTION DE PROPIEDADES,15 €/m²,4.500 €/mes,286 m²,28079,https://www.pisos.com/alquilar/chalet_adosado-mirasierra_arroyo_del_fresno28035-51733423042_520609/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,286 m²,285 m²,6,4,,,Entre 20 y 30 años,Reformado,4520609-ALQUILER CHALE PLAZA VALLE DE LA JAROSA,Parquet,Gas natural,N/A,Con chimenea,N/A,Sur,,Más de 2,N/A,Aluminio,N/A,Frío y calor,N/A,2,,,N/A,,,,N/A,Privado,Comunitaria,,,,Solo la cocina y los baños,Madera,,,,N/A,,,N/A,N/A,N/A,
Apartamento en calle del General Díaz Porlier,PANDACASA PROPERTIES,37 €/m²,1.300 €/mes,35 m²,28079,https://www.pisos.com/alquilar/apartamento-lista_barrio28006-51744833202_109300/,2025-02-06,Error al procesar consumo,Error al procesar emisiones,35 m²,,1,1,3ª,N/A,,En buen estado,EP1064-1067,,Eléctrica,N/A,,,Este,,,,,,Frío y calor,,,,,,,,,,,,,N/A,,N/A,,,,,,,,,,,
Apartamento en calle de Mariano Barbacid,Century 21 Calidade,8 €/m²,2.550 €/mes,297 m²,28022,https://www.pisos.com/alquilar/apartamento-vinas_viejas-51742116412_107700/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,297 m²,297 m²,4,3,,,Entre 20 y 30 años,,VE22-0051-00644,,N/A,N/A,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en calle de Carmen Rico Godoy,ELEPHANT ROOM MADRID,17 €/m²,4.300 €/mes,250 m²,28079,https://www.pisos.com/alquilar/casa_adosada-valdebebas_valdefuentes28055-51758787666_100500/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,250 m²,213 m²,5,4,,,Entre 5 y 10 años,,SA3035-06927/7621,,N/A,,,,Este,,1,,,,N/A,N/A,1,N/A,,N/A,,,,N/A,N/A,Comunitaria,,,,,,,,,,,Adosada,N/A,,,125 m²
Estudio en calle de Caunedo,LOOK & FIND - Ciudad Lineal,21 €/m²,875 €/mes,40 m²,28079,https://www.pisos.com/alquilar/estudio-san_blas_simancas28037-40848963047_991170/,2025-02-20,"E, D","E, D",40 m²,35 m²,1,1,Bajo,N/A,Más de 50 años,En buen estado,4991170-AL2073,Gres,,N/A,,,Sur,,,,Aluminio,,Frío y calor,,,,,N/A,,,,,,,,,,N/A,,N/A,,,,,,,,,
Piso en calle de Rufino González,Look & Find Retiro,20 €/m²,1.300 €/mes,65 m²,28079,https://www.pisos.com/alquilar/piso-san_blas_simancas28037-32551600431_100500/,2025-02-13,"E, D","E, D",65 m²,,2,1,1ª,N/A,,En buen estado,SA3697-IL-04620,,,N/A,,,Este,N/A,1,,,,N/A,,,N/A,,,,,,,,,,,N/A,N/A,,,,,,,,,,,
"Piso en calle del Marqués del Duero, 6",ESRIV INMOBILIARIA REAL ESTATE,29 €/m²,6.000 €/mes,205 m²,28079,https://www.pisos.com/alquilar/piso-recoletos28001-49206446204_100500/,2025-02-10,Error al procesar consumo,Error al procesar emisiones,205 m²,180 m²,5,3,4ª,,Más de 50 años,,SA4408-1448804VK4714G0010YX/9927,,Gas natural,,,,Norte,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Chalet en Los Peñascales,TEAM JAVIER VILLALBA,12 €/m²,5.500 €/mes,442 m²,28152,https://www.pisos.com/alquilar/chalet-los_penascales-48351006349_101800/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,442 m²,,5,7,,,,,IF5563-ALQUILER PEÑASCALES,,Central,N/A,,N/A,,,1,,,,,,1,,,N/A,N/A,,,N/A,Privado,Propia,,,,N/A,,,,,,,,,,,1.000 m²
Piso en calle del General Pardiñas,Aquavilla Team by RE/MAX ROSALES,24 €/m²,1.400 €/mes,57 m²,28079,https://www.pisos.com/alquilar/piso-goya28001-51732422668_100500/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,57 m²,48 m²,1,1,5ª,,Entre 30 y 50 años,En buen estado,SA5629-4526-06853,,Central,N/A,,,,N/A,1,,,,N/A,,,,,,,N/A,,,,,,,,N/A,,,N/A,,,,,,,,
Piso en calle Padre Gregorio Céspedes,IHGest,21 €/m²,2.700 €/mes,123 m²,28079,https://www.pisos.com/alquilar/piso-el_canaveral-26687314036_525162/,2025-02-04,Error al procesar consumo,Error al procesar emisiones,123 m²,90 m²,3,2,1ª,N/A,Menos de 5 años,A estrenar,4525162-Padre Gregorio Céspedes,Tarima flotante,Gas natural,N/A,N/A,N/A,,N/A,Más de 2,N/A,PVC,Wifi,,,2,,N/A,N/A,N/A,N/A,N/A,N/A,Comunitario,Comunitaria,,,,N/A,N/A,,,,N/A,,,,,,
Piso en Ciudad Jardín,UNICA INMOBILIARIA SL,34 €/m²,1.700 €/mes,50 m²,28079,https://www.pisos.com/alquilar/piso-chamartin_ciudad_jardin28002-50001085909_149200/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,50 m²,44 m²,1,1,2ª,,,En buen estado,1492-426372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle de Fernán González, 27",SARAGO SERVICIOS INMOBILIARIOS,23 €/m²,3.100 €/mes,130 m²,28079,https://www.pisos.com/alquilar/piso-goya28009-50850741268_109300/,2025-01-22,Error al procesar consumo,Error al procesar emisiones,130 m²,,3,2,2ª,N/A,Más de 50 años,,EP1019-SRG113,,N/A,N/A,,,,,N/A,,,,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Paseo de la Castellana,GOVERALIA REAL ESTATE,19 €/m²,4.500 €/mes,230 m²,28079,https://www.pisos.com/alquilar/piso-castilla28046-51706820429_100500/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,230 m²,,4,3,2ª,N/A,,En buen estado,SA5804-20221533,Tarima flotante,Central,Cocina amueblada,,,,,1,,,,Frío,N/A,1,N/A,,,,N/A,,N/A,,Comunitaria,,,,,,,,,,,,,,,
Piso en calle de San Vicente Ferrer,P&V PROPIEDADES INMOBILIARIAS,17 €/m²,1.200 €/mes,69 m²,28079,https://www.pisos.com/alquilar/piso-universidad_malasana28004-51762393638_523686/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,69 m²,69 m²,1,1,2ª,,,En buen estado,4523686-000016,,Central,N/A,N/A,,,N/A,2,,,,Frío y calor,,,,,,,N/A,,,,,,,,N/A,,,N/A,,,,,,,,
"Estudio en calle de Génova, 19",BATUECAS REAL ESTATE,42 €/m²,1.700 €/mes,40 m²,28079,https://www.pisos.com/alquilar/estudio-chamberi_almagro28010-51694470541_100500/,2025-02-03,Error al procesar consumo,Error al procesar emisiones,40 m²,,,1,1ª,N/A,,En buen estado,SA4290-107144490,,,N/A,,,,N/A,1,,,,N/A,,,,,,,N/A,N/A,,,,,,,N/A,,,,,,,,,,,
Estudio en calle del Lido,Haga Inmobiliaria,22 €/m²,1.350 €/mes,60 m²,28079,https://www.pisos.com/alquilar/estudio-piovera28043-50894791246_528573/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,60 m²,60 m²,1,1,1ª,N/A,Menos de 5 años,Reformado,4528573-000010,Mármol,Gas natural,N/A,N/A,,Noreste,,1,,Aluminio,,Frío y calor,,,,N/A,N/A,,N/A,,,,,,,,N/A,,N/A,,,N/A,,,,,,
Piso en calle de María de Guzmán,MB URBAN SPACES,18 €/m²,2.200 €/mes,122 m²,28079,https://www.pisos.com/alquilar/piso-rios_rosas28003-49181969248_524228/,2025-02-20,"E, E","E, E",122 m²,100 m²,3,2,4ª,N/A,Más de 50 años,En buen estado,524228-000337,Tarima flotante,Gas natural,,N/A,N/A,Norte,,Más de 2,,PVC,,Frío,,,,N/A,N/A,,N/A,,,,,,,,,,,,Más de 100 €,,,,,,,
