nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Tipo suelo,Calefacción,Cocina equipada,Comedor,Lavadero,Orientación,No se aceptan mascotas,Armarios empotrados,Vidrios dobles,Carpintería exterior,Teléfono,Aire acondicionado,Chimenea,Garaje,Trastero,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Adaptado a personas con movilidad reducida,Terraza,Jardín,Piscina,Soleado,Agua,Balcón,Amueblado,Carpintería interior,Se aceptan mascotas,Interior,Gastos de comunidad,Gas,Luz,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada,Superficie solar
Piso en calle de Fernando 'El Católico',WALTER HAUS CHAMBERI,33 €/m²,4.300 €/mes,130 m²,28079,https://www.pisos.com/alquilar/piso-chamberi_arapiles28015-50093653207_101800/,2025-02-20,"E, E","E, E",130 m²,,3,2,3ª,,,,IF76602-M20619A,,,N/A,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,
Ático en calle del Príncipe de Vergara,JAIME VALCARCE CONSULTING INMOBILAIRIO,21 €/m²,1.700 €/mes,78 m²,28079,https://www.pisos.com/alquilar/atico-chamartin_ciudad_jardin28002-35023149405_101800/,2025-02-20,"C, C","C, C",78 m²,,2,1,,,Más de 50 años,En buen estado,IF5271-145,,Central,N/A,,,Noroeste,,1,,,,Frío,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,,,
Piso en Paseo de la Habana,WALTER HAUS CHAMARTIN,17 €/m²,2.800 €/mes,159 m²,28079,https://www.pisos.com/alquilar/piso-chamartin_hispanoamerica28036-46729053918_101800/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,159 m²,,3,3,5ª,,Más de 50 años,,IF76850-M30499A,,Central,N/A,,,,,1,,,,,,1,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,
Piso en Plaza de Manolete,WALTER HAUS CHAMARTIN,17 €/m²,4.000 €/mes,224 m²,28079,https://www.pisos.com/alquilar/piso-tetuan_cuatro_caminos28020-51760909014_101800/,2025-02-20,"E, E","E, E",224 m²,,3,3,2ª,,,,IF76850-M30606A,,Central,N/A,,,,,1,,,,,,1,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,
Piso en calle del Humilladero,AGENCIA ASTORGA,23 €/m²,1.900 €/mes,80 m²,28079,https://www.pisos.com/alquilar/piso-centro_palacio28005-51697256955_992099/,2025-02-18,"E, E","E, E",80 m²,80 m²,3,1,4ª,N/A,,Reformado,4992099-1019,,,,,,,,2,,,,Frío y calor,,,,,,,N/A,,,,,N/A,,,N/A,,,,,,,,,,,
"Piso en calle de Letonia, 14",Sogeviso,13 €/m²,1.236 €/mes,93 m²,28903,https://www.pisos.com/alquilar/piso-nuevo_tres_cantos-4909045099_109700/,2024-12-18,"A, A","A, A",93 m²,,3,2,1ª,,,A estrenar,4528991-21490388,,,,,,,,,,,,Frío y calor,,N/A,N/A,,,,N/A,,N/A,,,,,,,,,,,,,,,,,
Piso en calle del Valle de Mena,LLAVE MAESTRA LA ELIANA ( C/ MARQUES DE CACERES Nº 52),19 €/m²,1.900 €/mes,100 m²,28079,https://www.pisos.com/alquilar/piso-valdezarza28039-89252376945_515510/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,100 m²,90 m²,3,2,1ª,N/A,Entre 5 y 10 años,En buen estado,4515510-BE698AL,,Gas natural,N/A,,N/A,,,Más de 2,N/A,,,Frío y calor,,1,N/A,N/A,N/A,N/A,N/A,,,Comunitario,Comunitaria,N/A,,,N/A,,,,,N/A,,,,,,
Apartamento en calle del Conde de Peñalver,Soluciones Tengacasa,42 €/m²,1.200 €/mes,28 m²,28079,https://www.pisos.com/alquilar/apartamento-goya28006-314025974_440000/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,28 m²,20 m²,1,1,4ª,,Más de 50 años,En buen estado,4400-21037,Cerámicos,Eléctrica,Independiente,Salón,,Sureste,,1,Climalite,PVC,N/A,Frío y calor,,,,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,,Amueblado,N/A,,N/A,Incluidos,,N/A,,,,,
Piso en calle de La Arganzuela,WALTER HAUS CHAMBERI,31 €/m²,2.000 €/mes,64 m²,28079,https://www.pisos.com/alquilar/piso-centro_embajadores_lavapies28005-50088122328_101800/,2025-02-20,"E, E","E, E",64 m²,,1,1,3ª,,,,IF76602-M20620A,,,N/A,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,
Piso en calle de Alonso Cano,WALTER HAUS CHAMBERI,40 €/m²,1.800 €/mes,45 m²,28079,https://www.pisos.com/alquilar/piso-rios_rosas28003-51712113018_101800/,2025-02-20,"E, E","E, E",45 m²,,1,1,,,,,IF76602-M20627A,,Central,N/A,,,,,1,,,,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,
