nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Conservación,Referencia,Calefacción,Cocina equipada,Terraza,Orientación,Urbanizado,Calle alumbrada,Calle asfaltada,Planta,Exterior,Antigüedad,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Aire acondicionado,Comedor,Garaje,Trastero,Portero automático,Puerta blindada,Ascensor,Adaptado a personas con movilidad reducida,Soleado,Gastos de comunidad,Amueblado,Armarios empotrados,Gas,Lavadero,Se aceptan mascotas,Sistema de seguridad,Balcón,Tipo de casa,Teléfono,Chimenea,Jardín,Piscina,Agua,Luz,Interior
Casa en Canet de Falç,L@MFINQUES,1.992 €/m²,275.000 €,138 m²,https://www.pisos.com/comprar/casa-fonollosa_centro_urbano-42505174075_501283/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),138 m²,100 m²,461 m²,3,1,A estrenar,501283-010128,Eléctrica,N/A,N/A,Sureste,N/A,N/A,N/A,,,Menos de 5 años,N/A,Gres,N/A,Aluminio,Frío y calor,N/A,2,,,N/A,,N/A,,,,,,,,,,,,N/A,Privado,Propia,,,
Casa en Centro,CONSULTIN Consultors Integrals,1.378 €/m²,233.000 €,169 m²,https://www.pisos.com/comprar/casa-balsareny_centro_urbano08660-51728392907_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",bages (BCN),169 m²,127 m²,129 m²,3,2,,SA816-CM03005/3377,Gas natural,,,,,,,,,Entre 30 y 50 años,,Parquet,,,N/A,,,,,,,,,,,,,,,,,,,,N/A,,N/A,,
Dúplex en Cal Ramon,CONSULTIN Consultors Integrals,1.637 €/m²,185.000 €,113 m²,https://www.pisos.com/comprar/duplex-santpedor_centro_urbano-50917476844_100500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",bages (BCN),113 m²,81 m²,,3,2,,SA816-CM03000/3377,Eléctrica,,,,,,,3ª,,Entre 10 y 20 años,,Parquet,,,N/A,,,,,,N/A,,,Entre 80 y 100 €,,,,,,,N/A,,,,,,N/A,,
Chalet en calle del Cardener,HELLOFINCA.,331 €/m²,530.000 €,1.600 m²,https://www.pisos.com/comprar/chalet-castellnou_de_bages_centro_urbano08251-47592407545_527713/,Anuncio actualizado el 24/01/2025,"C, C","C, C",bages (BCN),1.600 m²,372 m²,1.600 m²,7,3,Reformado,4527713-CHALET CASTELLNOU,Gas natural,N/A,N/A,A la montaña,N/A,N/A,N/A,,,Entre 20 y 30 años,N/A,Parquet,N/A,Aluminio,Frío,N/A,Más de 2,,,N/A,,N/A,,,N/A,Más de 2,N/A,N/A,N/A,N/A,,,N/A,N/A,Privado,Propia,,,
"Piso en Carretera de Moià, 1",ALTAMIRA,Error al procesar precio m²,A consultar,66 m²,https://www.pisos.com/comprar/piso-balsareny_centro_urbano08660-45906973727_103600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),66 m²,66 m²,,,,,AM9-2061##2061_0373_PE0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa pareada en Zona Cal Patoi,eXp Realty,1.071 €/m²,315.000 €,294 m²,https://www.pisos.com/comprar/casa_pareada-navarcles_centro_urbano-50900617732_100500/,Anuncio actualizado el 07/02/2025,"G, F","G, F",bages (BCN),294 m²,260 m²,265 m²,6,3,,SA3689-EXP08805/8930,Gas natural,,N/A,Este,,,,,,Más de 50 años,,Gres,,,N/A,N/A,1,N/A,,,,,,,,,,,,,,Pareada,,,N/A,,N/A,,
Casa en Sant Salvador de Guardiola,finques GALI,1.560 €/m²,295.000 €,189 m²,https://www.pisos.com/comprar/casa-sant_salvador_de_guardiola_centro_urbano-50918469654_106700/,Anuncio actualizado el 01/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),189 m²,150 m²,,4,3,,IFC128-CAS_2146,,,,,,,,,,,,,N/A,,N/A,,,N/A,,,,,,,,,,,,N/A,,,,,N/A,,,,
Ático en Sagrada Família,finques GALI,1.755 €/m²,230.000 €,131 m²,https://www.pisos.com/comprar/atico-manresa_sagrada_familia08243-47586122622_106700/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),131 m²,120 m²,,4,2,,IFC128-ÀTI_2089,,,N/A,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,
Casa en Avinyó,CONSULTIN Consultors Integrals,1.504 €/m²,352.000 €,234 m²,https://www.pisos.com/comprar/casa-avinyo_centro_urbano-39194351021_100500/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),234 m²,200 m²,,4,2,,SA816-CM02876/3377,N/A,,N/A,,,,,,,Entre 20 y 30 años,,Gres,,,N/A,,1,N/A,,,,,,,,1,,,,N/A,,,,,N/A,,,,
Casa en Castellnou de Bages,L@MFINQUES,1.229 €/m²,399.500 €,325 m²,https://www.pisos.com/comprar/casa-castellnou_de_bages_centro_urbano08251-51750394411_501283/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),325 m²,265 m²,603 m²,6,3,En buen estado,501283-010289,Gasoil,N/A,N/A,,N/A,N/A,N/A,,,Entre 10 y 20 años,N/A,Gres,N/A,Aluminio,Frío y calor,N/A,Más de 2,,,N/A,,,,,,,,N/A,,N/A,,,,N/A,Privado,Propia,,,
Casa en Pineda,L@MFINQUES,1.892 €/m²,547.000 €,289 m²,https://www.pisos.com/comprar/casa-sant_fruitos_de_bages_centro_urbano-48391052306_501283/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),289 m²,200 m²,1.162 m²,5,3,En buen estado,501283-010225,Gasoil,N/A,N/A,Sur,N/A,N/A,N/A,,,Entre 30 y 50 años,N/A,Gres,N/A,Madera,,N/A,2,,,N/A,,,,,,,,N/A,,N/A,,,,N/A,,,,,
Dúplex en Carrer de Jacint Verdaguer,FINQUES PASSEIG,1.703 €/m²,187.430 €,110 m²,https://www.pisos.com/comprar/duplex-sant_fruitos_de_bages_centro_urbano-51757205301_100500/,Anuncio actualizado el 18/02/2025,"E, E","E, E",bages (BCN),110 m²,88 m²,,4,2,,SA1076-VMB1962/5339,Gas natural,,N/A,Norte,,,,3ª,,Entre 20 y 30 años,,Gres,,,N/A,,,,,,N/A,,,Más de 100 €,,,,,,,N/A,,,,,,,,
Casa en El Serrat,CONSULTIN Consultors Integrals,684 €/m²,200.000 €,292 m²,https://www.pisos.com/comprar/casa-castellnou_de_bages_centro_urbano08251-50862839801_100500/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),292 m²,250 m²,,,2,,SA816-CM03001/3377,N/A,,,,N/A,,,,,Entre 30 y 50 años,,Terrazo,,,N/A,,,,,,,,,,N/A,,,,,,,,,N/A,N/A,,N/A,,
Casa en Sant Fruitós de Bages,finques GALI,1.446 €/m²,395.000 €,273 m²,https://www.pisos.com/comprar/casa-sant_fruitos_de_bages_centro_urbano-47502999180_106700/,Anuncio actualizado el 13/10/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),273 m²,230 m²,802 m²,4,2,,IFC128-CAS_2088,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Castellgalí,finques GALI,1.517 €/m²,220.000 €,145 m²,https://www.pisos.com/comprar/casa-castellgali_centro_urbano-33368861640_106700/,Anuncio actualizado el 23/11/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),145 m²,130 m²,443 m²,3,1,,IFC128-CAS_1676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
