nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Conservación,Referencia,Calefacción,Cocina equipada,Terraza,Orientación,Urbanizado,Calle alumbrada,Calle asfaltada,Planta,Exterior,Antigüedad,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Aire acondicionado,Comedor,Garaje,Trastero,Portero automático,Puerta blindada,Ascensor,Adaptado a personas con movilidad reducida,Soleado,Gastos de comunidad,Amueblado,Armarios empotrados,Gas,Lavadero,Se aceptan mascotas,Sistema de seguridad,Balcón,Tipo de casa,Teléfono,Chimenea,Jardín,Piscina,Agua,Luz,Interior
Casa en Carrer de la Pleta,CENTURY21 Ars,560 €/m²,255.000 €,455 m²,https://www.pisos.com/comprar/casa-suria_centro_urbano-44266537411_992744/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),455 m²,410 m²,93 m²,6,3,En buen estado,4992744-WEL-0142,Eléctrica,N/A,N/A,Suroeste,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Francesc Moragas,FABRA FINQUES,2.207 €/m²,170.000 €,77 m²,https://www.pisos.com/comprar/piso-valldaura08241-50861588670_142600/,Anuncio actualizado el 20/02/2025,"E, E","E, E",bages (BCN),77 m²,70 m²,,2,1,En buen estado,1426-087459,Eléctrica,11m independent,33m,Este,,,,Bajo,N/A,Entre 20 y 30 años,Roure,Gres,N/A,Aluminio,Frío y calor,22m,1,Nº10,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,
Piso en Sagrada Família,DON PISO MANRESA,1.500 €/m²,127.500 €,85 m²,https://www.pisos.com/comprar/piso-manresa_sagrada_familia08243-49227663037_519054/,Anuncio actualizado el 20/02/2025,"E, E","E, E",bages (BCN),85 m²,85 m²,,4,1,Reformado,4519054-288414,Gas natural,Equipada,,Este,,,,2ª,,Entre 30 y 50 años,,Gres,Al-lumini,Aluminio,Frío y calor,Completo,,,N/A,,N/A,N/A,N/A,Entre 40 y 60 €,N/A,2,N/A,Galeria,N/A,,,,,,,,,,
Piso en Passeig,BOLSA DE LA VIVIENDA,1.410 €/m²,189.000 €,134 m²,https://www.pisos.com/comprar/piso-centre_passeig_i_rodalies08242-47520938825_500793/,Anuncio actualizado el 20/02/2025,"D, D","D, D",bages (BCN),134 m²,109 m²,,4,2,Reformado,500793-PV3001,N/A,N/A,N/A,Sur,,,,1ª,N/A,Entre 30 y 50 años,,Parquet,N/A,Aluminio,,N/A,,N/A,N/A,,N/A,,N/A,,,,,,,N/A,N/A,,,,,,,,
Piso en Centre-Passeig i Rodalies,DON PISO MANRESA,1.680 €/m²,210.000 €,125 m²,https://www.pisos.com/comprar/piso-centre_passeig_i_rodalies-48344398017_519054/,Anuncio actualizado el 20/02/2025,"F, E","F, E",bages (BCN),125 m²,110 m²,,3,2,En buen estado,4519054-287661,Gas natural,Espaciosa,,Suroeste,,,,4ª,Calle,Entre 30 y 50 años,,Terrazo,N/A,Aluminio,,Amplio,,En la planta baja,N/A,,N/A,,Tardes,Entre 40 y 60 €,,2,N/A,,N/A,,,,,,,,,,
Piso en Artés,AFYS MANRESA,1.417 €/m²,180.000 €,127 m²,https://www.pisos.com/comprar/piso-artes_centro_urbano-50913872001_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),127 m²,120 m²,,4,2,,SA2898-11532/5664,Gas natural,,,Sur,,,,2ª,,Entre 30 y 50 años,,Gres,,,,,,N/A,,N/A,N/A,,,,N/A,1,,,,,N/A,,,,,,,,
Casa adosada en Callús,FINQUES LOW COST,1.900 €/m²,380.000 €,200 m²,https://www.pisos.com/comprar/casa_adosada-callus_centro_urbano08262-51724527074_518544/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),200 m²,185 m²,100 m²,4,2,Reformado,4518544-0800,Central,De diseño,N/A,Sur,N/A,N/A,N/A,,,Entre 30 y 50 años,Puertas macizas lacadas blancas,Gres,N/A,Aluminio,Frío y calor,N/A,1,,,,,,,,,Más de 2,,N/A,,,,Adosada,N/A,N/A,Privado,,,,
Casa en Sant Salvador de Guardiola,DON PISO MANRESA,1.115 €/m²,290.000 €,260 m²,https://www.pisos.com/comprar/casa-sant_salvador_de_guardiola_centro_urbano-46754934375_519054/,Anuncio actualizado el 20/02/2025,"F, E","F, E",bages (BCN),260 m²,200 m²,464 m²,5,3,En buen estado,4519054-286302,Gas natural,Amplia y práctica,Varias,Sur,N/A,N/A,N/A,,,Entre 20 y 30 años,Aluminio,Gres,N/A,Aluminio,Frío y calor,33m²,Más de 2,,,,,,,Entre 20 y 40 €,,Más de 2,N/A,15m²,N/A,,,,N/A,,Privado,,,,
Piso en Carrer d'Eduardo Peña,"VicMoBa, S.L",1.638 €/m²,178.640 €,109 m²,https://www.pisos.com/comprar/piso-sant_vicenc_de_castellet_centro_urbano-50890237620_100500/,Anuncio actualizado el 05/02/2025,"D, D","D, D",bages (BCN),109 m²,102 m²,,3,1,,SA3706-VMB1963/3498,Gas natural,,,,,,,2ª,,Entre 20 y 30 años,,Gres,,,N/A,,,,,,N/A,,,Entre 40 y 60 €,,,,,,,N/A,,,,,,,,
Chalet en Carrer del Cadí,DON PISO MANRESA,1.173 €/m²,270.000 €,230 m²,https://www.pisos.com/comprar/chalet-castellnou_de_bages_centro_urbano08251-48353034568_519054/,Anuncio actualizado el 20/02/2025,"G, D","G, D",bages (BCN),230 m²,108 m²,712 m²,4,1,En buen estado,4519054-288104,,Nueva,,Sureste,N/A,N/A,N/A,,,Entre 30 y 50 años,,Terrazo,,Madera,,Grande con chimenea y salida a balcon grande,Más de 2,,,,,,,,,,,,N/A,,,,,N/A,Privado,,,,
Piso en Valldaura,DON PISO MANRESA,2.304 €/m²,189.000 €,82 m²,https://www.pisos.com/comprar/piso-valldaura-48355863238_519054/,Anuncio actualizado el 20/02/2025,"E, E","E, E",bages (BCN),82 m²,75 m²,,3,1,En buen estado,4519054-161345,Eléctrica,Equipada i salida a balcon,,Noreste,,,,2ª,Balcó,Entre 20 y 30 años,,Gres,N/A,Aluminio,Frío y calor,Grande,,,,N/A,N/A,N/A,,Entre 60 y 80 €,,,,N/A,N/A,,N/A,,,,,,,,
Piso en Illa Verda,BOLSA DE LA VIVIENDA,2.595 €/m²,244.000 €,94 m²,https://www.pisos.com/comprar/piso-ctra_de_santpedor_bases_de_manresa-626751065_500793/,Anuncio actualizado el 20/02/2025,"F, G","F, G",bages (BCN),94 m²,78 m²,,3,2,En buen estado,500793-PV198,Eléctrica,N/A,,N/A,,,,3ª,N/A,Entre 10 y 20 años,N/A,N/A,N/A,Aluminio,,N/A,1,,N/A,N/A,N/A,,N/A,,,,,N/A,,,N/A,,,,Comunitario,Comunitaria,,,
Casa adosada en Navarcles,FINQUES LOW COST,938 €/m²,258.000 €,275 m²,https://www.pisos.com/comprar/casa_adosada-navarcles_centro_urbano-50889303649_518544/,Anuncio actualizado el 18/02/2025,"D, D","D, D",bages (BCN),275 m²,250 m²,143 m²,5,5,En buen estado,4518544-0797,Gas natural,Office vitro,50 m²,Sur,N/A,N/A,N/A,,,Entre 20 y 30 años,Roble,Gres,N/A,Aluminio,Frío y calor,Con chimenea,Más de 2,,,,,,,,,1,N/A,Independiente,,,,Adosada,Fibra,En el comedor,,,,,
Piso en Plaça dels Infants,"VicMoBa, S.L",1.895 €/m²,85.300 €,45 m²,https://www.pisos.com/comprar/piso-barri_antic-47585938635_100500/,Anuncio actualizado el 05/02/2025,"E, E","E, E",bages (BCN),45 m²,41 m²,,1,1,,SA3706-VMB1092/3498,Gas natural,,,,,,,1ª,,Más de 50 años,,Parquet,,,,,,,,,N/A,,,Entre 80 y 100 €,,,,,,,,,,,,,,,
Piso en Carretera de Berga,"VicMoBa, S.L",1.230 €/m²,139.000 €,113 m²,https://www.pisos.com/comprar/piso-balsareny_centro_urbano08660-50912699727_100500/,Anuncio actualizado el 05/02/2025,"D, D","D, D",bages (BCN),113 m²,77 m²,,3,1,,SA3706-VMB1965/3498,,,,,,,,2ª,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,
Casa pareada en Monistrol de Montserrat,LES CLAUS DE SANT VICENÇ,611 €/m²,357.000 €,584 m²,https://www.pisos.com/comprar/casa_pareada-monistrol_de_montserrat_centro_urbano-32575886770_199200/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),584 m²,584 m²,350 m²,9,4,En buen estado,1992-003751,,N/A,N/A,Noreste y suroeste,,,,,,Más de 50 años,Madera,Terrazo y gres,,Madera y aluminio,Frío y calor,N/A,1,,,,,,,,,,,N/A,,,,Pareada,,,Privado,,,,
Casa en La Planota,"VicMoBa, S.L",2.393 €/m²,395.000 €,165 m²,https://www.pisos.com/comprar/casa-navarcles_centro_urbano-21676764623_100500/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),165 m²,130 m²,,3,3,,SA3706-VMB1839/3498,N/A,,N/A,,,,,,,Menos de 5 años,,,,,N/A,,1,,,,,,,,,,,,,,,,,,,,,,
Piso en Barri Antic,"MAURI ASSESSORS, S.L.",1.102 €/m²,112.500 €,102 m²,https://www.pisos.com/comprar/piso-barri_antic-50901904297_523835/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),102 m²,102 m²,,4,2,En buen estado,4523835-000149,,,,,,,,4ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de la Llibertat,LES CLAUS DE SANT VICENÇ,1.966 €/m²,194.670 €,99 m²,https://www.pisos.com/comprar/piso-sant_vicenc_de_castellet_centro_urbano-5220028365_109700/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),99 m²,,,2,,A estrenar,1097-21766719,,,N/A,,,,,2ª,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,
Casa en Valldaura,"VicMoBa, S.L",1.250 €/m²,287.600 €,230 m²,https://www.pisos.com/comprar/casa-valldaura08241-50042334494_100500/,Anuncio actualizado el 05/02/2025,"B, B","B, B",bages (BCN),230 m²,169 m²,,3,3,,SA3706-VMB1959/3498,,,N/A,Oeste,,,,,,Más de 50 años,,,,,N/A,,1,N/A,,,,,,,,,,,,,,,,,,,N/A,,
Piso en Passeig de Pere Iii,"VicMoBa, S.L",1.581 €/m²,129.700 €,82 m²,https://www.pisos.com/comprar/piso-centre_passeig_i_rodalies08242-49233159968_100500/,Anuncio actualizado el 05/02/2025,"E, E","E, E",bages (BCN),82 m²,75 m²,,2,2,,SA3706-VMB1949/3498,Gas natural,,,,,,,2ª,,Entre 30 y 50 años,,Gres,,,N/A,,,,,,N/A,,,Entre 60 y 80 €,,,,,,,N/A,,,,,,,,
Casa en Carrer de la Pau,MST IMMOBILIÀRIA,770 €/m²,159.500 €,207 m²,https://www.pisos.com/comprar/casa-navas_centro_urbano-49182737339_997923/,Anuncio actualizado el 19/02/2025,"F, F","F, F",bages (BCN),207 m²,200 m²,78 m²,4,3,En buen estado,4997923-1100,Gasoil,,N/A,,N/A,N/A,N/A,,,Entre 30 y 50 años,,Gres,N/A,,,,2,,,,,,,,,1,,,,,,,,,,,,,
Piso en Poble Nou,Estudi Manresa Slu,1.326 €/m²,138.000 €,104 m²,https://www.pisos.com/comprar/piso-manresa_poble_nou-51714790813_100200/,Anuncio actualizado el 13/02/2025,"F, E","F, E",bages (BCN),104 m²,,,3,2,En buen estado,TC1130-609265,,N/A,,,,,,,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa unifamiliar en Urb.Mas Planoi,LES CLAUS DE SANT VICENÇ,1.349 €/m²,390.000 €,289 m²,https://www.pisos.com/comprar/casa_unifamiliar-castellgali_centro_urbano-21721644870_199200/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),289 m²,270 m²,521 m²,4,3,En buen estado,1992-003693,Gasoil,12 m²,,,N/A,N/A,N/A,,,Entre 10 y 20 años,Haya,Gres,N/A,Madera,,40 m²,2,,,N/A,,,,,,1,,,,,,Unifamiliar,,,,Propia,,,
Dúplex en Sant Vicenç de Castellet,LES CLAUS DE SANT VICENÇ,2.006 €/m²,194.670 €,97 m²,https://www.pisos.com/comprar/duplex-sant_vicenc_de_castellet_centro_urbano-51766574347_199200/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),97 m²,97 m²,,3,2,A estrenar,1992-003854,Gas natural,"7,14 m²","12,6 m²",Noroeste,,,,2ª,N/A,Menos de 5 años,Lacado madera blanca,Parquet,N/A,Aluminio,Pre instalación aire acondicionado frío y calor,"22,16 m²",,,N/A,,N/A,N/A,N/A,,,,N/A,,N/A,,,,N/A,,,,,,
Piso en Carrer de la Casa Nova,LES CLAUS DE SANT VICENÇ,1.916 €/m²,115.000 €,60 m²,https://www.pisos.com/comprar/piso-el_pont_de_vilomara_i_rocafort_centro_urbano-88634499572_199200/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),60 m²,60 m²,,2,1,En buen estado,1992-000635,Gas natural,6m²,,Sud,,,,Bajo,N/A,Entre 5 y 10 años,Madera chapada,Gres,,Alum. Blanco,,22m²,,,N/A,N/A,N/A,,N/A,,,1,,"1,5m²",,,N/A,,,,,,N/A,N/A,
Dúplex en Sant Vicenç de Castellet,LES CLAUS DE SANT VICENÇ,1.966 €/m²,194.670 €,99 m²,https://www.pisos.com/comprar/duplex-sant_vicenc_de_castellet_centro_urbano-51668002001_199200/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),99 m²,99 m²,,3,2,A estrenar,1992-003855,Gas natural,"7,83 m²","10,05 m²",Sur,,,,2ª,N/A,Menos de 5 años,Madera lacada blanca,Parquet,N/A,Aluminio,Pre instalación aire acondicionado frío y calor,"22,83 m²",,,N/A,,N/A,N/A,N/A,,,,N/A,,N/A,,,,N/A,,,,,,
Casa en Sallent,FINQUES PUJOL,1.214 €/m²,255.000 €,210 m²,https://www.pisos.com/comprar/casa-sallent_centro_urbano-49242603165_500010/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),210 m²,200 m²,,3,2,En buen estado,500010-000814,,N/A,N/A,Sur,,,,,,,,Gres,N/A,,Frío y calor,N/A,Más de 2,,,,,,,,,2,,N/A,,,,,,N/A,Privado,,,,
Piso en Sagrada Família,InmueblesBcn,1.803 €/m²,119.000 €,66 m²,https://www.pisos.com/comprar/piso-manresa_sagrada_familia08243-46688996212_101300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),66 m²,60 m²,,2,1,,API62-F-V-ESA,N/A,,,Sur-oeste,,,,,,Entre 20 y 30 años,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,
Casa en Castellnou de Bages,FINQUES PUJOL,1.509 €/m²,385.000 €,255 m²,https://www.pisos.com/comprar/casa-castellnou_de_bages_centro_urbano08251-51688824622_500010/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),255 m²,240 m²,660 m²,4,2,En buen estado,500010-000823,Gasoil,N/A,N/A,,N/A,N/A,N/A,,,,,Gres,N/A,Aluminio,Frío y calor,N/A,1,,,,,,,,,,,N/A,,,,,,N/A,Privado,Propia,,,
Casa adosada en calle Doctor Josep Trueta,VITAL IMMOBLES,1.586 €/m²,230.000 €,145 m²,https://www.pisos.com/comprar/casa_adosada-sant_vicenc_de_castellet_centro_urbano-51682954169_512449/,Anuncio actualizado el 20/02/2025,"E, E","E, E",bages (BCN),145 m²,107 m²,,3,3,En buen estado,512449-C-1441,Eléctrica,N/A,N/A,N/A,N/A,N/A,N/A,,,Entre 20 y 30 años,N/A,N/A,N/A,Aluminio,Frío y calor,N/A,1,,,,,,,,,,,,,N/A,,Adosada,N/A,,,,,,
Casa en Urbanització Pineda de Bages,FINQUES PASSEIG,2.045 €/m²,675.000 €,330 m²,https://www.pisos.com/comprar/casa-sant_fruitos_de_bages_centro_urbano-41757406778_100500/,Anuncio actualizado el 17/02/2025,"E, E","E, E",bages (BCN),330 m²,289 m²,1.973 m²,7,7,,SA1076-0617/5339,Gas natural,,N/A,Este,N/A,,,,,Entre 30 y 50 años,,Parquet,,,N/A,N/A,1,N/A,,,,,,,,1,,,,N/A,,,,N/A,N/A,Propia,N/A,,
Piso en Sagrada Familia,CONSULTIN Consultors Integrals,1.192 €/m²,136.000 €,114 m²,https://www.pisos.com/comprar/piso-manresa_sagrada_familia08243-35083366238_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",bages (BCN),114 m²,73 m²,,4,1,,SA816-CM02887/3377,Gas natural,,,Suroeste,,,,5ª,,,,Gres,,,N/A,,,N/A,,N/A,,,,,N/A,,,,,N/A,N/A,,,,,,N/A,,
Piso en Zona Pl. Oliver,CONSULTIN Consultors Integrals,666 €/m²,34.000 €,51 m²,https://www.pisos.com/comprar/piso-suria_centro_urbano-31731327670_100500/,Anuncio actualizado el 31/01/2025,"G, G","G, G",bages (BCN),51 m²,45 m²,,1,1,,SA816-CM02836/3377,N/A,,,,,,,2ª,,Más de 50 años,,Gres,,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,
Piso en Centre,CONSULTIN Consultors Integrals,576 €/m²,49.000 €,85 m²,https://www.pisos.com/comprar/piso-suria_centro_urbano-94209968617_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),85 m²,77 m²,,1,1,,SA816-CM02370/3377,,,N/A,,,,,3ª,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Sagrada Familia,CONSULTIN Consultors Integrals,1.164 €/m²,99.000 €,85 m²,https://www.pisos.com/comprar/piso-manresa_sagrada_familia08243-18356113981_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",bages (BCN),85 m²,67 m²,,3,1,,SA816-CM02705/3377,Gas natural,,,,,,,4ª,,Más de 50 años,,Gres,,,,,,,,,N/A,,,Más de 100 €,,,,,,,,,,,,,N/A,,
Casa en Ambulatori,CONSULTIN Consultors Integrals,511 €/m²,304.000 €,594 m²,https://www.pisos.com/comprar/casa-santpedor_centro_urbano-21692640563_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),594 m²,584 m²,,9,3,,SA816-CM02744/3377,,,N/A,,,,,,,,,Terrazo,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,
Casa en Carrer de Pablo Picasso,FINQUES PASSEIG,1.891 €/m²,295.000 €,156 m²,https://www.pisos.com/comprar/casa-la_balconada_cal_gravat08243-51675273370_100500/,Anuncio actualizado el 17/02/2025,"G, G","G, G",bages (BCN),156 m²,128 m²,,4,2,,SA1076-VMB1960/5339,Gas natural,,,Suroeste,,,,,,Entre 30 y 50 años,,Gres,,,,,1,N/A,,,,,,,,,,,,,,,,,N/A,,,,
Piso en Plaça de Catalunya,L@MFINQUES,2.000 €/m²,210.000 €,105 m²,https://www.pisos.com/comprar/piso-placa_de_catalunya08242-50909100940_501283/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),105 m²,90 m²,,4,1,En buen estado,501283-010283,Gas natural,N/A,,Este,,,,4ª,N/A,Entre 30 y 50 años,N/A,Parquet,N/A,Aluminio,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,800€,,,N/A,N/A,,,N/A,,,,,,,,
Dúplex en Sant Joan de Vilatorrada,L@MFINQUES,1.970 €/m²,199.000 €,101 m²,https://www.pisos.com/comprar/duplex-sant_joan_de_vilatorrada_centro_urbano-50043045151_501283/,Anuncio actualizado el 18/02/2025,"E, F","E, F",bages (BCN),101 m²,84 m²,,3,2,En buen estado,501283-010272,Eléctrica,N/A,N/A,Oeste,,,,3ª,N/A,Entre 10 y 20 años,N/A,Parquet,N/A,Aluminio,,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,,,2,,N/A,,N/A,N/A,,,,,,,,
Piso en Sant Vicenç de Castellet,L@MFINQUES,1.465 €/m²,85.000 €,58 m²,https://www.pisos.com/comprar/piso-sant_vicenc_de_castellet_centro_urbano-50873880123_501283/,Anuncio actualizado el 18/02/2025,"F, G","F, G",bages (BCN),58 m²,44 m²,,2,1,En buen estado,501283-010282,Gas natural,N/A,N/A,Sureste,,,,2ª,N/A,Más de 50 años,,Mármol,N/A,Madera,,N/A,,N/A,,,,,N/A,,,,N/A,N/A,,,,,,,,,,,
Casa en Castellgalí,LES CLAUS DE SANT VICENÇ,1.583 €/m²,380.000 €,240 m²,https://www.pisos.com/comprar/casa-castellgali_centro_urbano-50080121560_199200/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),240 m²,240 m²,,3,2,A estrenar,1992-003846,Suelo radiante,Abierta,60m²,Sur,N/A,N/A,N/A,,,Menos de 5 años,Lacado,Microcemento,N/A,PVC,Frío y calor,N/A,2,,,N/A,,,,,,,N/A,N/A,,,,,N/A,N/A,Privado,Propia,,,
Casa en Carretera d'Esparreguera,FINQUES PASSEIG,518 €/m²,170.000 €,328 m²,https://www.pisos.com/comprar/casa-castellbell_i_el_vilar_centro_urbano-51745613539_100500/,Anuncio actualizado el 17/02/2025,"G, G","G, G",bages (BCN),328 m²,300 m²,416 m²,3,2,,SA1076-6911/5339,,,,Este,,,,,,Más de 50 años,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,N/A,,
Dúplex en Carrer Josep Potellas,L@MFINQUES,1.329 €/m²,105.000 €,79 m²,https://www.pisos.com/comprar/duplex-sallent_centro_urbano-50077180689_501283/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),79 m²,60 m²,,2,1,En buen estado,501283-010274,Gas natural,N/A,,Sur,,,,2ª,N/A,Entre 30 y 50 años,Haya,Tarima flotante,,Aluminio,Frío y calor,N/A,2,N/A,,N/A,,,N/A,,,,,N/A,,,,,,,,,,,
Piso en Sagrada Familia,CONSULTIN Consultors Integrals,1.765 €/m²,196.000 €,111 m²,https://www.pisos.com/comprar/piso-manresa_sagrada_familia08243-40004871149_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),111 m²,89 m²,,3,2,,SA816-CM02911/3377,Gas natural,,N/A,,,,,3ª,,Entre 20 y 30 años,,Parquet,,,N/A,,,N/A,,,N/A,,,,,,,,,,N/A,,,,N/A,,,,
Dúplex en Sagrada Familia,CONSULTIN Consultors Integrals,1.192 €/m²,180.000 €,151 m²,https://www.pisos.com/comprar/duplex-manresa_sagrada_familia08243-50082591399_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),151 m²,99 m²,,3,2,,SA816-CM02995/3377,Gas natural,,N/A,,,,,2ª,,Entre 20 y 30 años,,Gres,,,N/A,,,,,,N/A,,,Más de 100 €,,,,,,,N/A,,,,,,N/A,,
Dúplex en Ctra. de Santpedor-Bases de Manresa,L@MFINQUES,1.952 €/m²,164.000 €,84 m²,https://www.pisos.com/comprar/duplex-ctra_de_santpedor_bases_de_manresa08243-50075415611_501283/,Anuncio actualizado el 19/02/2025,"G, G","G, G",bages (BCN),84 m²,72 m²,,1,1,En buen estado,501283-010271,Eléctrica,N/A,N/A,Este,,,,Bajo,N/A,Entre 5 y 10 años,N/A,Gres,N/A,Aluminio,,N/A,,,N/A,N/A,N/A,N/A,N/A,,,,,N/A,,,N/A,,,,,,,,
Casa adosada en Sallent,L@MFINQUES,872 €/m²,240.000 €,275 m²,https://www.pisos.com/comprar/casa_adosada-sallent_centro_urbano-50892855469_501283/,Anuncio actualizado el 18/02/2025,"G, G","G, G",bages (BCN),275 m²,220 m²,202 m²,4,2,En buen estado,501283-010281,Gasoil,N/A,,Este,N/A,N/A,N/A,,,Entre 30 y 50 años,N/A,Terrazo,N/A,Climalit,,N/A,2,,,N/A,,,,,,,,N/A,,,,Adosada,,,Privado,,,,
Casa en Carrer de Sant Jeroni,MARESME LLAR,1.083 €/m²,195.000 €,180 m²,https://www.pisos.com/comprar/casa-castellbell_i_el_vilar_centro_urbano-49182024932_100500/,Anuncio actualizado el 11/02/2025,"F, F","F, F",bages (BCN),180 m²,134 m²,60 m²,4,2,,SA1829-V1216EM/1774,Central,,N/A,Suroeste,,,,,,Entre 30 y 50 años,,Terrazo,,,N/A,,1,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de la Llibertat,LES CLAUS DE SANT VICENÇ,1.990 €/m²,73.645 €,37 m²,https://www.pisos.com/comprar/piso-sant_vicenc_de_castellet_centro_urbano-5177192871_109700/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),37 m²,,,1,,A estrenar,1097-21766678,,,,,,,,Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer Nou de Valldaura,DON PISO MANRESA,1.000 €/m²,81.000 €,81 m²,https://www.pisos.com/comprar/piso-valldaura08241-51683310748_519054/,Anuncio actualizado el 20/02/2025,"F, F","F, F",bages (BCN),81 m²,77 m²,,3,1,Reformado,4519054-282963,,Reformada,,Suroeste,,,,3ª,Balcon,Más de 50 años,,Gres,N/A,Aluminio,,Salida a balcon,,,N/A,,,,N/A,Entre 10 y 20 €,,,,,,,N/A,,,,,,,,Reformado
Piso en Carrer de Martí i Julià,IMMOSAVALL,1.804 €/m²,129.900 €,72 m²,https://www.pisos.com/comprar/piso-placa_de_catalunya08242-45048474507_520006/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),72 m²,60 m²,,2,1,Reformado,4520006-000296,Gas natural,,,Noroeste,,,,4ª,N/A,Más de 50 años,,Gres,N/A,,,,1,,,,,,,Entre 20 y 40 €,,,,,,,,,,,,,,,
Chalet en Carrer de la Ginesta,Finques Lan,1.666 €/m²,750.000 €,450 m²,https://www.pisos.com/comprar/chalet-sant_fruitos_de_bages_centro_urbano-51693771029_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),450 m²,400 m²,1.200 m²,5,4,En buen estado,SA5165-107354703,Central,,N/A,Sur,,,,,,Entre 20 y 30 años,,,,,N/A,,1,N/A,,,,,,,,1,,,,,,,,,N/A,,,,
Piso en Carrer del Doctor Robert,FINQUES LOW COST,1.097 €/m²,90.000 €,82 m²,https://www.pisos.com/comprar/piso-navarcles_centro_urbano-50899313349_518544/,Anuncio actualizado el 18/02/2025,"E, E","E, E",bages (BCN),82 m²,76 m²,,3,1,En buen estado,4518544-0794,Eléctrica,N/A,,Sur,,,,2ª,N/A,Más de 50 años,N/A,Parquet,N/A,Aluminio,,N/A,,,N/A,,,,N/A,,,,,N/A,,,N/A,,N/A,,,,,,
Piso en Carretera de Sallent,LONBAR SL,1.310 €/m²,97.000 €,74 m²,https://www.pisos.com/comprar/piso-artes_centro_urbano-49243730773_529048/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),74 m²,66 m²,,2,1,Reformado,4529048-1,,Open plan,,Este,,,,Bajo,N/A,Entre 20 y 30 años,,Gres,,Aluminio,,N/A,1,,,,,,N/A,,,,,,,,,,,,,,,,
