nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Planta,Antigüedad,Referencia,Ascensor,Calefacción,Superficie útil,Exterior,Conservación,Gastos de comunidad,Tipo suelo,Carpintería exterior,Aire acondicionado,Cocina equipada,Comedor,Portero automático,Orientación,Soleado,Trastero,Balcón,Terraza,Se aceptan mascotas,Armarios empotrados,Carpintería interior,Vidrios dobles,Teléfono,Garaje,Puerta blindada,Sistema de seguridad,Adaptado a personas con movilidad reducida,Jardín,Lavadero,Piscina,Interior,Amueblado,Chimenea,Agua,Superficie solar,Gas,Luz,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada
Apartamento en La Dreta de l'Eixample,Engel & Völkers MMC Barcelona,6.159 €/m²,425.000 €,69 m²,https://www.pisos.com/comprar/apartamento-la_dreta_de_eixample08037-49237744061_101800/,Anuncio actualizado el 19/11/2024,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),69 m²,3,1,4ª,Más de 50 años,IF76306-I-00YTSV-W-02TUFB,N/A,Central,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Piso en Carrer del Clot,FINCAS SAN ANDRES,4.166 €/m²,300.000 €,72 m²,https://www.pisos.com/comprar/piso-el_clot08018-43370216202_501025/,Anuncio actualizado el 20/02/2025,"D, D","D, D",barcelona_capital (BCN),72 m²,2,2,Bajo,Entre 10 y 20 años,501025-GHS90,N/A,Eléctrica,64 m²,A calle peatonal,En buen estado,,Parquet,Aluminio,Frio y calor por canductos,Semiabierta al salon,Independiente,Videoportero,Sur,N/A,,,,N/A,Más de 2,Medera de haya,Con camara,N/A,,N/A,,,,Integrado en armario con lavadora y secadora,,,,,,,,,,,,
Apartamento en Vallvidrera-El Tibidabo-Les Planes,Engel & Völkers MMC Barcelona,5.398 €/m²,745.000 €,138 m²,https://www.pisos.com/comprar/apartamento-vallvidrera_el_tibidabo_les_planes08017-44194956557_101800/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),138 m²,2,2,1ª,Entre 30 y 50 años,IF76306-I-00Y9DV-W-02VOKN,N/A,Central,,,,,,,,N/A,,,,,N/A,,N/A,,1,,,,1,,,,,N/A,,,N/A,,,,,,,,,
Piso en La Nova Esquerra de l'Eixample,Estudi Nova Paris Slu,4.938 €/m²,800.000 €,162 m²,https://www.pisos.com/comprar/piso-la_nova_esquerra_de_eixample08029-48361836881_100200/,Anuncio actualizado el 03/02/2025,"E, E","E, E",barcelona_capital (BCN),162 m²,3,3,4ª,Entre 20 y 30 años,TC1004-598196,N/A,,,,En buen estado,,Parquet,,N/A,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en La Dreta de Leixample,COMFI HOMES BARCELONA,5.668 €/m²,890.000 €,157 m²,https://www.pisos.com/comprar/piso-sant_pere_santa_caterina_la_ribera08010-48380484715_108900/,Anuncio actualizado el 20/02/2025,"E, E","E, E",barcelona_capital (BCN),157 m²,5,2,2ª,Más de 50 años,XA869-COMFI 594809,N/A,N/A,157 m²,N/A,,,,,,,,,,,N/A,,7,,,,N/A,,,,,,,,,,,,N/A,,,,,,,
Apartamento en El Poble-sec,Engel & Völkers MMC Barcelona,5.594 €/m²,565.000 €,101 m²,https://www.pisos.com/comprar/apartamento-el_poble_sec08004-51668386725_101800/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),101 m²,3,1,1ª,Más de 50 años,IF76306-I-00Z0XZ-W-02TDAX,N/A,,,,,,,,,,,,,,,,N/A,,1,,,,,,,,Privado,,,,,,,,,,,,,
Piso en Lantiga Esquerra de Leixample,FINCAS INTER-HOGAR Barcelona,Error al procesar precio m²,495.000 €,2,https://www.pisos.com/comprar/piso-la_dreta_de_eixample08037-50883736559_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),,2,1,1ª,,SA5805-S.avdiagonal-03/12415,N/A,Central,,,,,,,N/A,,,,,,,N/A,,,1,,,,,,,,N/A,,Comunitaria,,N/A,,,,,,,,,
Apartamento en La Dreta de l'Eixample,Engel & Völkers MMC Barcelona,9.638 €/m²,2.188.000 €,227 m²,https://www.pisos.com/comprar/apartamento-la_dreta_de_eixample08009-10024569266_101800/,Anuncio actualizado el 21/05/2024,"C, C","C, C",barcelona_capital (BCN),227 m²,3,3,,,IF76306-I-00U30B-W-02KANM,N/A,Central,,,,,,,,N/A,,,Suroeste,,N/A,,N/A,,1,,,,,,,,Privado,,,,,,,,,,,,,
"Piso en calle Provença, 197",INMODERNA GSI,6.393 €/m²,780.000 €,122 m²,https://www.pisos.com/comprar/piso-antiga_esquerra_de_eixample08008-50014693897_101300/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),122 m²,4,2,,Entre 30 y 50 años,API222-P 08008151124,N/A,N/A,115 m²,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Apartamento en La Vila de Gràcia,Engel & Völkers MMC Barcelona,2.804 €/m²,230.000 €,82 m²,https://www.pisos.com/comprar/apartamento-la_vila_de_gracia08012-50890810044_101800/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),82 m²,1,1,,Más de 50 años,IF76306-I-00YZJC-W-02Y24I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
