nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Planta,Antigüedad,Referencia,Ascensor,Calefacción,Superficie útil,Exterior,Conservación,Gastos de comunidad,Tipo suelo,Carpintería exterior,Aire acondicionado,Cocina equipada,Comedor,Portero automático,Orientación,Soleado,Trastero,Balcón,Terraza,Se aceptan mascotas,Armarios empotrados,Carpintería interior,Vidrios dobles,Teléfono,Garaje,Puerta blindada,Sistema de seguridad,Adaptado a personas con movilidad reducida,Jardín,Lavadero,Piscina,Interior,Amueblado,Chimenea,Agua,Superficie solar,Gas,Luz,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada
Ático en El Poble-sec,LA CASA AGENCY PUNT POBLE SEC REAL ESTATE,6.071 €/m²,340.000 €,56 m²,https://www.pisos.com/comprar/atico-el_poble_sec08004-42514873661_101800/,Anuncio actualizado el 31/10/2024,"E, E","E, E",barcelona_capital (BCN),56 m²,2,1,5ª,Más de 50 años,IF77106-LCB29467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Sants,LA CASA AGENCY PUNT POBLE SEC REAL ESTATE,2.669 €/m²,590.000 €,221 m²,https://www.pisos.com/comprar/piso-sants_montjuic_sants08028-49194195643_101800/,Anuncio actualizado el 20/11/2024,"E, E","E, E",barcelona_capital (BCN),221 m²,,1,,Más de 50 años,IF77106-LCB31810-1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en La Font de la Guatlla,LA CASA AGENCY PUNT POBLE SEC REAL ESTATE,4.621 €/m²,379.000 €,82 m²,https://www.pisos.com/comprar/piso-la_font_de_la_guatlla08004-51699789766_101800/,Anuncio actualizado el 18/02/2025,"E, E","E, E",barcelona_capital (BCN),82 m²,4,2,1ª,Entre 30 y 50 años,IF77106-LCB34943-1,N/A,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Muntaner,GD&A BROKERS INMOBILIARIOS,7.000 €/m²,420.000 €,60 m²,https://www.pisos.com/comprar/piso-sant_gervasi_la_bonanova08022-51705787719_991923/,Anuncio actualizado el 20/02/2025,"E, E","E, E",barcelona_capital (BCN),60 m²,1,1,3ª,Entre 30 y 50 años,4991923-50015,N/A,Eléctrica,55 m²,N/A,En buen estado,Entre 60 y 80 €,Parquet,Aluminio,Frío y calor,Independiente,Amplio,N/A,Surnorte,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de l'Om,TUKSA,3.589 €/m²,280.000 €,78 m²,https://www.pisos.com/comprar/piso-el_raval08001-50011879151_108900/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),78 m²,3,1,1ª,Entre 30 y 50 años,XA778-O_TK24_1311B,,Gas natural,70 m²,N/A,En buen estado,,Cerámica o gress,,,Independiente,,,Norte::sur,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Muntaner,Sarria Properties,5.862 €/m²,1.190.000 €,203 m²,https://www.pisos.com/comprar/piso-sant_gervasi_galvany08021-50074029118_100500/,Anuncio actualizado el 24/01/2025,"E, E","E, E",barcelona_capital (BCN),203 m²,5,2,2ª,Más de 50 años,SA3248-SP962/8414,N/A,N/A,170 m²,,,,Parquet,,,,,,Este,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Barcelonés,Constance DE PERTHUIS,6.000 €/m²,480.000 €,80 m²,https://www.pisos.com/comprar/piso-el_raval08001-50097368701_108700/,Anuncio actualizado el 20/02/2025,"D, D","D, D",barcelona_capital (BCN),80 m²,2,1,,Más de 50 años,UVC243-30580,N/A,N/A,80 m²,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Josep Serrano,"ESTUDIO MIRAFLORES L´HOSPITALET, S.L. II",3.025 €/m²,236.000 €,78 m²,https://www.pisos.com/comprar/piso-can_baro08024-48391245335_525021/,Anuncio actualizado el 20/02/2025,"F, F","F, F",barcelona_capital (BCN),78 m²,2,1,Bajo,Más de 50 años,"4525021-LCB32801- Baix LLobregat -Punt Sagrada Família, S.",,,68 m²,N/A,En buen estado,,Gres,Aluminio,,N/A,,,Sureste,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
"Piso en Plaça Catalana, 1",LA LLAVE DE ORO,5.173 €/m²,595.000 €,115 m²,https://www.pisos.com/comprar/piso-el_guinardo08032-5091748964_109700/,Anuncio actualizado el 14/02/2025,"A, A","A, A",barcelona_capital (BCN),115 m²,3,2,1ª,,4993346-0,,,,,A estrenar,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Ático en Carrer de Mallorca,Adria Esparza Asesor Inmobiliario,6.808 €/m²,960.000 €,141 m²,https://www.pisos.com/comprar/atico-la_sagrada_familia08013-43368054082_524291/,Anuncio actualizado el 27/06/2024,"E, F","E, F",barcelona_capital (BCN),141 m²,4,3,6ª,Más de 50 años,4524291-000003,Con teclado numerico,,127 m²,N/A,En buen estado,,Parquet,Aluminio,Frío y calor,Con salida a terraza,Salon comedor de 28m²,N/A,Noreste,A 2 vientos con vistas,En el mismo edificio,,N/A,N/A,Más de 2,N/A,N/A,N/A,2,N/A,N/A,N/A,Comunitario,,,,,,,,,,,,,
Piso en Zona Alta,RUSTIC CORNER,12.132 €/m²,1.650.000 €,136 m²,https://www.pisos.com/comprar/piso-sarria_sant_gervasi_sarria08017-49250558066_148700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),136 m²,3,2,2ª,Menos de 5 años,1487-003066,N/A,,120 m²,N/A,A estrenar,,Parquet,Aluminio,Frío y calor,N/A,N/A,N/A,Sureste,N/A,,,N/A,,Más de 2,,,,1,N/A,,N/A,Comunitario,N/A,Propia,,,,,,,,,,,
Piso en Sant Pere-Santa Caterina-La Ribera,Engel & Völkers MMC Barcelona,6.147 €/m²,375.000 €,61 m²,https://www.pisos.com/comprar/piso-sant_pere_santa_caterina_la_ribera08003-5053782080_109700/,Anuncio actualizado el 18/12/2024,"C, C","C, C",barcelona_capital (BCN),61 m²,2,1,,,IF76306-D-000LU7,,,,,A estrenar,,,,Frío y calor,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,
Piso en Carrer de Lepant,"ESTUDIO MIRAFLORES L´HOSPITALET, S.L. II",4.872 €/m²,268.000 €,55 m²,https://www.pisos.com/comprar/piso-el_fort_pienc08013-48360495573_525021/,Anuncio actualizado el 19/02/2025,"F, F","F, F",barcelona_capital (BCN),55 m²,2,1,Bajo,Más de 50 años,"4525021-LCB32577- 	Punt Sagrada Família, S.L.",N/A,,55 m²,N/A,En buen estado,,Parquet,Aluminio,Frío y calor,Independiente,,,Sureste,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Carrer de la Mare de Déu del Coll,Engel & Völkers MMC Barcelona,6.040 €/m²,453.000 €,75 m²,https://www.pisos.com/comprar/duplex-gracia_la_salut08023-4180557950_109700/,Anuncio actualizado el 18/12/2024,"B, A","B, A",barcelona_capital (BCN),75 m²,1,1,Bajo,,IF76306-D-000I5R,N/A,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Portbou,"ESTUDIO MIRAFLORES L´HOSPITALET, S.L. II",3.405 €/m²,252.000 €,74 m²,https://www.pisos.com/comprar/piso-sants_badal-47533569535_525021/,Anuncio actualizado el 19/02/2025,"E, E","E, E",barcelona_capital (BCN),74 m²,2,1,Bajo,Más de 50 años,"4525021-LCB32223- Punto Badal-BCN, S.L.",,Gas natural,70 m²,N/A,En buen estado,,Parquet,Aluminio,,Independiente,,,Suroeste,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Piso en Can Baró,Engel & Völkers MMC Barcelona,4.222 €/m²,380.000 €,90 m²,https://www.pisos.com/comprar/piso-can_baro08024-5112768928_109700/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),90 m²,2,2,,,IF76306-D-000MG2,N/A,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Trafalgar,CENTURY 21 SMART POINT,6.907 €/m²,1.195.000 €,173 m²,https://www.pisos.com/comprar/piso-sant_pere_santa_caterina_la_ribera08010-47571572608_107700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),173 m²,4,2,,Más de 50 años,VE5-C0028-01172,N/A,N/A,173 m²,,,,,,N/A,N/A,,,,,,N/A,N/A,,N/A,,N/A,,,,,,,N/A,,,,,,,,,,,,
Ático en Avinguda de les Drassanes,Home 4 Bcn,4.605 €/m²,350.000 €,76 m²,https://www.pisos.com/comprar/atico-el_poble_sec08004-50003396089_100500/,Anuncio actualizado el 05/12/2024,"E, E","E, E",barcelona_capital (BCN),76 m²,3,1,10ª,Más de 50 años,SA2842-106713017,N/A,,69 m²,N/A,En buen estado,,,,,,,,Norte,,,,N/A,,1,,,,,,,,,,,,,,,,,,,,,
Piso en Les Tres Torres,Sarria Properties,3.365 €/m²,2.800.000 €,832 m²,https://www.pisos.com/comprar/piso-sant_gervasi_galvany08017-47580907039_100500/,Anuncio actualizado el 13/02/2025,"F, F","F, F",barcelona_capital (BCN),832 m²,7,5,Bajo,Más de 50 años,SA3248-SP907/8414,,N/A,460 m²,,,,Tarima maciza,,N/A,,,,Norte,,N/A,,,,1,,,,,N/A,,,,,,,,,,,,,,,,
Piso en Carrer de la Ciutat de Balaguer,Binsola,4.454 €/m²,490.000 €,110 m²,https://www.pisos.com/comprar/piso-sant_gervasi_la_bonanova08022-51754412002_526284/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),110 m²,4,1,Bajo,Más de 50 años,4526284-000020,,,100 m²,,Reformado,,,Aluminio,Frío y calor,,,,Norte,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Piso en calle Salvador Spriu,CENTURY 21 SMART POINT,5.317 €/m²,920.000 €,173 m²,https://www.pisos.com/comprar/piso-la_vila_olimpica_del_poblenou08005-48427847138_107700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),173 m²,3,2,,Entre 30 y 50 años,VE5-C0028-01178,,,143 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Plaça Catalana, 1",LA LLAVE DE ORO,5.173 €/m²,595.000 €,115 m²,https://www.pisos.com/comprar/piso-el_guinardo08032-5091748964_109700/,Anuncio actualizado el 14/02/2025,"A, A","A, A",barcelona_capital (BCN),115 m²,3,2,1ª,,4993346-0,,,,,A estrenar,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Les Tres Torres,FORCADELL SANT GERVASI,5.619 €/m²,1.225.000 €,218 m²,https://www.pisos.com/comprar/piso-les_tres_torres08017-50857409907_101800/,Anuncio actualizado el 22/01/2025,"E, E","E, E",barcelona_capital (BCN),218 m²,5,4,,,IF76842-SGER_3201,N/A,Central,,,,,,,,,,,,,N/A,,N/A,,,,,,1,,,,,,,,,,,,,,,,,
"Piso en Carrer de Palomar, 70",AEDAS HOMES,4.864 €/m²,467.000 €,96 m²,https://www.pisos.com/comprar/piso-sant_andreu_barrio08030-5096035897_109700/,Anuncio actualizado el 29/01/2025,"A, A","A, A",barcelona_capital (BCN),96 m²,3,2,5ª,,-a0P9L000000YmlwUAC,N/A,,,,A estrenar,,,,Frío y calor,N/A,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,
"Piso en Carrer del Comte Borrell, 292",LV HOME,4.254 €/m²,259.500 €,61 m²,https://www.pisos.com/comprar/piso-la_nova_esquerra_de_eixample08029-51729384177_518314/,Anuncio actualizado el 18/02/2025,"F, E","F, E",barcelona_capital (BCN),61 m²,2,1,Entresuelo,Más de 50 años,4518314-000019,N/A,,50 m²,,En buen estado,Entre 60 y 80 €,Parquet,Aluminio,Frío y calor,N/A,N/A,N/A,Este,,,,,N/A,1,,,,,,Cámaras de vigilancia,,,N/A,,N/A,,,,,,,,,,
Piso en Avinguda de Sarrià,FINCAS BELLAMAR,7.547 €/m²,1.200.000 €,159 m²,https://www.pisos.com/comprar/piso-les_corts_barrio08029-42540414899_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),159 m²,3,3,5ª,,SA2911-VC202413,N/A,Gas natural,127 m²,N/A,En buen estado,Más de 100 €,,,Frío,Cocina amueblada,,,,,,,N/A,,1,,,,1,,,,,,,,N/A,N/A,,,,,,,,
Piso en Les Tres Torres,Sarria Properties,7.009 €/m²,750.000 €,107 m²,https://www.pisos.com/comprar/piso-les_tres_torres08017-49203348988_100500/,Anuncio actualizado el 03/02/2025,"D, D","D, D",barcelona_capital (BCN),107 m²,3,2,4ª,Entre 20 y 30 años,SA3248-SP951/8414,N/A,N/A,85 m²,,,,Parquet,,N/A,,,,Sureste,,N/A,N/A,N/A,,1,,,,,,,,,,,,,,,,,,,,,
Piso en Rambla de Catalunya,Engel & Völkers MMC Barcelona,12.950 €/m²,790.000 €,61 m²,https://www.pisos.com/comprar/piso-la_dreta_de_eixample08008-5152329873_109700/,Anuncio actualizado el 28/01/2025,"B, B","B, B",barcelona_capital (BCN),61 m²,1,1,,,IF76306-D-000HMW,N/A,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Pujades,"ESTUDIO MIRAFLORES L´HOSPITALET, S.L. II",5.281 €/m²,279.900 €,53 m²,https://www.pisos.com/comprar/piso-sant_marti_el_poblenou08005-47584463434_525021/,Anuncio actualizado el 20/02/2025,"E, E","E, E",barcelona_capital (BCN),53 m²,2,1,1ª,Más de 50 años,"4525021-LCB32319-Diagonal Mar Real Estate, S.L",N/A,Gas natural,49 m²,N/A,Reformado,,Parquet,Aluminio,,N/A,,,Sureste,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Tamarit,Sarria Properties,5.950 €/m²,595.000 €,100 m²,https://www.pisos.com/comprar/piso-eixample_sant_antoni08015-48402808069_100500/,Anuncio actualizado el 16/01/2025,"E, E","E, E",barcelona_capital (BCN),100 m²,4,2,5ª,Entre 30 y 50 años,SA3248-SP940/8414,N/A,,90 m²,,,,Gres,,,,,,Suroeste,,,N/A,N/A,,1,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Lluís Maria Vidal, 92",CONSTRUCCIONS  PAYTUBI,4.096 €/m²,340.000 €,83 m²,https://www.pisos.com/comprar/piso-el_carmel08032-2503649085_109700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),83 m²,3,2,1ª,,4524917-18858358,N/A,,,,A estrenar,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en Carrer de Lancaster,WALTER HAUS,6.729 €/m²,895.000 €,133 m²,https://www.pisos.com/comprar/atico-el_raval08001-29261554358_101800/,Anuncio actualizado el 20/02/2025,"B, B","B, B",barcelona_capital (BCN),133 m²,2,2,4ª,Menos de 5 años,IF7349-3955V_6,N/A,Central,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,,,Comunitaria,,,,,,,,,,,
Piso en Carrer de l'Aurora,TUKSA,5.387 €/m²,264.000 €,49 m²,https://www.pisos.com/comprar/piso-el_raval08001-49222050041_108900/,Anuncio actualizado el 20/02/2025,"E, E","E, E",barcelona_capital (BCN),49 m²,1,1,,Más de 50 años,XA778-TK_V24_AU25,N/A,Bomba de calor,41 m²,N/A,A reformar,,Cerámica o gress,N/A,,Independiente,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Coïmbra,MAXI CASA,4.285 €/m²,300.000 €,70 m²,https://www.pisos.com/comprar/piso-horta_guinardo_horta08032-50844654135_100500/,Anuncio actualizado el 18/02/2025,"E, E","E, E",barcelona_capital (BCN),70 m²,3,1,2ª,Más de 50 años,SA4434-001-1177,N/A,,,N/A,En buen estado,Entre 40 y 60 €,Parquet,,,Cocina amueblada,,,Suroeste,,,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,,
Piso en Carrer de Josep Pla,CENTURY 21 SMART POINT,5.793 €/m²,840.000 €,145 m²,https://www.pisos.com/comprar/piso-diagonal_mar_el_front_maritim_del_poblenou08019-48385589257_107700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),145 m²,3,1,,Entre 20 y 30 años,VE5-C0028-01173,N/A,N/A,113 m²,,,,,,N/A,N/A,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Josep Anselm Clavé, 2",FINQUES PAMIES,3.872 €/m²,790.000 €,204 m²,https://www.pisos.com/comprar/piso-el_barri_gotic08002-46677021355_501034/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),204 m²,2,2,Bajo,Entre 5 y 10 años,501034-044300,,Suelo radiante,120 m²,,En buen estado,,Parquet,Aluminio,Frío y calor,N/A,,N/A,Sureste,,N/A,,30m²,,,,,,,,N/A,N/A,,,,,,,,,,,,,,
Loft en El Raval,Engel & Völkers MMC Barcelona,5.858 €/m²,498.000 €,85 m²,https://www.pisos.com/comprar/loft-el_raval08001-4880862613_109700/,Anuncio actualizado el 18/12/2024,"C, C","C, C",barcelona_capital (BCN),85 m²,2,1,,,IF76306-D-000F2T,,,,,A estrenar,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'Espronceda,CENTURY21 Ars,2.428 €/m²,850.000 €,350 m²,https://www.pisos.com/comprar/piso-sant_andreu_navas08027-945856909476269_109700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),350 m²,3,3,Bajo,Entre 30 y 50 años,4992744-WEL-678,N/A,Eléctrica,345 m²,,En buen estado,,Parquet,Aluminio,Frío y calor,N/A,N/A,N/A,Sur,N/A,,,N/A,,,,N/A,,,N/A,,,,N/A,Propia,,,N/A,N/A,,,,,,,
Loft en Carrer de Balcells,Engel & Völkers MMC Barcelona,4.065 €/m²,435.000 €,107 m²,https://www.pisos.com/comprar/loft-el_camp_en_grassot_gracia_nova08024-4936217226_109700/,Anuncio actualizado el 05/12/2024,"A, A","A, A",barcelona_capital (BCN),107 m²,1,1,,,IF76306-D-000I6V,N/A,,,,A estrenar,,,,Frío y calor,N/A,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Santaló, 143",LA LLAVE DE ORO,9.450 €/m²,1.824.000 €,193 m²,https://www.pisos.com/comprar/piso-sant_gervasi_galvany08021-4361988593_109700/,Anuncio actualizado el 20/02/2025,"A, A","A, A",barcelona_capital (BCN),193 m²,4,3,4ª,,4993346-21042061,,,,,A estrenar,,,,,N/A,,,,,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,
Piso en Travessera de Gràcia,Sarria Properties,5.932 €/m²,795.000 €,134 m²,https://www.pisos.com/comprar/piso-sant_gervasi_galvany08021-50905078499_100500/,Anuncio actualizado el 18/02/2025,"D, D","D, D",barcelona_capital (BCN),134 m²,4,2,6ª,Más de 50 años,SA3248-SP1001/8414,N/A,N/A,110 m²,,,,Parquet,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Muntaner, 271",Toni GIMENO,6.439 €/m²,850.000 €,132 m²,https://www.pisos.com/comprar/piso-sant_gervasi_galvany08021-51699868255_108700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),132 m²,5,2,,Más de 50 años,UVC798-31734,N/A,N/A,132 m²,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Mercè Rodoreda,"ESTUDIO MIRAFLORES L´HOSPITALET, S.L. II",3.778 €/m²,393.000 €,104 m²,https://www.pisos.com/comprar/piso-el_besos_el_maresme08930-47593019832_525021/,Anuncio actualizado el 20/02/2025,"E, E","E, E",barcelona_capital (BCN),104 m²,3,2,4ª,Entre 10 y 20 años,"4525021-LCB32521 Diagonal Mar Real Estate, S.L",N/A,Central,86 m²,N/A,En buen estado,,Parquet,Aluminio,Frío y calor,Independiente,,,Oeste,,,,N/A,N/A,Más de 2,,,,,,,,,,,,,,,,,,,,,
"Chalet en Carrer de Bonaplata, 6",Esteban	MENDEZ,9.386 €/m²,2.450.000 €,261 m²,https://www.pisos.com/comprar/chalet-sarria_sant_gervasi_sarria08034-50857691316_108700/,Anuncio actualizado el 20/02/2025,"C, D","C, D",barcelona_capital (BCN),261 m²,3,4,,Entre 5 y 10 años,UVC808-31362,,N/A,261 m²,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,N/A,,,,,273 m²,,,,,,
Piso en Carrer de Pau Claris,Sarria Properties,6.707 €/m²,1.650.000 €,246 m²,https://www.pisos.com/comprar/piso-la_dreta_de_eixample08009-50864756155_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",barcelona_capital (BCN),246 m²,6,2,2ª,Más de 50 años,SA3248-SP977/8414,N/A,N/A,200 m²,,,,Terrazo,,,,,,Suroeste,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Via Augusta,OAK PROPERTIES,8.038 €/m²,1.045.000 €,130 m²,https://www.pisos.com/comprar/duplex-el_putxet_el_farro08006-44174945078_522145/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),130 m²,2,2,Bajo,Menos de 5 años,522145-Damayas,N/A,Central,106 m²,N/A,A estrenar,,Mármol,,Frío y calor,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,Más de 2,,N/A,N/A,1,,N/A,N/A,Privado,N/A,Comunitaria,N/A,,,,,,,,,,
"Piso en Carrer de Sant Ildefons, 33",I-Now,5.435 €/m²,462.000 €,85 m²,https://www.pisos.com/comprar/piso-sant_andreu_barrio08030-48363734012_512736/,Anuncio actualizado el 12/02/2025,"C, C","C, C",barcelona_capital (BCN),85 m²,3,2,2ª,Menos de 5 años,4512736-2º1ª ILDEFONS,,Eléctrica,76 m²,,A estrenar,,,,Frío y calor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'En Sant Climent,DON PISO BCN - SANT ANTONI,2.359 €/m²,169.900 €,72 m²,https://www.pisos.com/comprar/piso-el_raval08001-47582546495_519046/,Anuncio actualizado el 17/02/2025,"E, E","E, E",barcelona_capital (BCN),72 m²,1,1,Bajo,Más de 50 años,4519046-286633,,,60 m²,N/A,Reformado,,Parquet,Aluminio,Frío y calor,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Passeig de García Fària,CENTURY 21 SMART POINT,8.189 €/m²,950.000 €,116 m²,https://www.pisos.com/comprar/piso-diagonal_mar_el_front_maritim_del_poblenou08019-51667116883_107700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),116 m²,3,2,,Entre 20 y 30 años,VE5-C0028-01193,,,94 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer dels Pescadors, 49",LV HOME,5.375 €/m²,215.000 €,40 m²,https://www.pisos.com/comprar/piso-ciutat_vella_la_barceloneta08003-50079692878_518314/,Anuncio actualizado el 20/02/2025,"E, E","E, E",barcelona_capital (BCN),40 m²,2,1,Entresuelo,Más de 50 años,4518314-LV-PESCA2,,,37 m²,N/A,A reformar,,,Aluminio,Frío y calor,,,,Oeste,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Palomar, 70",AEDAS HOMES,4.756 €/m²,390.000 €,82 m²,https://www.pisos.com/comprar/piso-sant_andreu_barrio08030-5009094281_109700/,Anuncio actualizado el 29/01/2025,"A, A","A, A",barcelona_capital (BCN),82 m²,2,2,2ª,,-a0P9L000000YmlwUAC,N/A,,,,A estrenar,,,,Frío y calor,N/A,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,
Piso en Carrer dels Banys Nous,ICON REAL ESTATE,4.192 €/m²,675.000 €,161 m²,https://www.pisos.com/comprar/piso-el_barri_gotic08002-48356576391_528770/,Anuncio actualizado el 19/02/2025,"G, G","G, G",barcelona_capital (BCN),161 m²,4,2,1ª,Más de 50 años,528770-000007,N/A,Gas natural,140 m²,N/A,En buen estado,Entre 80 y 100 €,Suelo hidraulico original,Madera,Frío y calor,Reformada,Amplio con techos altos,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Sant Pere-Santa Caterina-La Ribera,Engel & Völkers MMC Barcelona,6.147 €/m²,375.000 €,61 m²,https://www.pisos.com/comprar/piso-sant_pere_santa_caterina_la_ribera08003-5053782080_109700/,Anuncio actualizado el 18/12/2024,"C, C","C, C",barcelona_capital (BCN),61 m²,2,1,,,IF76306-D-000LU7,,,,,A estrenar,,,,Frío y calor,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,
Piso en Avinguda de Pedralbes,WALTER HAUS,7.837 €/m²,2.900.000 €,370 m²,https://www.pisos.com/comprar/piso-pedralbes08034-35045363520_101800/,Anuncio actualizado el 20/02/2025,"E, E","E, E",barcelona_capital (BCN),370 m²,4,3,2ª,,IF7349-4273V,N/A,Central,,,,,,,,,,,,,,,N/A,,1,,,,1,,,,,N/A,Comunitaria,,,,,,,,,,,
Ático en El Baix Guinardó,TECNOCASA SANLLEHY,4.522 €/m²,710.000 €,157 m²,https://www.pisos.com/comprar/atico-el_baix_guinardo08024-41674819909_100200/,Anuncio actualizado el 20/02/2025,"E, E","E, E",barcelona_capital (BCN),157 m²,4,2,6ª,Más de 50 años,TC110-574405,N/A,Central,,,En buen estado,,Parquet,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Passeig de Valldaura,CLAVEM REAL ESTATE,3.605 €/m²,375.000 €,104 m²,https://www.pisos.com/comprar/piso-la_guineueta08042-49167483648_100500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",barcelona_capital (BCN),104 m²,2,1,6ª,Entre 30 y 50 años,SA4417-1238778,N/A,Central,89 m²,N/A,En buen estado,Entre 80 y 100 €,,,Frío,Cocina amueblada,,,,,,N/A,,,1,,,,,,,,,,,,N/A,,,,,,,,,
Piso en Passeig Sant Joan,OAK PROPERTIES,6.950 €/m²,695.000 €,100 m²,https://www.pisos.com/comprar/piso-la_dreta_de_eixample08009-50873936319_522145/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),100 m²,2,2,4ª,Entre 5 y 10 años,522145-000528,N/A,Central,90 m²,N/A,En buen estado,,Parquet,Aluminio,Frío y calor,,,N/A,Sureste,N/A,N/A,N/A,N/A,N/A,Más de 2,N/A,N/A,,,,,N/A,,,,N/A,,,,,,,,,,
"Piso en Carrer de Fernando Pessoa,  s/n",PREMIER ESPAÑA,4.379 €/m²,473.000 €,108 m²,https://www.pisos.com/comprar/piso-sant_andreu_barrio08030-4977235572_109700/,Anuncio actualizado el 17/02/2025,"A, A","A, A",barcelona_capital (BCN),108 m²,3,2,,,4992912-21552751,N/A,Gas natural,,,A estrenar,,,,Frío,,,,,,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,
