nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Tipo suelo,Carpintería exterior,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Puerta blindada,Superficie solar,Agua,Terraza,Jardín,Piscina,Orientación,Urbanizado,Calle alumbrada,Calle asfaltada,Garaje,Trastero,Sistema de seguridad,Tipo de casa,Gastos de comunidad,Amueblado,Armarios empotrados,Chimenea,Teléfono,Ascensor,Carpintería interior,Vidrios dobles,Gas,Lavadero,Portero automático,Soleado,Se aceptan mascotas,Balcón,Interior,Adaptado a personas con movilidad reducida,Luz
"Casa en Carreró del Terme, 14",UN SOMNI X M2,1.471 €/m²,315.000 €,214 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-49195601491_103800/,Anuncio actualizado el 17/12/2024,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),214 m²,174 m²,3,2,,,,A estrenar,INB577-Terme,Gres,,N/A,N/A,N/A,,,,,N/A,,,Sur,,,,Más de 2,N/A,,,,,2,,,,,,,,,,,,,,
Piso en Poble Sec,finques igualada,2.357 €/m²,165.000 €,70 m²,https://www.pisos.com/comprar/piso-igualada_centre-49225333607_100500/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),70 m²,60 m²,1,1,Bajo,,Entre 20 y 30 años,,SA1184-JF71124/2067,,,N/A,Gas natural,,,N/A,,N/A,N/A,,,Este,,,,,N/A,,,Más de 100 €,,1,,,N/A,,,,,,,,N/A,,,
Casa en Mas Vivencs,finques igualada,623 €/m²,390.000 €,626 m²,https://www.pisos.com/comprar/casa-la_pobla_de_claramunt_centro_urbano-45892297622_100500/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),626 m²,440 m²,14,5,,,Más de 50 años,,SA1184-FP80724/2067,Gres,,,N/A,,N/A,,530 m²,N/A,N/A,N/A,Propia,Norte,,,,1,N/A,,,,,1,N/A,,,,,,,,,,,,,
Casa en Can Canals de Masbover,MACROFINCAS S.L,2.368 €/m²,135.000 €,57 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-50020604998_100500/,Anuncio actualizado el 16/02/2025,"G, G","G, G",anoia (BCN),57 m²,47 m²,2,1,,,Entre 30 y 50 años,,SA565-MCB6044UC/1454,,,,,,,,,N/A,,N/A,,,N/A,,,1,,,,,,,,,,,,,,,,,,,,
Dúplex en Poble Sec,FINQUES SUBIRANA,2.204 €/m²,269.000 €,122 m²,https://www.pisos.com/comprar/duplex-pla_de_sant_magi-45079535952_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",anoia (BCN),122 m²,84 m²,3,2,2ª,,Entre 10 y 20 años,,SA377-18582/1783,Parquet,,,Gas natural,,,,,,N/A,,,Noreste,,,,,N/A,,,,,,,,N/A,,,,,,,,N/A,,,
Casa adosada en Poble,LA SECRE,1.560 €/m²,312.000 €,200 m²,https://www.pisos.com/comprar/casa_adosada-masquefa_centro_urbano-50906270568_109300/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),200 m²,165 m²,4,2,,,,En buen estado,EP1065-1171,,,,,,,,,N/A,,,,,,,,2,,,Adosada,,,,,,,,,,,,,,,,,
"Piso en Carrer d'El Bruc de Baix, 1",PROYECTOS BRUC,2.846 €/m²,259.000 €,91 m²,https://www.pisos.com/comprar/piso-el_bruc_centro_urbano-4931970182_109700/,Anuncio actualizado el 23/12/2024,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),91 m²,,3,2,Bajo,,,A estrenar,1097-21499268,,,Frío y calor,,,,,,,,Privado,,A la montaña,,,,N/A,,,,,,,,,N/A,,,,,,,,N/A,,,
Casa en Centro Pueblo,BEST HOUSE MARTORELL,1.642 €/m²,299.000 €,182 m²,https://www.pisos.com/comprar/casa-el_bruc_centro_urbano-45848676525_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),182 m²,155 m²,4,3,,,Entre 20 y 30 años,,SA449-741400/3134,,,,Gas natural,,,N/A,,,N/A,,,Este,,,,1,N/A,,,,,,,,,,,,,,,,,,,
Casa adosada en Junto Nuevo Ambulatorio,donpiso Central,861 €/m²,280.000 €,325 m²,https://www.pisos.com/comprar/casa_adosada-piera_centro_urbano-41688105053_109100/,Anuncio actualizado el 20/02/2025,"G, G","G, G",anoia (BCN),325 m²,,4,2,,,,,FE12-280751,Gres,Aluminio,,Gasoil,,,,,,N/A,N/A,,Oeste,,,,,N/A,,Adosada,,,,,,,,,Otra compañía,,,,,,,,
Casa en El Maset,JULIA ORDIALES,1.295 €/m²,298.000 €,230 m²,https://www.pisos.com/comprar/casa-masquefa_centro_urbano-50839175005_106000/,Anuncio actualizado el 16/01/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),230 m²,150 m²,5,3,,,Entre 30 y 50 años,,NI703-CMSMQ329,Terrazo,Aluminio,,N/A,Amueblada con electrodomésticos,N/A,,836 m²,Gasóleo,3,N/A,,,,,,1,,,,,,N/A,,,,,,,,,,,,,,
Piso en Camp del Rei,FINQUES SUBIRANA,2.000 €/m²,170.000 €,85 m²,https://www.pisos.com/comprar/piso-vilanova_del_cami_centro_urbano-47583763692_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",anoia (BCN),85 m²,75 m²,3,2,1ª,,Entre 20 y 30 años,,SA377-18673/1783,Gres,,,Gas natural,,,,,,,,,Norte,,,,,,,,,,,,,N/A,,,,,,,,N/A,,,
Piso en Carrer d'El Serralet,ATICNOU,1.650 €/m²,165.000 €,100 m²,https://www.pisos.com/comprar/piso-masquefa_centro_urbano-50075254691_518281/,Anuncio actualizado el 14/02/2025,"E, F","E, F",anoia (BCN),100 m²,85 m²,3,2,2ª,,Entre 10 y 20 años,En buen estado,4518281-CHA-WF-01-091,Parquet,,,Gas natural,N/A,,,,,N/A,,,,,,,,N/A,,,,,,,,N/A,,,,N/A,,,,N/A,,,
Piso en Igualada,FINQUES SUBIRANA,3.022 €/m²,263.000 €,87 m²,https://www.pisos.com/comprar/piso-igualada_llevant08700-40007214537_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),87 m²,77 m²,3,2,1ª,,Menos de 5 años,,SA377-18333/1783,,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,
Dúplex en Centre,FINQUES SUBIRANA,2.519 €/m²,320.000 €,127 m²,https://www.pisos.com/comprar/duplex-igualada_llevant08700-46738723041_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",anoia (BCN),127 m²,99 m²,3,2,2ª,,,,SA377-18638/1783,Parquet,,N/A,Gas natural,,,,,,N/A,,,Oeste,,,,1,N/A,,,,,1,N/A,,N/A,,,,,,,,N/A,,,
Casa en Residencial El Bruc,FINQUES SUBIRANA,1.954 €/m²,367.500 €,188 m²,https://www.pisos.com/comprar/casa-el_bruc_centro_urbano-49252542047_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",anoia (BCN),188 m²,119 m²,4,2,,,Más de 50 años,,SA377-18796/1783,Gres,,N/A,Eléctrica,,,,876 m²,,,N/A,Propia,,N/A,,,1,,,,,,1,N/A,,,,,,,,,,,,,
Casa en Les Pinedes de L´Armengol,FINQUES SUBIRANA,2.250 €/m²,225.000 €,100 m²,https://www.pisos.com/comprar/casa-la_torre_de_claramunt_centro_urbano-50069316665_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",anoia (BCN),100 m²,94 m²,3,2,,,Más de 50 años,,SA377-18808/1783,Parquet,,,Gas natural,,,,1.232 m²,,N/A,N/A,,Norte,N/A,,,1,,,,,,,N/A,,,,,,,,,,,,,
Piso en Avinguda de Barcelona,FINQUES GAUDI - IGUALADA,1.584 €/m²,160.000 €,101 m²,https://www.pisos.com/comprar/piso-pla_de_sant_magi-48338712301_501441/,Anuncio actualizado el 13/02/2025,"E, E","E, E",anoia (BCN),101 m²,91 m²,3,2,5ª,N/A,Más de 50 años,En buen estado,501441-013155,Gres,Aluminio,,Gas natural,N/A,N/A,,,,,,,Sur,,,,,,,,,,Más de 2,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,
