nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Tipo suelo,Carpintería exterior,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Puerta blindada,Superficie solar,Agua,Terraza,Jardín,Piscina,Orientación,Urbanizado,Calle alumbrada,Calle asfaltada,Garaje,Trastero,Sistema de seguridad,Tipo de casa,Gastos de comunidad,Amueblado,Armarios empotrados,Chimenea,Teléfono,Ascensor,Carpintería interior,Vidrios dobles,Gas,Lavadero,Portero automático,Soleado,Se aceptan mascotas,Balcón,Interior,Adaptado a personas con movilidad reducida,Luz
Casa en Can Claramunt,UN SOMNI X M2,1.199 €/m²,277.000 €,231 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-47571562233_103800/,Anuncio actualizado el 17/12/2024,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),231 m²,188 m²,4,2,,,Entre 10 y 20 años,,INB577-3330,Gres,,,Central,N/A,,,500 m²,,N/A,,,,,,,1,N/A,,,,,,,,,,,,,,,,,,,
Chalet unifamiliar en Carrer del Sol,FINCAS LARPE,1.423 €/m²,215.000 €,151 m²,https://www.pisos.com/comprar/chalet_unifamiliar-piera_centro_urbano-49191956105_500732/,Anuncio actualizado el 31/01/2025,"E, E","E, E",anoia (BCN),151 m²,70 m²,3,1,,,Entre 20 y 30 años,A reformar,500732-01015,Gres,Aluminio,,,N/A,N/A,N/A,381 m²,,N/A,Privado,Propia,,N/A,N/A,N/A,2,,,,,,,,,,,N/A,,,,,,,,,
Chalet en Urbanización,IMPEMA,1.245 €/m²,315.000 €,253 m²,https://www.pisos.com/comprar/chalet-piera_centro_urbano-44250273129_109300/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),253 m²,79 m²,5,2,,,,En buen estado,EP731-1355,,,,,N/A,,,,N/A,N/A,,Propia,,,,,2,N/A,,,,N/A,,,,,,,,,,,,,,,
Casa en Piera,Bufet Immobiliari,633 €/m²,190.000 €,300 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-48349159232_522254/,Anuncio actualizado el 01/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),300 m²,180 m²,5,1,,,Entre 20 y 30 años,A reformar,522254-PI21,,,,,N/A,N/A,,695 m²,,N/A,Privado,Propia,Sur,,,N/A,1,,,,,,,,,,,,,,,,,,,,
Casa en Can Parellada,URBEFINQUES ROSANES,1.725 €/m²,295.000 €,171 m²,https://www.pisos.com/comprar/casa-masquefa_centro_urbano-49266435383_100500/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),171 m²,152 m²,3,3,,,Más de 50 años,,SA376-VMASQ-1302/3191,Gres,,,N/A,,N/A,,769 m²,N/A,N/A,N/A,Propia,,N/A,,,1,,N/A,,,,1,N/A,,,,,,,,,,,,,
Piso en Avinguda de la Carretera d'Igualada,UN SOMNI X M2,1.826 €/m²,137.000 €,75 m²,https://www.pisos.com/comprar/piso-piera_centro_urbano-41686853908_103800/,Anuncio actualizado el 17/12/2024,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),75 m²,60 m²,3,1,3ª,N/A,,En buen estado,INB577-3319,Terrazo,,Frío y calor,Gas natural,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Piera,IMPEMA,1.012 €/m²,337.000 €,333 m²,https://www.pisos.com/comprar/chalet-piera_centro_urbano-42578876764_109300/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),333 m²,,4,2,,,,,EP731-1351,,,,,,,,,N/A,,,Propia,,,,,1,N/A,,,,,,N/A,,,,,,,,,,,,,
Chalet en Carrer de la Palmera,CENTURY 21 NEXUS,1.074 €/m²,290.000 €,270 m²,https://www.pisos.com/comprar/chalet-piera_centro_urbano-50015683737_107700/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),270 m²,97 m²,3,2,,,Más de 50 años,,VE117-0151-00092,,,,,,,,1.272 m²,,N/A,N/A,,,,,,,N/A,,,,N/A,N/A,,,,,,,,,,,,,,
Chalet en Piera,IMPEMA,1.451 €/m²,347.000 €,239 m²,https://www.pisos.com/comprar/chalet-piera_centro_urbano-39237767690_109300/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),239 m²,,5,2,,,,,EP731-1346,,,,,,,,,N/A,N/A,,Propia,,,,,1,,N/A,,,,,,,,,,,,,,,,,,
Casa adosada en Masquefa,IMPEMA,1.822 €/m²,410.000 €,225 m²,https://www.pisos.com/comprar/casa_adosada-masquefa_centro_urbano-45903239443_109300/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),225 m²,208 m²,4,3,,,,En buen estado,EP731-1362,,,,,,,,,N/A,N/A,,,,,,,,N/A,,Adosada,,,,,,,,,,,,,,,,,
Casa en Can Ros,habitat Catalunya,1.174 €/m²,249.000 €,212 m²,https://www.pisos.com/comprar/casa-cabrera_anoia_centro_urbano-49186015918_100500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",anoia (BCN),212 m²,125 m²,4,3,,,Entre 10 y 20 años,,SA828-01111/3799,Gres,,,N/A,,N/A,N/A,720 m²,N/A,N/A,N/A,,,N/A,,,1,N/A,,,,,,,,,,,,,,,,,,,
Casa en Can Perellada,F & F Inmobilaria,2.716 €/m²,345.000 €,127 m²,https://www.pisos.com/comprar/casa-masquefa_centro_urbano-49179862365_100500/,Anuncio actualizado el 28/01/2025,"E, E","E, E",anoia (BCN),127 m²,110 m²,3,3,,,Entre 10 y 20 años,,SA371-5710/2536,Gres,,,N/A,,,,406 m²,N/A,N/A,N/A,,,N/A,,,1,,,,,,,,,,,,,,,,,,,,
Casa en Piera,D & HABITAT,763 €/m²,265.000 €,347 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-23360947575_510396/,Anuncio actualizado el 06/02/2025,"E, E","E, E",anoia (BCN),347 m²,311 m²,4,5,,,,En buen estado,510396-010121,Terrazo,,,Gas natural,N/A,24m²...,.,,,N/A,,,Noreste,,...,,2,,,,,,,N/A,,,,,,N/A,,,,,,,
Chalet en Urbanización,IMPEMA,2.072 €/m²,259.000 €,125 m²,https://www.pisos.com/comprar/chalet-piera_centro_urbano-28401223662_109300/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),125 m²,,3,1,,,,,EP731-1270,,,,,,,,,N/A,,,,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,,
Chalet en Piera,IMPEMA,1.543 €/m²,250.000 €,162 m²,https://www.pisos.com/comprar/chalet-piera_centro_urbano-29243258810_109300/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),162 m²,,5,3,,,,,EP731-1278,,,,,,,,,N/A,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Casa en Piera,IMPEMA,1.103 €/m²,128.000 €,116 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-45851519012_109300/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),116 m²,,4,1,,,,,EP731-1364,,,,,,,,,N/A,N/A,,Propia,,,,,,N/A,N/A,,,,,N/A,,,,,,,,,,,,,
Piso en Barri Sant Pere,finques igualada,1.684 €/m²,155.000 €,92 m²,https://www.pisos.com/comprar/piso-odena_centro_urbano-45893460053_100500/,Anuncio actualizado el 14/02/2025,"E, E","E, E",anoia (BCN),92 m²,81 m²,3,2,1ª,,Entre 20 y 30 años,,SA1184-JF200724R/2067,Gres,,N/A,Gas natural,,,N/A,,N/A,N/A,,,Noreste,,,,1,N/A,,,,,,,,N/A,,,,,,,,,,,
Chalet en Piera,IMPEMA,1.513 €/m²,283.000 €,187 m²,https://www.pisos.com/comprar/chalet-piera_centro_urbano-22596457964_109300/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),187 m²,,3,1,,,,En buen estado,EP731-1209,,,,Gasoil,N/A,,,,N/A,N/A,,Propia,Este,,,,2,,,,,,,,,,,,,,,,,,,,
Finca rústica en L´Anoia,RUSTIC CORNER,1 €/m²,790.000 €,1.220 m²,https://www.pisos.com/comprar/finca_rustica-santa_maria_de_miralles_centro_urbano-47563954687_148700/,Anuncio actualizado el 05/12/2024,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),1.220 m²,1.220 m²,8,3,,,,En buen estado,1487-003047,,Madera,,,N/A,N/A,,507.100 m²,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,,
Casa en Carrer de la Lluna,UN SOMNI X M2,1.847 €/m²,314.000 €,170 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-45072231552_103800/,Anuncio actualizado el 17/12/2024,"E, E","E, E",anoia (BCN),170 m²,,6,,,,,Reformado,INB577-3326,Gres,,,Central,N/A,,,419 m²,,,,Propia,,,,,Más de 2,N/A,,,,,,,,,,,,,,,,,,,
Casa en Capellades,FINQUES VALLBONA,433 €/m²,49.900 €,115 m²,https://www.pisos.com/comprar/casa-capellades_centro_urbano-37539118045_100500/,Anuncio actualizado el 04/02/2025,"G, F","G, F",anoia (BCN),115 m²,51 m²,3,2,,,Más de 50 años,,SA3868-CAP0294/9379,,,,,,,,,,,,,,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,
Casa en Can Claramunt,D & HABITAT,1.794 €/m²,305.000 €,170 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-24171135937_510396/,Anuncio actualizado el 14/12/2024,"E, E","E, E",anoia (BCN),170 m²,160 m²,5,2,,,Entre 30 y 50 años,En buen estado,510396-0010129,Tarima maciza,Aluminio,,,N/A,N/A,N/A,640 m²,,,Privado,,Sur,,,,1,,,,,,,N/A,,,Carezo,,N/A,N/A,,,N/A,,,,
Piso en Carrer del Doctor Rotllant,CENTURY 21 ZAFIRO,2.130 €/m²,179.000 €,84 m²,https://www.pisos.com/comprar/piso-masquefa_centro_urbano-49261866836_107700/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),84 m²,75 m²,3,2,,,Entre 10 y 20 años,,VE127-0156-00033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Centre,finques igualada,1.505 €/m²,128.000 €,85 m²,https://www.pisos.com/comprar/piso-igualada_llevant08700-45875959564_100500/,Anuncio actualizado el 22/01/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),85 m²,74 m²,3,2,2ª,,Más de 50 años,,SA1184-JF150724/2067,Terrazo,,N/A,Eléctrica,,,,,N/A,N/A,,,Sur,,,,,N/A,,,Entre 40 y 60 €,,,,,,,,,,,,,,,,
Chalet unifamiliar en Piera,Gestiones Inmobiliarias,1.299 €/m²,295.000 €,227 m²,https://www.pisos.com/comprar/chalet_unifamiliar-piera_centro_urbano-48340139010_528473/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),227 m²,204 m²,4,2,,,Entre 20 y 30 años,Reformado,4528473-000046,Gres,Aluminio,Frío y calor,Gasoil,,,N/A,532 m²,,N/A,Privado,,Oeste,N/A,N/A,N/A,1,,,,,,,,,,Roble,N/A,,,,,,,,,
Casa pareada en El Xaro,FINQUES GAUDI - IGUALADA,415 €/m²,165.000 €,397 m²,https://www.pisos.com/comprar/casa_pareada-la_pobla_de_claramunt_centro_urbano-38369504893_501441/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),397 m²,329 m²,5,4,,,,A estrenar,501441-013131,,,,,N/A,N/A,,553 m²,,N/A,Privado,,Sur,N/A,N/A,N/A,Más de 2,,,Pareada,,,,,,,,,,N/A,,,,,,,
Dúplex en Centre,URBEFINQUES ROSANES,2.333 €/m²,210.000 €,90 m²,https://www.pisos.com/comprar/duplex-piera_centro_urbano-47504178725_100500/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),90 m²,90 m²,3,2,4ª,,Entre 10 y 20 años,,SA376-VPIERA-1296/3191,Parquet,,N/A,Gas natural,,,,,N/A,N/A,,,,,,,1,,,,Entre 80 y 100 €,,,,,N/A,,,,,,,,N/A,,,
Casa en Can Parellada,FINQUES MEZCUA,2.049 €/m²,250.000 €,122 m²,https://www.pisos.com/comprar/casa-masquefa_centro_urbano-51722652371_100500/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),122 m²,121 m²,4,2,,,Más de 50 años,,SA2917-0000712-13/8208,Gres,,N/A,Gas natural,,N/A,,,N/A,N/A,N/A,,Noreste,N/A,,,,N/A,,,,N/A,,N/A,N/A,,,,,,,,,,,,
"Casa en calle Brusel.Les, nº 2",UN SOMNI X M2,2.500 €/m²,270.000 €,108 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-48405190822_103800/,Anuncio actualizado el 17/12/2024,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),108 m²,85 m²,3,2,,,,A estrenar,INB577-KUBIC,,,,N/A,N/A,,,500 m²,,,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
"Dúplex en Carrer d'El Bruc de Baix, 1",PROYECTOS BRUC,2.722 €/m²,245.000 €,90 m²,https://www.pisos.com/comprar/duplex-el_bruc_centro_urbano-4548981842_109700/,Anuncio actualizado el 08/01/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),90 m²,,3,2,2ª,,,A estrenar,1097-21499242,,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,N/A,,,
Casa en Carrer de Sant Francesc,FINQUES VALLBONA,1.074 €/m²,115.000 €,107 m²,https://www.pisos.com/comprar/casa-capellades_centro_urbano-50093524397_100500/,Anuncio actualizado el 27/01/2025,"E, E","E, E",anoia (BCN),107 m²,96 m²,2,2,,,Más de 50 años,,SA3868-CAP0334/9379,Gres,,,N/A,,,,,,N/A,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Casa en La Pobla de Claramunt,FINQUES GAUDI - IGUALADA,934 €/m²,430.000 €,460 m²,https://www.pisos.com/comprar/casa-la_pobla_de_claramunt_centro_urbano-49218707132_501441/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),460 m²,260 m²,4,3,,,Entre 20 y 30 años,En buen estado,501441-013157,,,,Gasoil,N/A,N/A,,500 m²,,,Privado,,Sur,,,,Más de 2,,,,,,,,,,,,,,,,,,,,
Chalet en Piera,IMPEMA,1.670 €/m²,259.000 €,155 m²,https://www.pisos.com/comprar/chalet-piera_centro_urbano-47534501315_109300/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),155 m²,128 m²,4,2,,,,En buen estado,EP731-1371,,,,,,,,,Electrica,N/A,,Propia,,,,,1,N/A,,,,,,,,,,,,,,,,,,,
Casa en Can Folsalba,habitat Catalunya,1.634 €/m²,425.000 €,260 m²,https://www.pisos.com/comprar/casa-els_hostalets_de_pierola-50919912506_100500/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),260 m²,,5,3,,,Entre 10 y 20 años,,SA828-01118/3799,Gres,,N/A,N/A,,N/A,N/A,9.198 m²,,,N/A,,Norte,N/A,,,1,N/A,,,,,,N/A,,,,,,,,,,,,,
Casa en Les Comes,FINQUES GAUDI - IGUALADA,1.342 €/m²,490.000 €,365 m²,https://www.pisos.com/comprar/casa-les_comes-40046259103_501441/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),365 m²,365 m²,4,3,,,,En buen estado,501441-013141,,,,,,,,365 m²,,,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Bobila,UN SOMNI X M2,1.932 €/m²,717.000 €,371 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-39241516103_103800/,Anuncio actualizado el 17/12/2024,"D, D","D, D",anoia (BCN),371 m²,,4,3,,,,,INB577-3303,,,Frío y calor,Central,N/A,,,,,N/A,,Propia,,,,,1,N/A,,,,,,,,,,,,,,,,,,,
Chalet en Anoia,Thibaut Montalat,378 €/m²,50.000 €,132 m²,https://www.pisos.com/comprar/chalet-la_torre_de_claramunt_centro_urbano-49230512613_108700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),132 m²,132 m²,,,,,Más de 50 años,,UVC876-29782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Poble Sec,finques igualada,1.778 €/m²,185.000 €,104 m²,https://www.pisos.com/comprar/piso-igualada_llevant08700-46742670125_100500/,Anuncio actualizado el 24/01/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),104 m²,91 m²,3,2,1ª,,Entre 20 y 30 años,,SA1184-P15724/2067,Gres,,,Gas natural,,,,,N/A,N/A,,,Norte,,,,1,N/A,,,Entre 80 y 100 €,,1,,,N/A,,,,,,,,N/A,,,
Piso en Centre,finques igualada,1.273 €/m²,193.500 €,152 m²,https://www.pisos.com/comprar/piso-igualada_centre-44234250060_100500/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),152 m²,136 m²,4,2,1ª,,Entre 20 y 30 años,,SA1184-L21524/2067,Gres,,,Gas natural,,,N/A,,N/A,,,,Noroeste,,,,,,,,Más de 100 €,,,,,N/A,,,,,,,,N/A,,,
Casa unifamiliar en Centre Poble,FINQUES GAUDI - IGUALADA,715 €/m²,360.000 €,503 m²,https://www.pisos.com/comprar/casa_unifamiliar-capellades_centro_urbano-35853679180_501441/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),503 m²,503 m²,9,4,,,Entre 30 y 50 años,En buen estado,501441-013124,Gres,Madera,,Gasoil,N/A,N/A,,535 m²,,N/A,Privado,Propia,Sureste,N/A,N/A,N/A,Más de 2,,,Unifamiliar,,,N/A,N/A,,,,,,N/A,,,N/A,,,,
Casa adosada en Vallbona D´Noia,FINQUES VALLBONA,456 €/m²,110.000 €,241 m²,https://www.pisos.com/comprar/casa_adosada-vallbona_anoia_centro_urbano-49218748992_100500/,Anuncio actualizado el 31/01/2025,"E, E","E, E",anoia (BCN),241 m²,200 m²,6,1,,,Más de 50 años,,SA3868-VDA0020/9379,Terrazo,,,Eléctrica,,,,,,N/A,,,,,,,,N/A,,Adosada,,,,,,,,,,,,,,,,,
Finca rústica en El Bruc,FINQUES EL POBLE,131 €/m²,125.000 €,51 m²,https://www.pisos.com/comprar/finca_rustica-el_bruc_centro_urbano-35058716272_100500/,Anuncio actualizado el 14/02/2025,"G, G","G, G",anoia (BCN),51 m²,41 m²,1,1,,,,En buen estado,SA4698-7263,,,,,,,,950 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finca rústica en Anoia,LALLARONLINE,10 €/m²,490.000 €,850 m²,https://www.pisos.com/comprar/finca_rustica-el_bruc_centro_urbano-43342548457_100500/,Anuncio actualizado el 02/12/2024,"E, E","E, E",anoia (BCN),850 m²,350 m²,4,2,,,,,SA8-MX222/5643,,,,N/A,,,,45.000 m²,N/A,,,,Sur,,,,1,,,,,,,N/A,,,,,,,,,,,,,
Chalet en Anoia,Sandra NOY,1.156 €/m²,590.000 €,510 m²,https://www.pisos.com/comprar/chalet-la_torre_de_claramunt_centro_urbano-51710580217_108700/,Anuncio actualizado el 04/02/2025,"E, E","E, E",anoia (BCN),510 m²,510 m²,,,,,Entre 30 y 50 años,,UVC217-31723,,,,,,,,1.795 m²,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Finca rústica en Carretera de Odena,FINQUES EL POBLE,2 €/m²,1.300.000 €,270 m²,https://www.pisos.com/comprar/finca_rustica-odena_centro_urbano-45086599733_100500/,Anuncio actualizado el 14/02/2025,"G, G","G, G",anoia (BCN),270 m²,,2,1,,,,En buen estado,SA4698-7405,,,,,,,,630.000 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Zona Estació,finques igualada,2.044 €/m²,159.500 €,78 m²,https://www.pisos.com/comprar/piso-igualada_llevant08700-38432008721_100500/,Anuncio actualizado el 22/01/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),78 m²,67 m²,3,2,1ª,,Más de 50 años,,SA1184-JF261023/2067,,,N/A,Eléctrica,,,,,,,,,Este,,,,,,,,Entre 40 y 60 €,,,,,N/A,,,,,,,,,,,
Piso en Cerca de Igualada,finques igualada,1.436 €/m²,125.000 €,87 m²,https://www.pisos.com/comprar/piso-santa_margarida_de_montbui_centro_urbano-50033814440_100500/,Anuncio actualizado el 17/12/2024,"E, E","E, E",anoia (BCN),87 m²,75 m²,4,1,3ª,,Entre 30 y 50 años,,SA1184-D161224/2067,Gres,,N/A,Gas natural,,,,,N/A,N/A,,,Norte,,,,,,,,,,,,,,,,,,,,,N/A,,,
Dúplex en Barri de Les Flors,finques igualada,1.965 €/m²,228.000 €,116 m²,https://www.pisos.com/comprar/duplex-igualada_llevant08700-47581681166_100500/,Anuncio actualizado el 30/01/2025,"E, E","E, E",anoia (BCN),116 m²,110 m²,3,2,3ª,,Entre 20 y 30 años,,SA1184-L200125/2067,,,N/A,Gas natural,,N/A,N/A,,N/A,N/A,,,Norte,,,,1,N/A,,,Entre 40 y 60 €,,1,,N/A,N/A,,,,,,,,N/A,,,
Casa en Centre,BEST HOUSE MARTORELL,1.487 €/m²,357.000 €,240 m²,https://www.pisos.com/comprar/casa-masquefa_centro_urbano-44243764379_100500/,Anuncio actualizado el 20/02/2025,"F, E","F, E",anoia (BCN),240 m²,199 m²,4,2,,,Entre 20 y 30 años,,SA449-739594/3134,Gres,,N/A,Gas natural,,,N/A,,,N/A,,,Sur,,,,1,N/A,N/A,,Entre 20 y 40 €,,1,,,,,,,,,,,,,,
Piso en Poble Sec,FINQUES VALLBONA,1.760 €/m²,169.000 €,96 m²,https://www.pisos.com/comprar/piso-pla_de_sant_magi-47556008091_100500/,Anuncio actualizado el 24/09/2024,"E, E","E, E",anoia (BCN),96 m²,88 m²,3,2,2ª,,Más de 50 años,,SA3868-IGU0010/9379,Gres,,,Gas natural,,,,,N/A,,,,,,,,,,,,,,,,,N/A,,,,,,,,N/A,,,
Chalet en Urb. Can Parellada - Masquefa,FINQUES EL POBLE,1.796 €/m²,282.000 €,157 m²,https://www.pisos.com/comprar/chalet-masquefa_centro_urbano-35086500575_100500/,Anuncio actualizado el 14/02/2025,"E, E","E, E",anoia (BCN),157 m²,147 m²,3,2,,,,En buen estado,SA4698-7264,,,,,,,,581 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Poble Sec,finques igualada,1.975 €/m²,160.000 €,81 m²,https://www.pisos.com/comprar/piso-pla_de_sant_magi-49194633854_100500/,Anuncio actualizado el 17/01/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),81 m²,75 m²,4,2,4ª,,Más de 50 años,,SA1184-JF61124R/2067,Terrazo,,,Gas natural,,,N/A,,,,,,Sureste,,,,,,,,Entre 40 y 60 €,,1,,N/A,N/A,,,,,,,,N/A,,,
Chalet en Montserrat Park,MACROFINCAS S.L,1.015 €/m²,258.000 €,254 m²,https://www.pisos.com/comprar/chalet-el_bruc_centro_urbano-47599669841_100500/,Anuncio actualizado el 08/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),254 m²,190 m²,5,4,,,Entre 20 y 30 años,,SA565-MCM5995SA/1454,Gres,,,N/A,,,,593 m²,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Casa en Capellades,FINQUES VALLBONA,251 €/m²,55.000 €,219 m²,https://www.pisos.com/comprar/casa-capellades_centro_urbano-39173016866_100500/,Anuncio actualizado el 28/08/2024,"E, E","E, E",anoia (BCN),219 m²,165 m²,5,3,,,,,SA3868-CAP0283/9379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Torre Baixa,finques igualada,1.969 €/m²,325.000 €,165 m²,https://www.pisos.com/comprar/casa_adosada-la_torre_de_claramunt_centro_urbano-50047973619_100500/,Anuncio actualizado el 24/01/2025,"D, C","D, C",anoia (BCN),165 m²,140 m²,3,3,,,Entre 10 y 20 años,,SA1184-L231224/2067,,,N/A,Eléctrica,,N/A,N/A,173 m²,N/A,N/A,N/A,Propia,Sur,N/A,,,1,,,Adosada,,,1,N/A,N/A,,,,,,,,,,,,
Piso en Sant Pere,finques igualada,1.812 €/m²,145.000 €,80 m²,https://www.pisos.com/comprar/piso-odena_centro_urbano-47532295545_100500/,Anuncio actualizado el 11/10/2024,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),80 m²,72 m²,3,3,2ª,,Entre 20 y 30 años,,SA1184-JF05924R/2067,Gres,,N/A,Gas natural,,,N/A,,N/A,,,,Sur,,,,1,,,,Entre 40 y 60 €,,,,,N/A,,,,,,,,N/A,,,
Piso en Carrer de la Línia,PERITAX,1.875 €/m²,135.000 €,72 m²,https://www.pisos.com/comprar/piso-odena_centro_urbano-50905244307_100500/,Anuncio actualizado el 14/02/2025,"E, E","E, E",anoia (BCN),72 m²,65 m²,2,2,1ª,,Entre 10 y 20 años,,SA730-V10702/2691,Gres,,N/A,N/A,,,,,N/A,N/A,,,Sur,,,,1,,N/A,,Entre 40 y 60 €,N/A,,,,N/A,,,,,,,,N/A,,,
Dúplex en Igualada,finques igualada,2.268 €/m²,249.500 €,110 m²,https://www.pisos.com/comprar/duplex-igualada_llevant08700-50085319599_100500/,Anuncio actualizado el 17/02/2025,"E, E","E, E",anoia (BCN),110 m²,92 m²,3,2,3ª,,Entre 10 y 20 años,,SA1184-L241224/2067,Gres,,,Gas natural,,,N/A,,N/A,N/A,,,Noroeste,,,,1,N/A,,,Entre 80 y 100 €,,1,,,N/A,,,,,,,,,,,
Casa en Piera,Mercat Capital real estate,1.602 €/m²,375.000 €,234 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-28380988427_101300/,Anuncio actualizado el 22/04/2024,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),234 m²,200 m²,5,3,,,Entre 10 y 20 años,En buen estado,API148-UPIEDE 50,,,,N/A,,,,,,,,,4 vientos,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en La Torre de Claramunt,FINQUES VALLBONA,1.083 €/m²,310.000 €,286 m²,https://www.pisos.com/comprar/chalet-la_torre_de_claramunt_centro_urbano-51745347385_100500/,Anuncio actualizado el 18/02/2025,"G, F","G, F",anoia (BCN),286 m²,276 m²,4,3,,,Entre 30 y 50 años,,SA3868-LTC0070/9379,,,,Gas natural,,,,914 m²,,,N/A,,,,,,,N/A,,,,,1,N/A,,,,,,,,,,,,,
"Piso en Carrer d'El Bruc de Baix, 1",PROYECTOS BRUC,2.840 €/m²,125.000 €,44 m²,https://www.pisos.com/comprar/piso-el_bruc_centro_urbano-4519095416_109700/,Anuncio actualizado el 23/12/2024,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),44 m²,,1,1,2ª,,,A estrenar,1097-21499240,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,N/A,,,
