nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Interior,Antigüedad,Conservación,Referencia,Tipo suelo,Carpintería exterior,Cocina equipada,Orientación,Se aceptan mascotas,Exterior,Aire acondicionado,Calefacción,Ascensor,Balcón,Terraza,Garaje,Gastos de comunidad,Puerta blindada,Trastero,Piscina,Armarios empotrados,Carpintería interior,Vidrios dobles,Gas,Teléfono,Comedor,Lavadero,Portero automático,Sistema de seguridad,Soleado,Agua,Superficie solar,Tipo de casa,Jardín,Adaptado a personas con movilidad reducida,Amueblado
Piso en La Torrassa,"ESTUDIO INMOBILIARIO LA TORRASSA, S.L.",4.000 €/m²,240.000 €,60 m²,https://www.pisos.com/comprar/piso-la_torrassa08903-51752003820_100200/,Anuncio actualizado el 11/02/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),60 m²,,2,1,5ª,,Más de 50 años,En buen estado,TC740-609527,,,,,,,N/A,N/A,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,N/A
Piso en Carrer de les Aigües del Llobregat,GUIMAR CONSULTING,1.554 €/m²,85.500 €,55 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_la_florida08905-37557793821_100500/,Anuncio actualizado el 02/02/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),55 m²,53 m²,3,1,Semisótano,,Más de 50 años,,SA4468-GC01111/10008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Santa Eulàlia,LA CASA AGENCY PUNT POBLE SEC REAL ESTATE,3.316 €/m²,325.000 €,98 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_santa_eulalia08902-51746526745_101800/,Anuncio actualizado el 19/02/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),98 m²,,2,3,,,Entre 10 y 20 años,,IF77106-LCB33828-2,,,,,,,,,N/A,,N/A,1,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Ferré,FINCADOR,2.333 €/m²,125.990 €,54 m²,https://www.pisos.com/comprar/piso-collblanc08904-40871049078_101800/,Anuncio actualizado el 20/02/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),54 m²,,2,1,Bajo,,,,IF76237-48675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Collserola,FABRA CONSULTORS,2.086 €/m²,121.000 €,58 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_la_florida08905-49191133913_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),58 m²,60 m²,3,1,2ª,,Más de 50 años,,SA4270-2024-0079/9908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de Lleida,URBAN GRUP central,2.643 €/m²,1.200.000 €,454 m²,https://www.pisos.com/comprar/casa-hospitalet_de_llobregat_centre08901-47554052727_101800/,Anuncio actualizado el 18/12/2024,"D, D","D, D",hospitalet_de_llobregat (BCN),454 m²,,6,5,,,,,IF77140-UGB1436,,,,,,,,Central,,,N/A,1,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Santa Eulàlia,CORNEX CAPITAL,4.821 €/m²,458.000 €,95 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_santa_eulalia08902-33351639127_108900/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),95 m²,87 m²,2,2,4ª,,,En buen estado,XA597-V-STA.EUL-4,,,,,,N/A,N/A,N/A,N/A,,N/A,,,,N/A,N/A,,,,,,,,,,,,,,N/A,,
Piso en Sta. Eulalia,TOLL WOHNEN,3.767 €/m²,422.000 €,112 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_santa_eulalia08902-44236544948_108900/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),112 m²,96 m²,2,2,,,Menos de 5 años,,XA861-TWB245,,,,,,,,,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Apartamento en Collblanc,Engel & Völkers MMC Barcelona,4.625 €/m²,444.015 €,96 m²,https://www.pisos.com/comprar/apartamento-collblanc08904-42541664617_101800/,Anuncio actualizado el 11/12/2024,"A, A","A, A",hospitalet_de_llobregat (BCN),96 m²,,3,2,2ª,,Menos de 5 años,,IF76306-I-00Y3AK-W-02VA1J,,,N/A,,,,,,N/A,,N/A,1,,,,Propia,,,,,,,,,,,,,,,,
Piso en Avinguda de la Mare de Déu de Bellvitge,PISOS MARINA CENTER - CASTELLDEFELS,2.500 €/m²,195.000 €,78 m²,https://www.pisos.com/comprar/piso-bellvitge08907-51727798222_511025/,Anuncio actualizado el 14/02/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),78 m²,71 m²,3,1,5ª,,Entre 30 y 50 años,En buen estado,511025-000828,Parquet,Aluminio,N/A,Al mar,,N/A,Frío y calor,,N/A,,,,,,,,,,,,,N/A,,,,N/A,,,,,,
Piso en Carrer del Llorer,Llarcelona,2.376 €/m²,259.000 €,109 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_les_planes08905-50855789640_100500/,Anuncio actualizado el 14/01/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),109 m²,105 m²,3,1,1ª,,Más de 50 años,,SA2024-Llar1507/4463,,,,,,,,,N/A,,,,Entre 40 y 60 €,,,,,,,,,,,,,,N/A,,,,,
Piso en Sta. Eulalia,TOLL WOHNEN,5.293 €/m²,487.000 €,92 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_santa_eulalia08902-44217230018_108900/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),92 m²,,2,2,,,Menos de 5 años,,XA861-TWB246,,,,,,,,,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Ático en Carrer d'Àngel Guimerà,NUEVACASA,3.200 €/m²,112.000 €,35 m²,https://www.pisos.com/comprar/atico-hospitalet_de_llobregat_santa_eulalia08902-50899201231_993019/,Anuncio actualizado el 22/01/2025,"F, G","F, G",hospitalet_de_llobregat (BCN),35 m²,30 m²,1,1,4ª,,Más de 50 años,En buen estado,4993019-NC2054,Parquet,Aluminio,N/A,Suroeste,N/A,Terraza,,,,,Comunitaria con acceso directo,,Entre 20 y 40 €,,,,1,N/A,N/A,,N/A,N/A,N/A,,,N/A,,,,,,
Piso en Bellvitge,GUIMAR CONSULTING,1.657 €/m²,121.000 €,73 m²,https://www.pisos.com/comprar/piso-bellvitge08907-47573421741_100500/,Anuncio actualizado el 18/10/2024,"E, E","E, E",hospitalet_de_llobregat (BCN),73 m²,71 m²,3,1,Semisótano,,Más de 50 años,,SA4468-GC01681/10008,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda de Vilanova,PISOS MARINA CENTER - CASTELLDEFELS,2.505 €/m²,218.000 €,87 m²,https://www.pisos.com/comprar/piso-el_gornal08902-49202758221_511025/,Anuncio actualizado el 10/01/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),87 m²,76 m²,3,1,2ª,,Entre 30 y 50 años,En buen estado,511025-000803,Gres,,N/A,Suroeste,,N/A,Frío y calor,,N/A,,,,,,,,,N/A,N/A,,,N/A,,,,N/A,,,,,,
Piso en Carrer de Rafael Campalans,CASA TEVA SERVEIS IMMOBILIARIS,2.492 €/m²,157.000 €,63 m²,https://www.pisos.com/comprar/piso-collblanc08903-48356658588_526201/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),63 m²,62 m²,3,1,2ª,A patio manzana,Más de 50 años,En buen estado,4526201-0411,Gres,Aluminio,Independiente,Sureste,,,,,N/A,,,,Entre 20 y 40 €,,,,,Sapelli,N/A,,,N/A,N/A,Vedeocamara,,N/A,,,,,,
Apartamento en Collblanc,Engel & Völkers MMC Barcelona,4.506 €/m²,432.630 €,96 m²,https://www.pisos.com/comprar/apartamento-collblanc08904-42592397298_101800/,Anuncio actualizado el 11/12/2024,"A, A","A, A",hospitalet_de_llobregat (BCN),96 m²,,3,2,1ª,,Menos de 5 años,,IF76306-I-00Y3AN-W-02VA1D,,,N/A,,,,,,N/A,,N/A,1,,,,Propia,,,,,,,,,,,,,,,,
Piso en Avinguda de la Mare de Déu de Bellvitge,PISOS MARINA CENTER - CASTELLDEFELS,1.554 €/m²,115.000 €,74 m²,https://www.pisos.com/comprar/piso-bellvitge-48378865387_511025/,Anuncio actualizado el 10/01/2025,"F, F","F, F",hospitalet_de_llobregat (BCN),74 m²,71 m²,3,1,Bajo,,Entre 30 y 50 años,A reformar,511025-000796,,Aluminio,,,,N/A,,Gas natural,N/A,,,,,N/A,,,,,,,,N/A,,,,,,,,,,N/A
