nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Carpintería interior,Tipo suelo,Carpintería exterior,Chimenea,Cocina equipada,Comedor,Lavadero,Trastero,Portero automático,Puerta blindada,Terraza,Orientación,Vidrios dobles,Aire acondicionado,Calefacción,Urbanizado,Calle alumbrada,Calle asfaltada,Superficie solar,Armarios empotrados,Garaje,Jardín,Agua,Luz,Gas,Ascensor,Balcón,Soleado,Se aceptan mascotas,Interior,Gastos de comunidad,Adaptado a personas con movilidad reducida,Piscina,Teléfono,Tipo de casa,Amueblado,Sistema de seguridad,Alcantarillado
Piso en Sant Pere,SOLESPAI Inmobiliaria,2.299 €/m²,246.000 €,107 m²,https://www.pisos.com/comprar/piso-sant_pere_zona_esportiva_sant_pere08225-48390135248_100500/,Anuncio actualizado el 07/02/2025,"F, E","F, E",valles_occidental_nord (BCN),107 m²,90 m²,4,2,Bajo,,Más de 50 años,,SA2017-01754/7445,,Parquet,,,,,,,,N/A,,Este,,N/A,Gas natural,,,,,,,,,,,N/A,N/A,,,,Entre 20 y 40 €,,,,,,,
Dúplex en Torresana,DC TERRASSA IMMOBLES,2.207 €/m²,245.000 €,111 m²,https://www.pisos.com/comprar/duplex-torre_sana-51710629057_103800/,Anuncio actualizado el 14/02/2025,"G, G","G, G",valles_occidental_nord (BCN),111 m²,97 m²,3,1,2ª,N/A,,,INB722-206-001091GU,,Gres,,,,,,,,,,Sur,,Frío y calor,Eléctrica,,,,,,1,,,,,N/A,,,,,,,,,,,,
Casa en Carrer de Caldes,FINQUES DURAN-ARGEMI,1.623 €/m²,394.500 €,243 m²,https://www.pisos.com/comprar/casa-sentmenat_centro_urbano-49208388992_142700/,Anuncio actualizado el 18/02/2025,"D, D","D, D",valles_occidental_nord (BCN),243 m²,165 m²,3,3,,,Entre 20 y 30 años,En buen estado,1427-99076,,N/A,Aluminio,N/A,,,,,,,,,N/A,,,,,,,,1,,,,,,,,,,,,,,,,,
Dúplex en Carrer de Soler i Diffent,AtipicFinques,2.032 €/m²,243.900 €,120 m²,https://www.pisos.com/comprar/duplex-la_cogullada08224-48392244875_101800/,Anuncio actualizado el 18/02/2025,"D, D","D, D",valles_occidental_nord (BCN),120 m²,,2,2,2ª,,Entre 20 y 30 años,,IF76888-MM - 001,,,,,N/A,N/A,,N/A,,,N/A,,,,Central,,,,,,1,,,,N/A,N/A,,,,,Entre 60 y 80 €,,,,,N/A,,
Chalet en Carrer de Puigventos,FINQUES DURAN-ARGEMI,1.673 €/m²,359.900 €,215 m²,https://www.pisos.com/comprar/chalet-castellar_del_valles_centro_urbano-51740428768_142700/,Anuncio actualizado el 18/02/2025,"G, F","G, F",valles_occidental_nord (BCN),215 m²,190 m²,5,3,,,Entre 30 y 50 años,En buen estado,1427-99128,,N/A,Madera,,,,,,,,,,,,Gas natural,,,,892 m²,,1,,,,,,,,,,,,,,,,,
Piso en Ca n'Aurell,Engel & Völkers MMC Barcelona,3.280 €/m²,292.000 €,89 m²,https://www.pisos.com/comprar/piso-ca_naurell08224-5189843460_109700/,Anuncio actualizado el 17/02/2025,"A, A","A, A",valles_occidental_nord (BCN),89 m²,,2,2,,,,A estrenar,IF76306-D-000M32,,,,,,,,,,,N/A,,,Frío y calor,,,,,,,N/A,,,,,,,,,,,N/A,,,,,,
Piso en calle M D de L´ Esperança,TORESFA,1.593 €/m²,181.700 €,114 m²,https://www.pisos.com/comprar/piso-ca_nanglada-40094312162_992878/,Anuncio actualizado el 08/01/2025,"E, E","E, E",valles_occidental_nord (BCN),114 m²,87 m²,2,2,Bajo,,Entre 10 y 20 años,En buen estado,992878-GOR0000177926,,Gres,Aluminio,,,,N/A,,,,,,,,Eléctrica,,,,,2,,,,,,N/A,,,,,,,,,,,,
Casa en - Airesol  -,SOLESPAI Inmobiliaria,1.156 €/m²,340.000 €,294 m²,https://www.pisos.com/comprar/casa-castellar_del_valles_centro_urbano-42541561748_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),294 m²,280 m²,4,3,,,Entre 20 y 30 años,,SA2017-01706/7445,,Gres,,N/A,,N/A,,N/A,,,N/A,Noroeste,,N/A,,N/A,,,491 m²,1,1,N/A,,,,,,,,,,,Propia,,,,,
Casa en Carrer dels Manyans,IMMOBILIÀRIA TISA,7.420 €/m²,445.200 €,60 m²,https://www.pisos.com/comprar/casa-vacarisses_centro_urbano-45839966172_180300/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),60 m²,60 m²,2,1,,,Entre 30 y 50 años,A reformar,1803-012356,Madera,Gres,Madera,N/A,N/A,N/A,N/A,,,N/A,,A la montaña,,Frío y calor,,N/A,N/A,N/A,3.351 m²,,,Privado,,,,,,,,,,,Propia,,,,,
Casa adosada en El Padró,VALLES INMOBILIARIA,827 €/m²,220.000 €,266 m²,https://www.pisos.com/comprar/casa_adosada-sentmenat_centro_urbano-45055962080_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),266 m²,240 m²,3,1,,,Más de 50 años,,SA4822-AS2414-/10724,,,,,,,,,,,N/A,,,,,,,,154 m²,1,,,,,,,,,,,,,,,Adosada,,,
Chalet en Sant Llorenç Savall,VALLES INMOBILIARIA,2.083 €/m²,425.000 €,204 m²,https://www.pisos.com/comprar/chalet-sant_llorenc_savall_centro_urbano-49178606824_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),204 m²,180 m²,4,2,,,Entre 30 y 50 años,,SA4822-R987-/10724,,,,N/A,,,,N/A,,,N/A,,,,N/A,,,,983 m²,1,1,N/A,,,,,,,,,,,,,,,,
Piso en Avinguda de Madrid,UBICA´T GESTIÓ IMMOBILIARIA,2.602 €/m²,229.000 €,88 m²,https://www.pisos.com/comprar/piso-torre_sana-51705804519_522005/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),88 m²,80 m²,3,2,4ª,N/A,Entre 20 y 30 años,En buen estado,522005-TE-01,N/A,Parquet,Aluminio,,N/A,N/A,N/A,,N/A,N/A,,Oeste,N/A,,Gas natural,,,,,1,1,,,,N/A,N/A,N/A,N/A,N/A,,Entre 40 y 60 €,,,N/A,,,,
Piso en Carrer de Jacint Elias,EGARPIS,1.552 €/m²,132.000 €,85 m²,https://www.pisos.com/comprar/piso-ca_nanglada08222-47531830047_122900/,Anuncio actualizado el 13/12/2024,"E, E","E, E",valles_occidental_nord (BCN),85 m²,80 m²,3,1,2ª,N/A,Más de 50 años,En buen estado,1229-09217,Madera blanca,Terrazo,Aluminio,,6 m. Abierta a comedor 18,20 m.   (16 + 7 de hab.),En cocina-comedor en a/e.,,N/A,,,Sureste,,,,,,,,,,,,,N/A,N/A,,N/A,,,,N/A,,,,,,
Piso en Carrer del Pla de l'Ametllera,SIMURBA,1.781 €/m²,285.000 €,160 m²,https://www.pisos.com/comprar/piso-sant_pere_zona_esportiva_sant_pere08225-50876355648_990014/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),160 m²,157 m²,4,2,1ª,N/A,Más de 50 años,En buen estado,4990014-5240,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,,,,,,,,,
Piso en Carretera de Martorell,HOUSE-CHAIN,1.875 €/m²,195.000 €,104 m²,https://www.pisos.com/comprar/piso-ca_naurell08224-46686488719_100500/,Anuncio actualizado el 07/02/2025,"G, G","G, G",valles_occidental_nord (BCN),104 m²,,3,1,1ª,,Más de 50 años,,SA4221-HC10170/9864,,,,,,N/A,,,,,,Oeste,,,Gas natural,,,,,,,,,,,N/A,N/A,,,,Entre 40 y 60 €,,,,,N/A,,
Piso en Carrer de Magallanes,PROYECTOS BRUC,2.139 €/m²,169.000 €,79 m²,https://www.pisos.com/comprar/piso-can_boada_torrent_en_pere_parres08225-50847275265_324700/,Anuncio actualizado el 22/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),79 m²,79 m²,3,1,Bajo,,,En buen estado,3247-056103,,Gres,,,N/A,N/A,N/A,,,N/A,,,,,Gas natural,,,,,,,,,,,N/A,N/A,,,,,,,,,,,
"Piso en Carrer de Severo Ochoa, 4",JOSE TORRES,2.500 €/m²,285.000 €,114 m²,https://www.pisos.com/comprar/piso-ca_naurell08224-50086902334_108700/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),114 m²,114 m²,4,2,,,,,UVC741-30314,,,,,,,,,,,N/A,,,N/A,N/A,,,,,,,N/A,,,,N/A,N/A,,,,,,,,,,,
Ático en Carrer de Balmes,ESLALLAR,2.123 €/m²,223.000 €,105 m²,https://www.pisos.com/comprar/atico-can_boada_torrent_en_pere_parres08225-51742030043_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),105 m²,85 m²,4,2,4ª,,Entre 30 y 50 años,,SA5398-EF-1099/11608,,Terrazo,,,,,,N/A,,,,,,,,,,,,,1,,N/A,,,N/A,,,,,Entre 60 y 80 €,,,,,,,
"Piso en Carrer de Sant Gaietà, 122",Tu Casa Ideal,2.943 €/m²,259.000 €,88 m²,https://www.pisos.com/comprar/piso-terrassa_centre08221-51715252421_100500/,Anuncio actualizado el 17/02/2025,"E, E","E, E",valles_occidental_nord (BCN),88 m²,73 m²,2,2,4ª,N/A,Entre 20 y 30 años,En buen estado,SA2784-107267318,,,,,,,,,,,N/A,,,N/A,Central,,,,,1,,N/A,,,,N/A,N/A,,,,,,N/A,,,,,
Casa en Els Fruiters,AMIDA IMMOBLES,3.866 €/m²,580.000 €,150 m²,https://www.pisos.com/comprar/casa-castellar_del_valles_centro_urbano-45902811313_519487/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),150 m²,150 m²,4,2,,,Menos de 5 años,A estrenar,519487-000623_P,N/A,Parquet,Aluminio,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,Frío y calor,N/A,N/A,N/A,N/A,705 m²,Más de 2,Más de 2,Privado,,,,,,,,,,N/A,Propia,N/A,,,N/A,
Chalet en Carrer de Puigventos,IMMOBLES PRESTIGI S.L,1.673 €/m²,359.900 €,215 m²,https://www.pisos.com/comprar/chalet-castellar_del_valles_centro_urbano-51669152057_100500/,Anuncio actualizado el 17/02/2025,"G, F","G, F",valles_occidental_nord (BCN),215 m²,,5,3,,,Entre 30 y 50 años,En buen estado,SA2318-A-5507,,,,,Cocina americana,,,,,,N/A,,,,Gas natural,,,,892 m²,1,1,Privado,,,,,,,,,,,,,,,,
Dúplex en Carrer del Doctor Cistaré,Comprarcasa Grupo HG Terrassa,2.450 €/m²,249.900 €,102 m²,https://www.pisos.com/comprar/duplex-poble_nou_zona_olimpica08225-50867022596_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),102 m²,100 m²,3,2,1ª,,Entre 10 y 20 años,,SA5066-15958/11172,,Parquet,,,,,,,,,,Oeste,,N/A,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,
"Casa adosada en Carretera de Rubí,  s/n",HABITAT INMOBILIARIA,3.056 €/m²,434.000 €,142 m²,https://www.pisos.com/comprar/casa_adosada-segle_xx08223-4771999641_109700/,Anuncio actualizado el 19/02/2025,"A, A","A, A",valles_occidental_nord (BCN),142 m²,,3,3,,,,A estrenar,4990150-CSAL,,,,,,,,,,,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,Adosada,,,
Casa en Ca N´Anglada,AMIDA IMMOBLES,1.468 €/m²,395.000 €,269 m²,https://www.pisos.com/comprar/casa-ca_nanglada-40895474994_519487/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),269 m²,242 m²,3,2,,,Entre 10 y 20 años,Reformado,519487-002007,,Parquet,Aluminio,,14 m²,26 m²,4 m²,,,N/A,30 m²,Sureste,N/A,Frío y calor,Gas natural,N/A,N/A,N/A,,,2,,,,,,,,,,,,,,,,Alarma,
"Dúplex en Ronda de Tolosa,  s/n",RESIDENCIAL INBISA Castellar,1.942 €/m²,306.900 €,158 m²,https://www.pisos.com/comprar/duplex-castellar_del_valles_centro_urbano-4855938284_109700/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),158 m²,,2,2,,,,A estrenar,4528976-21478424,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
"Piso en Carrer de Marconi, 126",AEDAS HOMES,2.468 €/m²,232.000 €,94 m²,https://www.pisos.com/comprar/piso-ca_naurell08224-4902723655_109700/,Anuncio actualizado el 23/01/2025,"A, A","A, A",valles_occidental_nord (BCN),94 m²,,2,1,Bajo,,,A estrenar,-a0P1v000011pLPjEAM,,,,,N/A,,,,,,N/A,,,,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,
"Piso en Carrer de Marconi, 126",AEDAS HOMES,3.084 €/m²,256.000 €,83 m²,https://www.pisos.com/comprar/piso-ca_naurell08224-4897691442_109700/,Anuncio actualizado el 23/01/2025,"A, A","A, A",valles_occidental_nord (BCN),83 m²,,2,1,Bajo,,,A estrenar,-a0P1v000011pLPjEAM,,,,,N/A,,,,,,N/A,,,,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,
"Piso en Carrer de Marconi, 126",AEDAS HOMES,2.485 €/m²,261.000 €,105 m²,https://www.pisos.com/comprar/piso-ca_naurell08224-4947621332_109700/,Anuncio actualizado el 23/01/2025,"A, A","A, A",valles_occidental_nord (BCN),105 m²,,3,2,1ª,,,A estrenar,-a0P1v000011pLPjEAM,,,,,N/A,,,,,,N/A,,,,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,
"Piso en Avinguda del Parlament, 2",AEDAS HOMES,2.462 €/m²,293.000 €,119 m²,https://www.pisos.com/comprar/piso-can_roca08225-5264356529_109700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),119 m²,,3,2,2ª,,,A estrenar,-a0P1v000011ytBXEAY,,,,,N/A,,,,,N/A,N/A,,,Frío,Gas natural,,,,,,,,,,,N/A,,,,,,,,,,,,
"Piso en Avinguda del Parlament, 2",AEDAS HOMES,2.630 €/m²,292.000 €,111 m²,https://www.pisos.com/comprar/piso-can_roca08225-5172255087_109700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),111 m²,,3,2,8ª,,,A estrenar,-a0P1v000011ytBXEAY,,,,,N/A,,,,,N/A,N/A,,,Frío,Gas natural,,,,,,,,,,,N/A,,,,,,,,,,,,
"Dúplex en Carrer de Marconi, 126",AEDAS HOMES,2.616 €/m²,416.000 €,159 m²,https://www.pisos.com/comprar/duplex-ca_naurell08224-5147223888_109700/,Anuncio actualizado el 23/01/2025,"A, A","A, A",valles_occidental_nord (BCN),159 m²,,4,3,3ª,,,A estrenar,-a0P1v000011pLPjEAM,,,,,N/A,,,,,,N/A,,,,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,
"Dúplex en Carrer de Marconi, 126",AEDAS HOMES,2.580 €/m²,387.000 €,150 m²,https://www.pisos.com/comprar/duplex-ca_naurell08224-4885208939_109700/,Anuncio actualizado el 23/01/2025,"A, A","A, A",valles_occidental_nord (BCN),150 m²,,4,2,3ª,,,A estrenar,-a0P1v000011pLPjEAM,,,,,N/A,,,,,,N/A,,,,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,
"Piso en Avinguda del Parlament, 2",AEDAS HOMES,2.400 €/m²,288.000 €,120 m²,https://www.pisos.com/comprar/piso-can_roca08225-5255195034_109700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),120 m²,,3,2,1ª,,,A estrenar,-a0P1v000011ytBXEAY,,,,,N/A,,,,,N/A,N/A,,,Frío,Gas natural,,,,,,,,,,,N/A,,,,,,,,,,,,
"Piso en Avinguda del Parlament, 2",AEDAS HOMES,2.783 €/m²,270.000 €,97 m²,https://www.pisos.com/comprar/piso-can_roca08225-5041148484_109700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),97 m²,,2,2,9ª,,,A estrenar,-a0P1v000011ytBXEAY,,,,,N/A,,,,,N/A,N/A,,,Frío,Gas natural,,,,,,,,,,,N/A,,,,,,,,,,,,
"Piso en Avinguda del Parlament, 2",AEDAS HOMES,2.700 €/m²,297.000 €,110 m²,https://www.pisos.com/comprar/piso-can_roca08225-5209113383_109700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),110 m²,,3,2,8ª,,,A estrenar,-a0P1v000011ytBXEAY,,,,,N/A,,,,,N/A,N/A,,,Frío,Gas natural,,,,,,,,,,,N/A,,,,,,,,,,,,
"Piso en Ronda de Tolosa,  s/n",RESIDENCIAL INBISA Castellar,2.536 €/m²,251.160 €,99 m²,https://www.pisos.com/comprar/piso-castellar_del_valles_centro_urbano-5044045957_109700/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),99 m²,,3,2,,,,A estrenar,4528976-0,,,,,,,N/A,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
"Casa adosada en Carretera de Rubí,  s/n",HABITAT INMOBILIARIA,3.312 €/m²,414.000 €,125 m²,https://www.pisos.com/comprar/casa_adosada-segle_xx08223-4753838905_109700/,Anuncio actualizado el 19/02/2025,"A, A","A, A",valles_occidental_nord (BCN),125 m²,,3,3,,,,A estrenar,4990150-CSAL,,,,,,,,,,,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,Adosada,,,
Piso en Castellar del Vallès,GESTILLAR,Error al procesar precio m²,225.000 €,3,https://www.pisos.com/comprar/piso-castellar_del_valles_centro_urbano-44264394631_108500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),,,3,1,,N/A,,,AG560-10936,,,,,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de la Mola,DOMUS GESTIO IMMOBILIARIA,1.619 €/m²,115.000 €,71 m²,https://www.pisos.com/comprar/piso-la_gripia_sant_llorenc_sant_llorenc08227-51686866012_100500/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),71 m²,60 m²,3,1,2ª,N/A,Más de 50 años,En buen estado,SA4499-1296,,,,,Cocina amueblada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet unifamiliar en Cavall Bernat,ESPAI VIU,1.465 €/m²,560.000 €,382 m²,https://www.pisos.com/comprar/chalet_unifamiliar-matadepera_centro_urbano-92587267139_515612/,Anuncio actualizado el 16/02/2025,"F, F","F, F",valles_occidental_nord (BCN),382 m²,350 m²,5,4,,,Entre 30 y 50 años,A reformar,515612-XM-480,,Parquet,Madera,N/A,N/A,N/A,N/A,,,,N/A,Sur,,,,N/A,N/A,N/A,1.694 m²,Más de 2,Más de 2,Privado,,,N/A,,,,,,,,,N/A,,,,
Dúplex en Castellar del Vallès,GESTILLAR,2.166 €/m²,260.000 €,120 m²,https://www.pisos.com/comprar/duplex-castellar_del_valles_centro_urbano-50047527456_108500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),120 m²,98 m²,3,1,,N/A,,,AG560-10968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Castellar del Vallès,GESTILLAR,2.764 €/m²,235.000 €,85 m²,https://www.pisos.com/comprar/piso-castellar_del_valles_centro_urbano-45888411541_108500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),85 m²,,2,1,,,Más de 50 años,,AG560-10942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Salamanca,"ONE EXPERTOS GESTION INMOBILIARIA, S.L.",2.272 €/m²,200.000 €,88 m²,https://www.pisos.com/comprar/piso-torre_sana-50867096488_139800/,Anuncio actualizado el 17/02/2025,"E, E","E, E",valles_occidental_nord (BCN),88 m²,75 m²,3,2,2ª,N/A,Más de 50 años,Reformado,1398-6958A,,Gres,Aluminio,Salón,Exterior,,,,N/A,N/A,2 de 30 metros,Sur,N/A,Frío y calor,Gas natural,,,,,1,,,,,,,,N/A,,Baños,Entre 20 y 40 €,,,,,,,
Piso en Carrer del Montcau,MI CASA DEL VALLÉS,1.857 €/m²,130.000 €,70 m²,https://www.pisos.com/comprar/piso-la_gripia_sant_llorenc_sant_llorenc08227-50870692655_100500/,Anuncio actualizado el 04/02/2025,"A, A","A, A",valles_occidental_nord (BCN),70 m²,,3,1,1ª,N/A,,En buen estado,SA5726-107054183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Castellar del Vallès,GESTILLAR,1.461 €/m²,399.000 €,273 m²,https://www.pisos.com/comprar/chalet-castellar_del_valles_centro_urbano-41697603017_108500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),273 m²,,4,2,,,,,AG560-10769,,,,,,,,N/A,,,,,,,,,,,,,,N/A,,,,,,,,,,,Otro,,,,,
Dúplex en Vallés Occidental,Jordi GONZALEZ PONS,2.569 €/m²,185.000 €,72 m²,https://www.pisos.com/comprar/duplex-can_boada_torrent_en_pere_parres08225-43428792648_108700/,Anuncio actualizado el 04/02/2025,"C, C","C, C",valles_occidental_nord (BCN),72 m²,72 m²,2,2,,,Entre 10 y 20 años,,UVC472-24256,,,,,,,,,,,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Chalet en - Can Font -,ESPAI PROPI,2.025 €/m²,395.000 €,195 m²,https://www.pisos.com/comprar/chalet-castellar_del_valles_centro_urbano-50902354446_100500/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),195 m²,165 m²,4,3,,,Entre 30 y 50 años,,SA3518-V_CAST_SABADELL/8685,,,,N/A,,N/A,,N/A,,N/A,N/A,Este,,,N/A,N/A,,,633 m²,1,1,N/A,N/A,,,,,,,,,,N/A,,,,,
Chalet en Carrer de la Font Soleia,ESPAI VIU,1.643 €/m²,600.000 €,365 m²,https://www.pisos.com/comprar/chalet-matadepera_centro_urbano-46729114780_515612/,Anuncio actualizado el 16/02/2025,"F, E","F, E",valles_occidental_nord (BCN),365 m²,325 m²,3,3,,,Entre 30 y 50 años,Reformado,515612-CM- 60,,Gres,Aluminio,N/A,,,,,,N/A,N/A,Sur,,,Gas natural,N/A,N/A,N/A,964 m²,Más de 2,Más de 2,Privado,,,N/A,,,,,,,,,,,,,
Casa adosada en Castellar del Vallès,GESTILLAR,1.888 €/m²,409.900 €,217 m²,https://www.pisos.com/comprar/casa_adosada-castellar_del_valles_centro_urbano-45054036907_108500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),217 m²,197 m²,4,2,,,,,AG560-10941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adosada,,,
Piso en Castellar del Vallès,GESTILLAR,Error al procesar precio m²,235.000 €,3,https://www.pisos.com/comprar/piso-castellar_del_valles_centro_urbano-42553798380_108500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),,,3,1,,N/A,,,AG560-10932,,Gres,,,Individual,,,,,,No acristalada,,,N/A,Gas natural,,,,,,,,,,,,,,,,,,,,,,,
"Casa en Camí de les Martines, 128",Moran &Sender,610 €/m²,550.000 €,901 m²,https://www.pisos.com/comprar/casa-les_martines_can_palet_de_vista_alegre08224-47524395920_519629/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),901 m²,192 m²,5,3,,,Entre 30 y 50 años,En buen estado,4519629-VT1391,,,,,,,,,,,N/A,,,Frío y calor,Gas natural,,,,,,,Privado,,,,,,,,,,,,,,,,
Piso en Carrer de Cervantes,SEDA IMMOBLES,2.886 €/m²,280.000 €,97 m²,https://www.pisos.com/comprar/piso-terrassa_centre08221-51728801886_520011/,Anuncio actualizado el 13/02/2025,"F, E","F, E",valles_occidental_nord (BCN),97 m²,78 m²,3,2,Bajo,N/A,Entre 20 y 30 años,En buen estado,4520011-API0147,,,,,N/A,N/A,,,,,,,,,Gas natural,,,,,,1,,,,,N/A,N/A,N/A,,,,,,,,,,
Piso en Carrer Transversal,SEDA IMMOBLES,3.696 €/m²,366.000 €,99 m²,https://www.pisos.com/comprar/piso-sant_pere_zona_esportiva_sant_pere08225-51724971432_520011/,Anuncio actualizado el 13/02/2025,"A, A","A, A",valles_occidental_nord (BCN),99 m²,86 m²,3,2,3ª,N/A,Menos de 5 años,A estrenar,4520011-API0151,,Gres y parquet,Madera,,N/A,N/A,,,,,N/A,,N/A,,Gas natural,,,,,,,,,,,N/A,,N/A,,,,,,,,,,
Piso en Carrer de la Mare de Déu del Socors,DOMUS GESTIO IMMOBILIARIA,2.344 €/m²,136.000 €,58 m²,https://www.pisos.com/comprar/piso-ca_nanglada08222-51700433003_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_nord (BCN),58 m²,39 m²,1,1,4ª,,Entre 20 y 30 años,En buen estado,SA4499-1803,,,,,Cocina equipada,,,,,,,,,,,,,,,,1,,,,,N/A,,,,,,,,,,,,
Casa pareada en Carrer de Josep Albages,IMMOSAVALL,1.265 €/m²,310.000 €,245 m²,https://www.pisos.com/comprar/casa_pareada-sant_llorenc_savall_centro_urbano-41755693877_520006/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_nord (BCN),245 m²,165 m²,5,4,,,Entre 20 y 30 años,En buen estado,4520006-000286,,Gres,Aluminio,N/A,,,,,,N/A,N/A,Noroeste,N/A,,Gasoil,N/A,N/A,N/A,268 m²,1,1,Privado,,,,,,,N/A,,,N/A,,N/A,Pareada,,,
Piso en Carrer de Prat de la Riba,DOMUS GESTIO IMMOBILIARIA,1.741 €/m²,148.000 €,85 m²,https://www.pisos.com/comprar/piso-sant_pere_zona_esportiva_sant_pere08226-45897503959_100500/,Anuncio actualizado el 04/09/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),85 m²,75 m²,3,2,5ª,,Más de 50 años,En buen estado,SA4499-AP1325,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Chalet en Ca N Avellaneda - Can Font,PRIVILEGED LIFE,1.720 €/m²,425.000 €,247 m²,https://www.pisos.com/comprar/chalet-castellar_del_valles_centro_urbano-47589813946_100500/,Anuncio actualizado el 09/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),247 m²,,4,3,,,,,SA5016-SO-13/10945,,Gres,,,,,,,,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,Propia,,,,,
