nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Carpintería interior,Tipo suelo,Carpintería exterior,Chimenea,Cocina equipada,Comedor,Lavadero,Trastero,Portero automático,Puerta blindada,Terraza,Orientación,Vidrios dobles,Aire acondicionado,Calefacción,Urbanizado,Calle alumbrada,Calle asfaltada,Superficie solar,Armarios empotrados,Garaje,Jardín,Agua,Luz,Gas,Ascensor,Balcón,Soleado,Se aceptan mascotas,Interior,Gastos de comunidad,Adaptado a personas con movilidad reducida,Piscina,Teléfono,Tipo de casa,Amueblado,Sistema de seguridad,Alcantarillado
Piso en Carrer de Bartrina,DOMUS GESTIO IMMOBILIARIA,2.499 €/m²,219.960 €,88 m²,https://www.pisos.com/comprar/piso-sant_pere_zona_esportiva_sant_pere08226-49192175465_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),88 m²,79 m²,3,1,4ª,N/A,Más de 50 años,En buen estado,SA4499-DV714,,,,,Cocina amueblada,,N/A,,,,,Sur,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
"Dúplex en Ronda de Tolosa,  s/n",RESIDENCIAL INBISA Castellar,1.726 €/m²,253.800 €,147 m²,https://www.pisos.com/comprar/duplex-castellar_del_valles_centro_urbano-4867301760_109700/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),147 m²,,2,2,,,,A estrenar,4528976-21478423,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Piso en Carrer del Llevant,BONSOL GESTIÓ IMMOBILIÀRIA,2.954 €/m²,195.000 €,66 m²,https://www.pisos.com/comprar/piso-viladecavalls_centro_urbano-43411057747_101800/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),66 m²,,2,1,2ª,,Entre 10 y 20 años,,IF77124-Llevant 16 2/2,,,,,N/A,,,,,,,,,,Central,,,,,1,1,,,,,N/A,,,,,,,,,,,,
Piso en Ègara,ESPAI VIU,2.727 €/m²,270.000 €,99 m²,https://www.pisos.com/comprar/piso-egara-49227994962_515612/,Anuncio actualizado el 30/01/2025,"C, C","C, C",valles_occidental_nord (BCN),99 m²,88 m²,3,2,1ª,N/A,Entre 20 y 30 años,En buen estado,515612-PT- 270,,Tarima flotante,Aluminio,,,,,N/A,N/A,N/A,N/A,Sur,N/A,,Gas natural,,,,,,1,Privado,,,N/A,N/A,,N/A,,,Entre 40 y 60 €,,,N/A,,,,
"Casa en Carrer de l'Escultor Clarà, 1",Moran &Sender,1.596 €/m²,198.000 €,124 m²,https://www.pisos.com/comprar/casa-la_maurina08224-49216633990_519629/,Anuncio actualizado el 05/02/2025,"E, E","E, E",valles_occidental_nord (BCN),124 m²,96 m²,2,2,,,Más de 50 años,Reformado,4519629-VT1661,Madera lacada blanca,Porcelanato,Aluminio,,N/A,,N/A,,,,33m,"Norte, este",,1split,Gas natural,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de Gavà,SEDA IMMOBLES,1.650 €/m²,359.900 €,218 m²,https://www.pisos.com/comprar/casa-vacarisses_centro_urbano-51679319232_520011/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),218 m²,157 m²,4,2,,,Entre 30 y 50 años,En buen estado,4520011-5516,N/A,Gres y terrazo,Aluminio,,N/A,N/A,,,,,N/A,4 vientos,N/A,2 splits,Gasoil,,,,,1,1,Privado,,,,,,,N/A,,,,Propia,,,,,
Piso en Torre-Sana,TS PISOS,1.858 €/m²,145.000 €,78 m²,https://www.pisos.com/comprar/piso-torre_sana-51690414611_998897/,Anuncio actualizado el 20/02/2025,"F, F","F, F",valles_occidental_nord (BCN),78 m²,72 m²,3,1,1ª,N/A,,En buen estado,998897-TA32,,Gres,Aluminio,,N/A,N/A,N/A,,,N/A,,,,,Gas natural,,,,,,,,,,,,N/A,,N/A,,,,,,,,,
"Dúplex en Ronda de Tolosa,  s/n",RESIDENCIAL INBISA Castellar,1.726 €/m²,253.800 €,147 m²,https://www.pisos.com/comprar/duplex-castellar_del_valles_centro_urbano-4867301760_109700/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),147 m²,,2,2,,,,A estrenar,4528976-21478423,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Piso en Carrer del Racó,SINGULAR PROPERTIES,4.179 €/m²,535.000 €,128 m²,https://www.pisos.com/comprar/piso-terrassa_centre08221-50900208985_100500/,Anuncio actualizado el 19/02/2025,"D, D","D, D",valles_occidental_nord (BCN),128 m²,113 m²,4,2,1ª,,Entre 20 y 30 años,,SA2030-SP433JO/2237,,Parquet,,,,,,N/A,,,N/A,,,N/A,,,,,,,1,,,,,N/A,,,,,,,,,,,,
Casa adosada en Carrer de Mossèn Tatcher,TS PISOS,830 €/m²,250.000 €,301 m²,https://www.pisos.com/comprar/casa_adosada-sant_pere_nord08226-50917993307_998897/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),301 m²,276 m²,6,2,,,Más de 50 años,En buen estado,998897-S114,,Gres,Aluminio,,N/A,N/A,N/A,,,,N/A,Este,,,Gas natural,,,,,,Más de 2,,,,N/A,,,,,,,,,,Adosada,,,
