nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Antigüedad,Referencia,Calefacción,Garaje,Superficie solar,Tipo de casa,Conservación,Carpintería exterior,Vidrios dobles,Tipo suelo,Teléfono,Cocina equipada,Puerta blindada,Terraza,Orientación,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Carpintería interior,Comedor,Jardín,Lavadero,Chimenea,Piscina,Armarios empotrados,Adaptado a personas con movilidad reducida,Amueblado,Agua,Luz,Planta,Ascensor,Trastero,Exterior,Portero automático,Soleado,Aire acondicionado,Gas,Gastos de comunidad,Sistema de seguridad,Balcón,Alcantarillado
Casa en Moià,Engel & Völkers MMC Barcelona,1.957 €/m²,595.000 €,304 m²,https://www.pisos.com/comprar/casa-moia_centro_urbano-50861707332_101800/,Anuncio actualizado el 24/01/2025,"E, E","E, E",moianes (BCN),304 m²,,5,4,Entre 20 y 30 años,IF76306-I-00YZ6C-W-02YH66,Central,1,801 m²,,,,,,,,,N/A,,,,,,,,Privado,,,Propia,,,,,,,,,,,,,,,,,
Casa en Casc Antic,Nou Niu,1.641 €/m²,775.000 €,472 m²,https://www.pisos.com/comprar/casa-moia_centro_urbano-46702942646_511608/,Anuncio actualizado el 12/02/2025,"D, D","D, D",moianes (BCN),472 m²,216 m²,5,3,Más de 50 años,511608-CA-01193,Gasoil,Más de 2,303 m²,,En buen estado,Madera,,Gres,,,,N/A,Suroeste,,N/A,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,
Casa en Centre,MACROFINCAS S.L,513 €/m²,260.000 €,506 m²,https://www.pisos.com/comprar/casa-monistrol_de_calders_centro_urbano-20875820107_100500/,Anuncio actualizado el 23/11/2024,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),506 m²,459 m²,4,1,Más de 50 años,SA565-MCB4922EF/1454,N/A,1,245 m²,,,,,Terrazo,,,,N/A,Este,,,,,,,N/A,,N/A,,,,,N/A,,,,N/A,,,,,,,,,
Casa en Collsuspina,Engel & Völkers MMC Barcelona,2.347 €/m²,399.000 €,170 m²,https://www.pisos.com/comprar/casa-collsuspina_centro_urbano-46707648326_101800/,Anuncio actualizado el 27/11/2024,"E, F","E, F",moianes (BCN),170 m²,,4,2,Entre 10 y 20 años,IF76306-I-00YKPG-W-02W8HC,Central,1,350 m²,,,,,,,,,,,,,,,,,Privado,,,,,,,,,,,,,,,,,,,,
Casa en Carretera Manresa-Vic,FINQUES PASSEIG,386 €/m²,99.000 €,256 m²,https://www.pisos.com/comprar/casa-calders_centro_urbano-44236794115_100500/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),256 m²,240 m²,4,1,Más de 50 años,SA1076-0629/5339,,1,134 m²,,,,,,,,,,Sur,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,
Chalet en calle Carrer del Passant de Caldes,Asif Grup,1.325 €/m²,269.000 €,203 m²,https://www.pisos.com/comprar/chalet-sant_quirze_safaja_centro_urbano08189-48425921743_101800/,Anuncio actualizado el 03/02/2025,"C, C","C, C",moianes (BCN),203 m²,,4,3,Entre 20 y 30 años,IF76363-VSANQUIRSAF-0208,Central,1,1.000 m²,,,,,,,N/A,N/A,N/A,,,,,,,,Privado,N/A,,,1,,,,,,,N/A,,,,,,,,,
"Casa en Urbanización Masia Sola Sector F, 15",PISOS DEL BAGES,483 €/m²,119.900 €,248 m²,https://www.pisos.com/comprar/casa-monistrol_de_calders_centro_urbano-5865110929_101300/,Anuncio actualizado el 18/09/2024,"E, E","E, E",moianes (BCN),248 m²,230 m²,4,1,Más de 50 años,API122-CAS307,,,,,,,,,,,,,4 vientos,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Avenida Pere Tarres, nº 6",Aliseda Inmobiliaria,895 €/m²,60.000 €,67 m²,https://www.pisos.com/comprar/piso-monistrol_de_calders_centro_urbano-34195066719_104500/,Anuncio actualizado el 31/12/2024,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),67 m²,,2,2,,ASR1-SRB0000312564,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,N/A,,,,,N/A,,,,,
Casa en Carrer La Granera,SAM GRUPO M,434 €/m²,226.000 €,520 m²,https://www.pisos.com/comprar/casa-monistrol_de_calders_centro_urbano-43388738699_100500/,Anuncio actualizado el 26/07/2024,"E, G","E, G",moianes (BCN),520 m²,320 m²,6,2,,SA4980-EXC_HB-04/10877,,1,,,,,,Gres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Centre,MACROFINCAS S.L,385 €/m²,195.000 €,506 m²,https://www.pisos.com/comprar/casa-monistrol_de_calders_centro_urbano-21720595542_100500/,Anuncio actualizado el 18/10/2024,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),506 m²,459 m²,4,1,Más de 50 años,SA565-MCB5024EF/1454,N/A,1,245 m²,,,,,Terrazo,,,,N/A,Este,,,,,,,N/A,,N/A,,,,,N/A,,,,N/A,,,,,,,,,
Casa en Santa Maria D´Oló,L@MFINQUES,829 €/m²,199.000 €,240 m²,https://www.pisos.com/comprar/casa-santa_maria_olo_centro_urbano-39175910184_501283/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),240 m²,200 m²,4,3,Más de 50 años,501283-010043,Eléctrica,,,,En buen estado,Madera,,Terrazo,,N/A,,,Sur,N/A,N/A,N/A,,N/A,N/A,Privado,N/A,N/A,,,,,,,,,,,,,,,,,,
Casa en Monistrol de Calders,URBE GRUP,1.123 €/m²,168.500 €,150 m²,https://www.pisos.com/comprar/casa-monistrol_de_calders_centro_urbano-45096317867_455500/,Anuncio actualizado el 19/02/2025,"G, G","G, G",moianes (BCN),150 m²,145 m²,6,2,Más de 50 años,4555-SN033669,Gas natural,,,,Reformado,Aluminio,,Terrazo,,dos cocinas reformadas,N/A,Dos terrazas,Sur,N/A,N/A,N/A,,Sapely,Dos salones,Privado,N/A,En el salón,,,N/A,,,,,,,,,,Frío y calor,Calefacción,,,,
Piso en Carretera Sabadell,PISOS DEL BAGES,1.191 €/m²,81.000 €,68 m²,https://www.pisos.com/comprar/piso-monistrol_de_calders_centro_urbano-50908459444_101300/,Anuncio actualizado el 25/01/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),68 m²,65 m²,3,1,Entre 20 y 30 años,API122-PIS409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de Santa Elena,Finques la Llar,2.127 €/m²,385.000 €,181 m²,https://www.pisos.com/comprar/casa-moia_centro_urbano-7504798412_135200/,Anuncio actualizado el 14/02/2025,"D, D","D, D",moianes (BCN),181 m²,181 m²,4,2,,1352-006253,Gasoil,N/A,2.551 m²,,En buen estado,Madera,,Parquet,N/A,N/A,,N/A,A la montaña,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,Más de 2,,,,,,,,,,,,,40€/any,,,
Casa en Monistrol de Calders,finques GALI,1.123 €/m²,168.500 €,150 m²,https://www.pisos.com/comprar/casa-monistrol_de_calders_centro_urbano-41673436879_106700/,Anuncio actualizado el 20/11/2024,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),150 m²,,6,2,,IFC128-CAS_1940,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,
Casa en Calders,L@MFINQUES,1.434 €/m²,396.000 €,276 m²,https://www.pisos.com/comprar/casa-calders_centro_urbano-40044291990_501283/,Anuncio actualizado el 18/02/2025,"A, B","A, B",moianes (BCN),276 m²,248 m²,4,3,Menos de 5 años,501283-010067,Eléctrica,,912 m²,,A estrenar,PVC,N/A,,,N/A,N/A,N/A,Sur,N/A,N/A,N/A,,N/A,N/A,Privado,,,,,,,,,,,,,,,,,,N/A,,
Casa en Collsuspina,FINQUES KM ZERO,678 €/m²,230.000 €,339 m²,https://www.pisos.com/comprar/casa-collsuspina_centro_urbano-38422833126_101300/,Anuncio actualizado el 19/12/2024,"G, G","G, G",moianes (BCN),339 m²,300 m²,3,3,Entre 30 y 50 años,API266-20082,N/A,,,,,,,,,,,,Sur,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Chalet en Moià,estudivic,912 €/m²,220.000 €,241 m²,https://www.pisos.com/comprar/chalet-moia_centro_urbano-42510937908_994602/,Anuncio actualizado el 20/02/2025,"F, E","F, E",moianes (BCN),241 m²,153 m²,4,2,Entre 30 y 50 años,4994602-159Smontvímoia,,Más de 2,804 m²,,A reformar,Madera,,Terrazo,,N/A,N/A,N/A,A la montaña,N/A,N/A,N/A,N/A,,N/A,Privado,,N/A,Propia,Más de 2,,,,,,,,,,,,,,N/A,,
Chalet en Carrer del Call Fondo,Finques la Llar,1.884 €/m²,742.500 €,394 m²,https://www.pisos.com/comprar/chalet-castelltercol_centro_urbano-24168468443_135200/,Anuncio actualizado el 14/02/2025,"C, C","C, C",moianes (BCN),394 m²,330 m²,5,3,Entre 5 y 10 años,1352-006590,Gasoil,1,725 m²,,En buen estado,Aluminio,N/A,Gres,,Office 20m²,N/A,N/A,,N/A,N/A,N/A,,Lacada en blanco,52.5m²,Privado,8.3m²,N/A,,,,,,,,,,,,,,,,,,
Casa en Centre,CONSULTIN Consultors Integrals,585 €/m²,158.000 €,270 m²,https://www.pisos.com/comprar/casa-monistrol_de_calders_centro_urbano-19262700224_100500/,Anuncio actualizado el 10/02/2025,"E, E","E, E",moianes (BCN),270 m²,238 m²,5,2,Más de 50 años,SA816-CM02149/3377,Gasoil,1,200 m²,,,,,Gres,,,,N/A,,,,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,,
Casa en Carrer de Sant Antoni,FINQUES PASSEIG,829 €/m²,199.000 €,240 m²,https://www.pisos.com/comprar/casa-santa_maria_olo_centro_urbano-39233427108_100500/,Anuncio actualizado el 17/02/2025,"G, G","G, G",moianes (BCN),240 m²,200 m²,4,3,Más de 50 años,SA1076-10043/5339,,,,,,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,
Casa en Avinguda de Lluís Companys,MONAPART,1.855 €/m²,360.000 €,194 m²,https://www.pisos.com/comprar/casa-moia_centro_urbano-43398451811_101800/,Anuncio actualizado el 07/12/2024,"E, E","E, E",moianes (BCN),194 m²,,3,2,Entre 20 y 30 años,IF76872-MS0116-3497,Central,1,,,,,,,,,,N/A,,,,,,,,Privado,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de Coll Baix,FINQUES PASSEIG,1.434 €/m²,396.000 €,276 m²,https://www.pisos.com/comprar/casa-calders_centro_urbano-39251552122_100500/,Anuncio actualizado el 17/02/2025,"A, B","A, B",moianes (BCN),276 m²,248 m²,4,3,,SA1076-VMB1920/5339,N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carretera de Vic,SERVEIS IMMOBILIARIS MIREIA BRUN,608 €/m²,325.000 €,534 m²,https://www.pisos.com/comprar/casa-moia_centro_urbano-7540723357_101300/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),534 m²,533 m²,9,4,Más de 50 años,API94-100345,N/A,,,,En buen estado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Castellcir,Engel & Völkers MMC Barcelona,1.693 €/m²,310.000 €,183 m²,https://www.pisos.com/comprar/casa-castellcir_centro_urbano-40914493474_101800/,Anuncio actualizado el 04/11/2024,"G, E","G, E",moianes (BCN),183 m²,,4,3,Entre 10 y 20 años,IF76306-I-00XWPV-W-02UFS9,Central,,1.930 m²,,,,,,,,,N/A,A la montaña,,,,,,,Privado,,,,,,,,,,,,,,,,,,,,
Casa en Sant Quirze Safaja,Engel & Völkers MMC Barcelona,1.404 €/m²,795.000 €,566 m²,https://www.pisos.com/comprar/casa-sant_quirze_safaja_centro_urbano08189-48352353115_101800/,Anuncio actualizado el 07/11/2024,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),566 m²,,4,3,Entre 10 y 20 años,IF76306-I-00YO93-W-02X4QH,Central,1,2.186 m²,,,,,,,,,N/A,,,,,,,,Privado,N/A,,,,,,,,,,N/A,,,,,,,,,
Casa en Castellterçol,Engel & Völkers MMC Barcelona,2.824 €/m²,675.000 €,239 m²,https://www.pisos.com/comprar/casa-castelltercol_centro_urbano-45021429842_101800/,Anuncio actualizado el 05/11/2024,"E, E","E, E",moianes (BCN),239 m²,,4,2,Entre 10 y 20 años,IF76306-I-00Y3UV-W-02V7JV,Central,1,888 m²,,,,,,,,,,,,,,,,,Privado,,,,,,,,,,,,,,,,,,,,
Casa en Carrer del Montsec,HIPOGES IBERIA,912 €/m²,220.000 €,241 m²,https://www.pisos.com/comprar/casa-moia_centro_urbano-43411939518_100700/,Anuncio actualizado el 01/01/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),241 m²,153 m²,,,Entre 30 y 50 años,LIRE-02159,,,241 m²,,,,,,,,,,,,,,,,,N/A,,,N/A,N/A,,,,,,,N/A,,,,,,,,,
"Piso en Carretera Vic-Manresa, 1",Agencia no disponible,1.197 €/m²,115.000 €,96 m²,https://www.pisos.com/comprar/piso-collsuspina_centro_urbano-50033368043_109800/,Anuncio actualizado el 31/12/2024,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),96 m²,86 m²,3,1,Más de 50 años,21683847,Central,,,,En buen estado,,,,,,,,,,,,,,,,,,,,,N/A,,,3ª,,N/A,N/A,,,,,N/A,,N/A,
Casa en Carrer del Repetidor,VIVANTIAL,361 €/m²,90.000 €,249 m²,https://www.pisos.com/comprar/casa-monistrol_de_calders_centro_urbano-45850719277_109300/,Anuncio actualizado el 11/02/2025,"D, D","D, D",moianes (BCN),249 m²,125 m²,,,,EP618-10832-13,,N/A,,,A reformar,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finca rústica en Moia,L@MFINQUES,100 €/m²,800.000 €,2.421 m²,https://www.pisos.com/comprar/finca_rustica-moia_centro_urbano-496316312_501283/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),2.421 m²,2.421 m²,,,,501283-007677,,,8.000 m²,,En buen estado,,,,,,,,,N/A,N/A,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,N/A
"Casa adosada en Carrer Fèlix Estrada, 15",Agencia no disponible,1.090 €/m²,157.000 €,144 m²,https://www.pisos.com/comprar/casa_adosada-monistrol_de_calders_centro_urbano-47549437543_109800/,Anuncio actualizado el 13/09/2024,"E, E","E, E",moianes (BCN),144 m²,,5,3,Más de 50 años,21386998,,,220 m²,Adosada,En buen estado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
"Casa adosada en Carrer Fèlix Estrada, 15",Agencia no disponible,1.090 €/m²,157.000 €,144 m²,https://www.pisos.com/comprar/casa_adosada-monistrol_de_calders_centro_urbano-47541355261_109800/,Anuncio actualizado el 07/09/2024,"E, E","E, E",moianes (BCN),144 m²,,5,3,Más de 50 años,21387223,Gasoil,1,270 m²,Adosada,En buen estado,,N/A,,,,,N/A,,,N/A,N/A,,,,Privado,,N/A,,,,,,,,,,,,,,,N/A,,,
Chalet rústico en calle 0,Agencia no disponible,250 €/m²,1.500.000 €,6.000 m²,https://www.pisos.com/comprar/chalet_rustico-sant_quirze_safaja_centro_urbano-945856908240696_109800/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),6.000 m²,1.000 m²,5,3,Entre 30 y 50 años,6984072,Gasoil,Más de 2,6.000 m²,,En buen estado,Madera,Available,Gres,Available,Available,,Available,Sur,Available,Available,Available,,,Available,Propio,Available,Available,,Más de 2,,,Available,Endesa,,,,,,,,Sin gas,,,,
Casa en Muntanyola,SERVEIS IMMOBILIARIS MIREIA BRUN,1.928 €/m²,295.000 €,153 m²,https://www.pisos.com/comprar/casa-muntanyola_centro_urbano-29222909284_101300/,Anuncio actualizado el 19/02/2025,"E, E","E, E",moianes (BCN),153 m²,120 m²,3,2,,API94-100445,N/A,,,,,,,,,,,,4 vientos,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Fontanelles,estudivic,744 €/m²,253.000 €,340 m²,https://www.pisos.com/comprar/chalet-muntanyola_centro_urbano-37526265937_994602/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),340 m²,340 m²,4,4,Entre 10 y 20 años,4994602-606muntanyola,,2,816 m²,,A reformar,,,,,N/A,,N/A,,N/A,N/A,N/A,N/A,,N/A,Privado,,N/A,Propia,,,,,,,,,,,,,,,,,
Casa en Carrer Collsuspina,COMMOU,3.545 €/m²,195.000 €,55 m²,https://www.pisos.com/comprar/casa-muntanyola_centro_urbano-51745487335_529120/,Anuncio actualizado el 19/02/2025,"F, F","F, F",moianes (BCN),55 m²,55 m²,2,1,Entre 30 y 50 años,529120-000026,,2,1.670 m²,,En buen estado,Madera,N/A,Gres,,N/A,,N/A,Sur,N/A,N/A,N/A,,N/A,N/A,Privado,N/A,N/A,,1,,N/A,,,,,,,,,,,,,,
Casa en Carrer Collsuspina,ESPAI HABITAT,1.678 €/m²,230.000 €,137 m²,https://www.pisos.com/comprar/casa-muntanyola_centro_urbano-47568227011_109300/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),137 m²,100 m²,3,1,Entre 20 y 30 años,EP831-1387111,Butano-propano,N/A,1.643 m²,,En buen estado,N/A,,Cerámica o gress,,Independiente,,,Este::oeste,,,,,,,,,,,N/A,,,N/A,N/A,,,N/A,,,,,,,,,
Casa unifamiliar en Muntanyola,LA CLAU GRUP IMMOBILIARI,2.166 €/m²,260.000 €,120 m²,https://www.pisos.com/comprar/casa_unifamiliar-muntanyola_centro_urbano-434387729_187000/,Anuncio actualizado el 20/02/2025,"G, G","G, G",moianes (BCN),120 m²,120 m²,4,2,Entre 10 y 20 años,1870-043392,Eléctrica,1,,Unifamiliar,En buen estado,Aluminio,N/A,Parquet,N/A,Office,N/A,Salida comedor,,N/A,N/A,N/A,N/A,Madera,Chimenea,Privado,N/A,Comedor,,1,,,N/A,N/A,,,,,,,,,,,,
Casa en Muntanyola,NOVA,1.050 €/m²,210.000 €,200 m²,https://www.pisos.com/comprar/casa-muntanyola_centro_urbano-47585539290_440100/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),200 m²,190 m²,,,Menos de 5 años,4401-010001,,,900 m²,,A estrenar,,,,,,,,,N/A,N/A,N/A,,,,Privado,,,,,,,,,,,,,,,,,,,,
Finca rústica en Artés,FINQUES PASSEIG,125 €/m²,575.000 €,588 m²,https://www.pisos.com/comprar/finca_rustica-artes_centro_urbano-35004257742_100500/,Anuncio actualizado el 17/02/2025,"G, G","G, G",moianes (BCN),588 m²,450 m²,6,2,,SA1076-OI202164/5339,N/A,1,4.595 m²,,,,,,,,,N/A,,,,,,,,,,N/A,Propia,,,,N/A,,,,,,,,,,,N/A,,
Finca rústica en Artés,L@MFINQUES,125 €/m²,575.000 €,588 m²,https://www.pisos.com/comprar/finca_rustica-artes_centro_urbano-35032885579_501283/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),588 m²,450 m²,7,3,,501283-009950,Gasoil,2,4.595 m²,,En buen estado,Madera,N/A,Gres,,N/A,N/A,N/A,Sur,,N/A,,,N/A,N/A,,N/A,N/A,Propia,,,N/A,,,,,,,,,,,,N/A,,
Casa en Carrer del Raval,IMMOBILIARIA ARTÉS,266 €/m²,110.000 €,413 m²,https://www.pisos.com/comprar/casa-artes_centro_urbano-38432610794_393200/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),413 m²,413 m²,6,2,Más de 50 años,3932-093390,,Más de 2,185 m²,,A reformar,Madera,,Gres,,N/A,,N/A,,N/A,N/A,N/A,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Artés,SAFTI ESPAÑA,901 €/m²,119.000 €,132 m²,https://www.pisos.com/comprar/piso-artes_centro_urbano-49180746142_100500/,Anuncio actualizado el 06/02/2025,"D, D","D, D",moianes (BCN),132 m²,114 m²,4,,Entre 30 y 50 años,SA3541-REF_32028,Gas natural,,,,,,,,,,,,Sur,,,,,,,,,,,,,,,,2ª,N/A,,,,,,,,,,
