nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Antigüedad,Referencia,Calefacción,Garaje,Superficie solar,Tipo de casa,Conservación,Carpintería exterior,Vidrios dobles,Tipo suelo,Teléfono,Cocina equipada,Puerta blindada,Terraza,Orientación,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Carpintería interior,Comedor,Jardín,Lavadero,Chimenea,Piscina,Armarios empotrados,Adaptado a personas con movilidad reducida,Amueblado,Agua,Luz,Planta,Ascensor,Trastero,Exterior,Portero automático,Soleado,Aire acondicionado,Gas,Gastos de comunidad,Sistema de seguridad,Balcón,Alcantarillado
Casa en Carrer Sot de les Moles,FINQUES VILA VALLS,1.086 €/m²,375.000 €,345 m²,https://www.pisos.com/comprar/casa-castellcir_centro_urbano-1726594590_100500/,Anuncio actualizado el 13/01/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),345 m²,345 m²,9,6,Más de 50 años,SA1359-CASTE-04/6415,N/A,,523 m²,,,,,Gres,,,,,Sureste,,,,,,N/A,N/A,,N/A,,,,,,,,,,,,,,,,,,
Casa en calle Quadro Del,FINQUES VILA VALLS,378 €/m²,165.000 €,436 m²,https://www.pisos.com/comprar/casa-castelltercol_centro_urbano-8368606481_100500/,Anuncio actualizado el 15/01/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),436 m²,436 m²,12,5,Más de 50 años,SA1359-04-1018/6415,,,136 m²,,,,,,,,,,Sur,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Chalet unifamiliar en Carrer de la Creu,LA CLAU GRUP IMMOBILIARI,1.212 €/m²,388.000 €,320 m²,https://www.pisos.com/comprar/chalet_unifamiliar-moia_centro_urbano-47549980363_187000/,Anuncio actualizado el 20/02/2025,"G, G","G, G",moianes (BCN),320 m²,300 m²,8,2,Entre 30 y 50 años,1870-100360,Gasoil,,827 m²,,En buen estado,Madera,N/A,Gres,N/A,Office grande,N/A,N/A,A la montaña,N/A,N/A,N/A,N/A,Roble,Sol todo el día,Privado,Grande,,,Más de 2,N/A,,,,,,,,,,,,,,,
Casa en Carrer de Baix,FORTALEZA GESTIÓN,2.000 €/m²,300.000 €,150 m²,https://www.pisos.com/comprar/casa-castelltercol_centro_urbano-48400833097_529022/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),150 m²,124 m²,3,2,Entre 10 y 20 años,4529022-3,,,,,En buen estado,,,,,Independiente,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Casa pareada en Carrer del Montseny,HABITATGE,2.347 €/m²,399.000 €,170 m²,https://www.pisos.com/comprar/casa_pareada-collsuspina_centro_urbano-46732976093_110700/,Anuncio actualizado el 18/02/2025,"E, F","E, F",moianes (BCN),170 m²,120 m²,4,2,Entre 10 y 20 años,1107-VC12408-04,Gasoil,1,,Pareada,En buen estado,Madera,N/A,Gres,,N/A,,N/A,Este,N/A,N/A,N/A,,N/A,N/A,Privado,N/A,N/A,,1,,N/A,N/A,Unión fenosa,,,,,,,,,,,,
Casa en Collsuspina,NOVA,2.037 €/m²,328.000 €,161 m²,https://www.pisos.com/comprar/casa-collsuspina_centro_urbano-37555685795_440100/,Anuncio actualizado el 20/02/2025,"G, G","G, G",moianes (BCN),161 m²,100 m²,4,2,Entre 10 y 20 años,4401-010285,Gasoil,2,465 m²,,En buen estado,Madera,N/A,N/A,,N/A,N/A,N/A,A la montaña,N/A,N/A,N/A,,,N/A,Privado,N/A,N/A,,Más de 2,,,,,,,,,,,,,,,,
Chalet en Monistrol de Calders,IGLOO exes CENTRE,837 €/m²,155.000 €,185 m²,https://www.pisos.com/comprar/chalet-monistrol_de_calders_centro_urbano-45079066461_108900/,Anuncio actualizado el 23/10/2024,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),185 m²,115 m²,3,1,,XA541-2658,,1,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer l'Alzina Vella,A DINS 1964 Serveis Immobiliaris S.L.,1.583 €/m²,429.000 €,271 m²,https://www.pisos.com/comprar/casa-sant_quirze_safaja_centro_urbano08189-51756362661_417500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),271 m²,230 m²,4,3,Entre 20 y 30 años,4175-100722,Gasoil,1,901 m²,,En buen estado,Aluminio,,,,,,,,,,,,,,Privado,,N/A,Propia,,,,,,,,,,,,,,,,,
Casa en Carrer Major,HABITATGE,977 €/m²,220.000 €,225 m²,https://www.pisos.com/comprar/casa-collsuspina_centro_urbano-40859647235_110700/,Anuncio actualizado el 18/02/2025,"G, G","G, G",moianes (BCN),225 m²,95 m²,4,3,Entre 30 y 50 años,1107-VC12401-23,,,,,A reformar,Madera,,Gres,,N/A,,N/A,,N/A,N/A,N/A,,,N/A,Privado,,,,,,,,,,,,,,,,,,,,
Piso en Centre,FINQUES VILA VALLS,2.108 €/m²,156.000 €,74 m²,https://www.pisos.com/comprar/piso-moia_centro_urbano-49252344156_100500/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),74 m²,66 m²,2,2,Entre 10 y 20 años,SA1359-09-46/6415,N/A,,,,,,,Parquet,,,,N/A,,,,,,,,,,,,1,,,,,Bajo,N/A,,,,,,,,,,
Casa en calle Pere,FINQUES VILA VALLS,895 €/m²,290.000 €,324 m²,https://www.pisos.com/comprar/casa-moia_centro_urbano-22581144836_100500/,Anuncio actualizado el 22/01/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),324 m²,300 m²,6,4,Más de 50 años,SA1359-09-29/6415,N/A,1,1 m²,,,,,Terrazo,,,,N/A,Sur,,,,,,N/A,N/A,,N/A,,,,,N/A,,,,N/A,,,,,,,,,
Casa en Castellterçol,LAUDOR XXI,2.027 €/m²,375.000 €,185 m²,https://www.pisos.com/comprar/casa-castelltercol_centro_urbano-49209872313_106700/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),185 m²,160 m²,5,4,,IFC76145-1117(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
