nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Antigüedad,Gastos de comunidad,Referencia,Amueblado,Armarios empotrados,Tipo suelo,Agua,Aire acondicionado,Calefacción,Puerta blindada,Ascensor,Terraza,Orientación,Exterior,Conservación,Garaje,Trastero,Lavadero,Carpintería interior,Vidrios dobles,Carpintería exterior,Gas,Teléfono,Cocina equipada,Comedor,Portero automático,Adaptado a personas con movilidad reducida,Soleado,Se aceptan mascotas,Sistema de seguridad,Balcón,Piscina,Jardín,Tipo de casa
Piso en Avinguda d'Eduard Maristany,NOVA URBE SERVEIS IMMOBILIARIS,4.555 €/m²,410.000 €,90 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-39234257388_100500/,Anuncio actualizado el 05/12/2024,"C, C","C, C",sant_adria_de_besos (BCN),90 m²,63 m²,2,2,1ª,Entre 10 y 20 años,,SA4529-JV0209/3568,,1,Parquet,,N/A,N/A,,N/A,N/A,Oeste,,,,,,,,,,,,,,,,,,,Comunitaria,,
Ático en calle Pessebre Vivent,Sarria Properties,8.152 €/m²,750.000 €,92 m²,https://www.pisos.com/comprar/atico-sant_adria_de_besos_centro_urbano-48381008598_100500/,Anuncio actualizado el 13/01/2025,"A, A","A, A",sant_adria_de_besos (BCN),92 m²,57 m²,2,2,7ª,Menos de 5 años,,SA3248-SP934/8414,,1,Parquet,,N/A,N/A,N/A,N/A,N/A,Norte,,,,,,,,,,,,,,,,,,,Comunitaria,N/A,
Ático en Sant Adrià de Besòs,"LOPEZ i FERRER ASSESSORS, S.L.",2.265 €/m²,299.000 €,132 m²,https://www.pisos.com/comprar/atico-sant_adria_de_besos_centro_urbano-50088464979_106700/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),132 m²,120 m²,3,1,,Entre 20 y 30 años,,IFC76033-LIFJ132,,,,,N/A,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
Piso en Centre,PARELLADA IMMOBILIÀRIA,1.338 €/m²,649.000 €,485 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-47527958270_100500/,Anuncio actualizado el 13/12/2024,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),485 m²,314 m²,3,2,Bajo,Más de 50 años,,SA5410-2902/11637,,1,Mármol,,N/A,Gas natural,,N/A,N/A,,,,1,,,,,,,,,N/A,,,,,,N/A,Propia,,
Piso en Sant Adrià de Besòs,"IMMOEXCLUSIVE BCN, S.L.U.",2.928 €/m²,184.500 €,63 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-48388197949_100200/,Anuncio actualizado el 31/01/2025,"E, E","E, E",sant_adria_de_besos (BCN),63 m²,,3,1,,Más de 50 años,,TC29-582713,,,Gres,,N/A,N/A,,N/A,,,,En buen estado,,,,,,,,,,,N/A,,,,,N/A,,,
Piso en Sant Adrià de Besòs,VIVIENDA SINGULAR,5.048 €/m²,525.000 €,104 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-50839614002_525696/,Anuncio actualizado el 01/02/2025,"D, D","D, D",sant_adria_de_besos (BCN),104 m²,100 m²,2,2,7ª,Entre 10 y 20 años,,4525696-458BZE,,2,Tarima flotante,,Frío y calor,Eléctrica,N/A,N/A,N/A,Este,N/A,En buen estado,1,,,,N/A,Aluminio,,,,,N/A,N/A,,,N/A,N/A,Comunitaria,Comunitario,
Piso en Carrer de la Mare de Déu del Carme,ZONA FINCAS,2.650 €/m²,265.000 €,100 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-48355948677_514358/,Anuncio actualizado el 19/02/2025,"E, E","E, E",sant_adria_de_besos (BCN),100 m²,72 m²,3,2,3ª,Entre 30 y 50 años,,514358-ZF24/175,,,Gres,,Frío y calor,Gas natural,N/A,,,,N/A,En buen estado,,,N/A,Puertas roble,,Aluminio blanco,,,Equipada tipo office con salida a galeria,20m² totalmente independiente,,,N/A,,,,,,
Piso en Sant Adrià de Besòs,TECNOCASA - SANT ADRIÀ DE BESÒS,2.983 €/m²,199.900 €,67 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-50912367686_100200/,Anuncio actualizado el 20/01/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),67 m²,,3,,1ª,Más de 50 años,,TC412-606484,,,,,,,,N/A,,,,En buen estado,,,,,,,,,,,,,,,,,,,
Piso en Sant Joan Baptista,NOVA URBE SERVEIS IMMOBILIARIS,8.152 €/m²,750.000 €,92 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-45882254406_100500/,Anuncio actualizado el 17/01/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),92 m²,57 m²,2,2,7ª,Entre 5 y 10 años,,SA4529-DVP004/3568,,1,,,N/A,Central,,N/A,N/A,,,,,N/A,,,,,,,,,,,,,,,Comunitaria,N/A,
Piso en Avinguda de la Catalana,NOVA URBE SERVEIS IMMOBILIARIS,4.375 €/m²,350.000 €,80 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-50898571579_100500/,Anuncio actualizado el 07/02/2025,"B, A","B, A",sant_adria_de_besos (BCN),80 m²,70 m²,2,2,6ª,Entre 5 y 10 años,,SA4529-JVP007/3568,,1,,,N/A,N/A,,N/A,N/A,,,,,N/A,,,,,,,,,,,,,,,,,
Piso en Sant Adrià de Besòs,TOLL WOHNEN,3.160 €/m²,275.000 €,87 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-50872407782_108900/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),87 m²,59 m²,2,1,3ª,Menos de 5 años,,XA861-TWB392,,N/A,,N/A,N/A,N/A,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,
Ático en Sant Adrià de Besòs,LA CASA AGENCY PUNT POBLE SEC REAL ESTATE,3.778 €/m²,393.000 €,104 m²,https://www.pisos.com/comprar/atico-sant_adria_de_besos_centro_urbano-47594957705_101800/,Anuncio actualizado el 31/10/2024,"G, G","G, G",sant_adria_de_besos (BCN),104 m²,,3,2,4ª,Entre 10 y 20 años,,IF77106-LCB32521-1,,,,,,Central,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
Piso en Sant Adrià de Besòs,"IMMOEXCLUSIVE BCN, S.L.U.",3.015 €/m²,193.000 €,64 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-50932535566_100200/,Anuncio actualizado el 25/01/2025,"E, E","E, E",sant_adria_de_besos (BCN),64 m²,,2,1,,Más de 50 años,,TC29-604931,,,,,,,,N/A,,,,En buen estado,,,,,,,,,,,,,,,,N/A,,,
Dúplex en Sant Adrià de Besòs,TECNOCASA - SANT ADRIÀ DE BESÒS,2.052 €/m²,348.900 €,170 m²,https://www.pisos.com/comprar/duplex-sant_adria_de_besos_centro_urbano-50931461012_100200/,Anuncio actualizado el 22/01/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),170 m²,,3,2,,Entre 20 y 30 años,Más de 100 €,TC412-605628,,,Gres,,N/A,Central,,N/A,N/A,,,Reformado,,,,,,,,,,,,,,,,,,Privado,
Piso en Sant Adrià de Besòs,TECNOCASA - SANT ADRIÀ DE BESÒS,2.952 €/m²,262.800 €,89 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-48351949293_100200/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),89 m²,,,1,,Más de 50 años,,TC412-598169,,,,,N/A,N/A,,N/A,N/A,,,Reformado,,,,,,,,,,,,,,,,N/A,,,
Piso en Sant Adrià de Besòs,TECNOCASA - SANT ADRIÀ DE BESÒS,3.330 €/m²,129.900 €,39 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-46716160446_100200/,Anuncio actualizado el 16/01/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),39 m²,,1,1,4ª,Más de 50 años,,TC412-589466,,,Parquet,,N/A,,,,N/A,,,En buen estado,,,,,,,,,N/A,,,,,,,,,,
Piso en Sant Adrià de Besòs,TECNOCASA - SANT ADRIÀ DE BESÒS,2.170 €/m²,238.800 €,110 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-50914973692_100200/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),110 m²,,4,2,,Entre 30 y 50 años,,TC412-607527,,,Gres,,,N/A,,N/A,N/A,,,En buen estado,,,,,,,,,N/A,,,,,,,,,,
Apartamento en Sant Adrià de Besòs,Engel & Völkers MMC Barcelona,3.928 €/m²,275.000 €,70 m²,https://www.pisos.com/comprar/apartamento-sant_adria_de_besos_centro_urbano-40922350013_101800/,Anuncio actualizado el 07/06/2024,"A, A","A, A",sant_adria_de_besos (BCN),70 m²,,2,1,3ª,,,IF76306-I-00XWR6-W-02UKAH,,,,,,Central,,N/A,,,,,1,,,,,,,,N/A,,,,,,,,,,
Piso en Avinguda de les Corts Catalanes,Inmobiliaria Alfa Nova Badalona,2.843 €/m²,273.000 €,96 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-50077820998_101000/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),96 m²,,3,2,,,,AF199-2232/164,,,,,Frío,,N/A,2,,,N/A,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Ramon Llull,GRUP BALSELLS,5.048 €/m²,525.000 €,104 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-48359162887_528547/,Anuncio actualizado el 07/02/2025,"D, D","D, D",sant_adria_de_besos (BCN),104 m²,95 m²,2,2,7ª,,,4528547-000006,,Más de 2,Parquet,,,,,N/A,N/A,,N/A,Reformado,1,,N/A,,,,,,N/A,N/A,,,N/A,,,N/A,Comunitaria,Comunitario,
"Piso en Avinguda de les Corts Catalanes, 534",VOLCASA,2.462 €/m²,325.000 €,132 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-50840588922_519874/,Anuncio actualizado el 27/01/2025,"E, E","E, E",sant_adria_de_besos (BCN),132 m²,88 m²,3,1,8ª,Entre 20 y 30 años,,4519874-J_SantAdria,,,Gres,,Frío y calor,Gas natural,,N/A,42m²,Sureste,N/A,En buen estado,,,N/A,,,Aluminio,N/A,,N/A,N/A,N/A,,,N/A,N/A,N/A,,Comunitario,
