nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Referencia,Ascensor,Balcón,Terraza,Superficie útil,Superficie solar,Antigüedad,Conservación,Tipo suelo,Agua,Luz,Calefacción,Cocina equipada,Trastero,Planta,Armarios empotrados,Vidrios dobles,Carpintería exterior,Gas,Comedor,Lavadero,Portero automático,Puerta blindada,Sistema de seguridad,Garaje,Adaptado a personas con movilidad reducida,Jardín,Orientación,Urbanizado,Carpintería interior,Calle alumbrada,Calle asfaltada,Exterior,Teléfono,Soleado,Se aceptan mascotas,Tipo de casa,Aire acondicionado,Chimenea,Interior,Amueblado,Piscina,Gastos de comunidad
Ático en Tona,LA CLAU GRUP IMMOBILIARI,2.120 €/m²,212.000 €,100 m²,https://www.pisos.com/comprar/atico-tona_centro_urbano-853433808_187000/,Anuncio actualizado el 20/02/2025,"F, F","F, F",osona (BCN),100 m²,3,2,1870-001396,N/A,N/A,Grande con buenas vistas,100 m²,,Menos de 5 años,A estrenar,Gres,,,Gas natural,N/A,,2ª,2,N/A,Aluminio,,Amplio con salida a balcón,N/A,N/A,N/A,,,N/A,,Sur,,Cedro,,,,,Todo el dia,N/A,,,,N/A,,,
Finca rústica en Rambla de la Concepció,LA CLAU GRUP IMMOBILIARI,263 €/m²,499.000 €,748 m²,https://www.pisos.com/comprar/finca_rustica-sant_quirze_de_besora_centro_urbano-50062219844_187000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),748 m²,9,3,1870-100391,,,N/A,748 m²,1.893 m²,,A reformar,,,,,N/A,,,,,,,N/A,N/A,,,,,,,,N/A,,N/A,N/A,,,,N/A,,,,,,,
Piso en Plaza Can Cases,OSONA ACTIVA,2.526 €/m²,240.000 €,95 m²,https://www.pisos.com/comprar/piso-centelles_centro_urbano-40914924749_137000/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),95 m²,3,2,1370-082589,,,,75 m²,,Entre 20 y 30 años,En buen estado,Gres,,,Gas natural,,,Bajo,,,Aluminio,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Piso en Carrer del Bisbe Font Andreu,LA CLAU GRUP IMMOBILIARI,2.015 €/m²,239.900 €,119 m²,https://www.pisos.com/comprar/piso-nord_el_sucre_universitat08500-50837273391_187000/,Anuncio actualizado el 20/02/2025,"E, E","E, E",osona (BCN),119 m²,3,2,1870-100398,,,,110 m²,,Más de 50 años,En buen estado,Gres,,,Gas natural,N/A,,Bajo,1,N/A,Madera,N/A,N/A,N/A,N/A,N/A,,,,,Sur,,Roble macizo,,,N/A,,N/A,N/A,,,,,,,
Chalet en Seva,Casabona Finques,2.138 €/m²,325.000 €,152 m²,https://www.pisos.com/comprar/chalet-seva_centro_urbano-51724593467_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),152 m²,3,3,SA1962-1075,,,,140 m²,757 m²,Entre 20 y 30 años,En buen estado,,,,,,,,,,,,,,,,,,,Privado,,,,,,,,,,,Frío,N/A,,,,
Casa unifamiliar en Centric,NOVA,2.692 €/m²,455.000 €,169 m²,https://www.pisos.com/comprar/casa_unifamiliar-tona_centro_urbano-29185571889_440100/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),169 m²,4,3,4401-010700,,,N/A,135 m²,304 m²,Menos de 5 años,A estrenar,N/A,,,N/A,N/A,,,,N/A,PVC,,N/A,N/A,,N/A,,2,,Privado,,N/A,N/A,N/A,N/A,,,,,Unifamiliar,Frío,,,,,
Piso en Carrer del Mossèn Parasols,CÒDOL GESTIÓ TORELLÓ,589 €/m²,250.000 €,424 m²,https://www.pisos.com/comprar/piso-torello_centro_urbano-50009830655_100500/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),424 m²,,,SA4093-T02430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Centre,LA CLAU GRUP IMMOBILIARI,1.661 €/m²,149.500 €,90 m²,https://www.pisos.com/comprar/piso-tona_centro_urbano-90636936853_187000/,Anuncio actualizado el 20/02/2025,"F, E","F, E",osona (BCN),90 m²,3,2,1870-000714,,,Salida comedor,90 m²,,Entre 30 y 50 años,Reformado,Gres,,N/A,Gas natural,Office reformada,En las golfas,2ª,,N/A,Madera,N/A,Amplio con salida terraza,Amplio,N/A,,,,,,Sur,,Lacada blanca,,,,,Todo el dia,N/A,,,,,,,
Piso en Avinguda de la Generalitat,CÒDOL GESTIÓ TORELLÓ,466 €/m²,280.000 €,600 m²,https://www.pisos.com/comprar/piso-torello_centro_urbano-40020843503_100500/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),600 m²,,,SA4093-T02178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Centre,NOVA,2.378 €/m²,176.000 €,74 m²,https://www.pisos.com/comprar/piso-els_hostalets_de_balenya-449644580_440100/,Anuncio actualizado el 20/02/2025,"E, E","E, E",osona (BCN),74 m²,3,1,4401-010240,N/A,N/A,,74 m²,,Entre 5 y 10 años,En buen estado,De gres,N/A,N/A,De gas natural,Equipada,3m²,Bajo,,Climalit,De aluminio,N/A,Estar de 27m²,En el balcón,N/A,N/A,,N/A,,,N/A,,De roble,,,Todo,,N/A,,,,,Baño,N/A,,50€/mes
Piso en Centre,NOVA,1.730 €/m²,135.000 €,78 m²,https://www.pisos.com/comprar/piso-tona_centro_urbano-610705038_440100/,Anuncio actualizado el 20/02/2025,"E, E","E, E",osona (BCN),78 m²,3,2,4401-010353,,N/A,Patio exterior,69 m²,,Entre 20 y 30 años,En buen estado,De gres,N/A,N/A,De gas natural,"E,h,c",,1ª,,Climalt,,N/A,22m²,,N/A,N/A,,N/A,,,Sin especificar,,De roble,,,Todo,N/A,N/A,,,,,2 baños,,,30€/mes
Piso en Carrer Major,LA CLAU GRUP IMMOBILIARI,2.000 €/m²,178.000 €,89 m²,https://www.pisos.com/comprar/piso-tona_centro_urbano-30009769176_187000/,Anuncio actualizado el 20/02/2025,"G, F","G, F",osona (BCN),89 m²,3,1,1870-100224,N/A,,31 m²,89 m²,,,Reformado,Gres,,,Gas natural,N/A,,Bajo,,N/A,Aluminio,N/A,Amplio,,,,,,,,Suroeste,,Lacada en blanco,,,N/A,N/A,N/A,N/A,,,,,,,
Piso en Tona,NOVA,1.753 €/m²,128.000 €,73 m²,https://www.pisos.com/comprar/piso-tona_centro_urbano-55724610_440100/,Anuncio actualizado el 20/02/2025,"E, E","E, E",osona (BCN),73 m²,3,1,4401-010800,,N/A,,73 m²,,,En buen estado,De gres,N/A,N/A,Gas natural,Equipada,N/A,3ª,,,De madera,N/A,19m²,N/A,N/A,,,,,,,,De roble,,,Todo,,N/A,,,,N/A,,N/A,,
Piso en Torelló,IMMOACASA.CAT,1.332 €/m²,119.900 €,90 m²,https://www.pisos.com/comprar/piso-torello_centro_urbano-43421723494_501452/,Anuncio actualizado el 18/12/2024,"E, E","E, E",osona (BCN),90 m²,4,1,501452-01838,,N/A,,78 m²,,Más de 50 años,En buen estado,Parquet,,,,N/A,,3ª,,,Madera,N/A,N/A,N/A,N/A,,,,,,Sureste,,,,,N/A,,N/A,,,,,,,,N/A
Piso en Carrer del Pare Rambla,TORESFA,2.523 €/m²,265.000 €,105 m²,https://www.pisos.com/comprar/piso-nord_el_sucre_universitat08500-51673660058_992878/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),105 m²,3,2,992878-AG1103_003683-43,,N/A,,105 m²,,Entre 10 y 20 años,Reformado,Parquet,,,,,N/A,3ª,N/A,N/A,,,,,,,,1,,,Sureste,,,,,,,,,,,,,,,
Piso en Centre Històric,IMMOACASA.CAT,2.738 €/m²,230.000 €,84 m²,https://www.pisos.com/comprar/piso-vic_centre_historic-45885043351_501452/,Anuncio actualizado el 04/02/2025,"G, G","G, G",osona (BCN),84 m²,3,1,501452-01859,N/A,N/A,,74 m²,,Más de 50 años,En buen estado,Parquet,,,Gas natural,N/A,,Bajo,2,,Madera,,N/A,N/A,N/A,,,,,,,,,,,N/A,,,,,,,,,,
Casa en Carrer Nou,CÒDOL GESTIÓ TORELLÓ,954 €/m²,229.000 €,240 m²,https://www.pisos.com/comprar/casa-torello_centro_urbano-43350731716_100500/,Anuncio actualizado el 04/02/2025,"E, E","E, E",osona (BCN),240 m²,3,2,SA4093-T02036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Carrer Nou,LA CLAU GRUP IMMOBILIARI,2.779 €/m²,258.500 €,93 m²,https://www.pisos.com/comprar/duplex-tona_centro_urbano-21713139000_187000/,Anuncio actualizado el 20/02/2025,"A, A","A, A",osona (BCN),93 m²,3,2,1870-100140,N/A,,3m²,75 m²,,Menos de 5 años,A estrenar,Gres 1ª acabado parquet,,,Aerotermia suelo radiante,Amplia,N/A,2ª,,N/A,PVC,,Amplio,,N/A,N/A,N/A,1,,,Suroeste,,Lacat blanc,,,N/A,N/A,Mañanas,N/A,,Frío y calor,,,,,
Piso en Santa Eugènia de Berga,Finques La Vall,3.205 €/m²,218.000 €,68 m²,https://www.pisos.com/comprar/piso-santa_eugenia_de_berga_centro_urbano08507-42554801946_253600/,Anuncio actualizado el 20/02/2025,"A, A","A, A",osona (BCN),68 m²,3,1,2536-060555,N/A,N/A,,62 m²,,Menos de 5 años,A estrenar,Gres,,,Eléctrica,Oberta de 5 m²,,2ª,,N/A,PVC,,22.10 m²,1.11 m²,N/A,,,1,,,Sur,,Fusta lacada de color blanc,,,N/A,,Molt assolellat,,,,,,,,
Piso en Nord-El Sucre-Universitat,Visualpis,4.571 €/m²,320.000 €,70 m²,https://www.pisos.com/comprar/piso-nord_el_sucre_universitat08500-51738526709_106700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),70 m²,3,2,IFC76374-PLA_56,,,,70 m²,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,
Casa en Taradell,NOVA,2.978 €/m²,950.000 €,319 m²,https://www.pisos.com/comprar/casa-taradell_centro_urbano-474050449_440100/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),319 m²,6,4,4401-010356,,,12m²,319 m²,1.448 m²,Entre 20 y 30 años,En buen estado,De gres rustico,N/A,N/A,De gasoleo,Equipada de 18m²,,,N/A,N/A,De madera,,-estar de 40m²,5m²,,N/A,,2 coches,,N/A,N/A,,De madera,,,,,,,,,En el comedor,,,,
Casa en Sant Miquel de Balenyà-Seva,NOVA,1.294 €/m²,233.000 €,180 m²,https://www.pisos.com/comprar/casa-sant_miquel_de_balenya_seva-38359793145_440100/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),180 m²,4,2,4401-010853,,,N/A,180 m²,,Entre 30 y 50 años,En buen estado,Gres,,,Gasoil,N/A,,,Más de 2,,N/A,,N/A,N/A,,,,2,,,,N/A,N/A,N/A,N/A,,,,,,,N/A,,,,
"Piso en Carrer Nou, 15",LA CLAU GRUP IMMOBILIARI,2.933 €/m²,155.500 €,53 m²,https://www.pisos.com/comprar/piso-tona_centro_urbano-21703825289_187000/,Anuncio actualizado el 20/02/2025,"A, A","A, A",osona (BCN),53 m²,1,1,1870-100134,N/A,,,53 m²,,Menos de 5 años,A estrenar,Parquet,,,Gas natural,N/A,,1ª,,N/A,PVC,,Amplio,,N/A,,N/A,,,,Este,,Lacat blanc,,,N/A,N/A,N/A,,,,,,,,
Casa en Avinguda del Mossèn Cinto Verdaguer,HABITATGE,1.893 €/m²,375.000 €,198 m²,https://www.pisos.com/comprar/casa-taradell_centro_urbano-45890913340_110700/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),198 m²,3,3,1107-VC02407-11,,,,167 m²,,,A estrenar,Parquet,,,,,,,,N/A,Aluminio,,,,,,,2,,Privado,Oeste,N/A,,,N/A,,,,,,,,,,,
Casa en Els Hostalets de Balenyà,NOVA,1.045 €/m²,230.000 €,220 m²,https://www.pisos.com/comprar/casa-els_hostalets_de_balenya-27569928303_440100/,Anuncio actualizado el 20/02/2025,"F, E","F, E",osona (BCN),220 m²,4,3,4401-010051,,,N/A,200 m²,,Entre 20 y 30 años,En buen estado,,,,Gas natural,,,,,,Madera,,,,,,,Más de 2,,,Suroeste,,,,,,,,,,,,,,,
Piso en Carrer de Raimon d'Abadal,HABITATGE,1.825 €/m²,199.000 €,109 m²,https://www.pisos.com/comprar/piso-remei_montseny_la_guixa08500-51726350889_110700/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),109 m²,4,2,1107-VP12502-04,N/A,,N/A,101 m²,,Más de 50 años,En buen estado,Parquet,N/A,Endesa,Gas natural,N/A,,1ª,,N/A,PVC,,N/A,N/A,N/A,,,1,,,Oeste,,N/A,,,,,N/A,,,Frío y calor,,,,,N/A
Chalet unifamiliar en Camí Vilar,MS INMOBILIARIA,2.101 €/m²,330.000 €,157 m²,https://www.pisos.com/comprar/chalet_unifamiliar-sant_boi_de_llucanes_centro_urbano-49250472388_525886/,Anuncio actualizado el 19/11/2024,Error al procesar consumo,Error al procesar emisiones,osona (BCN),157 m²,3,2,525886-000044,,,,128 m²,831 m²,Menos de 5 años,A estrenar,Gres,,,Aerotèrmia,N/A,,,,N/A,Aluminio,,N/A,N/A,,,,2,,Privado,,,,,,,,,N/A,,,,,,,
Ático en Avinguda d'Olímpia,MAREUS,3.185 €/m²,790.000 €,248 m²,https://www.pisos.com/comprar/atico-nord_el_sucre_universitat08500-49213429534_101800/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),248 m²,4,3,IF76281-1507,N/A,,N/A,,,Entre 10 y 20 años,,,,,Central,N/A,,5ª,1,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Carrer Major,SIMM,2.096 €/m²,174.000 €,83 m²,https://www.pisos.com/comprar/duplex-els_hostalets_de_balenya-37530046897_110300/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),83 m²,2,2,1103-002272,N/A,N/A,N/A,74 m²,,Entre 10 y 20 años,En buen estado,Gres,,,Gas natural,N/A,N/A,3ª,,N/A,Aluminio,N/A,N/A,,N/A,,,1,,,Sur,,N/A,,,N/A,N/A,N/A,,,,,,,,Entre 60 y 80 €
Casa en Seva,NOVA,1.297 €/m²,410.000 €,316 m²,https://www.pisos.com/comprar/casa-seva_centro_urbano-47530018608_440100/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),316 m²,5,3,4401-010012,,,N/A,270 m²,769 m²,Entre 30 y 50 años,En buen estado,Terrazo,,,Gasoil,N/A,,,Más de 2,N/A,,,N/A,,,,,Más de 2,,Privado,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,,,,
Chalet en Sentfores - La Guixa,Casabona Finques,1.600 €/m²,368.000 €,230 m²,https://www.pisos.com/comprar/chalet-remei_montseny_la_guixa08500-51751526387_100500/,Anuncio actualizado el 16/02/2025,"C, C","C, C",osona (BCN),230 m²,4,3,SA1962-1074,,,N/A,210 m²,905 m²,,En buen estado,,,,Gas natural,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Casa en Nord-El Sucre-Universitat,Finques La Vall,3.977 €/m²,525.000 €,132 m²,https://www.pisos.com/comprar/casa-nord_el_sucre_universitat08500-41724087057_253600/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),132 m²,2,2,2536-010504,,,Dues una d´elles solarium,110 m²,150 m²,Menos de 5 años,A estrenar,Gres,,,Eléctrica,Oberta de 4.37 m²,,,,N/A,Aluminio,,Si 20 m²,,,,,,,Privado,Sur,N/A,Fusta lacada blanca,N/A,N/A,,,,,,,,,,,
Piso en Manlleu,Visualpis,1.177 €/m²,146.000 €,124 m²,https://www.pisos.com/comprar/piso-manlleu_centro_urbano-51690032253_106700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),124 m²,3,1,IFC76374-PIS_51,,,,110 m²,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Entrada Sud,NOVA,2.925 €/m²,196.000 €,67 m²,https://www.pisos.com/comprar/piso-centelles_centro_urbano-100159510_440100/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),67 m²,3,1,4401-010006,N/A,N/A,,67 m²,,Entre 5 y 10 años,En buen estado,Gres,N/A,N/A,Gas natural,"H,c,e,nevera, lavaplatos",,1ª,,Climalit,Madera,N/A,20m²,En la cocina,N/A,N/A,,N/A,,,N/A,,Madera,,,N/A,,N/A,,,En el comedor,,Baño,N/A,,55€/mes
Piso en Santa Eugènia de Berga,Finques La Vall,2.486 €/m²,184.000 €,74 m²,https://www.pisos.com/comprar/piso-santa_eugenia_de_berga_centro_urbano08507-42536449475_253600/,Anuncio actualizado el 20/02/2025,"A, A","A, A",osona (BCN),74 m²,2,1,2536-060543,N/A,,,64 m²,,Menos de 5 años,A estrenar,Gres,,,Eléctrica,Oberta de 4 m²,,Bajo,,N/A,PVC,,21.51 m²,De 2 m²,N/A,,,,,,Sur,,Lacat de color blanc,,,N/A,,Molt assolellat,,,,,,,,
Casa adosada en Camí de Verinal,LA CLAU GRUP IMMOBILIARI,2.411 €/m²,313.500 €,130 m²,https://www.pisos.com/comprar/casa_adosada-tona_centro_urbano-49212585805_187000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),130 m²,3,3,1870-100379,,,,101 m²,120 m²,Menos de 5 años,A estrenar,Gres,,,N/A,N/A,,,,N/A,PVC,,"43,31",N/A,,N/A,,,,Privado,Sur,N/A,Lacada blanca,N/A,N/A,,,,N/A,Adosada,Frío y calor,,,,,
Casa en Les Masies de Voltregà,Finques La Vall,849 €/m²,198.000 €,233 m²,https://www.pisos.com/comprar/casa-les_masies_de_voltrega_centro_urbano-49222395213_253600/,Anuncio actualizado el 20/02/2025,"E, E","E, E",osona (BCN),233 m²,4,2,2536-010502,,,15 m²,195 m²,126 m²,Más de 50 años,Reformado,Gres,,,Gasoil,Office de 12.80 m²,,,,N/A,Madera,,28 m²,4.20 m²,,,,,,,Sur,N/A,Fusta,N/A,N/A,,,,,,,,,,,
Piso en Carrer d'Enric Prat de la Riba,FORTALEZA GESTIÓN,1.325 €/m²,114.000 €,86 m²,https://www.pisos.com/comprar/piso-remei_montseny_la_guixa08500-50058091400_529022/,Anuncio actualizado el 04/02/2025,"F, E","F, E",osona (BCN),86 m²,2,2,4529022-000008,,,,85 m²,,Entre 10 y 20 años,A reformar,,,,,,,4ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en calle Tecla Sala,INMOMAER,625 €/m²,230.000 €,368 m²,https://www.pisos.com/comprar/casa-les_masies_de_roda-34226591744_501136/,Anuncio actualizado el 15/11/2024,Error al procesar consumo,Error al procesar emisiones,osona (BCN),368 m²,3,2,501136-FP-257C,,,N/A,130 m²,485 m²,Más de 50 años,A reformar,,,,,N/A,,,,,,,N/A,N/A,,,,1,,Privado,,N/A,,N/A,N/A,,,,,,,,,,,
Piso en Carrer Torrental Xic,LA CLAU GRUP IMMOBILIARI,1.245 €/m²,198.000 €,159 m²,https://www.pisos.com/comprar/piso-calldetenes_centro_urbano08506-50918080961_187000/,Anuncio actualizado el 20/02/2025,"E, E","E, E",osona (BCN),159 m²,4,3,1870-100395,,,N/A,135 m²,,Entre 10 y 20 años,En buen estado,Gres,,,Gas natural,Dos cocinas,,Bajo,1,N/A,Aluminio,N/A,Amplio,N/A,,N/A,,Más de 2,,,Sur,,Lacada en blanco,,,N/A,N/A,N/A,N/A,,,,,N/A,,
Dúplex en Carrer Nou,LA CLAU GRUP IMMOBILIARI,2.438 €/m²,275.500 €,113 m²,https://www.pisos.com/comprar/duplex-tona_centro_urbano-21749175387_187000/,Anuncio actualizado el 20/02/2025,"A, A","A, A",osona (BCN),113 m²,4,2,1870-100137,N/A,,23.44,92 m²,,Menos de 5 años,A estrenar,Gres imitación parquet,,,Aerotermia,Amplia,,2ª,,N/A,PVC,,Amplio,,N/A,,N/A,1,,,Suroeste,,Lacado blanco,,,N/A,N/A,N/A,,,Frío y calor,,,,,
Piso en Casc Antic,NOVA,3.440 €/m²,437.000 €,127 m²,https://www.pisos.com/comprar/piso-vic_centre_historic-19195924978_440100/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),127 m²,3,2,4401-010615,N/A,,N/A,127 m²,,Menos de 5 años,A estrenar,Gres,,,,N/A,,1ª,1,,Aluminio,,N/A,N/A,N/A,N/A,,,,,,,N/A,,,N/A,,N/A,,,,,,,,
Chalet en Taradell,Finques La Vall,1.765 €/m²,685.000 €,388 m²,https://www.pisos.com/comprar/chalet-taradell_centro_urbano-43402022280_253600/,Anuncio actualizado el 20/02/2025,"E, F","E, F",osona (BCN),388 m²,3,5,2536-080158,,,Coberta de 12 m²,340 m²,975 m²,Entre 30 y 50 años,En buen estado,Gres,,,Gasoil,Office de 15 m²,,,,N/A,,,22 m²,5 m²,,,,2,,Privado,Sur,N/A,Fusta lacada blanca,N/A,N/A,,,,,,Frío y calor,,,A negociar,Propia,
Piso en Carrer de Ramon Sala i Saçala,Casabona Finques,2.812 €/m²,180.000 €,64 m²,https://www.pisos.com/comprar/piso-caputxins_santa_clara_hospital-49237885312_100500/,Anuncio actualizado el 04/01/2025,"G, G","G, G",osona (BCN),64 m²,2,1,SA1962-1065,N/A,,,60 m²,,,En buen estado,,,,Eléctrica,,,1ª,,N/A,,,,,,,,1,,,Sur,,,,,,,N/A,,,,,,,,Entre 20 y 40 €
Casa adosada en Camí de Verinal,LA CLAU GRUP IMMOBILIARI,2.906 €/m²,377.880 €,130 m²,https://www.pisos.com/comprar/casa_adosada-tona_centro_urbano-49209872265_187000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),130 m²,3,3,1870-100384,,,,101 m²,120 m²,Menos de 5 años,A estrenar,Gres,,,N/A,N/A,,,,N/A,PVC,,"43,31",N/A,,N/A,,,,Privado,Sur,N/A,Lacada blanca,N/A,N/A,,,,N/A,Adosada,Frío y calor,,,,,
Piso en Centre,LA CLAU GRUP IMMOBILIARI,3.953 €/m²,379.500 €,96 m²,https://www.pisos.com/comprar/piso-vic_centre_historic-847002915_187000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),96 m²,3,1,1870-051011,,N/A,,96 m²,,,En buen estado,,,,,,,2ª,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Santa Eugènia de Berga,Finques La Vall,3.123 €/m²,228.000 €,73 m²,https://www.pisos.com/comprar/piso-santa_eugenia_de_berga_centro_urbano08507-42554131071_253600/,Anuncio actualizado el 20/02/2025,"A, A","A, A",osona (BCN),73 m²,3,1,2536-060556,N/A,,8.25 m²,68 m²,,Menos de 5 años,A estrenar,Gres,,,Eléctrica,Oberta de 5 m²,,2ª,,N/A,PVC,,23.90 m²,1.19 m²,N/A,,,1,,,Sur,,Fusta lacada de color blanc,,,N/A,,Molt assolellat,,,,,,,,
Piso en Sant Julià de Vilatorta,Finques La Vall,2.894 €/m²,220.000 €,76 m²,https://www.pisos.com/comprar/piso-sant_julia_de_vilatorta_centro_urbano-48363881930_253600/,Anuncio actualizado el 20/02/2025,"G, E","G, E",osona (BCN),76 m²,2,1,2536-060564,,,,65 m²,,Entre 30 y 50 años,En buen estado,Gres,,,Gas natural,Oberta,,Bajo,,N/A,,N/A,20 m²,,N/A,,,,,,Sur,,Fusta pintada blanca,,,N/A,,Molt assolellat,,,,,,,,
Piso en Carrer Major,LA CLAU GRUP IMMOBILIARI,1.941 €/m²,165.000 €,85 m²,https://www.pisos.com/comprar/piso-tona_centro_urbano-51672872889_187000/,Anuncio actualizado el 20/02/2025,"G, F","G, F",osona (BCN),85 m²,3,1,1870-100408,N/A,,13.25m²,72 m²,,Entre 10 y 20 años,A estrenar,Gres,,,Gas natural,N/A,,1ª,,N/A,Aluminio,N/A,N/A,,N/A,,,,,,Oeste,,Lacada en blanco,,,,N/A,Tardes,N/A,,,,,,,
Piso en Centre,NOVA,2.384 €/m²,310.000 €,130 m²,https://www.pisos.com/comprar/piso-caputxins_santa_clara_hospital-36746985866_440100/,Anuncio actualizado el 20/02/2025,"F, F","F, F",osona (BCN),130 m²,4,2,4401-010858,N/A,N/A,,130 m²,,Entre 30 y 50 años,En buen estado,Gres,,,Gas natural,N/A,,2ª,Más de 2,N/A,Madera,N/A,N/A,,N/A,,,,,,,,N/A,,,N/A,,N/A,,,,,N/A,,,
Piso en Tona,NOVA,2.756 €/m²,289.460 €,105 m²,https://www.pisos.com/comprar/piso-tona_centro_urbano-20050390610_440100/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),105 m²,3,2,4401-010945,N/A,,N/A,89 m²,,Menos de 5 años,A estrenar,,,,Eléctrica,N/A,,1ª,,N/A,Aluminio,,N/A,N/A,N/A,N/A,,,,Comunitario,,,N/A,,,N/A,,N/A,,,Frío y calor,N/A,,,Comunitaria,
Piso en Carrer Socos,ESPAI HABITAT,448 €/m²,207.941 €,464 m²,https://www.pisos.com/comprar/piso-centelles_centro_urbano-50005892611_109300/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),464 m²,6,3,EP831-1480517,,,,434 m²,,Más de 50 años,,Cerámica o gress,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Avinguda del Mossèn Cinto Verdaguer,HABITATGE,2.083 €/m²,398.000 €,191 m²,https://www.pisos.com/comprar/casa-taradell_centro_urbano-45874137325_110700/,Anuncio actualizado el 18/02/2025,"B, A","B, A",osona (BCN),191 m²,3,3,1107-VC02407-09,,,,156 m²,,Menos de 5 años,A estrenar,Parquet,,,,N/A,,,,,Aluminio,,N/A,N/A,,,,2,,Privado,Oeste,,,,,,,,,,,,,,,
Piso en Carrer de Sant Josep,ESPAI HABITAT,545 €/m²,327.000 €,600 m²,https://www.pisos.com/comprar/piso-torello_centro_urbano-50018966353_109300/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),600 m²,,,EP831-PB-SRB0000317048,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,
Casa en Tona,NOVA,1.869 €/m²,415.000 €,222 m²,https://www.pisos.com/comprar/casa-tona_centro_urbano-48358234681_440100/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),222 m²,4,3,4401-010033,,,N/A,222 m²,,Entre 20 y 30 años,En buen estado,Gres,,,Gas natural,N/A,,,Más de 2,N/A,Aluminio,N/A,N/A,,,N/A,,2,,Privado,,N/A,N/A,N/A,N/A,,,,,,,N/A,,,,
