nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Exterior,Referencia,Armarios empotrados,Tipo suelo,Vidrios dobles,Aire acondicionado,Calefacción,Cocina equipada,Trastero,Puerta blindada,Ascensor,Adaptado a personas con movilidad reducida,Terraza,Orientación,Interior,Chimenea,Jardín,Planta,Antigüedad,Lavadero,Sistema de seguridad,Conservación,Gastos de comunidad,Amueblado,Carpintería interior,Carpintería exterior,Comedor,Portero automático,Superficie solar,Garaje,Balcón,Soleado,Se aceptan mascotas,Gas,Teléfono,Agua,Piscina,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada
Piso en Singuerlín-Les Oliveres-Can Franquesa-Guinardera,Desarrollo Singuerlin Slu,2.565 €/m²,195.000 €,76 m²,https://www.pisos.com/comprar/piso-singuerlin_les_oliveres_can_franquesa_guinardera08-51705318722_100200/,Anuncio actualizado el 13/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),76 m²,,3,1,,TC1153-608635,,,,N/A,,N/A,,,N/A,,,,,,,,Más de 50 años,,,En buen estado,Más de 100 €,,,,,,,,N/A,,,,,,,,,,
Piso en Carrer de la Pau,INMOBILIARIA ICL GESTIONS,2.295 €/m²,140.000 €,61 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08923-45862134232_501116/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),61 m²,53 m²,2,1,N/A,501116-000630,,Gres,N/A,Frío y calor,,Nueva a estrenar (amaricana),,,,N/A,,Sur,,,,Bajo,,N/A,,A estrenar,,,Roble,Aluminio,28 m²,,,,,N/A,,,,,,,,,
Chalet en Singuerlín-Les Oliveres-Can Franquesa-Guinardera,FINCAS MIRAFER,2.600 €/m²,650.000 €,250 m²,https://www.pisos.com/comprar/chalet-singuerlin_les_oliveres_can_franquesa_guinardera08-38355063067_108500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),250 m²,228 m²,4,3,,AG230-1525,N/A,Mármol,N/A,N/A,Gas natural,Individual,N/A,N/A,,N/A,No acristalada,Sur,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Riu Nord-Riu Sud,FINCAS MIRAFER,3.789 €/m²,360.000 €,95 m²,https://www.pisos.com/comprar/piso-riu_nord_riu_sud08922-43344157232_108500/,Anuncio actualizado el 20/02/2025,"A, A","A, A",santa_coloma_de_gramenet (BCN),95 m²,77 m²,3,2,N/A,AG230-Cultura70BJ,N/A,Parquet,N/A,N/A,Eléctrica,Americana,,N/A,N/A,N/A,No acristalada,Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loft en Carrer de Beethoven,INMOBILIARIA ICL GESTIONS,1.331 €/m²,79.900 €,60 m²,https://www.pisos.com/comprar/loft-llati_riera_alta_cementiri_vell08921-41765437198_501116/,Anuncio actualizado el 25/11/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),60 m²,54 m²,1,1,N/A,501116-000623,,Gres,N/A,,,N/A,,,,N/A,,Norte,,,,Bajo,,N/A,,En buen estado,,,Lacadas,Aluminio,N/A,,,,,,,,,,,,,,
Piso en Carrer de Beethoven,Group Ji-Ber Internacional,2.740 €/m²,137.000 €,50 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-48420641693_517058/,Anuncio actualizado el 15/10/2024,"F, F","F, F",santa_coloma_de_gramenet (BCN),50 m²,48 m²,2,1,N/A,4517058-000069,,Parquet,,,,N/A,,N/A,,,Comunitaria,,,,,Entresuelo,Entre 30 y 50 años,N/A,N/A,Reformado,,,N/A,Aluminio,N/A,N/A,,,,N/A,N/A,,,,,,,,
Piso en Raval-Santa Rosa-Safaretjos,"ESTUDI SANTA COLOMA, S.L.U",2.045 €/m²,135.000 €,66 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-50016037746_100200/,Anuncio actualizado el 20/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),66 m²,,2,1,,TC204-603716,,Gres,,N/A,,N/A,,,,,,,,,,3ª,Más de 50 años,,,A reformar,,N/A,,,,,,,,,,,,,,,,,
"Piso en Carrer de Sant Andreu, 13",VOLCASA,2.156 €/m²,110.000 €,51 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-48395809778_519874/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),51 m²,48 m²,3,1,N/A,4519874-SantAndreu,,Gres,,,,N/A,,,,,,Noreste,,,,Entresuelo,Más de 50 años,,,En buen estado,,,,Aluminio,N/A,N/A,,,N/A,N/A,N/A,,,,,,,,
Piso en Carrer de la Circumval·lació,VICTORIA DIEGO AGENTE INMOBILARIO,3.092 €/m²,300.000 €,97 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos-50866836137_529351/,Anuncio actualizado el 20/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),97 m²,87 m²,4,2,N/A,529351-000011,,Porcelana,Ventanas con mosquiteras,Frío y calor,Gas natural,N/A,N/A,N/A,N/A,N/A,N/A,Noreste,,,,Bajo,Entre 30 y 50 años,N/A,,Reformado,Entre 20 y 40 €,,Haya,Aluminio,N/A,N/A,,,N/A,N/A,,N/A,,,,,,,
Piso en Avinguda de la Generalitat,LA CASA AGENCY -LLEFIÀ,2.134 €/m²,190.000 €,89 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos-51682550961_516553/,Anuncio actualizado el 19/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),89 m²,85 m²,3,1,,4516553-VTA-GENERALITAT,,Parquet,,,Gas natural,"Amplia, con lavadero",,N/A,N/A,,,Este,N/A,,,2ª,Más de 50 años,N/A,,En buen estado,,,,Aluminio,Amplio,,,,,,N/A,,N/A,,,,,,
