nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Exterior,Referencia,Armarios empotrados,Tipo suelo,Vidrios dobles,Aire acondicionado,Calefacción,Cocina equipada,Trastero,Puerta blindada,Ascensor,Adaptado a personas con movilidad reducida,Terraza,Orientación,Interior,Chimenea,Jardín,Planta,Antigüedad,Lavadero,Sistema de seguridad,Conservación,Gastos de comunidad,Amueblado,Carpintería interior,Carpintería exterior,Comedor,Portero automático,Superficie solar,Garaje,Balcón,Soleado,Se aceptan mascotas,Gas,Teléfono,Agua,Piscina,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada
Dúplex en Carrer d'en Pons i Pons,pisos 22,1.900 €/m²,190.000 €,100 m²,https://www.pisos.com/comprar/duplex-raval_santa_rosa_safaretjos08923-49235714807_518459/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),100 m²,95 m²,2,1,,4518459-2024/64,,,,,Gas natural,N/A,,N/A,N/A,N/A,,Sur,N/A,,,Bajo,Entre 20 y 30 años,,,En buen estado,Entre 20 y 40 €,,N/A,,N/A,N/A,,,,,N/A,N/A,,,,,,,
Piso en Carrer de Prat de la Riba,YOUR HOME IN BARCELONA REAL ESTATE,4.814 €/m²,260.000 €,54 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08921-50888309889_520565/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),54 m²,46 m²,2,1,N/A,520565-YHSA-00048,,,,Aerotermia,Aerotermia,N/A,,,N/A,,N/A,,,,,2ª,,,,A estrenar,,,,,N/A,,,,N/A,,,,,,Comunitaria,,,,
Dúplex en Carrer d'en Pons i Pons,pisos 22,2.600 €/m²,195.000 €,75 m²,https://www.pisos.com/comprar/duplex-raval_santa_rosa_safaretjos08923-42517753584_518459/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),75 m²,70 m²,2,2,N/A,4518459-000222,,Parquet,,,,N/A,,N/A,N/A,,N/A,,,,,2ª,Entre 10 y 20 años,,,Reformado,Entre 40 y 60 €,,N/A,Aluminio,N/A,N/A,,,N/A,N/A,N/A,N/A,,,,,,,
"Casa en Carrer del Doctor Pagès, 36",INMO- INMUEBLES & INTERIORISMO,2.169 €/m²,525.000 €,242 m²,https://www.pisos.com/comprar/casa-centre_can_mariner08922-47502983941_100500/,Anuncio actualizado el 04/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),242 m²,214 m²,4,4,,SA5255-Sta_Coloma_casa/6359,,Parquet,,N/A,N/A,,N/A,N/A,,,N/A,Norte,,,,,Entre 20 y 30 años,,N/A,,,N/A,,,N/A,,87 m²,1,,,,,N/A,N/A,,,,,
Chalet en Carrer de Wilson,YOUR HOME IN BARCELONA REAL ESTATE,2.297 €/m²,540.000 €,235 m²,https://www.pisos.com/comprar/chalet-llati_riera_alta_cementiri_vell08921-48340766685_520565/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),235 m²,225 m²,3,4,,520565-YHSA-00039,,,,,Gas natural,,,,,,N/A,,,,,,Entre 10 y 20 años,,,En buen estado,,,,Aluminio,,,,1,,,,,,,Propia,,,,
Piso en Singuerlín-Les Oliveres-Can Franquesa-Guinardera,Desarrollo Singuerlin Slu,2.207 €/m²,170.000 €,77 m²,https://www.pisos.com/comprar/piso-singuerlin_les_oliveres_can_franquesa_guinardera08-50031050626_100200/,Anuncio actualizado el 18/01/2025,"C, D","C, D",santa_coloma_de_gramenet (BCN),77 m²,,3,1,,TC1153-603650,,Mármol,,,,N/A,,,,,,,,,,,Más de 50 años,,,Reformado,,,,,,,,,,,,,,,,,,,
Casa en Avenida Anselm de Rius,L´AGENCIA GESTIO IMMOBILIARIA,2.104 €/m²,362.000 €,172 m²,https://www.pisos.com/comprar/casa-singuerlin_les_oliveres_can_franquesa_guinardera08-41725142297_992337/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),172 m²,155 m²,5,2,,4992337-1673,,Hidraulico,,Frío,Gas natural,N/A,,,,N/A,N/A,,,,Privado,,Más de 50 años,N/A,,En buen estado,,,,Aluminio,N/A,,502 m²,1,,,,,,,,,,,
Ático en Carrer de Mossèn Jacint Verdaguer,pisos 22,2.030 €/m²,132.000 €,65 m²,https://www.pisos.com/comprar/atico-santa_coloma_de_gramenet_fondo08922-49251343277_518459/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),65 m²,60 m²,2,1,N/A,4518459-2024/61,,Ceramica,,,,N/A,,N/A,,,N/A,Suroeste,,,,4ª,Más de 50 años,N/A,,Reformado,Entre 20 y 40 €,,N/A,Aluminio,N/A,N/A,,,,N/A,N/A,,,,,,,,
Piso en Carrer de Nàpols,ZONA FINCAS,2.073 €/m²,141.000 €,68 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-51675069853_514358/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),68 m²,54 m²,3,1,N/A,514358-S25/124,,Terrazo,,,,Salida a galería,,,N/A,,,,,,,Entresuelo,Más de 50 años,,,A reformar,,,,,Salida a balcón.,,,,N/A,,,,,,,,,,
Piso en Avinguda del Sanatori,PROJECT HOUSE REAL ESTATE,2.619 €/m²,165.000 €,63 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-41693020099_518261/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),63 m²,57 m²,3,1,N/A,4518261-425B,,Gres,,,Gas natural,N/A,,,N/A,,,,,,,1ª,Más de 50 años,N/A,,En buen estado,,,N/A,Aluminio,N/A,N/A,,,,N/A,,N/A,N/A,,,,,,
Chalet en Carrer de Sants,Sweet Home BCN,1.636 €/m²,450.000 €,275 m²,https://www.pisos.com/comprar/chalet-singuerlin_les_oliveres_can_franquesa_guinardera08-51696637562_100500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),275 m²,270 m²,6,3,,SA5839-5791,,,,,,,N/A,,,,N/A,Sur,,,,,Más de 50 años,,,A reformar,,,,,,,587 m²,1,,,,,,,,,,,
Piso en Rambla de Sant Sebastià,ZONA FINCAS,3.039 €/m²,310.000 €,102 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08922-50878407230_514358/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),102 m²,80 m²,3,1,N/A,514358-24/004,,Parquet,,Frío y calor,,N/A,,N/A,N/A,,N/A,,N/A,,,2ª,Más de 50 años,,,Reformado,,,,,N/A,,,,,,,,,,,,,,
Piso en Riu Nord-Riu Sud,"ESTUDI SANTA COLOMA, S.L.U",3.380 €/m²,240.000 €,71 m²,https://www.pisos.com/comprar/piso-riu_nord_riu_sud08922-50918599186_100200/,Anuncio actualizado el 12/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),71 m²,,3,1,,TC204-607191,,,,,,,,,N/A,,N/A,,,,,,Más de 50 años,,,En buen estado,,,,,,,,,,,,,,,,,,,
Piso en Raval-Santa Rosa-Safaretjos,Projecte Santa Rosa Slu,2.012 €/m²,165.000 €,82 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-51714030887_100200/,Anuncio actualizado el 12/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),82 m²,,4,1,,TC1110-609679,,,,,,,,,,,,,,,,2ª,Más de 50 años,,,En buen estado,,,,,,,,,,,,,,,,,,,
Piso en Raval-Santa Rosa-Safaretjos,Projecte Santa Rosa Slu,2.333 €/m²,280.000 €,120 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-51673151759_100200/,Anuncio actualizado el 10/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),120 m²,,3,1,,TC1110-609133,,,,,,,,,,,,,,,,4ª,Más de 50 años,,,En buen estado,,,,,,,,,,,,,,,,,,,
Piso en Centre-Can Mariner,"Inmolledoner, s.l",2.251 €/m²,299.500 €,133 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08922-51723586883_528050/,Anuncio actualizado el 19/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),133 m²,133 m²,3,1,,4528050-LCB35044-santacoloma,,,,,,,,,,,N/A,Norte,,,,Bajo,,,,A reformar,,,,Madera,,,,1,,,,,,,,,,,
Piso en Carrer de Sant Andreu,ZONA FINCAS,2.109 €/m²,135.000 €,64 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-49231271141_514358/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),64 m²,48 m²,2,1,,514358-ZF24/001,,,,,,Independiente,,N/A,,,,,,,,Entresuelo,Más de 50 años,,,En buen estado,Entre 10 y 20 €,,Carpinteria aluminio blanca/ plata,,Salón muy amplio (se le añadió 1 dormitorio).,,,,,,,,,,,,,,
Piso en Centre-Can Mariner,"ESTUDI NOVA RIPOLLET, S.L.U.",2.424 €/m²,159.990 €,66 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08922-50919395594_100200/,Anuncio actualizado el 18/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),66 m²,,2,1,,TC682-606823,,,,,,,,,,,,,,,,,Más de 50 años,,,En buen estado,,,,,,,,,,,,,,,,,,,
Piso en Singuerlín-Les Oliveres-Can Franquesa-Guinardera,Desarrollo Singuerlin Slu,3.037 €/m²,325.000 €,107 m²,https://www.pisos.com/comprar/piso-singuerlin_les_oliveres_can_franquesa_guinardera08-51679859752_100200/,Anuncio actualizado el 13/02/2025,"E, D","E, D",santa_coloma_de_gramenet (BCN),107 m²,,4,2,,TC1153-609434,,,,,Central,N/A,,,,,,,,,,2ª,Entre 20 y 30 años,,,En buen estado,,,,,,,,,,,,,,,,,,,
Piso en Centre-Can Mariner,"ESTUDI NOVA RIPOLLET, S.L.U.",3.083 €/m²,262.100 €,85 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08922-50867716608_100200/,Anuncio actualizado el 21/01/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),85 m²,,3,1,,TC682-606821,,,,,,,,,N/A,,N/A,,,,,1ª,Entre 20 y 30 años,,,En buen estado,,,,,,,,,N/A,,,,,,,,,,
Ático en Avinguda de la Generalitat,ZONA FINCAS,4.110 €/m²,279.500 €,68 m²,https://www.pisos.com/comprar/atico-centre_can_mariner08922-50014953851_514358/,Anuncio actualizado el 19/02/2025,"G, F","G, F",santa_coloma_de_gramenet (BCN),68 m²,55 m²,2,1,N/A,514358-AT24/183,,,,Frío y calor,Central,Independiente con salida a galeria,,N/A,N/A,,18m,,,,,5ª,Entre 30 y 50 años,N/A,,Reformado,Entre 40 y 60 €,,,Aluminio,Con salida a preciosa terraza,,,,,N/A,,,,,,,,,
Piso en Carrer de Florència,ZONA FINCAS,2.523 €/m²,159.000 €,63 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-50837500475_514358/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),63 m²,54 m²,3,1,,514358-ZF24/006,,Gres,,,,Independiente con salida a galería.,,,,,,,N/A,,,2ª,Más de 50 años,N/A,,En buen estado,Entre 20 y 40 €,,,Aluminio,N/A,,,,,,,,,,,,,,
Piso en Carrer del Mas Marí,FLORANGE,1.750 €/m²,105.000 €,60 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-49264790283_519523/,Anuncio actualizado el 18/11/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),60 m²,53 m²,3,1,,4519523-83,,,,,,,,,,,,,,,,3ª,Más de 50 años,N/A,,En buen estado,Entre 20 y 40 €,,,,,,,,,,,,,,,,,,
"Piso en Carrer del Rellotge, 21",FINQUES ENRIC,1.656 €/m²,111.000 €,67 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08923-51738085205_100500/,Anuncio actualizado el 19/02/2025,"G, E","G, E",santa_coloma_de_gramenet (BCN),67 m²,60 m²,3,1,N/A,SA5788-6149,,,,,,,,,,,,Sur,,,,2ª,Más de 50 años,,,A reformar,,,,,,,,,N/A,,,,,,,,,,
Chalet en Carrer d'Eiximenis,Sweet Home BCN,3.216 €/m²,386.000 €,120 m²,https://www.pisos.com/comprar/chalet-singuerlin_les_oliveres_can_franquesa_guinardera08-51689403802_100500/,Anuncio actualizado el 11/02/2025,"F, G","F, G",santa_coloma_de_gramenet (BCN),120 m²,115 m²,3,1,,SA5839-5812,,,,N/A,,,N/A,,,,N/A,Sur,,,,,Más de 50 años,,,En buen estado,,,,,,,480 m²,,,,,,,,,,,,
Piso en Carrer de Mossèn Jacint Verdaguer,VICTORIA DIEGO AGENTE INMOBILARIO,2.246 €/m²,155.000 €,69 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-51715012347_529351/,Anuncio actualizado el 14/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),69 m²,65 m²,3,1,N/A,529351-000023,,Gres,,,Gas natural,A reformar,,N/A,,,,,,,,2ª,Más de 50 años,,,En buen estado,Entre 20 y 40 €,,Roble,Aluminio,Soleado,N/A,,,N/A,N/A,,Natural,,,,,,,
Ático en Centre-Can Mariner,"Inmolledoner, s.l",4.818 €/m²,279.500 €,58 m²,https://www.pisos.com/comprar/atico-centre_can_mariner-48423617175_528050/,Anuncio actualizado el 19/02/2025,"G, F","G, F",santa_coloma_de_gramenet (BCN),58 m²,58 m²,2,1,N/A,4528050-LCB32928-SANTACOLOMA-LUIS,,Gres,,,,Independiente,,,N/A,,N/A,Este,,,,5ª,Entre 30 y 50 años,Galeria,,En buen estado,,,,Aluminio,N/A,,,,,,,,,,,,,,
Piso en Carrer de Verdi,CASA TEVA SERVEIS IMMOBILIARIS,1.923 €/m²,175.000 €,91 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08922-50000660845_526201/,Anuncio actualizado el 18/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),91 m²,73 m²,4,1,N/A,4526201-B420,,Gres,,,,Independiente,,,,,N/A,Sureste,,,,4ª,Más de 50 años,N/A,,A reformar,Entre 40 y 60 €,,Sapelly,Madera,N/A,,,,,,,,,,,,,,
"Piso en Rambla del Fondo, 1",SEGURPISO GESTION INMOBILIARIA,2.744 €/m²,247.000 €,90 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-44193666731_528240/,Anuncio actualizado el 19/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),90 m²,87 m²,3,2,N/A,4528240-000004,,Gres,N/A,,Gas natural,Con salida a la terraza,,N/A,N/A,N/A,N/A,Norte,N/A,,,2ª,Entre 20 y 30 años,N/A,N/A,En buen estado,Entre 20 y 40 €,,,Aluminio,Con salida al balcón,N/A,,1,N/A,N/A,N/A,N/A,,,,,,,
Piso en Carrer del Rellotge,INTERFINQUES,1.563 €/m²,111.000 €,71 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo-32536698522_500513/,Anuncio actualizado el 20/02/2025,"G, E","G, E",santa_coloma_de_gramenet (BCN),71 m²,60 m²,4,1,N/A,500513-8183-8004-60740159,,Gres,,,,N/A,,,,,,Sur,,,,2ª,Más de 50 años,,,En buen estado,N/A,,,Aluminio,N/A,,,,N/A,,,,,,,,,,
"Casa en Carrer d'Isaac Albéniz, 18",FINCAS EVA,2.284 €/m²,450.000 €,197 m²,https://www.pisos.com/comprar/casa-singuerlin_les_oliveres_can_franquesa_guinardera08-40888598178_109300/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),197 m²,165 m²,5,3,,EP918-ON-AVK01,,,,,,Americana,N/A,,,,,,,,,,Menos de 5 años,,,A estrenar,,,,,,,,N/A,,,,,,,,,,,
Piso en Carrer de Roma,ZONA FINCAS,1.978 €/m²,186.000 €,94 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell-39201681008_514358/,Anuncio actualizado el 19/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),94 m²,89 m²,2,1,N/A,514358-ZF23/069,,Terrazo,,,,N/A,,,,,,,,,,1ª,Entre 30 y 50 años,,,En buen estado,,,N/A,Aluminio,N/A,,,,N/A,,,,,,,,,,
Piso en Fondo,MACROFINCAS S.L,1.923 €/m²,175.000 €,91 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08922-49167184085_100500/,Anuncio actualizado el 08/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),91 m²,72 m²,4,1,,SA565-MCB6035UC/1454,,Gres,,,,,,,,,N/A,,,,,4ª,Más de 50 años,,,,,,,,,,,,,,,,,N/A,,,,,
Piso en Carrer de Wagner,Loft Serveis Immobiliaris,2.068 €/m²,120.000 €,58 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08922-51725732218_501141/,Anuncio actualizado el 19/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),58 m²,52 m²,2,1,N/A,501141-03-023600,,Parquet,,,,,,,,,,,,,,Entresuelo,,N/A,,En buen estado,,,N/A,Aluminio,N/A,N/A,,,,N/A,N/A,,,,,,,,
Casa en Carrer de Wilson,ZONA FINCAS,2.088 €/m²,710.000 €,340 m²,https://www.pisos.com/comprar/casa-llati_riera_alta_cementiri_vell08921-45911684237_514358/,Anuncio actualizado el 19/02/2025,"D, C","D, C",santa_coloma_de_gramenet (BCN),340 m²,288 m²,10,2,,514358-24/157,,,,,,N/A,,,,,N/A,,,,,,Más de 50 años,,,En buen estado,,,,,N/A,,,,,,,,,,,,,,
Piso en Carrer d'en Dalmau,SEGURPISO GESTION INMOBILIARIA,2.163 €/m²,225.000 €,104 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08923-50023431309_528240/,Anuncio actualizado el 19/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),104 m²,94 m²,3,1,N/A,4528240-Dalmau,,Gres,,,,Cocina office,,N/A,N/A,,,Sur,,,,1ª,Entre 30 y 50 años,Lavadero para tender y lavanderia,,En buen estado,Entre 20 y 40 €,,,Aluminio,Comedor independiente 20 m²,N/A,,,,,N/A,N/A,,,,,,,
Ático en Centre-Can Mariner,LA CASA AGENCY PUNT POBLE SEC REAL ESTATE,2.495 €/m²,179.700 €,72 m²,https://www.pisos.com/comprar/atico-centre_can_mariner08921-49264749981_101800/,Anuncio actualizado el 14/11/2024,"G, F","G, F",santa_coloma_de_gramenet (BCN),72 m²,,4,1,,IF77106-LCB33441-1,,,,,Central,,,,,,,,,,,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,
Casa en Esglesia Major,INMOSANFER,2.657 €/m²,380.000 €,143 m²,https://www.pisos.com/comprar/casa-centre_can_mariner08921-49215598894_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),143 m²,100 m²,3,1,,SA5324-3002/11569,,,,N/A,N/A,,,,,,,Este,,,N/A,,Más de 50 años,,N/A,,,,,,,,,1,,,,,N/A,N/A,,,,,
Ático en Avinguda de la Generalitat,ZONA FINCAS,4.110 €/m²,279.500 €,68 m²,https://www.pisos.com/comprar/atico-centre_can_mariner08922-48371433623_514358/,Anuncio actualizado el 19/02/2025,"G, F","G, F",santa_coloma_de_gramenet (BCN),68 m²,55 m²,2,1,N/A,514358-24/183,,,,Frío y calor,Central,Independiente con salida a galeria,,N/A,N/A,,18m,,,,,5ª,Entre 30 y 50 años,N/A,,Reformado,Entre 40 y 60 €,,,Aluminio,Con salida a preciosa terraza,,,,,N/A,,,,,,,,,
Piso en Carrer de Beethoven,VICTORIA DIEGO AGENTE INMOBILARIO,2.421 €/m²,155.000 €,64 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-51705305000_529351/,Anuncio actualizado el 16/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),64 m²,57 m²,3,1,,529351-000022,,Gres,,Frío y calor,,A reformar,,N/A,N/A,N/A,,,N/A,,,1ª,Más de 50 años,N/A,,En buen estado,Entre 20 y 40 €,,,Aluminio,Soleado,N/A,,,,N/A,,,,,,,,,
Piso en Fondo,URBENIA,1.333 €/m²,96.000 €,72 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08922-47583704148_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),72 m²,43 m²,3,1,N/A,EP1014-94970,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda de la Generalitat,VICTORIA DIEGO AGENTE INMOBILARIO,2.031 €/m²,130.000 €,64 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08922-51735703979_529351/,Anuncio actualizado el 15/02/2025,"E, F","E, F",santa_coloma_de_gramenet (BCN),64 m²,56 m²,2,1,,529351-000021,,Parquet,Blindados,,,Reformada,,,En gestión,,,Noreste,,,,4ª,Entre 30 y 50 años,N/A,N/A,En buen estado,Entre 20 y 40 €,,Lacada blanca,Aluminio,16 exterior,N/A,,,,N/A,N/A,Natural,,,,,,,
Dúplex en Carrer de Pau Claris,Loft Serveis Immobiliaris,3.066 €/m²,138.000 €,45 m²,https://www.pisos.com/comprar/duplex-raval_santa_rosa_safaretjos08923-50932831837_501141/,Anuncio actualizado el 19/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),45 m²,35 m²,2,2,N/A,501141-SC0320385,,Gres,,,,Americana,,,,,,,,,,Bajo,Más de 50 años,,,Reformado,,,Lacada,Aluminio,Exterior,,,,,,N/A,,,,,,,,
Piso en Centre-Can Mariner,"ESTUDI NOVA RIPOLLET, S.L.U.",2.666 €/m²,199.999 €,75 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08922-50908468234_100200/,Anuncio actualizado el 18/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),75 m²,,3,1,,TC682-606822,,,,,,,,,N/A,,,,,,,,Más de 50 años,,,En buen estado,,,,,,,,,N/A,,,,,,,,,,
Piso en Carrer de Nàpols,FINCAS BERNAL,2.254 €/m²,115.000 €,51 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-51761685227_528265/,Anuncio actualizado el 19/02/2025,"D, E","D, E",santa_coloma_de_gramenet (BCN),51 m²,42 m²,2,1,,4528265-NAPOLES 8,,,,,Gas natural,N/A,,,,,,,N/A,,,3ª,Más de 50 años,N/A,,En buen estado,,,,,N/A,,,,,N/A,,N/A,,,,,,,
Dúplex en Centre-Can Mariner,LA CASA AGENCY PUNT POBLE SEC REAL ESTATE,3.471 €/m²,670.000 €,193 m²,https://www.pisos.com/comprar/duplex-centre_can_mariner08921-47596516145_101800/,Anuncio actualizado el 31/10/2024,"G, G","G, G",santa_coloma_de_gramenet (BCN),193 m²,,3,3,,IF77106-LCB31305-1,,,,,Central,,N/A,,N/A,,N/A,,,,,4ª,Entre 20 y 30 años,,,,,,,,,,,1,,,,,,,,,,,
Piso en Santa Rosa,MACROFINCAS S.L,2.400 €/m²,180.000 €,75 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-65858692186_104400/,Anuncio actualizado el 21/10/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),75 m²,67 m²,2,1,,SA565-MCB2402AL/1454,,,,,Gas natural,,N/A,N/A,,,N/A,Norte,,,,2ª,Más de 50 años,,,,Entre 20 y 40 €,,,,,,,,,,,,,N/A,,,,,
Piso en Avinguda de Santa Coloma,VICTORIA DIEGO AGENTE INMOBILARIO,2.592 €/m²,140.000 €,54 m²,https://www.pisos.com/comprar/piso-riu_nord_riu_sud08922-51704061899_529351/,Anuncio actualizado el 18/02/2025,"G, F","G, F",santa_coloma_de_gramenet (BCN),54 m²,49 m²,2,1,,529351-000028,,Gres,,Frío y calor,,Nueva,,Nueva,N/A,N/A,,Suroeste,N/A,,,4ª,Más de 50 años,Independiente,,A estrenar,35,,Aluminio,Aluminio,14 mts,N/A,,,,,,N/A,,,,,,,
Piso en Carrer del Rellotge,Aliseda Inmobiliaria,1.682 €/m²,106.000 €,63 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08923-41674126538_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),63 m²,,3,1,,AN1-ANT00030659014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda de Santa Coloma,FINCAS INTER-HOGAR Barcelona,2.258 €/m²,140.000 €,62 m²,https://www.pisos.com/comprar/piso-riu_nord_riu_sud08922-51699443918_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),62 m²,55 m²,2,1,,SA5805-Sfavenida09/12415,1,,,,Eléctrica,,,,N/A,,,,,,,2ª,Entre 20 y 30 años,,,,,,,,,,,,,,,,,,,,,,
Ático en Carrer de Verdi,INTERFINQUES,1.861 €/m²,175.000 €,94 m²,https://www.pisos.com/comprar/atico-santa_coloma_de_gramenet_fondo08922-49210909199_500513/,Anuncio actualizado el 20/02/2025,"G, F","G, F",santa_coloma_de_gramenet (BCN),94 m²,72 m²,4,1,N/A,500513-9099,,Gres,,,,N/A,,,,,N/A,Sur,N/A,,,4ª,Más de 50 años,N/A,,A reformar,N/A,,,Madera,N/A,,,,,N/A,,,,,,,,,
Piso en Carrer de Sant Ernest,VOLCASA,1.935 €/m²,149.000 €,77 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos-50051770992_519874/,Anuncio actualizado el 27/01/2025,"F, F","F, F",santa_coloma_de_gramenet (BCN),77 m²,74 m²,3,1,N/A,4519874-Stk-Ern,,Gres,,,,con galería,,N/A,,,,Noreste,,,,2ª,Más de 50 años,,,En buen estado,,,,Aluminio,,N/A,,,N/A,N/A,N/A,,,,,,,,
Piso en Carrer d'en Baró,VICTORIA DIEGO AGENTE INMOBILARIO,2.750 €/m²,220.000 €,80 m²,https://www.pisos.com/comprar/piso-riu_nord_riu_sud08921-50862382132_529351/,Anuncio actualizado el 17/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),80 m²,78 m²,2,2,N/A,4529351-1,,Gres,N/A,Frío y calor,Eléctrica,Offis,100,N/A,,N/A,,Noreste,,,,Bajo,Más de 50 años,N/A,,A estrenar,Entre 10 y 20 €,,Roble,Aluminio,25,N/A,,,,N/A,,,,,,,,,
Ático en Llatí-Riera Alta-Cementiri Vell,Engel & Völkers MMC Barcelona,2.669 €/m²,355.000 €,133 m²,https://www.pisos.com/comprar/atico-llati_riera_alta_cementiri_vell08921-44265417832_101800/,Anuncio actualizado el 31/05/2024,"A, A","A, A",santa_coloma_de_gramenet (BCN),133 m²,,2,2,,IF76306-I-00YAZ9-W-02VTHS,,,,,Central,N/A,,,N/A,,N/A,,,,,,Menos de 5 años,,,,,,,,,,,,,,,,,,,,,,
