nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Tipo suelo,Aire acondicionado,Cocina equipada,Lavadero,Trastero,Terraza,Jardín,Planta,Exterior,Calefacción,Ascensor,Adaptado a personas con movilidad reducida,Balcón,Soleado,Armarios empotrados,Chimenea,Garaje,Piscina,Orientación,Gastos de comunidad,Puerta blindada,Tipo de casa,Carpintería exterior,Vidrios dobles,Sistema de seguridad,Agua,Teléfono,Luz,Gas,Urbanizado,Calle alumbrada,Calle asfaltada,Carpintería interior,Comedor,Portero automático,Interior,Amueblado,Se aceptan mascotas,No se aceptan mascotas
Casa en Carrer de Roger de Flor,LOFT aicat N° 2696,714 €/m²,210.000 €,294 m²,https://www.pisos.com/comprar/casa-sant_feliu_de_codines_centro_urbano-15042191987_225100/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),294 m²,250 m²,155 m²,5,3,Más de 50 años,A reformar,2251-001420,Gres,,,,,,,,,Gasoil,,,,,Más de 2,,,,Este,,,,Aluminio,,,,,Otra compañía,N/A,N/A,N/A,N/A,,,,,,,
Piso en Barri Congost,FINQUES GRAN CASA,1.954 €/m²,138.800 €,71 m²,https://www.pisos.com/comprar/piso-canovelles_centro_urbano-50092572441_100500/,Anuncio actualizado el 24/01/2025,"E, E","E, E",valles_oriental (BCN),71 m²,62 m²,,2,1,Entre 30 y 50 años,En buen estado,SA106-24060,Terrazo,,Cocina amueblada,N/A,N/A,,,2ª,N/A,Central,,,N/A,N/A,,,,,Sur,,,,,,N/A,,,,,,,,,,,,,,
Chalet en Avinguda de Piera,FINCAS LEON MONTORNES,1.339 €/m²,750.000 €,560 m²,https://www.pisos.com/comprar/chalet-martorelles_centro_urbano-40096040259_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_oriental (BCN),560 m²,479 m²,760 m²,4,5,,En buen estado,SA1543-LV12065,Terrazo,Frío,Cocina equipada,N/A,,N/A,Privado,,,Gasoil,,,,,,N/A,,,Sur,,,,,,,,,,,,,,,,,,,,
Casa unifamiliar en Carrer del Canigó,BENE INTERIORISME 2004 SL,1.923 €/m²,450.000 €,234 m²,https://www.pisos.com/comprar/casa_unifamiliar-la_garriga_centro_urbano-19260278167_522044/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_oriental (BCN),234 m²,196 m²,400 m²,3,3,Entre 20 y 30 años,En buen estado,4522044-V50,Gres,,N/A,N/A,,N/A,Privado,,,Gasoil,,N/A,,,Más de 2,N/A,2,,Suroeste,,N/A,Unifamiliar,Aluminio,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,
Casa en Lliçà d'Amunt,FORCADELL VALLÈS,2.000 €/m²,398.000 €,199 m²,https://www.pisos.com/comprar/casa-llica_amunt_centro_urbano-45018729745_101800/,Anuncio actualizado el 20/02/2025,"E, D","E, D",valles_oriental (BCN),199 m²,,,3,2,,,IF76844-MOL_2694,,,,,,N/A,,,,Central,,,,,,,,Propia,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda de Sant Esteve,INMOBILIARIA  ESTEVE BRACHS,2.549 €/m²,390.000 €,153 m²,https://www.pisos.com/comprar/piso-granollers_centre08402-51694087276_110400/,Anuncio actualizado el 20/02/2025,"G, F","G, F",valles_oriental (BCN),153 m²,140 m²,,4,3,Entre 30 y 50 años,En buen estado,1104-00059,Parquet,Frío y calor,N/A,,,N/A,,2ª,N/A,Gas natural,N/A,N/A,N/A,N/A,,N/A,2,,,,N/A,,Aluminio,N/A,,,N/A,,N/A,,,,Puertas lacadas en blanco,N/A,N/A,,,,
Piso en Carrer de Montserrat,FINCAS LEON MONTMELO,2.288 €/m²,103.000 €,45 m²,https://www.pisos.com/comprar/piso-montmelo_centro_urbano-49185868556_100500/,Anuncio actualizado el 20/02/2025,"G, G","G, G",valles_oriental (BCN),45 m²,40 m²,,1,1,Más de 50 años,En buen estado,SA1545-EV11377,Gres,,Cocina americana,N/A,,,,Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Corró d'Avall,Engel & Völkers MMC Barcelona,2.980 €/m²,232.500 €,78 m²,https://www.pisos.com/comprar/piso-corro_avall-4923132870_109700/,Anuncio actualizado el 27/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),78 m²,,,3,2,,A estrenar,IF76306-D-000MBH,,Frío y calor,,,,,,,,,,N/A,N/A,,,,N/A,,A la montaña,,,,Aluminio,N/A,,,,,,,,,,,,,,,
Piso en Carrer del Coll,AGRADI FINQUES,3.430 €/m²,295.000 €,86 m²,https://www.pisos.com/comprar/piso-cardedeu_centro_urbano-32518511233_516807/,Anuncio actualizado el 20/02/2025,"B, B","B, B",valles_oriental (BCN),86 m²,71 m²,,3,2,Menos de 5 años,A estrenar,516807-000837,Parquet,,Americana,,,"76,50",Privado,Bajo,,Gas natural,N/A,N/A,,N/A,,,,,Sur,,,,Aluminio,N/A,,,,,N/A,,,,N/A,N/A,N/A,N/A,,,
"Casa en Carrer de Santiago Rusiñol, 28",ABS SERVEIS INMOBILIARIS,2.318 €/m²,320.000 €,138 m²,https://www.pisos.com/comprar/casa-llica_amunt_centro_urbano-50921731401_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_oriental (BCN),138 m²,104 m²,788 m²,4,2,Más de 50 años,,SA336-00493/604,Mármol,,,,N/A,N/A,N/A,,,Eléctrica,,,,,,N/A,1,Propia,Sur,,,,,,,N/A,,,,N/A,,,,,,,,,
