nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Tipo suelo,Aire acondicionado,Cocina equipada,Lavadero,Trastero,Terraza,Jardín,Planta,Exterior,Calefacción,Ascensor,Adaptado a personas con movilidad reducida,Balcón,Soleado,Armarios empotrados,Chimenea,Garaje,Piscina,Orientación,Gastos de comunidad,Puerta blindada,Tipo de casa,Carpintería exterior,Vidrios dobles,Sistema de seguridad,Agua,Teléfono,Luz,Gas,Urbanizado,Calle alumbrada,Calle asfaltada,Carpintería interior,Comedor,Portero automático,Interior,Amueblado,Se aceptan mascotas,No se aceptan mascotas
Casa en Vilanova del Vallès,NCLOTI GRUP GESTOR,2.989 €/m²,466.300 €,156 m²,https://www.pisos.com/comprar/casa-vilanova_del_valles_centro_urbano-95073726015_118700/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_oriental (BCN),156 m²,140 m²,1.394 m²,3,2,Más de 50 años,En buen estado,1187-030835,,Frío y calor,N/A,,,N/A,Privado,,,Gas natural,,,,,,,,Propia,,,,,,,,,,,,N/A,N/A,N/A,,N/A,,,,,
"Piso en Carrer del General Padrós, 27",ALFIL IMMOBILIARIA,Error al procesar precio m²,290.000 €,3,https://www.pisos.com/comprar/piso-caldes_de_montbui_centro_urbano-4599366969_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),,,,3,2,,A estrenar,1097-21287780,,,,,,N/A,,Bajo,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Sant Antoni Maria Claret, 10",Nou Niu,2.718 €/m²,280.000 €,103 m²,https://www.pisos.com/comprar/piso-sant_miquel_tres_torres-42536028964_511608/,Anuncio actualizado el 12/02/2025,"B, A","B, A",valles_oriental (BCN),103 m²,89 m²,,3,2,Menos de 5 años,A estrenar,511608-OBRA NOVA CLARET 10 - PRIMER A,Parquet,Frío y calor,N/A,,N/A,,,1ª,N/A,Eléctrica,N/A,,N/A,N/A,,,1,,Sur,,N/A,,Aluminio,N/A,,,,,,,,,,,N/A,,,,
Casa en Carretera de Ribes,MASPI SERVEIS IMMOBILIARIS,718 €/m²,235.000 €,327 m²,https://www.pisos.com/comprar/casa-corro_avall-40924966876_112100/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),327 m²,327 m²,180 m²,,,Más de 50 años,A reformar,1121-002504,,,,,,,,,,,,,,,,,,,Oeste,,,,,,,,,,,N/A,N/A,N/A,,,,,,,
Casa en Lliçà D´Amunt,Tot Immobles San Narciso,1.585 €/m²,260.000 €,164 m²,https://www.pisos.com/comprar/casa-llica_amunt_centro_urbano-48359630623_998850/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),164 m²,164 m²,517 m²,3,2,Entre 30 y 50 años,A reformar,4998850-TOT-2356,Terrazo,,N/A,,,N/A,Privado,,,No dispone,,,,,,N/A,,,,,,,Madera,,,,,,,N/A,N/A,N/A,Madera,N/A,,,,,
Piso en La Roca del Vallès,Àtic La Roca,2.524 €/m²,255.000 €,101 m²,https://www.pisos.com/comprar/piso-la_roca_del_valles_centro_urbano-38354163121_330000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),101 m²,90 m²,,3,2,Entre 20 y 30 años,Reformado,3300-00896,Parquet,Frío y calor,Office,Completo,,,,2ª,N/A,Gas natural,N/A,N/A,N/A,N/A,2,,,,Oeste,Entre 40 y 60 €,,,Aluminio,N/A,,,,,,,,,Nueva de gama alta,24m²,N/A,,,N/A,
Casa en Carrer de Vinaròs,Nou Niu,2.033 €/m²,360.000 €,177 m²,https://www.pisos.com/comprar/casa-llica_amunt_centro_urbano-45840465180_511608/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),177 m²,150 m²,340 m²,4,2,Entre 30 y 50 años,En buen estado,511608-CA-01192,Gres,,,,,N/A,Privado,,,Gasoil,,,,,,N/A,2,,Suroeste,,,,Aluminio,N/A,,,,,,N/A,N/A,N/A,,,,,,,
"Piso en Carrer de València, 15",Nou Niu,2.352 €/m²,200.000 €,85 m²,https://www.pisos.com/comprar/piso-granollers_centre08401-5009387828_109700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),85 m²,,,2,2,,A estrenar,1097-21585199,,,,,,N/A,,Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Camí de Caldes,MASPI SERVEIS IMMOBILIARIS,1.764 €/m²,450.000 €,255 m²,https://www.pisos.com/comprar/casa-santa_eulalia_de_roncana_centro_urbano-51765127692_112100/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),255 m²,200 m²,606 m²,4,4,Más de 50 años,En buen estado,1121-002529,Parquet,Frío,,,,N/A,Privado,,,Gas natural,,,,,Más de 2,,2,,Suroeste,,,,Madera,,,,,,,N/A,N/A,N/A,,,,,,,
Piso en Carrer de Gaietà Ventalló,JPC Serveis Immobiliaris,2.790 €/m²,279.000 €,100 m²,https://www.pisos.com/comprar/piso-mollet_del_valles_centre-49179991775_527412/,Anuncio actualizado el 02/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),100 m²,100 m²,,3,2,Menos de 5 años,A estrenar,4527412-000113,Parquet,Frío y calor,Con isla central,,,,,Bajo,,,N/A,,N/A,,,,,,,,,,Aluminio,,,,,,,,,,,,,,,,
"Piso en Carrer de Bertran de Seva, 64",BONESTIL,3.037 €/m²,243.000 €,80 m²,https://www.pisos.com/comprar/piso-hostal_lledoner-33388940062_514389/,Anuncio actualizado el 20/02/2025,"B, A","B, A",valles_oriental (BCN),80 m²,72 m²,,3,2,Menos de 5 años,A estrenar,514389-PI-1954G,Gres,Aerotermia,Americana,,N/A,N/A,,Bajo,N/A,Aerotermia,,N/A,,,,,1,,Oeste,,N/A,,Aluminio,N/A,,,,,,,,,Lacada blanca,Salon,N/A,,,,
Chalet en Caldes de Montbui,"GESTIONES INMOBILIARIAS RAY, S.L.",1.396 €/m²,458.000 €,328 m²,https://www.pisos.com/comprar/chalet-caldes_de_montbui_centro_urbano-51724760838_216500/,Anuncio actualizado el 19/02/2025,"F, E","F, E",valles_oriental (BCN),328 m²,313 m²,837 m²,4,2,Entre 30 y 50 años,En buen estado,2165-20807,Gres,,13 m² + lavadero 2 m²,,,Porche 54 m² + terraza 15 m²,,,,Gas natural,,,,,Más de 2,,1,Propia,Norte,Sin comunidad,,,Aluminio,,,,N/A,,N/A,Zona urbanizada,N/A,Zona asfaltada,,2 niveles: 33 m²,,,,N/A,
Chalet en Carrer del Rosselló,IMMOEXIT,1.350 €/m²,370.000 €,274 m²,https://www.pisos.com/comprar/chalet-congost_can_gili08403-50034522256_100500/,Anuncio actualizado el 13/02/2025,"E, A","E, A",valles_oriental (BCN),274 m²,209 m²,1.600 m²,3,2,Más de 50 años,,SA5768-108/12311,,,,,N/A,N/A,N/A,,,,,,,,1,,,Comunitaria,Norte,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Berenguer III, 77",ELORA BUSINES,Error al procesar precio m²,A consultar,73 m²,https://www.pisos.com/comprar/piso-estacio_del_nord_estacio_de_franca-4908385455_109700/,Anuncio actualizado el 07/02/2025,"B, A","B, A",valles_oriental (BCN),73 m²,,,3,2,,A estrenar,4528996-21499972,,,,,,,,1ª,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'Aragó,PROJECT HOUSE REAL ESTATE,2.649 €/m²,219.900 €,83 m²,https://www.pisos.com/comprar/piso-martorelles_centro_urbano-51706727219_518261/,Anuncio actualizado el 08/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),83 m²,80 m²,,2,1,Más de 50 años,Reformado,4518261-485C,Gres,Frío y calor,N/A,N/A,N/A,N/A,,1ª,N/A,Gas natural,,,,N/A,,,,,,,,,Aluminio,N/A,,,,,,,,,N/A,N/A,,,,N/A,
Chalet en Carrer de Bellmunt,UBICA´T GESTIÓ IMMOBILIARIA,1.304 €/m²,475.000 €,364 m²,https://www.pisos.com/comprar/chalet-canovelles_centro_urbano-48356209864_522005/,Anuncio actualizado el 07/02/2025,"E, E","E, E",valles_oriental (BCN),364 m²,364 m²,757 m²,5,4,Entre 30 y 50 años,En buen estado,522005-CAN-13,Mármol rosa portugués,Frío y calor,N/A,N/A,,N/A,Privado,,,Gas natural,,,,,Más de 2,N/A,1,Propia,N/A,,,,Aluminio,Climalit,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,
Piso en Carrer de Corró,RIVAS GRAN HABITAT,2.850 €/m²,285.000 €,100 m²,https://www.pisos.com/comprar/piso-hostal_lledoner08401-47540646248_996907/,Anuncio actualizado el 12/02/2025,"B, A","B, A",valles_oriental (BCN),100 m²,84 m²,,3,2,Menos de 5 años,En buen estado,996907-110426,Parquet,Frío y calor,N/A,,,N/A,,Bajo,N/A,Eléctrica,N/A,N/A,,,Más de 2,,,Comunitaria,Sur,Entre 80 y 100 €,N/A,,Aluminio,N/A,,,,,,,,,,N/A,N/A,,,,
"Piso en calle Bertran de Seva, nº 64",BONESTIL,3.227 €/m²,213.000 €,66 m²,https://www.pisos.com/comprar/piso-hostal_lledoner-33368943464_514389/,Anuncio actualizado el 20/02/2025,"B, A","B, A",valles_oriental (BCN),66 m²,57 m²,,3,2,Menos de 5 años,A estrenar,514389-PI-1954B,Gres,Aerotermia,Americana,,N/A,N/A,,Bajo,N/A,Aerotermia,,N/A,,,,,1,,Oeste,,N/A,,Aluminio,N/A,,,,,,,,,Lacada blanca,Salon,N/A,,,,
Casa en Bigues I Riells,LA CASA AGENCY ECV,1.206 €/m²,310.000 €,257 m²,https://www.pisos.com/comprar/casa-bigues-48383893198_103700/,Anuncio actualizado el 20/02/2025,"G, G","G, G",valles_oriental (BCN),257 m²,,,5,2,Entre 20 y 30 años,En buen estado,BLU3-LCB32604,,,,,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de València, 15",Nou Niu,2.678 €/m²,225.000 €,84 m²,https://www.pisos.com/comprar/piso-granollers_centre08401-5005799770_109700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),84 m²,,,3,2,,A estrenar,1097-21585223,,,,,,N/A,,Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Berenguer III, 77",ELORA BUSINES,3.618 €/m²,275.000 €,76 m²,https://www.pisos.com/comprar/piso-estacio_del_nord_estacio_de_franca-4856659396_109700/,Anuncio actualizado el 18/12/2024,"B, A","B, A",valles_oriental (BCN),76 m²,,,3,2,,A estrenar,4528996-21497186,,,,,,N/A,,1ª,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de València,RIVAS GRAN HABITAT,2.098 €/m²,340.000 €,162 m²,https://www.pisos.com/comprar/casa-les_franqueses_del_valles_bellavista-49243125631_996907/,Anuncio actualizado el 19/02/2025,"G, F","G, F",valles_oriental (BCN),162 m²,162 m²,,5,2,Más de 50 años,En buen estado,996907-110440,Gres,,N/A,N/A,,N/A,Privado,,,Gas natural,,,,,Más de 2,,2,,Este,,,,Aluminio,,,,,,N/A,,,,,N/A,,,,,
Casa en Carrer de Moianès,FINCAS RO,3.197 €/m²,275.000 €,86 m²,https://www.pisos.com/comprar/casa-hostal_lledoner08401-50084502734_100500/,Anuncio actualizado el 19/02/2025,"D, A","D, A",valles_oriental (BCN),86 m²,76 m²,118 m²,4,1,Más de 50 años,,SA5741-PD-05768/12251,Gres,,,,N/A,N/A,,,,Gas natural,,,,,,,,,Este,,N/A,,,,N/A,N/A,,,,,,,,N/A,,,,,
Casa adosada en La Batlloria,FINQUES  ALPHA,2.186 €/m²,199.000 €,91 m²,https://www.pisos.com/comprar/casa_adosada-la_batlloria-50915545133_108500/,Anuncio actualizado el 14/02/2025,"G, G","G, G",valles_oriental (BCN),91 m²,,,3,1,,,AG652-4033/3519,,,Individual,,N/A,,,,,Gas natural,,,,,,N/A,,,,,,Adosada,,,,,,,,,,,,,,,,,
Casa en Carrer Torregassa,ONLLAR IMMOBILIÀRIA,2.238 €/m²,600.000 €,268 m²,https://www.pisos.com/comprar/casa-ametlla_del_valles_centro_urbano-48353528504_100500/,Anuncio actualizado el 20/02/2025,"F, E","F, E",valles_oriental (BCN),268 m²,138 m²,509 m²,4,3,Más de 50 años,,SA2977-1744/6518,,N/A,,,N/A,N/A,N/A,,,Gas natural,,,,,,N/A,,Propia,Suroeste,,,,,,,N/A,,,,,,,,N/A,,,,,
Piso en La Batlloria,FINQUES  ALPHA,2.197 €/m²,167.000 €,76 m²,https://www.pisos.com/comprar/piso-la_batlloria-50888924986_108500/,Anuncio actualizado el 14/02/2025,"G, G","G, G",valles_oriental (BCN),76 m²,66 m²,,2,2,,,AG652-4033/2211,,N/A,,,N/A,,,,N/A,,N/A,,,,,,,,Noroeste,,,,,,,,,,,,,,,,,,,,
Casa en Carrer Garraf,RIVAS GRAN HABITAT,1.671 €/m²,575.000 €,344 m²,https://www.pisos.com/comprar/casa-canovelles_centro_urbano-50071509312_996907/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),344 m²,319 m²,507 m²,3,3,Entre 10 y 20 años,En buen estado,996907-110442,Gres,Frío,N/A,,,N/A,Privado,,,Gas natural,,,,,,N/A,Más de 2,Propia,Este,,,,Aluminio,N/A,,,,,N/A,N/A,,,,N/A,,,,,
"Piso en Carrer de Marià Fortuny, 25",ICASA GRUP,3.793 €/m²,239.000 €,63 m²,https://www.pisos.com/comprar/piso-mollet_del_valles_centre-42525245820_116800/,Anuncio actualizado el 17/02/2025,"A, A","A, A",valles_oriental (BCN),63 m²,54 m²,,2,2,Menos de 5 años,A estrenar,1168-VP0248,Parquet,Frío y calor,Americana,2.22m²,,,Comunitario,2ª,,Eléctrica,N/A,,N/A,N/A,2,,,Comunitaria,Sur,,N/A,,Aluminio,N/A,,,,,,,,,,21.38m²,N/A,,,,
Casa en Sant Antoni de Vilamajor,URBENIA,2.844 €/m²,347.000 €,122 m²,https://www.pisos.com/comprar/casa-sant_antoni_de_vilamajor_centro_urbano-47593795640_109300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),122 m²,120 m²,,4,1,,En buen estado,EP1014-97235,,,Amueblada con electrodomesticos,,N/A,N/A,,,,,,,,,,N/A,1,,,,,,,,,N/A,,,,,,,,,,,,,
Casa pareada en La Rocatomba,FINQUES SOLÉ,2.470 €/m²,420.000 €,170 m²,https://www.pisos.com/comprar/casa_pareada-la_roca_del_valles_centro_urbano-51712543916_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),170 m²,,,5,3,Entre 30 y 50 años,,SA4173-FB420/9130,Gres,,,,,N/A,N/A,,,N/A,,,,,1,N/A,1,Comunitaria,,,,Pareada,,,,,,,,,,,,N/A,,,,,
Casa en Can Valls,ALFIL IMMOBILIARIA,2.212 €/m²,520.000 €,235 m²,https://www.pisos.com/comprar/casa-caldes_de_montbui_centro_urbano-691229181_120600/,Anuncio actualizado el 21/01/2025,"G, G","G, G",valles_oriental (BCN),235 m²,235 m²,1.250 m²,4,3,Entre 10 y 20 años,En buen estado,1206-020871,Gres,,N/A,N/A,,30m²,N/A,,,N/A,,,,,,Instalación hecha,N/A,N/A,,,,,,N/A,,,,,,N/A,N/A,N/A,N/A,40m²,,,,,
Casa en calle Sant Celoni,FINQUES RIELLS I VIABREA,2.571 €/m²,360.000 €,140 m²,https://www.pisos.com/comprar/casa-sant_celoni_centro_urbano-25910795177_511708/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),140 m²,140 m²,950 m²,4,2,Entre 20 y 30 años,En buen estado,511708-VC2226,Gres,,N/A,N/A,,N/A,Privado,,,Gasoil,,,,,,N/A,Más de 2,,Sur,,,,Aluminio,,,,,,,,N/A,N/A,Aluminio,N/A,,,,,
Casa en Sant Celoni,FINQUES RIELLS I VIABREA,2.481 €/m²,198.500 €,80 m²,https://www.pisos.com/comprar/casa-sant_celoni_centro_urbano-8411644935_511708/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),80 m²,80 m²,1.900 m²,3,1,Entre 20 y 30 años,En buen estado,511708-VC2046,Gres,,Office,,,N/A,Privado,,,Gasoil,,,,,,N/A,,Propia,Sur,,,,Aluminio,,,,,,,,N/A,N/A,Aluminio,N/A,,,,,
"Casa adosada en Carrer de Sant Sebastià, 10",FINCAS RO,1.592 €/m²,597.000 €,375 m²,https://www.pisos.com/comprar/casa_adosada-ametlla_del_valles_centro_urbano-50868783909_100500/,Anuncio actualizado el 20/02/2025,"D, E","D, E",valles_oriental (BCN),375 m²,325 m²,,5,5,Entre 20 y 30 años,,SA5741-PS-05824/12251,Parquet,N/A,,,N/A,N/A,N/A,,,Gas natural,,,,,1,N/A,1,Comunitaria,Este,Más de 100 €,N/A,Adosada,,,,N/A,N/A,,,,,,,N/A,,,,,
Casa en calle Pomeretes,Nou Niu,1.369 €/m²,330.000 €,241 m²,https://www.pisos.com/comprar/casa-el_figaro-35842452206_511608/,Anuncio actualizado el 12/02/2025,"E, E","E, E",valles_oriental (BCN),241 m²,148 m²,692 m²,5,3,Más de 50 años,En buen estado,511608-CA-01167,Gres,,N/A,N/A,,N/A,Privado,,,Gasoil,,,,,2,N/A,1,Propia,Suroeste,,N/A,,Aluminio,N/A,,,,,,,N/A,,,N/A,,,,,
"Piso en Carrer del General Padrós, 27",ALFIL IMMOBILIARIA,Error al procesar precio m²,290.000 €,3,https://www.pisos.com/comprar/piso-caldes_de_montbui_centro_urbano-4611847744_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),,,,3,2,,A estrenar,1097-21287778,,,,,,N/A,,Bajo,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finca rústica en Camino  Can Riambau,Nou Niu,164 €/m²,850.000 €,376 m²,https://www.pisos.com/comprar/finca_rustica-llerona-45026402668_511608/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),376 m²,300 m²,5.167 m²,5,3,,En buen estado,511608-M-01186,Gres,Frío y calor,N/A,,,N/A,,,,Gasoil,,,,,Más de 2,N/A,Más de 2,Propia,Sur,,,,Aluminio,N/A,,,,,,,N/A,N/A,,N/A,,,,,
Piso en Corró d'Avall,Engel & Völkers MMC Barcelona,3.031 €/m²,242.500 €,80 m²,https://www.pisos.com/comprar/piso-corro_avall-4935086394_109700/,Anuncio actualizado el 27/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),80 m²,,,3,2,,A estrenar,IF76306-D-000MBH,,Frío y calor,,,,,,,,,,N/A,N/A,,,,N/A,,A la montaña,,,,Aluminio,N/A,,,,,,,,,,,,,,,
Casa en Vilanova del Vallès,Loft Serveis Immobiliaris,2.272 €/m²,250.000 €,110 m²,https://www.pisos.com/comprar/casa-vilanova_del_valles_centro_urbano-51676708830_501141/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),110 m²,80 m²,1.473 m²,3,1,Entre 30 y 50 años,En buen estado,501141-0320384,Terrazo,,N/A,,,N/A,,,,,,,,,,N/A,1,,,,,,Aluminio,,,,,,,N/A,N/A,N/A,Embero,N/A,,,N/A,,
Dúplex en calle Illes Medes,Finques la Llar,3.833 €/m²,299.000 €,78 m²,https://www.pisos.com/comprar/duplex-les_franqueses_del_valles_bellavista-50927614117_135200/,Anuncio actualizado el 19/02/2025,"E, D","E, D",valles_oriental (BCN),78 m²,78 m²,,3,2,Entre 10 y 20 años,En buen estado,1352-006950,Parquet,Frío y calor,N/A,N/A,N/A,N/A,,2ª,N/A,,N/A,,N/A,N/A,1,,2,,,,,,Aluminio,N/A,N/A,,,,,,,,,N/A,,,,,
"Piso en Avinguda de Francesc Ribas, 56",Finques la Llar,2.960 €/m²,299.000 €,101 m²,https://www.pisos.com/comprar/piso-font_verda-47561664566_135200/,Anuncio actualizado el 19/02/2025,"A, A","A, A",valles_oriental (BCN),101 m²,73 m²,,3,2,Menos de 5 años,A estrenar,1352-006809,Parquet,Aerotermia,Americana,2.22m²,,16.21m²,,1ª,N/A,Aerotermia,N/A,,,N/A,,,,,Noroeste,,N/A,,Aluminio,N/A,,,N/A,,,,,,N/A,25.53m²,N/A,,,,
Casa en Carrer d'Àngel Guimerà,ONLLAR IMMOBILIÀRIA,882 €/m²,286.000 €,324 m²,https://www.pisos.com/comprar/casa-sant_pere_de_vilamajor_centro_urbano-45057354792_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_oriental (BCN),324 m²,256 m²,715 m²,5,4,Entre 20 y 30 años,,SA2977-4028/6518,Gres,,,,N/A,N/A,N/A,,,,,,,,,N/A,1,,Este,,,,,,,,,,,N/A,,,,N/A,,,,,
"Piso en Carrer del General Padrós, 27",ALFIL IMMOBILIARIA,Error al procesar precio m²,260.000 €,3,https://www.pisos.com/comprar/piso-caldes_de_montbui_centro_urbano-4675214169_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),,,,3,2,,A estrenar,1097-21287783,,,,,,N/A,,1ª,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Velázquez, 20",Finques la Llar,3.326 €/m²,239.500 €,72 m²,https://www.pisos.com/comprar/piso-la_roca_del_valles_centro_urbano-48362989836_135200/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),72 m²,58 m²,,2,1,Entre 10 y 20 años,En buen estado,1352-006928,Parquet y gres,Frío y calor,6m²,En cocina,,Comunitaria 70m²,Comunitario,2ª,N/A,,N/A,,N/A,N/A,1,,,Comunitaria,3 vientos,,N/A,,Aluminio,N/A,,,N/A,,,,,,Chapado haya,19m²,N/A,,,,
Piso en calle Rb Pompeu Fabra,ONREALE REAL ESTATE SERVICES,2.056 €/m²,236.500 €,115 m²,https://www.pisos.com/comprar/piso-can_pantiquet_riera_seca-44206126132_109300/,Anuncio actualizado el 24/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),115 m²,89 m²,,4,2,Entre 30 y 50 años,A reformar,EP839-PB-ON240702,Cerámica o gress,,Independiente,,,,,1ª,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Corró d'Avall,Engel & Völkers MMC Barcelona,3.019 €/m²,229.500 €,76 m²,https://www.pisos.com/comprar/piso-corro_avall-4942856675_109700/,Anuncio actualizado el 27/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),76 m²,,,3,2,,A estrenar,IF76306-D-000MBH,,Frío y calor,,,,,,,,,,N/A,N/A,,,,N/A,,A la montaña,,,,Aluminio,N/A,,,,,,,,,,,,,,,
Casa en Sant Miquel-Tres Torres,GESTIONS IMMOBILIARIES SILVIA,2.254 €/m²,460.000 €,204 m²,https://www.pisos.com/comprar/casa-sant_miquel_tres_torres08401-41723816389_308400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),204 m²,204 m²,166 m²,4,2,Entre 10 y 20 años,En buen estado,3084-24017,Gres,,21 m²,,,N/A,Privado,,,Gas natural,,,,,Más de 2,N/A,Más de 2,,Suroeste,,N/A,,Aluminio,N/A,,,N/A,,N/A,N/A,N/A,N/A,N/A,36 m²,,,,N/A,
"Dúplex en Carrer de València, 15",Nou Niu,3.423 €/m²,380.000 €,111 m²,https://www.pisos.com/comprar/duplex-granollers_centre08401-4933494623_109700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),111 m²,,,3,2,,A estrenar,1097-21585217,,,,,,N/A,,2ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en Carrer del Germà Julià, 21",Finques la Llar,2.511 €/m²,329.000 €,131 m²,https://www.pisos.com/comprar/casa_adosada-sant_celoni_centro_urbano-50032198315_135200/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),131 m²,104 m²,117 m²,4,3,Menos de 5 años,A estrenar,1352-006943,Cerámico de imitación madera,Frío y calor,Americana,,,(3) 5.14/4.49m² + jardín 43.37m²,Privado,,,Aerotermia,,,,,,,1,,Noreste,,N/A,Adosada,Aluminio,N/A,,,,,,,,,Color blanco,36.41m²,,,,,
Casa en La Roca del Vallès,Engel & Völkers MMC Barcelona,3.171 €/m²,720.000 €,227 m²,https://www.pisos.com/comprar/casa-la_roca_del_valles_centro_urbano-4896702839_109700/,Anuncio actualizado el 18/12/2024,"B, A","B, A",valles_oriental (BCN),227 m²,,,4,3,,A estrenar,IF76306-D-000GAW,,Frío y calor,N/A,,,N/A,Privado,,,,,N/A,,,2,,N/A,N/A,A la montaña,,,,,,,,,,,,,,,,,,,,
Casa en Vilanova del Vallès,GESTIó HABITATGE,1.753 €/m²,670.000 €,382 m²,https://www.pisos.com/comprar/casa-vilanova_del_valles_centro_urbano-12518796354_341300/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_oriental (BCN),382 m²,195 m²,902 m²,4,4,Entre 10 y 20 años,En buen estado,3413-002478,Gres,Frío y calor,N/A,N/A,,N/A,Privado,,,Central,,,,,2,N/A,Más de 2,,Sureste,,N/A,,Madera,N/A,N/A,,,,,,,,,,,,,,
"Dúplex en Pasaje Albert Einstein,  2-4",LA LLAVE DE ORO,3.046 €/m²,457.000 €,150 m²,https://www.pisos.com/comprar/duplex-hostal_lledoner08401-5176085485_109700/,Anuncio actualizado el 29/01/2025,"B, A","B, A",valles_oriental (BCN),150 m²,,,4,3,,A estrenar,4993346-0,,,,,N/A,N/A,,3ª,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Carrer del Coll,Finques la Llar,2.418 €/m²,370.000 €,153 m²,https://www.pisos.com/comprar/casa_adosada-cardedeu_centro_urbano-50846099952_135200/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),153 m²,126 m²,,3,2,Entre 30 y 50 años,Reformado,1352-006949,Gres,,9.7m²,4m²,,,,,,Gas natural,,,,,,,2,,Este / oeste,,,Adosada,Aluminio,N/A,,,,,N/A,N/A,N/A,N/A,Lacadas en blanco,23m²,,,,,
Casa adosada en Carretera de Caldes,Finques la Llar,1.637 €/m²,380.000 €,232 m²,https://www.pisos.com/comprar/casa_adosada-canovelles_centro_urbano-50910890132_135200/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),232 m²,232 m²,,4,3,Entre 20 y 30 años,En buen estado,1352-006955,Mármol,Frío,11.20m²,3m²,,13.8m² / 16.5m² / 14m²,Privado,,,Gas natural,,,,,Más de 2,,2,Comunitaria,Este,,N/A,Adosada,Aluminio,N/A,,,,,N/A,N/A,N/A,N/A,Haya,26m²,,,,,
