nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Antigüedad,Gastos de comunidad,Referencia,Amueblado,Armarios empotrados,Tipo suelo,Agua,Calefacción,Sistema de seguridad,Ascensor,Terraza,Orientación,Conservación,Garaje,Aire acondicionado,Cocina equipada,Trastero,Puerta blindada,Adaptado a personas con movilidad reducida,Jardín,Piscina,Exterior,Carpintería interior,Vidrios dobles,Carpintería exterior,Comedor,Lavadero,Portero automático,Balcón,Soleado,Tipo de casa,Superficie solar,Chimenea,Urbanizado,Teléfono,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Gas,Interior,Luz
Piso en Centre,FINQUES RIUS,2.163 €/m²,199.000 €,92 m²,https://www.pisos.com/comprar/piso-vilanova_i_la_geltru_centre-46707529468_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",garraf (BCN),92 m²,72 m²,4,1,3ª,Entre 30 y 50 años,Más de 100 €,SA1268-03-5252/1098,,,,N/A,,,,,Sur,,,,,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,,
Piso en Els Molins-Poble Sec-Pins Vens,"Finques Parellades, su inmobiliaria en Sitges",4.235 €/m²,360.000 €,85 m²,https://www.pisos.com/comprar/piso-els_molins_poble_sec_pins_vens-31692373068_134500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",garraf (BCN),85 m²,76 m²,3,1,3ª,Más de 50 años,78 euros por mes,1345-009031,,Más de 2,Gres,,,,N/A,N/A,Suroeste,A reformar,,,,En el sotano,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,
Piso en La Collada-Els Sis Camins-Fondo Somella-Santa Maria,Engel & Völkers MMC Barcelona,3.684 €/m²,420.000 €,114 m²,https://www.pisos.com/comprar/piso-la_collada_els_sis_camins_fondo_somella_santa_mari-4956987709_109700/,Anuncio actualizado el 16/01/2025,"B, B","B, B",garraf (BCN),114 m²,,4,2,,,,IF76306-D-000LAC,,2,,,,,N/A,N/A,A la montaña,A estrenar,N/A,Frío y calor,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Casa en Olivella,HAPPY EXPAT homes & more,1.747 €/m²,297.000 €,170 m²,https://www.pisos.com/comprar/casa-olivella_centro_urbano-51731266618_108900/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),170 m²,106 m²,4,3,,Entre 10 y 20 años,,XA784-Casa Lotte,,,,,Centralised,,,,N/A,,N/A,Yes,,,,,N/A,,,,,,,,,,,,800 m²,,,,,,,,,
Ático en Can Girona-Terramar-Vinyet,Engel & Völkers MMC Barcelona,5.964 €/m²,680.000 €,114 m²,https://www.pisos.com/comprar/atico-can_girona_terramar_vinyet-5081789311_109700/,Anuncio actualizado el 14/01/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),114 m²,,3,3,,,,IF76306-D-000MGY,,,,,,,,N/A,Al mar,A estrenar,N/A,Frío y calor,,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,
Piso en Carrer de les Canàries,The Vila Home,2.467 €/m²,199.900 €,81 m²,https://www.pisos.com/comprar/piso-barri_de_mar_ribes_roges_placa_de_la_sardana-47597409032_100500/,Anuncio actualizado el 11/02/2025,"E, E","E, E",garraf (BCN),81 m²,65 m²,3,1,3ª,Más de 50 años,Entre 60 y 80 €,SA5464-TVH0070/10720,,,Gres,,,,N/A,,Noreste,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
"Piso en Carrer del Pintor Pere Pruna,  s/n",OPEN INMO,5.750 €/m²,299.000 €,52 m²,https://www.pisos.com/comprar/piso-can_girona_terramar_vinyet-4976622966_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),52 m²,,2,1,Bajo,,,-21563421,,,,,,,,N/A,,A estrenar,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Camí de la Serra del Cavall,Engel & Völkers MMC Barcelona,3.605 €/m²,375.000 €,104 m²,https://www.pisos.com/comprar/chalet-canyelles_centro_urbano-4212960480_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),104 m²,,3,2,,,,IF76306-D-000L2U,,,,,,,,N/A,,A estrenar,,,,,,,Privado,,,,,,,,,,,,,,,,,,,,,
Piso en Centre,Estudi Vilanova Mercat Slu,3.321 €/m²,289.000 €,87 m²,https://www.pisos.com/comprar/piso-vilanova_i_la_geltru_centre-48403639381_100200/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),87 m²,,3,1,,Entre 30 y 50 años,,TC1182-598930,,,,,,,N/A,N/A,,En buen estado,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Llevantina-Montgavina-Quint-Mar-Garraf,Durán Carasso,5.205 €/m²,1.395.000 €,268 m²,https://www.pisos.com/comprar/casa-llevantina_montgavina_quint_mar_garraf08870-48333335309_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),268 m²,,3,4,,,,BM201-5709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 m²,,,,,,,,,
