nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Antigüedad,Gastos de comunidad,Referencia,Amueblado,Armarios empotrados,Tipo suelo,Agua,Calefacción,Sistema de seguridad,Ascensor,Terraza,Orientación,Conservación,Garaje,Aire acondicionado,Cocina equipada,Trastero,Puerta blindada,Adaptado a personas con movilidad reducida,Jardín,Piscina,Exterior,Carpintería interior,Vidrios dobles,Carpintería exterior,Comedor,Lavadero,Portero automático,Balcón,Soleado,Tipo de casa,Superficie solar,Chimenea,Urbanizado,Teléfono,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Gas,Interior,Luz
Apartamento en Centre,Durán Carasso,11.574 €/m²,1.250.000 €,108 m²,https://www.pisos.com/comprar/apartamento-sitges_centre-48355278026_105600/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),108 m²,,3,2,,,,BM201-D/5698,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Garraf,Mónica Ciscar,2.657 €/m²,295.000 €,111 m²,https://www.pisos.com/comprar/piso-vilanova_i_la_geltru_centre-50915830858_108700/,Anuncio actualizado el 18/02/2025,"E, E","E, E",garraf (BCN),111 m²,111 m²,3,2,,Entre 30 y 50 años,,UVC606-31258,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Barri de Mar-Ribes Roges-Plaça de la Sardana,"Finques Parellades, su inmobiliaria en Sitges",3.081 €/m²,265.000 €,86 m²,https://www.pisos.com/comprar/piso-barri_de_mar_ribes_roges_placa_de_la_sardana-50042231633_134500/,Anuncio actualizado el 20/02/2025,"D, D","D, D",garraf (BCN),86 m²,86 m²,3,2,2ª,Entre 30 y 50 años,Entre 40 y 60 €,1345-009415,,Más de 2,Gres,,Gas natural,N/A,,N/A,Al mar,A reformar,1,,N/A,,N/A,,Comunitario,,N/A,N/A,N/A,Aluminio,N/A,N/A,N/A,N/A,N/A,,,,,N/A,,,N/A,N/A,N/A,
Piso en Centre,InmoRibes,2.328 €/m²,326.000 €,140 m²,https://www.pisos.com/comprar/piso-vilanova_i_la_geltru_centre-48370974070_100500/,Anuncio actualizado el 24/01/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),140 m²,120 m²,3,1,Bajo,Más de 50 años,,SA3777-1827-255V/8513,,,,N/A,Central,,,N/A,Sureste,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer del Doctor Fleming, 7",FINQUES FERRER CUBELLES,4.003 €/m²,244.207 €,61 m²,https://www.pisos.com/comprar/piso-moli_de_baix_bardaji-50000585438_500754/,Anuncio actualizado el 17/02/2025,"B, B","B, B",garraf (BCN),61 m²,53 m²,2,1,Bajo,Menos de 5 años,,500754-80225,,,Parquet,,Eléctrica,,,,Este,A estrenar,1,Frío y calor,,,,,Privado,,N/A,,,,,,,,,,,,,,,,,,,
Casa en Centre,InmoRibes,3.500 €/m²,595.000 €,170 m²,https://www.pisos.com/comprar/casa-sant_pere_de_ribes_nucli_urba-32518346529_100500/,Anuncio actualizado el 22/05/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),170 m²,150 m²,4,3,,,,SA3777-1827-156V/8513,,1,,,N/A,,,N/A,,,,N/A,,,,,N/A,,,,,,,,,,,,121 m²,,,,,,,,,
Chalet en Garraf,KENEWANG NOWKA,3.879 €/m²,1.870.000 €,482 m²,https://www.pisos.com/comprar/chalet-vallpineda_santa_barbara-43414669651_108700/,Anuncio actualizado el 06/02/2025,"E, F","E, F",garraf (BCN),482 m²,482 m²,5,4,,Entre 30 y 50 años,,UVC780-19983,,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,1.291 m²,,,,,,,,,
Piso en Centre,"Finques Parellades, su inmobiliaria en Sitges",6.000 €/m²,360.000 €,60 m²,https://www.pisos.com/comprar/piso-sitges_centre-50044200109_134500/,Anuncio actualizado el 20/02/2025,"G, G","G, G",garraf (BCN),60 m²,53 m²,2,1,3ª,Más de 50 años,275€  trimestre  (fincas galvan),1345-009412,N/A,1,,,Gas natural,,,Comunitaria,,Reformado,,,N/A,,N/A,,,,N/A,Madera,N/A,Aluminio,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,,
Piso en Carrer del Doctor Fleming,Engel & Völkers MMC Barcelona,4.533 €/m²,358.109 €,79 m²,https://www.pisos.com/comprar/piso-moli_de_baix_bardaji-5122572876_109700/,Anuncio actualizado el 18/02/2025,"B, B","B, B",garraf (BCN),79 m²,,3,,2ª,,,IF76306-D-000HYW,,,,,,,N/A,N/A,,A estrenar,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Rovira i Virgili, 24",FINQUES FERRER CUBELLES,3.862 €/m²,316.750 €,82 m²,https://www.pisos.com/comprar/piso-les_salines_clot_del_basso_mota_de_sant_pere-23431762141_500754/,Anuncio actualizado el 17/02/2025,"A, A","A, A",garraf (BCN),82 m²,82 m²,3,2,1ª,,,500754-80258,N/A,,Parquet,,Central,,N/A,N/A,Norte,A estrenar,1,Frío y calor,Abierta a salón,N/A,,,Comunitario,Comunitaria,,Puertas lacadas en blanco,,Aluminio,N/A,N/A,,,,,,,,,,,,,,
Piso en Parc de Cubelles,INMOSANFER,2.741 €/m²,170.000 €,62 m²,https://www.pisos.com/comprar/piso-cubelles_centre-49223794015_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),62 m²,60 m²,3,1,2ª,Más de 50 años,,SA5324-3011/11569,,,Parquet,N/A,Gas natural,,,,Este,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
"Piso en Carrer del Doctor Fleming, 7",FINQUES FERRER CUBELLES,3.697 €/m²,244.034 €,66 m²,https://www.pisos.com/comprar/piso-moli_de_baix_bardaji-6676299175_500754/,Anuncio actualizado el 17/02/2025,"B, B","B, B",garraf (BCN),66 m²,57 m²,3,1,1ª,,,500754-80237,,,Parquet,,Eléctrica,,N/A,N/A,,A estrenar,,Frío y calor,,,N/A,N/A,,Comunitaria,,,,Aluminio,,,N/A,,,,,,,,,,,,,
Chalet en Garraf,Aurelie BERGER,2.882 €/m²,611.000 €,212 m²,https://www.pisos.com/comprar/chalet-mas_alba_can_lloses-50012456392_108700/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),212 m²,212 m²,4,3,,Menos de 5 años,,UVC256-30638,,,,,N/A,,,N/A,,,,N/A,,,,,N/A,N/A,,,,,,,,,,,176 m²,,,,,,,,,
Chalet en Cubelles - Marítim,Silvia GIMÉNEZ ESPADA,1.397 €/m²,197.000 €,141 m²,https://www.pisos.com/comprar/chalet-mas_trader_corral_en_tort_corral_en_cona-46666776128_108700/,Anuncio actualizado el 20/02/2025,"G, F","G, F",garraf (BCN),141 m²,141 m²,3,1,,,,UVC597-27611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333 m²,,,,,,,,,
Chalet en Olivella,HAPPY EXPAT homes & more,2.058 €/m²,420.000 €,204 m²,https://www.pisos.com/comprar/chalet-olivella_centro_urbano-42519328816_108900/,Anuncio actualizado el 18/02/2025,"B, B","B, B",garraf (BCN),204 m²,165 m²,4,2,,Entre 10 y 20 años,,XA784-Villa Amelie,,,,,Centralised fuel oil,N/A,,,Sur,,,Yes,,N/A,N/A,,N/A,Yes,,,,,,N/A,,,,,758 m²,N/A,,,,,,,,
Piso en Carrer del Doctor Fleming,Engel & Völkers MMC Barcelona,4.942 €/m²,365.763 €,74 m²,https://www.pisos.com/comprar/piso-moli_de_baix_bardaji-5125959762_109700/,Anuncio actualizado el 18/02/2025,"B, B","B, B",garraf (BCN),74 m²,,3,,Bajo,,,IF76306-D-000HYW,,,,,,,N/A,N/A,,A estrenar,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de la Unió,Ribes Roig Serveis Immobiliaris,3.289 €/m²,259.900 €,79 m²,https://www.pisos.com/comprar/piso-la_geltru_casernes_armanya-47535873178_109300/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),79 m²,70 m²,3,2,2ª,,,EP924-2563,,,,N/A,Gas natural,,N/A,Salida comedor,,,,,,Terrado comunitario,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,
Casa adosada en Maritim,Viven Inmobiliaria,1.700 €/m²,340.000 €,200 m²,https://www.pisos.com/comprar/casa_adosada-les_salines_clot_del_basso_mota_de_sant_pere-35004063888_100500/,Anuncio actualizado el 21/01/2025,"F, E","F, E",garraf (BCN),200 m²,172 m²,4,3,,Entre 20 y 30 años,Más de 100 €,SA1672-0730/6926,,1,,N/A,Gas natural,N/A,,N/A,Sureste,,1,N/A,,N/A,,,,Comunitaria,,,,,N/A,,,,,Adosada,,,,N/A,,,,,,
Casa adosada en Llevantina-Montgavina-Quint-Mar-Garraf,HAPPY EXPAT homes & more,4.958 €/m²,595.000 €,120 m²,https://www.pisos.com/comprar/casa_adosada-llevantina_montgavina_quint_mar_garraf08870-47552763742_108900/,Anuncio actualizado el 29/01/2025,"E, E","E, E",garraf (BCN),120 m²,97 m²,3,2,,Entre 30 y 50 años,,XA784-Casa Nanna,,,,,Electric,,,,Sur,,,Yes,,N/A,,,N/A,,,,,,,,,,,Adosada,365 m²,,,,,,,,,
Piso en Nucli Urbà,"Finques Parellades, su inmobiliaria en Sitges",4.111 €/m²,185.000 €,45 m²,https://www.pisos.com/comprar/piso-sant_pere_de_ribes_nucli_urba-43391860876_134500/,Anuncio actualizado el 20/02/2025,"D, D","D, D",garraf (BCN),45 m²,35 m²,1,1,2ª,Entre 30 y 50 años,84 euros al trimestre,1345-009255,N/A,2,Madera,,Central,,N/A,,A la montaña,Reformado,,Frío y calor,N/A,,N/A,,,,N/A,N/A,N/A,Aluminio,N/A,,N/A,,,,,,,,,,N/A,,N/A,
Piso en Moli de Baix,FINQUES FERRER CUBELLES,3.525 €/m²,275.000 €,78 m²,https://www.pisos.com/comprar/piso-moli_de_baix_bardaji-44183466988_500754/,Anuncio actualizado el 17/02/2025,"B, B","B, B",garraf (BCN),78 m²,66 m²,3,2,Bajo,Menos de 5 años,120€/mes,500754-03136,,,Parquet,,Gas natural,,N/A,8.30m²,Este,En buen estado,1,Frío y calor,"Abrta slón cn vitro, nevera pda, lvj pda,horno",N/A,,,Comunitario,Comunitaria,N/A,Lacado en blanco,N/A,Aluminio,Con salida a terraza,,N/A,,N/A,,,,,,,,,,,
Casa en Centre,Durán Carasso,5.946 €/m²,3.990.000 €,671 m²,https://www.pisos.com/comprar/casa-vilanova_i_la_geltru_centre-44224648878_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),671 m²,,8,9,,,,BM201-5517,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,982 m²,,,,,,,,,
Piso en Garraf,Silvia GIMÉNEZ ESPADA,2.160 €/m²,175.000 €,81 m²,https://www.pisos.com/comprar/piso-cubelles_centre-37556467318_108700/,Anuncio actualizado el 14/01/2025,"D, D","D, D",garraf (BCN),81 m²,81 m²,3,2,,Entre 20 y 30 años,,UVC597-20753,,,,,,,,N/A,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Piso en La Collada-Els Sis Camins-Fondo Somella-Santa Maria,Engel & Völkers MMC Barcelona,3.684 €/m²,420.000 €,114 m²,https://www.pisos.com/comprar/piso-la_collada_els_sis_camins_fondo_somella_santa_mari-4956987709_109700/,Anuncio actualizado el 16/01/2025,"B, B","B, B",garraf (BCN),114 m²,,4,2,,,,IF76306-D-000LAC,,2,,,,,N/A,N/A,A la montaña,A estrenar,N/A,Frío y calor,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Loft en Carrer de les Escoles Pies,IMMO SERVICE MEISEL,3.620 €/m²,315.000 €,87 m²,https://www.pisos.com/comprar/loft-els_molins_poble_sec_pins_vens-34260796530_100500/,Anuncio actualizado el 19/02/2025,"E, F","E, F",garraf (BCN),87 m²,77 m²,3,2,Bajo,,Entre 60 y 80 €,SA4412-KCSP-167,N/A,1,Parquet,,,,,N/A,,Reformado,,Frío,Cocina amueblada,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Apartamento en Barri de Mar-Ribes Roges-Plaça de la Sardana,Durán Carasso,4.639 €/m²,450.000 €,97 m²,https://www.pisos.com/comprar/apartamento-barri_de_mar_ribes_roges_placa_de_la_sardana-51732134417_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),97 m²,,3,2,,,,BM201-5849,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet unifamiliar en Carrer de Lloret,ImmoCunit,1.411 €/m²,398.000 €,282 m²,https://www.pisos.com/comprar/chalet_unifamiliar-parc_de_cubelles_la_solana-51683075115_516891/,Anuncio actualizado el 05/02/2025,"G, F","G, F",garraf (BCN),282 m²,230 m²,5,2,,Entre 30 y 50 años,,4516891-001496,,Más de 2,Gres,,Gas natural,,,N/A,Oeste,En buen estado,1,Frío y calor,N/A,,,,Privado,Propia,,,,Aluminio,N/A,,,,,,566 m²,N/A,N/A,N/A,N/A,N/A,,N/A,,
Casa en Mas Trader-Corral d'en Tort-Corral d'en Cona,AM REALTY,2.888 €/m²,260.000 €,90 m²,https://www.pisos.com/comprar/casa-mas_trader_corral_en_tort_corral_en_cona-46709580544_998165/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),90 m²,79 m²,3,1,,Entre 30 y 50 años,,4998165-AM659004,,Más de 2,Gres,,,,,N/A,Sur,En buen estado,1,,N/A,,,,Privado,Propia,,,,Aluminio,N/A,N/A,,,,,587 m²,N/A,N/A,,N/A,N/A,,,,
Casa en Mas Alba,PREMIUM HOUSES SITGES,2.283 €/m²,740.000 €,324 m²,https://www.pisos.com/comprar/casa-mas_alba_can_lloses-31758085951_100500/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),324 m²,195 m²,4,4,,Menos de 5 años,,SA1988-PHS100717/7088,,1,,N/A,N/A,N/A,,N/A,Sur,,1,N/A,,N/A,N/A,,,Propia,,,,,N/A,,,,,,588 m²,,N/A,N/A,,,,,,
Ático en Llevantina-Montgavina-Quint-Mar-Garraf,Durán Carasso,10.485 €/m²,1.080.000 €,103 m²,https://www.pisos.com/comprar/atico-llevantina_montgavina_quint_mar_garraf08870-44176281755_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),103 m²,,3,3,,,,BM201-2036,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Carrer del Tennis,PREMIUM HOUSES SITGES,4.082 €/m²,845.000 €,207 m²,https://www.pisos.com/comprar/casa_adosada-llevantina_montgavina_quint_mar_garraf08870-50006383208_100500/,Anuncio actualizado el 07/02/2025,"E, E","E, E",garraf (BCN),207 m²,122 m²,4,3,,Entre 20 y 30 años,,SA1988-PHS100901/7088,,1,Gres,,Gas natural,,,,Sur,,1,,,N/A,N/A,,N/A,Propia,,,,,,,,,,Adosada,,,,N/A,,,,,,
Casa en Avenida del Camí de Can Girona,OAK PROPERTIES,7.031 €/m²,5.400.000 €,768 m²,https://www.pisos.com/comprar/casa-can_girona_terramar_vinyet-37560643349_522145/,Anuncio actualizado el 06/03/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),768 m²,768 m²,4,5,,,,522145-Theodoras,,,,,Eléctrica,,,N/A,,En buen estado,1,Frío y calor,,,,,Privado,Propia,,,,,,,,,,,,,,,,,,,,
Apartamento en Sis Camins,InmoRibes,3.468 €/m²,385.000 €,111 m²,https://www.pisos.com/comprar/apartamento-la_collada_els_sis_camins_fondo_somella_santa_mari-49192105685_100500/,Anuncio actualizado el 22/11/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),111 m²,94 m²,4,2,1ª,Menos de 5 años,,SA3777-1827-261V/8513,,1,,N/A,,,N/A,N/A,Sur,,,N/A,,,,,,Comunitaria,,,,,,,,,,,,,,,,,,,,
Ático en Sis Camins,InmoRibes,3.615 €/m²,470.000 €,130 m²,https://www.pisos.com/comprar/atico-la_collada_els_sis_camins_fondo_somella_santa_mari-49213444106_100500/,Anuncio actualizado el 22/11/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),130 m²,105 m²,3,2,3ª,,,SA3777-1827-260V/8513,,,,N/A,N/A,,N/A,N/A,,,,N/A,,,,,N/A,Comunitaria,,,,,,,,,,,,,,,,,,,,
Casa pareada en Carrer de Beethoven,HAPPY HOUSE Servicios Inmobiliarios,1.992 €/m²,259.000 €,130 m²,https://www.pisos.com/comprar/casa_pareada-canyelles_centro_urbano-51748119695_515193/,Anuncio actualizado el 20/02/2025,"F, F","F, F",garraf (BCN),130 m²,115 m²,3,2,,Entre 10 y 20 años,Entre 60 y 80 €,4515193-CS001450EA,,,,,,,,N/A,Sureste,En buen estado,1,,,,,,Privado,Comunitaria,,,,,,,,,,Pareada,,,N/A,,N/A,N/A,,,,
Piso en St. Joan,The Vila Home,2.879 €/m²,264.900 €,92 m²,https://www.pisos.com/comprar/piso-sant_joan_moli_de_vent-45861833948_100500/,Anuncio actualizado el 11/02/2025,"F, E","F, E",garraf (BCN),92 m²,80 m²,3,1,4ª,Entre 30 y 50 años,Entre 40 y 60 €,SA5464-TVH0017/10720,,,Gres,,Gas natural,,N/A,,Noroeste,,1,N/A,,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,,
Apartamento en Els Molins-Poble Sec-Pins Vens,Durán Carasso,7.853 €/m²,887.400 €,113 m²,https://www.pisos.com/comprar/apartamento-els_molins_poble_sec_pins_vens-45092773634_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),113 m²,,3,2,,Más de 50 años,,BM201-ON0096/16,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en Sud Sumella,Comprarcasa NOVOA,1.647 €/m²,140.000 €,85 m²,https://www.pisos.com/comprar/atico-santa_maria_eixample_sud_sumella-44225680515_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),85 m²,82 m²,3,1,3ª,,,SA5171-0049/11327,,,Gres,,,,,N/A,Este,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Apartamento en Vallpineda-Santa Bàrbara,Durán Carasso,6.034 €/m²,1.050.000 €,174 m²,https://www.pisos.com/comprar/apartamento-vallpineda_santa_barbara-44256922262_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),174 m²,,4,3,,,,BM201-3087,,,,,,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Sant Cristòfol,ALARCON PROPIEDADES,3.625 €/m²,290.000 €,80 m²,https://www.pisos.com/comprar/piso-vilanova_i_la_geltru_centre-50923666379_401700/,Anuncio actualizado el 17/02/2025,"E, D","E, D",garraf (BCN),80 m²,75 m²,3,2,1ª,Entre 20 y 30 años,Entre 60 y 80 €,4017-5422,,,Gres,,Eléctrica,,N/A,,Oeste,En buen estado,,,Amplia y exterior,Num. 2,N/A,,,,N/A,Cedro,N/A,Aluminio,Con salida a pequeño balcón,,N/A,N/A,,,,,,,,,,,,
Piso en Centre,"Finques Parellades, su inmobiliaria en Sitges",3.800 €/m²,570.000 €,150 m²,https://www.pisos.com/comprar/piso-sitges_centre-76689957712_134500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),150 m²,130 m²,4,2,3ª,Más de 50 años,Entre 40 y 60 €,1345-007829,,Más de 2,,,Gas natural,,,N/A,Sur,En buen estado,,,Reformada,,,,,,N/A,,,,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,,,,N/A,,
Chalet en Cogullada 2,FINQUES RIUS,1.068 €/m²,310.000 €,290 m²,https://www.pisos.com/comprar/chalet-canyelles_centro_urbano-45932153329_100500/,Anuncio actualizado el 02/02/2025,"E, F","E, F",garraf (BCN),290 m²,162 m²,4,3,,Entre 10 y 20 años,,SA1268-03-11690/1098,,,Gres,N/A,,,,,Sur,,,,,,,,N/A,Propia,,,,,,,,,,,556 m²,,N/A,,,,,,,
Apartamento en L'Aragai-Prat de Vilanova,Durán Carasso,3.247 €/m²,380.000 €,117 m²,https://www.pisos.com/comprar/apartamento-aragai_prat_de_vilanova-45890536509_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),117 m²,,3,2,,,,BM201-ON0077/141,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Els Molins-Poble Sec-Pins Vens,Durán Carasso,2.952 €/m²,310.000 €,105 m²,https://www.pisos.com/comprar/apartamento-els_molins_poble_sec_pins_vens-44249256196_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),105 m²,,3,2,,,,BM201-5207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Mota de Sant Pere,FINQUES FERRER CUBELLES,3.284 €/m²,335.000 €,102 m²,https://www.pisos.com/comprar/piso-les_salines_clot_del_basso_mota_de_sant_pere-48404450203_500754/,Anuncio actualizado el 17/02/2025,"E, E","E, E",garraf (BCN),102 m²,80 m²,3,2,Bajo,Entre 20 y 30 años,"390,57€/trimestral",500754-03041,A negociar,2,Gres,,Eléctrica,,N/A,"38,91m² con toldo",Sureste,En buen estado,1,Frío y calor,Semi-abierta con vitro,N/A,,,Privado,Comunitaria,N/A,,,Aluminio,N/A,N/A,,,N/A,,,,,,,,,,,
Chalet en Carrer de la Capella,INMOMAR,1.560 €/m²,259.000 €,166 m²,https://www.pisos.com/comprar/chalet-canyelles_centro_urbano-50899580694_153800/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),166 m²,83 m²,3,1,,Entre 30 y 50 años,,1538-API-3008,,,Gres,,,,,,,En buen estado,1,,N/A,,,,Privado,,,,N/A,,N/A,,,,,,646 m²,,,,,,N/A,,,
Casa en La Collada-Els Sis Camins-Fondo Somella-Santa Maria,Durán Carasso,2.494 €/m²,459.000 €,184 m²,https://www.pisos.com/comprar/casa-la_collada_els_sis_camins_fondo_somella_santa_mari-45099663621_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),184 m²,,4,3,,,,516966-ON0092/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Centre,Engel & Völkers MMC Barcelona,6.584 €/m²,882.300 €,134 m²,https://www.pisos.com/comprar/piso-sitges_centre-5049968499_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),134 m²,,3,2,,,,IF76306-D-000LJ1,,2,Tarima flotante,,,,,N/A,,A estrenar,N/A,Frío y calor,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Mas Trader I,FILA INMOBILIARIA SEGUR DE CALAFELL,2.864 €/m²,275.000 €,96 m²,https://www.pisos.com/comprar/piso-moli_de_baix_bardaji-50931069884_100500/,Anuncio actualizado el 20/01/2025,"B, B","B, B",garraf (BCN),96 m²,82 m²,3,2,Bajo,Menos de 5 años,Entre 80 y 100 €,SA4156-CubRUmolantonio-21/8626,N/A,1,Parquet,N/A,Gas natural,N/A,N/A,N/A,Este,,,,,N/A,N/A,,N/A,Comunitaria,,,,,N/A,,,N/A,,,,,,N/A,,,,,,
Casa en Olivella,Bufet Immobiliari,2.005 €/m²,345.000 €,172 m²,https://www.pisos.com/comprar/casa-olivella_centro_urbano-44186933275_522254/,Anuncio actualizado el 02/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),172 m²,146 m²,4,3,,Entre 10 y 20 años,,522254-OL90,,,Parquet,,Eléctrica,,,N/A,Sur,En buen estado,1,,Independiente,,N/A,,Privado,,,,N/A,Aluminio,Amplio,,,,,,819 m²,N/A,N/A,,N/A,N/A,,,,
Apartamento en Els Molins-Poble Sec-Pins Vens,Durán Carasso,7.663 €/m²,865.980 €,113 m²,https://www.pisos.com/comprar/apartamento-els_molins_poble_sec_pins_vens-45053331685_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),113 m²,,3,2,,Más de 50 años,,BM201-ON0096/5,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Mas Alba-Can Lloses,Durán Carasso,2.576 €/m²,889.000 €,345 m²,https://www.pisos.com/comprar/casa-mas_alba_can_lloses-46763064684_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),345 m²,,4,4,,,,BM201-5628,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,980 m²,,,,,,,,,
Casa en Carrer del Pi,FINQUES MEZCUA,5.429 €/m²,1.200.000 €,221 m²,https://www.pisos.com/comprar/casa-aragai_prat_de_vilanova-48356610354_100500/,Anuncio actualizado el 17/02/2025,"B, B","B, B",garraf (BCN),221 m²,200 m²,5,3,,Menos de 5 años,,SA2917-00822-11/8208,,1,,,N/A,,,N/A,,,1,N/A,,,,,N/A,Propia,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de la Carreta,IMMO SERVICE MEISEL,5.589 €/m²,436.000 €,78 m²,https://www.pisos.com/comprar/piso-sitges_centre-48359962712_100500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",garraf (BCN),78 m²,63 m²,2,2,3ª,Más de 50 años,,SA4412-KCSP-285,,,,,,,,N/A,,En buen estado,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Ático en Can Girona-Terramar-Vinyet,Engel & Völkers MMC Barcelona,5.964 €/m²,680.000 €,114 m²,https://www.pisos.com/comprar/atico-can_girona_terramar_vinyet-5081789311_109700/,Anuncio actualizado el 14/01/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),114 m²,,3,3,,,,IF76306-D-000MGY,,,,,,,,N/A,Al mar,A estrenar,N/A,Frío y calor,,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,
Piso en Carrer del Doctor Fleming,Engel & Völkers MMC Barcelona,4.631 €/m²,338.104 €,73 m²,https://www.pisos.com/comprar/piso-moli_de_baix_bardaji-5183047725_109700/,Anuncio actualizado el 18/02/2025,"B, B","B, B",garraf (BCN),73 m²,,3,,Bajo,,,IF76306-D-000HYW,,,,,,,N/A,N/A,,A estrenar,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Maritim,FINQUES FERRER CUBELLES,2.600 €/m²,195.000 €,75 m²,https://www.pisos.com/comprar/piso-maritim-45028113329_500754/,Anuncio actualizado el 17/02/2025,"E, E","E, E",garraf (BCN),75 m²,52 m²,3,1,1ª,Entre 30 y 50 años,150€/trimestre,500754-03146,N/A,1,Terrazo,,,,,12 m²,Oeste,En buen estado,,Frío y calor,Individual,,,,,,,Puertas de sapeli,,Aluminio,N/A,,,,,,,,,,,,,,,
Apartamento en Vallpineda-Rocamar,Durán Carasso,3.246 €/m²,250.000 €,77 m²,https://www.pisos.com/comprar/apartamento-vallpineda_rocamar-45009998712_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),77 m²,,3,1,,,,BM201-4003,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
