nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Armarios empotrados,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Gas,Aire acondicionado,Calefacción,Chimenea,Cocina equipada,Comedor,Garaje,Trastero,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Terraza,Jardín,Piscina,Orientación,Soleado,Tipo de casa,Lavadero,Superficie solar,Amueblado,Balcón,Gastos de comunidad,Agua,Teléfono,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Adaptado a personas con movilidad reducida,No se aceptan mascotas,Interior,Luz
Chalet en Casco Urbano,FLIMASA,3.605 €/m²,1.900.000 €,527 m²,28181,https://www.pisos.com/comprar/chalet-villaviciosa_de_odon_centro-50055978038_100500/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,527 m²,,6,7,,,Entre 30 y 50 años,En buen estado,SA4858-C501218,1,,Mármol,N/A,,,Frío,Gas natural,N/A,Cocina amueblada,,,N/A,,N/A,,,N/A,Privado,Propia,Este,,,,1.504 m²,,,,,,,,,,,,,
Chalet unifamiliar en calle del Arroyo del Membrillo,EXCLUSIVAS SANTO MAURO,1.726 €/m²,580.000 €,336 m²,28044,https://www.pisos.com/comprar/chalet_unifamiliar-colmenarejo_centro_urbano-50857646340_510261/,2025-02-20,"F, E","F, E",336 m²,334 m²,4,4,,,Entre 30 y 50 años,En buen estado,4510261-458-COLMENAREJO,Más de 2,,Tarima y parquet,,Pvc con climalyt,,Frío y calor,Gas natural,N/A,Independiente,,2,,,,,,Varios porches,Privado,Propia,Sureste,,,,942 m²,,,,,,N/A,N/A,N/A,,,,,
Chalet en calle de Cantabria,FLIMASA,1.879 €/m²,1.090.000 €,580 m²,28181,https://www.pisos.com/comprar/chalet-castillo_campodon-41748339033_100500/,2024-11-12,Error al procesar consumo,Error al procesar emisiones,580 m²,,7,7,,,Entre 20 y 30 años,En buen estado,SA4858-C501137,1,,,,,,,,,,,,,,,,,N/A,Privado,Propia,,,,,1.308 m²,,,,,,,,,,,,,
Chalet en calle de Badajoz,WALTER HAUS MADRID,4.337 €/m²,3.500.000 €,807 m²,28115,https://www.pisos.com/comprar/chalet-monte_alina_la_cabana-48394446788_101800/,2025-02-20,"F, E","F, E",807 m²,,5,5,,,,,IF75984-M11508V,1,,,,,,,,,N/A,,,N/A,,,,,N/A,Privado,Propia,,,,,807 m²,N/A,,,,,,,,,,,,
Chalet en Prado de Somosaguas - La Finca - La Finca,JAIME VALCARCE CONSULTING INMOBILAIRIO,8.535 €/m²,5.975.000 €,700 m²,28115,https://www.pisos.com/comprar/chalet-la_finca-41734321204_101800/,2025-02-20,"A, A","A, A",700 m²,,7,7,,,Menos de 5 años,En buen estado,IF5271-225,1,,Gres,,,,Frío,Gas natural,,N/A,,1,N/A,,,,,N/A,,Propia,Noreste,,,N/A,4.335 m²,N/A,,,,,,,,,,,,
"Piso en calle Urbanización El Roquedal, nº 13",REMAX Alpha,2.308 €/m²,284.000 €,123 m²,28072,https://www.pisos.com/comprar/piso-hoyo_de_manzanares_centro_urbano-46711883004_994129/,2025-01-20,"G, G","G, G",123 m²,94 m²,3,2,3ª,N/A,Entre 30 y 50 años,A reformar,4994129-Urb.Roquedal 13,Más de 2,,Moqueta.,Climalit 4/6/4 con butiral barrotillo estilo inglé,Fraileras o persianas lacadas.,Gas natural: calefacción y agua caliente sanitaria,,Gas natural,Con remate de piedra berroqueña.,Totalmente equipada.,,1,Nª 77,N/A,,Videovigilancia 24 h,,Cubierta tendedero,N/A,"Pistas paddel, tenis y polideportiva.",Sureste,Orientación sureste,,Lavadero con terraza tendedero.,,,N/A,Entre 60 y 80 €,,Internet,,,,N/A,,,,
"Chalet en calle Diamante y C/ San Juan Bautista,  S/N","PREMIER ESPAÑA, S.A.",5.480 €/m²,1.879.900 €,343 m²,28115,https://www.pisos.com/comprar/chalet-zona_avenida_de_europa28224-4949165630_109700/,2025-02-10,Error al procesar consumo,Error al procesar emisiones,343 m²,,5,4,,,,A estrenar,4991481-21571198,,,,,,,,,,,,N/A,N/A,,,,,N/A,Privado,N/A,,,,,,,,,,,,,,,,,,
Chalet en Las Rozas de Madrid - Club de Golf,JAIME VALCARCE CONSULTING INMOBILAIRIO,4.329 €/m²,2.100.000 €,485 m²,28127,https://www.pisos.com/comprar/chalet-club_de_golf_molino_de_la_hoz28290-35921335807_101800/,2025-02-20,"A, A","A, A",485 m²,,5,6,,,Entre 10 y 20 años,En buen estado,IF5271-165,1,,,,,,Frío,Central,,N/A,,1,N/A,,,,,N/A,,Propia,Norte,,,N/A,2.300 m²,,,,,,,,,,,,,
Piso en Avenida de Pablo VI,InmoElite Propiedades SL,4.964 €/m²,695.000 €,140 m²,28115,https://www.pisos.com/comprar/piso-zona_avenida_de_europa28224-50026925150_109300/,2025-01-10,Error al procesar consumo,Error al procesar emisiones,140 m²,,4,3,2ª,N/A,,En buen estado,EP107-2910,,,,,,,,Gas natural,,Tendedero,,2,,,N/A,,N/A,N/A,,Comunitaria,Este,,,,,,,Más de 100 €,N/A,,,,,,,,,
Chalet en Villanueva de La Cañada - Villafranca del Castillo,JAIME VALCARCE CONSULTING INMOBILAIRIO,2.418 €/m²,2.950.000 €,1.220 m²,28176,https://www.pisos.com/comprar/chalet-villanueva_de_la_canada_villafranca_del_castillo28-51733501362_101800/,2025-02-20,"C, C","C, C",1.220 m²,,6,8,,,Entre 10 y 20 años,En buen estado,IF5271-317,1,,,,,,Frío,Eléctrica,,N/A,,1,N/A,,,,,N/A,,Propia,,,,,1.500 m²,,,,,,,,,,,,,
