nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Armarios empotrados,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Gas,Aire acondicionado,Calefacción,Chimenea,Cocina equipada,Comedor,Garaje,Trastero,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Terraza,Jardín,Piscina,Orientación,Soleado,Tipo de casa,Lavadero,Superficie solar,Amueblado,Balcón,Gastos de comunidad,Agua,Teléfono,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Adaptado a personas con movilidad reducida,No se aceptan mascotas,Interior,Luz
"Casa pareada en calle de Emilio Serrano, 32",Comprarcasa Navacasa,694 €/m²,220.000 €,317 m²,28038,https://www.pisos.com/comprar/casa_pareada-cercedilla_centro_urbano-47575050600_100500/,2025-02-20,"G, G","G, G",317 m²,,6,3,,,Más de 50 años,,SA5546-V952/11295,,,,,,,,,,,,,N/A,,,,,,,,,,Pareada,,,,,,,,,,,,,,,
Piso en calle de los Mártires,Infocasa Soluciones inmobiliarias,3.902 €/m²,640.000 €,164 m²,28022,https://www.pisos.com/comprar/piso-boadilla_del_monte_centro-51700824422_510620/,2025-02-17,"E, E","E, E",164 m²,130 m²,3,2,1ª,N/A,Entre 20 y 30 años,En buen estado,510620-00175,Más de 2,,Parquet,,Aluminio,N/A,Frío y calor,Gas natural,,N/A,N/A,2,N/A,N/A,N/A,,N/A,N/A,Comunitario,Comunitaria,Sur,N/A,,N/A,,,,192,,N/A,,,,,N/A,,,
Piso en Valenoso,HOGARES BOADILLA,4.744 €/m²,559.900 €,118 m²,28022,https://www.pisos.com/comprar/piso-sector_b28660-50024107182_100500/,2024-12-19,Error al procesar consumo,Error al procesar emisiones,118 m²,,3,2,Bajo,,,,SA4335-VALENOSO/9965,1,,,,,,N/A,Central,,,,,N/A,,,,N/A,N/A,,Comunitaria,,,,,,,,,,,,,,,,,,
Chalet adosado en calle de Zamora,MISCASA,3.030 €/m²,700.000 €,231 m²,28181,https://www.pisos.com/comprar/chalet_adosado-castillo_campodon-51718789920_500564/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,231 m²,212 m²,4,3,,,Entre 30 y 50 años,En buen estado,500564-8257,,,,N/A,,,Frío,Eléctrica,,,,Más de 2,,,,,,N/A,Privado,Comunitaria,,,,,,N/A,,,,,,,,,,,,
Piso en calle del Pico de la Maliciosa,EXCLUSIVAS SANTO MAURO,3.112 €/m²,249.000 €,80 m²,28047,https://www.pisos.com/comprar/piso-parque_de_la_coruna_las_suertes-50867765096_510261/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,80 m²,80 m²,3,1,4ª,N/A,Más de 50 años,En buen estado,4510261-000433,Más de 2,,Tarima flotante,,Aluminio con climalyt,,,Electrica con acumuladores,,Con tendedero,,,,,,,,,Comunitario,Comunitaria,Noroeste,N/A,,,,,,Entre 80 y 100 €,,,,,,,,,,
Piso en calle Camino de Valladolid,HOGARES TORRELODONES,2.824 €/m²,370.000 €,131 m²,28152,https://www.pisos.com/comprar/piso-los_angeles_jarandilla-50894707232_101800/,2025-02-19,"C, C","C, C",131 m²,,3,3,1ª,,Entre 20 y 30 años,,IF76925-C.VALLADOLID 3D,1,,,,,,,,,N/A,,1,N/A,,N/A,,N/A,,,Comunitaria,,,,,,,,,,,,,,,,,,
Piso en Majadahonda,Gilmar Majadahonda,4.049 €/m²,895.000 €,221 m²,28080,https://www.pisos.com/comprar/piso-golf_el_carralero28220-51745440208_102100/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,221 m²,,5,4,,,,,GM8-203463,,,,,,,,,,,,1,N/A,,,,,100,N/A,N/A,,,,,,,,,,,,,,,,,Interior,
Dúplex en Paseo del Prado de la Iglesia,HOGARES GUADARRAMA,1.792 €/m²,233.000 €,130 m²,28068,https://www.pisos.com/comprar/duplex-guadarrama_centro_urbano-45928445200_101800/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,130 m²,,3,2,1ª,,,,IF76801-pradodelaiglesia,1,,,,,,,Central,,N/A,,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet adosado en Centro,INMODON,2.257 €/m²,675.000 €,299 m²,28181,https://www.pisos.com/comprar/chalet_adosado-villaviciosa_de_odon_centro-44215298017_990706/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,299 m²,234 m²,4,3,,,Entre 20 y 30 años,En buen estado,4990706-Chaparmar,Más de 2,,Mármol,,Aluminio,,Frío y calor,Gas natural,,,,2,,,,,,N/A,Privado,Propia,,,,,262 m²,,,,,,,,,,,,,
"Piso en calle del Doctor Mingo Alsina, 14",HOGARES TORRELODONES,3.106 €/m²,320.000 €,103 m²,28152,https://www.pisos.com/comprar/piso-colonia-42585906588_101800/,2025-02-19,"G, G","G, G",103 m²,,3,2,1ª,,Entre 30 y 50 años,,IF76925-ma,1,,,,,,,Central,,N/A,,,,,N/A,N/A,,,,,,,,N/A,,N/A,,,,,,,,,,,,
Chalet en Somosaguas,vip home & investments s.l,3.092 €/m²,3.980.000 €,1.287 m²,28115,https://www.pisos.com/comprar/chalet-somosaguas_humera_los_angeles28223-44229835716_108900/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,1.287 m²,1.100 m²,5,6,,,,En buen estado,XA856-1014,,,,,,,Frío y calor,Gasoil,N/A,N/A,,Más de 2,,,N/A,N/A,,,,Propia,Oeste,,,,,,,Más de 100 €,N/A,,,,,,,,,
"Chalet pareado en calle de Almenara, 33",Grupo A-UNO,1.251 €/m²,299.000 €,239 m²,28125,https://www.pisos.com/comprar/chalet_pareado-urbanizacion_la_suiza_espanola-39195310117_516156/,2025-02-04,Error al procesar consumo,Error al procesar emisiones,239 m²,220 m²,4,2,,,Entre 10 y 20 años,En buen estado,4516156-81024622,N/A,Madera,Gres,N/A,PVC,N/A,,Propano,,N/A,N/A,1,,,,,,,Privado,,Sureste,,,,750 m²,,,,,N/A,N/A,N/A,N/A,,,,,
Casa en calle Prado del Rey,INMOGIL GESTION,3.256 €/m²,1.625.000 €,499 m²,28115,https://www.pisos.com/comprar/casa-prado_de_somosaguas-49174276674_524612/,2025-02-05,Error al procesar consumo,Error al procesar emisiones,499 m²,450 m²,5,4,,,Entre 30 y 50 años,En buen estado,4524612-2202189,Más de 2,Lacada,Tarima maciza,N/A,Aluminio,N/A,Frío y calor,Gas natural,N/A,Independiente y ampliada,Independiente,Más de 2,,,N/A,Urb cerrada,,N/A,,Propia,Este,,,N/A,511 m²,No,,Más de 100 €,,N/A,Acceso restringido,N/A,Urbanización en vía publica,,,,,
Piso en calle de San Sebastián,HOGARES GUADARRAMA,2.249 €/m²,224.900 €,100 m²,28068,https://www.pisos.com/comprar/piso-guadarrama_centro_urbano-48390775882_101800/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,100 m²,,3,2,2ª,,Entre 30 y 50 años,,IF76801-JarosaIII,,,,,,,,,,,,,N/A,,,,,N/A,,Comunitaria,,,,,,,,,,,,,,,,,,
Piso en calle de la Peraleda,HOGARES GALAPAGAR,2.246 €/m²,199.900 €,89 m²,28061,https://www.pisos.com/comprar/piso-el_encinar_vista_nevada_la_quinta_del_praderon2826-41710287967_101800/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,89 m²,,3,1,1ª,,Más de 50 años,,IF76920-PERALEDA,1,,,,,,,Central,,N/A,,1,,,,,,N/A,Privado,Comunitaria,,,,,,,,,,,,,,,,,,
Chalet en Valdemorillo,Gilmar Majadahonda,1.539 €/m²,585.000 €,380 m²,28160,https://www.pisos.com/comprar/chalet-camping_valdemorillo-51696797233_102100/,2025-02-16,Error al procesar consumo,Error al procesar emisiones,380 m²,,6,6,,,,,GM8-203264,,,,,,,,,,,,N/A,,,,,,,N/A,,,,,,1.000 m²,,,,,,,,,,,,,
Chalet en calle Playa De Quintes,Inmob Homes,5.018 €/m²,2.700.000 €,538 m²,28022,https://www.pisos.com/comprar/chalet-boadilla_del_monte_centro-45882548860_109300/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,538 m²,452 m²,4,6,,,,,EP647-1203,,,,,,,Frío,Central,,N/A,,2,N/A,,N/A,N/A,,,,Propia,Sureste,,,,,N/A,,,N/A,,,,,,,,,
Piso en Paseo del Molino del Rey,HOGARES GUADARRAMA,1.940 €/m²,199.900 €,103 m²,28068,https://www.pisos.com/comprar/piso-guadarrama_centro_urbano-45859950041_101800/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,103 m²,,3,1,,,,,IF76801-Molino,,,,,,,,,,,,,,,,,,N/A,,Propia,,,,,,,,,,,,,,,,,,
Piso en calle Guadamolinos,HOGARES GUADARRAMA,2.167 €/m²,218.900 €,101 m²,28068,https://www.pisos.com/comprar/piso-guadarrama_centro_urbano-47594049926_101800/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,101 m²,,3,1,,,Entre 30 y 50 años,,IF76801-guadamolinos,,,,,,,,,,,,,N/A,,,,,N/A,,Comunitaria,,,,,,,,,,,,,,,,,,
Piso en calle de Amadeo Vives,HOGARES BOADILLA CENTRO,4.076 €/m²,530.000 €,130 m²,28022,https://www.pisos.com/comprar/piso-sector_s28660-50903724037_525764/,2025-01-31,"E, E","E, E",130 m²,120 m²,3,2,1ª,N/A,Entre 20 y 30 años,En buen estado,4525764-000052,Más de 2,,Tarima flotante,,Madera,,Frío y calor,Gas natural,,N/A,N/A,1,N/A,,,,,N/A,,Comunitaria,,,,N/A,,N/A,,,,,,,,,,,,
Dúplex en calle del Prado Mingo,HOGARES GALAPAGAR,2.200 €/m²,165.000 €,75 m²,28061,https://www.pisos.com/comprar/duplex-galapagar_centro-39219897814_101800/,2025-02-13,"E, E","E, E",75 m²,,2,2,3ª,,Entre 20 y 30 años,,IF76920-Prado Mingo,,,,,,,,,,,,,,,,,N/A,,,Propia,,,,,,,,,,,,,,,,,,
Casa pareada en calle del Profesor Calderín,HOGARES TORRELODONES,1.984 €/m²,510.000 €,257 m²,28152,https://www.pisos.com/comprar/casa_pareada-colonia-40009155928_101800/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,257 m²,,3,3,,,Entre 20 y 30 años,,IF76925-24545,1,,,,,,,Central,,N/A,,1,,,,,,N/A,Privado,Propia,,,Pareada,,272 m²,,,,,,,,,,,,,
Casa pareada en Plaza Hontanilla,HOGARES TORRELODONES,1.889 €/m²,650.000 €,344 m²,28072,https://www.pisos.com/comprar/casa_pareada-hoyo_de_manzanares_centro_urbano-35904444352_101800/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,344 m²,,5,3,,,Entre 20 y 30 años,,IF76925-92,,,,,,,,Central,,,,1,N/A,,,,,N/A,Privado,Comunitaria,A la montaña,,Pareada,,409 m²,,,,,,,,,,,,,
Chalet en Somosaguas,HEMIC PROPERTIES,3.710 €/m²,2.000.000 €,539 m²,28115,https://www.pisos.com/comprar/chalet-somosaguas_humera_los_angeles28223-51709006141_100500/,2025-02-04,Error al procesar consumo,Error al procesar emisiones,539 m²,,6,1,,,Entre 30 y 50 años,,SA4317-1-120/9260,,,,,,,,,,,,1,N/A,,,,,N/A,N/A,N/A,,,,,501 m²,,,,N/A,,,,,,,,,
Chalet en Avenida Serranía De Cuenca,CHEMALI SERVICIOS INMOBILIARIOS,2.675 €/m²,495.000 €,185 m²,28160,https://www.pisos.com/comprar/chalet-valdemorillo_centro_urbano-50892767436_101800/,2025-01-20,Error al procesar consumo,Error al procesar emisiones,185 m²,,3,2,,,Entre 20 y 30 años,,IF7144-VALDCUEN,1,,,,,,,Central,,N/A,,1,N/A,,N/A,N/A,,N/A,Privado,Propia,,,,N/A,1.960 m²,,,,,,,,,,,,,
"Chalet en Avenida Víctimas del Terrorismo, 16",ASENTIS,1.967 €/m²,895.000 €,455 m²,28022,https://www.pisos.com/comprar/chalet-sector_b28660-5089796469_109700/,2025-02-05,Error al procesar consumo,Error al procesar emisiones,455 m²,,5,4,,,,A estrenar,4994805-21754933,,,,,,,,,,N/A,,N/A,,,,,,N/A,Privado,,,,,,,,,,,,,,,,,,,
Casa en Bonanza,TEJAVERDE CONSULTORES,1.845 €/m²,1.100.000 €,596 m²,28022,https://www.pisos.com/comprar/casa-bonanza_distrito-51670858561_529488/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,596 m²,596 m²,6,5,,,,En buen estado,4529488-CB-110,Más de 2,,,,,,,Gas natural,,N/A,N/A,2,,,,,,N/A,Privado,,,,,N/A,2.031 m²,,,,,,N/A,N/A,N/A,N/A,,,,
Piso en Zona Tranquila,CAVALIER REAL ESTATE,2.000 €/m²,220.000 €,110 m²,28068,https://www.pisos.com/comprar/piso-guadarrama_centro_urbano-48398130376_100500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,110 m²,105 m²,2,2,Bajo,,Más de 50 años,,SA603-1046/1925,,,,,,,,Gas natural,,,,,N/A,,,N/A,,N/A,N/A,,Sur,,,,,,N/A,Entre 20 y 40 €,N/A,N/A,,,,,,,,
Chalet en calle Playa De Sitges,CENTURY 21 R & C,2.951 €/m²,2.075.000 €,703 m²,28022,https://www.pisos.com/comprar/chalet-bonanza_distrito-51674878395_107700/,2025-02-16,Error al procesar consumo,Error al procesar emisiones,703 m²,635 m²,7,6,,,,,VE76-0056-00578,,,,,,,N/A,,,N/A,,,N/A,,,,,,N/A,,,,,,1.677 m²,,,,,,,,,,,,,
Casa en calle Monteverdi,CHEMALI SERVICIOS INMOBILIARIOS,2.029 €/m²,690.000 €,340 m²,28176,https://www.pisos.com/comprar/casa-villanueva_de_la_canada_nucleo_urbano-50023055808_101800/,2025-01-20,Error al procesar consumo,Error al procesar emisiones,340 m²,,5,4,,,Entre 10 y 20 años,,IF7144-VCHAF,1,,,,,,,Central,,N/A,,1,,,N/A,,,N/A,Privado,,,,,N/A,620 m²,N/A,,,,,,,,,,,,
Chalet en calle de Turina,Inmob Homes,2.350 €/m²,1.295.000 €,551 m²,28127,https://www.pisos.com/comprar/chalet-monte_rozas_la_chopera28232-42580060639_109300/,2024-05-27,Error al procesar consumo,Error al procesar emisiones,551 m²,412 m²,6,4,,,,Reformado,EP647-1184,,,,,,,Frío,Gas natural,N/A,N/A,,2,N/A,,,,,N/A,,Propia,Sureste,,,,,,,Más de 100 €,N/A,,,,,,,,,
Chalet en calle del Castillo de Coca,MoMa Team Real Estate,1.331 €/m²,490.000 €,368 m²,28160,https://www.pisos.com/comprar/chalet-valdemorillo_centro_urbano-47561175133_100500/,2024-11-23,"E, E","E, E",368 m²,360 m²,6,3,,,Entre 30 y 50 años,,SA5559-MTXAL_146/11900,,,,,,,,,N/A,,,1,N/A,,,,,N/A,N/A,Propia,,,,,795 m²,,,,,,N/A,,,,,,,
Piso en Urbanización Peñón,HOGARES GUADARRAMA,2.104 €/m²,239.900 €,114 m²,28068,https://www.pisos.com/comprar/piso-guadarrama_centro_urbano-44215239277_101800/,2025-02-13,"E, E","E, E",114 m²,,3,2,1ª,,Entre 30 y 50 años,,IF76801-Peñon,1,,,,,,,,,N/A,,1,N/A,,,,,N/A,,Comunitaria,,,,,,,,,,,,,,,,,,
Piso en calle Vereda del Colmenar,HOGARES GUADARRAMA,2.014 €/m²,265.900 €,132 m²,28068,https://www.pisos.com/comprar/piso-guadarrama_centro_urbano-45867533013_101800/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,132 m²,,2,2,,,Entre 10 y 20 años,,IF76801-la reserva,1,,,,,,,Central,,N/A,,,,,,,N/A,N/A,,Comunitaria,,,,,,,,,,,,,,,,,,
Chalet en calle Río Júcar,MoMa Team Real Estate,1.532 €/m²,570.000 €,372 m²,28160,https://www.pisos.com/comprar/chalet-valdemorillo_centro_urbano-47557544105_100500/,2025-02-13,"E, F","E, F",372 m²,300 m²,4,3,,,Entre 30 y 50 años,,SA5559-MT24001/11900,,,,,,,,N/A,N/A,,N/A,1,N/A,,N/A,N/A,,N/A,N/A,N/A,Noroeste,,,,748 m²,,,,,,N/A,,,,,,,
Chalet unifamiliar en El Bosque,INMODON,3.382 €/m²,1.150.000 €,340 m²,28181,https://www.pisos.com/comprar/chalet_unifamiliar-villaviciosa_de_odon_el_bosque28670-50060017442_990706/,2025-02-14,"E, E","E, E",340 m²,322 m²,5,3,,,Entre 30 y 50 años,En buen estado,4990706-Venmafre,Más de 2,,Gres,,Aluminio,,,Gasoil,N/A,Con office,,2,,,N/A,,,N/A,Privado,Propia,,,,,2.091 m²,,,,,,,,,,,,,
Chalet en calle del Río Ter,CENTURY 21 R & C,1.965 €/m²,1.095.000 €,557 m²,28022,https://www.pisos.com/comprar/chalet-parque_de_boadilla28669-51716122621_107700/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,557 m²,348 m²,5,3,,,Entre 20 y 30 años,,VE76-0056-00572,,,,,,,,,,N/A,,,N/A,,N/A,,,N/A,N/A,,,,,,2.597 m²,,,,,,,,,,,,,
Casa en calle Principal,HOGARES GALAPAGAR,3.697 €/m²,269.900 €,73 m²,28061,https://www.pisos.com/comprar/casa-zona_calle_casa_amarilla28260-50856682855_101800/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,73 m²,,3,3,,,Menos de 5 años,,IF76920-Principal,,,,,,,,Central,,,,,N/A,,,,,,,,,,,,63 m²,,,,,,,,,,,,,
Chalet en Avenida de la Sierra de Gredos,HOGARES VILLANUEVA DE LA CAÑADA,2.245 €/m²,795.000 €,354 m²,28176,https://www.pisos.com/comprar/chalet-villanueva_de_la_canada_nucleo_urbano-49262742158_101800/,2024-11-14,Error al procesar consumo,Error al procesar emisiones,354 m²,,5,4,,,Entre 10 y 20 años,,IF76918-s GREDOS,1,,,,,,,Central,,,,1,,,,,,,Privado,Propia,,,,,530 m²,,,,,,,,,,,,,
Piso en calle Alemania,INMOBILIARIA ASTUDILLO,4.368 €/m²,450.000 €,103 m²,28181,https://www.pisos.com/comprar/piso-villaviciosa_de_odon_centro-49185623651_106000/,2025-01-14,Error al procesar consumo,Error al procesar emisiones,103 m²,93 m²,2,2,1ª,,Entre 10 y 20 años,,NI37-1330,1,,,,PVC,,A/a f/c,Gas natural,,Amueblada con electrodomésticos,N/A,2,,,,,N/A,N/A,,N/A,,,,,,Completamente amueblado,,,Gas natural,,,,,,,,,
Dúplex en Camino Real,HOGARES VILLANUEVA DEL PARDILLO,4.111 €/m²,439.900 €,107 m²,28177,https://www.pisos.com/comprar/duplex-villanueva_del_pardillo_centro_urbano-50909236304_101800/,2025-01-17,Error al procesar consumo,Error al procesar emisiones,107 m²,,3,2,2ª,,Entre 20 y 30 años,,IF77018-CAM R,1,,,,,,,,,N/A,,1,,,,,N/A,N/A,,,,,,N/A,,N/A,,,,,,,,,,,,
Chalet en Sector B,Gilmar Boadilla-Villaviciosa,3.400 €/m²,850.000 €,250 m²,28022,https://www.pisos.com/comprar/chalet-boadilla_del_monte_monteprincipe28660-51750113243_102100/,2025-02-16,Error al procesar consumo,Error al procesar emisiones,250 m²,,4,4,,,,,GM11-205083,,,,,,,,,,,,Más de 2,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,
Chalet en calle Río Cigüela,Inmob Homes,3.228 €/m²,1.285.000 €,398 m²,28022,https://www.pisos.com/comprar/chalet-parque_de_boadilla28669-47505714466_109300/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,398 m²,320 m²,7,4,,,,,EP647-1227,,,,,,,Frío,Gas natural,,N/A,,2,,,,N/A,,,,Propia,Suroeste,,,,,,,,N/A,,,,,,,,,
Chalet en Monteclaro,Gilmar Majadahonda,4.166 €/m²,1.875.000 €,450 m²,28115,https://www.pisos.com/comprar/chalet-somosaguas_humera_los_angeles28223-51747710975_102100/,2025-02-16,Error al procesar consumo,Error al procesar emisiones,450 m²,,6,5,,,,,GM8-204769,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,1.569 m²,,,,,,,,,,,,,
"Chalet adosado en calle de las Islas Canarias, 1",HOGARES BOADILLA CENTRO,2.395 €/m²,970.000 €,405 m²,28022,https://www.pisos.com/comprar/chalet_adosado-valdepastores_pino_centinela_las_encinas28669-51738673220_525764/,2025-02-18,"E, E","E, E",405 m²,365 m²,5,4,,,,En buen estado,4525764-ESPECTACULAR Chalet adosado en  urbanización CALME,Más de 2,,,,,,,,N/A,N/A,N/A,2,,,N/A,24 horas control de acceso,,N/A,Privado,Propia,,,,N/A,470 m²,,,,,N/A,N/A,N/A,N/A,,,,,
Casa pareada en Avenida de Castilla y León,HOGARES VILLANUEVA DE LA CAÑADA,1.835 €/m²,669.900 €,365 m²,28176,https://www.pisos.com/comprar/casa_pareada-villanueva_de_la_canada_nucleo_urbano-46704393855_101800/,2024-08-02,Error al procesar consumo,Error al procesar emisiones,365 m²,,4,3,,,Entre 10 y 20 años,,IF76918-Castilla Y León,1,,,,,,,Central,,N/A,,1,N/A,,N/A,,,N/A,Privado,Propia,,,Pareada,,420 m²,,,,,,,,,,,,,
Chalet unifamiliar en Monte Rozas-La Chopera,ÁKABA THE NEW REAL ESTATE,2.055 €/m²,1.850.000 €,900 m²,28127,https://www.pisos.com/comprar/chalet_unifamiliar-monte_rozas_la_chopera28232-44212568724_528385/,2024-11-08,"D, C","D, C",900 m²,550 m²,7,5,,,Entre 30 y 50 años,En buen estado,4528385-AK0124-E,Más de 2,,Gres,,Aluminio,,,Gas natural,N/A,N/A,N/A,2,,,,,,N/A,Privado,Propia,Oeste,,,N/A,2.600 m²,,,,,,,,,,,,,
Chalet en calle de Álvaro Cunqueiro,HOGARES GALAPAGAR,774 €/m²,509.900 €,658 m²,28061,https://www.pisos.com/comprar/chalet-el_guijo_colonia_espana28400-40000828402_101800/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,658 m²,,5,3,,,Entre 20 y 30 años,,IF76920-CUNQUEIRO,1,,,,,,,Central,,N/A,,1,N/A,,,,,N/A,Privado,Propia,,,,,1.465 m²,N/A,,,,,,,,,,,,
Casa pareada en calle Cabo De Peñas,HOGARES BOADILLA,2.232 €/m²,949.000 €,425 m²,28022,https://www.pisos.com/comprar/casa_pareada-el_olivar_de_mirabal28660-48356412791_100500/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,425 m²,455 m²,5,5,,,Entre 5 y 10 años,,SA4335-CHPASTEL/9965,1,,,,,,,N/A,,,N/A,1,N/A,,N/A,N/A,,N/A,N/A,Comunitaria,,,Pareada,,120 m²,,,,,,N/A,,,,,,,
Piso en calle de Candanchú,HOGARES GUADARRAMA,2.327 €/m²,169.900 €,73 m²,28068,https://www.pisos.com/comprar/piso-guadarrama_centro_urbano-47519930066_101800/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,73 m²,,3,1,4ª,,,,IF76801-candanchu,1,,,,,,,Central,,N/A,,,,,,,,N/A,,Comunitaria,,,,,,,,,,,,,,,,,,
Casa pareada en calle de la Cumbre,ABA EXPERTOS INMOBILIARIOS,2.097 €/m²,797.000 €,380 m²,28152,https://www.pisos.com/comprar/casa_pareada-los_penascales-51753502557_100500/,2025-02-06,"E, E","E, E",380 m²,,4,4,,,Entre 20 y 30 años,,SA5834-PANORAMICO/10809,1,,,,,,N/A,Gas natural,N/A,,N/A,,N/A,,N/A,N/A,,N/A,N/A,Propia,Sureste,,Pareada,,1.050 m²,N/A,,,N/A,N/A,N/A,,,,,,,
"Casa en Galapagar, Zona de - Casco Antiguo",REDPISO GALAPAGAR,2.103 €/m²,345.000 €,164 m²,28061,https://www.pisos.com/comprar/casa-galapagar_centro-50081740811_104700/,2024-12-05,Error al procesar consumo,Error al procesar emisiones,164 m²,140 m²,3,1,,,Más de 50 años,A reformar,STA47-RP1942024132649,,,Gres,,,,,Gasoil,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Carretera de Colmenarejo,HOGARES GALAPAGAR,2.190 €/m²,549.900 €,251 m²,28061,https://www.pisos.com/comprar/chalet-zona_calle_la_canaleja-48404234588_101800/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,251 m²,,4,3,,,Entre 20 y 30 años,,IF76920-CrtaColme,1,,,,,,,Central,,,,1,,,,,,N/A,Privado,Propia,,,,,252 m²,,,,,,,,,,,,,
Chalet pareado en calle del Torreón,INMOGIL GESTION,1.588 €/m²,1.125.000 €,708 m²,28127,https://www.pisos.com/comprar/chalet_pareado-marazuela_el_torreon28231-45026388810_524612/,2025-02-05,Error al procesar consumo,Error al procesar emisiones,708 m²,613 m²,7,5,,,Entre 30 y 50 años,En buen estado,4524612-2202182,Más de 2,Lacada,Parquet,N/A,PVC,N/A,,Gasoil,N/A,Independiente con offfice,N/A,Más de 2,,,N/A,,,N/A,Privado,Comunitaria,Suroeste,,,Independiente,500 m²,,,Más de 100 €,,N/A,N/A,N/A,N/A,N/A,,,,
Casa adosada en calle Cabo Estaca De Bares,Camy Home,3.698 €/m²,969.000 €,262 m²,28022,https://www.pisos.com/comprar/casa_adosada-boadilla_del_monte_las_lomas-50911113293_100500/,2025-01-21,Error al procesar consumo,Error al procesar emisiones,262 m²,,4,4,,,Entre 5 y 10 años,En buen estado,SA2562-CAMYVENTCABO,1,,,,,,N/A,Central,,,,1,N/A,,,,,N/A,N/A,N/A,Norte,,Adosada,,,,,Más de 100 €,,,,,,,,,,
Chalet en Las Rozas,Gilmar Majadahonda,2.445 €/m²,675.000 €,276 m²,28127,https://www.pisos.com/comprar/chalet-el_burgo_el_abajon28231-51714983561_102100/,2025-02-16,Error al procesar consumo,Error al procesar emisiones,276 m²,,5,5,,,,,GM8-203431,,,,,,,,,,,,2,,,,,,,N/A,N/A,,,,,40 m²,,,,,,,,,,,,,
"Ático en calle de la Higuera,  s/n",PRYGESA,5.567 €/m²,790.640 €,142 m²,28127,https://www.pisos.com/comprar/atico-el_cantizal28232-3725818866_109700/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,142 m²,,3,2,,,,A estrenar,4992541-505122941,,,,,,,,,,,,N/A,N/A,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Chalet en calle Monte Alto,ABA EXPERTOS INMOBILIARIOS,1.983 €/m²,825.000 €,416 m²,28152,https://www.pisos.com/comprar/chalet-los_penascales-51717000842_100500/,2025-02-06,"A, B","A, B",416 m²,385 m²,5,4,,,Entre 20 y 30 años,,SA5834-VISTAS/10809,1,,,,,,N/A,Gas natural,N/A,,,1,N/A,,N/A,N/A,,N/A,N/A,N/A,Sureste,,,,551 m²,,,,N/A,N/A,N/A,,,,,,,
Piso en calle de Joaquín Turina,MABELAN INMOBILIARIA,5.177 €/m²,730.000 €,141 m²,28080,https://www.pisos.com/comprar/piso-golf_el_carralero28222-50885680823_101800/,2025-02-10,Error al procesar consumo,Error al procesar emisiones,141 m²,,4,3,1ª,,Entre 20 y 30 años,,IF6966-5578,1,,,,,,,Central,,N/A,,,N/A,,,,N/A,N/A,,Comunitaria,,,,N/A,,,,,,,,,,,,,,
Casa pareada en calle de Creta,HOGARES TORRELODONES,1.574 €/m²,510.000 €,324 m²,28061,https://www.pisos.com/comprar/casa_pareada-parquelagos_puente_nuevo28420-40855131297_101800/,2025-02-19,"D, D","D, D",324 m²,,4,4,,,Entre 30 y 50 años,,IF76925-25785,1,,,,,,,Central,,N/A,,1,N/A,,N/A,,,,Privado,Comunitaria,,,Pareada,N/A,502 m²,N/A,,,,,,,,,,,,
