nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Habitaciones,Baños,Antigüedad,Referencia,Armarios empotrados,Calefacción,Garaje,Trastero,Puerta blindada,Ascensor,Terraza,Piscina,Superficie útil,Superficie solar,Conservación,Aire acondicionado,Jardín,Tipo de casa,Cocina equipada,Sistema de seguridad,Planta,Amueblado,Tipo suelo,Gastos de comunidad,Carpintería exterior,Teléfono,Comedor,Lavadero,Urbanizado,Calle alumbrada,Calle asfaltada,Exterior,Carpintería interior,Vidrios dobles,Portero automático,Balcón,Orientación,Soleado,Chimenea,Gas,Interior,Se aceptan mascotas,Adaptado a personas con movilidad reducida,Agua
Piso en Avenida de Cristóbal Colón,Punto Inmobiliario del Henares,2.092 €/m²,295.000 €,141 m²,28148,https://www.pisos.com/comprar/piso-zona_noreste-51697742123_992672/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,141 m²,3,2,Entre 20 y 30 años,4992672-1533,Más de 2,Gas natural,1,,N/A,N/A,,Comunitaria,97 m²,,En buen estado,Frío y calor,,,N/A,,3ª,,Parquet,Entre 80 y 100 €,Aluminio,,,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,,N/A,,,N/A,
"Piso en calle de la Plata,  s/n","PREMIER ESPAÑA, S.A.",3.901 €/m²,319.900 €,82 m²,28148,https://www.pisos.com/comprar/piso-zona_sureste-5123241352_109700/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,82 m²,2,2,,4991481-21746716,,,N/A,N/A,,,N/A,,,,A estrenar,,,,,,6ª,,,,,,,,,,,,,,,,,,,,,,,
Piso en Adolfo Marsillach,TORREJON INMOBILIARIA,2.469 €/m²,199.999 €,81 m²,28084,https://www.pisos.com/comprar/piso-mejorada_del_campo_centro_urbano-51703387796_100500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,81 m²,2,2,Entre 10 y 20 años,SA5065-MEJORADA10/9865,1,Gas natural,1,N/A,N/A,N/A,N/A,,72 m²,,,N/A,,,,,1ª,N/A,,Entre 60 y 80 €,,,,,,,,,,,,,Sur,,,,,,,N/A
Ático en calle de Gonzalo de Córdoba,TEAM JAVIER VILLALBA,3.100 €/m²,310.000 €,100 m²,28130,https://www.pisos.com/comprar/atico-san_fernando_de_henares_centro-50012687710_101800/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,100 m²,2,2,Menos de 5 años,IF5563-ATICO 2 EDIFICIO PALADIUM,1,Central,,N/A,N/A,N/A,,Comunitaria,,,,,,,,,5ª,,,,,,,,,,,,,,,,,,,,,,,
Chalet en calle de Valdegatos,GAVILAN INMOBILIARIA,2.023 €/m²,394.600 €,195 m²,28032,https://www.pisos.com/comprar/chalet-camarma_de_esteruelas_centro_urbano-51709056165_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,195 m²,4,3,Entre 20 y 30 años,SA114-0900,,Gas natural,,,,,N/A,Comunitaria,,215 m²,En buen estado,Frío,Comunitario,,,,,,,,,,,,,,,,,,,,Sur,,,,,,,
Piso en Espartales,Estudio Alcala Espartales Sl,1.862 €/m²,270.000 €,145 m²,28005,https://www.pisos.com/comprar/piso-espartales28806-51758717142_100200/,2025-02-15,Error al procesar consumo,Error al procesar emisiones,145 m²,2,2,Entre 10 y 20 años,TC904-609806,,Central,2,N/A,,N/A,N/A,,,,En buen estado,,Comunitario,,N/A,,4ª,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Corpa,INMOBIDIK,1.666 €/m²,150.000 €,90 m²,28048,https://www.pisos.com/comprar/duplex-corpa_centro_urbano-35050091156_100500/,2025-01-29,Error al procesar consumo,Error al procesar emisiones,90 m²,2,2,,SA1058-DIK1005/5055,1,Eléctrica,1,,,,,Comunitaria,70 m²,,,,,,,N/A,1ª,,Tarima flotante,Entre 40 y 60 €,,,N/A,,,,,,,,,,Sur,,,,,,,
"Piso en calle de Alfonso VI,  s/n",INGESCASA,2.785 €/m²,281.315 €,101 m²,28005,https://www.pisos.com/comprar/piso-espartales28806-2573138421_109700/,2024-12-18,"A, A","A, A",101 m²,2,2,,4995071-18997624,,,N/A,,,N/A,N/A,,,,A estrenar,,,,,,Bajo,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle de la Plata,  s/n","PREMIER ESPAÑA, S.A.",4.078 €/m²,411.900 €,101 m²,28148,https://www.pisos.com/comprar/piso-zona_sureste-5178389513_109700/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,101 m²,3,2,,4991481-0,,,N/A,N/A,,,N/A,,,,A estrenar,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,
Chalet en calle de Fuente de Arriba,BERLIN SV PROPERTIES,1.929 €/m²,575.000 €,298 m²,28083,https://www.pisos.com/comprar/chalet-meco_centro_urbano-48380620991_100500/,2025-01-31,Error al procesar consumo,Error al procesar emisiones,298 m²,4,2,,SA4861-Meco,1,,1,N/A,,,N/A,N/A,,483 m²,En buen estado,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
