nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Habitaciones,Baños,Antigüedad,Referencia,Armarios empotrados,Calefacción,Garaje,Trastero,Puerta blindada,Ascensor,Terraza,Piscina,Superficie útil,Superficie solar,Conservación,Aire acondicionado,Jardín,Tipo de casa,Cocina equipada,Sistema de seguridad,Planta,Amueblado,Tipo suelo,Gastos de comunidad,Carpintería exterior,Teléfono,Comedor,Lavadero,Urbanizado,Calle alumbrada,Calle asfaltada,Exterior,Carpintería interior,Vidrios dobles,Portero automático,Balcón,Orientación,Soleado,Chimenea,Gas,Interior,Se aceptan mascotas,Adaptado a personas con movilidad reducida,Agua
"Piso en calle de la Virgen de Loreto, 18",Hercesa,3.471 €/m²,374.900 €,108 m²,28005,https://www.pisos.com/comprar/piso-colonia_avenida_de_meco28805-40895931914_101800/,2025-02-20,"A, A","A, A",108 m²,4,2,Menos de 5 años,IF6892-108047,1,Central,1,N/A,N/A,N/A,N/A,Comunitaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet unifamiliar en calle de Soto del Henares,AVANCE URBANO,1.777 €/m²,320.000 €,180 m²,28172,https://www.pisos.com/comprar/chalet_unifamiliar-villalbilla_centro_urbano-51761494757_995907/,2025-02-13,"A, A","A, A",180 m²,4,3,,"4995907-S. Henares, 25",Más de 2,Aerotermia,1,,N/A,,,,152 m²,150 m²,En buen estado,Aerotermia,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en calle de la Gran Vía, 12",Hercesa,2.834 €/m²,337.270 €,119 m²,28032,https://www.pisos.com/comprar/casa_adosada-camarma_de_esteruelas_centro_urbano-38421574526_109700/,2025-02-08,Error al procesar consumo,Error al procesar emisiones,119 m²,3,2,,4517782-P.2485,N/A,N/A,,,N/A,,,,,,A estrenar,,N/A,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en calle de la Gran Vía, 12",Hercesa,2.819 €/m²,338.370 €,120 m²,28032,https://www.pisos.com/comprar/casa_adosada-camarma_de_esteruelas_centro_urbano-40846660855_101800/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,120 m²,3,3,,IF6892-107379,1,Central,,,N/A,,,Comunitaria,,,,,,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Villalbilla,Estudio Villalbilla-El Viso Sl,1.504 €/m²,322.000 €,214 m²,28172,https://www.pisos.com/comprar/casa_adosada-villalbilla_centro_urbano-49206134954_100200/,2025-01-29,"E, E","E, E",214 m²,4,2,Entre 20 y 30 años,TC804-598304,,N/A,1,,,,N/A,Comunitaria,,,A reformar,N/A,Privado,Adosada,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Casa pareada en Villalbilla,DOMUM SOLUCIONES INMOBILIARIAS,2.957 €/m²,499.900 €,169 m²,28172,https://www.pisos.com/comprar/casa_pareada-villalbilla_centro_urbano-50919915866_106700/,2025-02-01,Error al procesar consumo,Error al procesar emisiones,169 m²,4,3,Entre 5 y 10 años,IFC76049-DSI-V2502,,,,N/A,N/A,,,N/A,152 m²,,,N/A,N/A,Pareada,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en calle de la Gran Vía, 7",Hercesa,3.650 €/m²,438.000 €,120 m²,28032,https://www.pisos.com/comprar/casa_adosada-camarma_de_esteruelas_centro_urbano-51680468021_101800/,2025-02-20,"A, A","A, A",120 m²,3,3,,IF6892-107412,1,,1,,N/A,,,,,,,,Privado,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chalet en calle del Mar Cantábrico,  s/n","PREMIER ESPAÑA, S.A.",2.268 €/m²,793.900 €,350 m²,28104,https://www.pisos.com/comprar/chalet-paracuellos_de_jarama_centro_urbano-5158356840_109700/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,350 m²,5,3,,4991481-21735382,,,N/A,N/A,,,N/A,N/A,,,A estrenar,,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chalet en calle del Mar Cantábrico,  s/n","PREMIER ESPAÑA, S.A.",2.259 €/m²,799.900 €,354 m²,28104,https://www.pisos.com/comprar/chalet-paracuellos_de_jarama_centro_urbano-5023163471_109700/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,354 m²,5,3,,4991481-21666286,,,N/A,N/A,,,N/A,N/A,,,A estrenar,,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chalet en calle del Mar Cantábrico,  s/n","PREMIER ESPAÑA, S.A.",2.155 €/m²,773.900 €,359 m²,28104,https://www.pisos.com/comprar/chalet-paracuellos_de_jarama_centro_urbano-5059624157_109700/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,359 m²,5,3,,4991481-21666290,,,N/A,N/A,,,N/A,N/A,,,A estrenar,,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ático en calle de la Plata,  s/n","PREMIER ESPAÑA, S.A.",4.158 €/m²,469.900 €,113 m²,28148,https://www.pisos.com/comprar/atico-zona_sureste-3986608767_109700/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,113 m²,3,2,,4991481-20586670,,,N/A,N/A,,,N/A,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle de Alfonso VI,  s/n",INGESCASA,2.785 €/m²,281.315 €,101 m²,28005,https://www.pisos.com/comprar/piso-espartales28806-2573138421_109700/,2024-12-18,"A, A","A, A",101 m²,2,2,,4995071-18997624,,,N/A,,,N/A,N/A,,,,A estrenar,,,,,,Bajo,,,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en calle de la Gran Vía, 12",Hercesa,2.843 €/m²,338.370 €,119 m²,28032,https://www.pisos.com/comprar/casa_adosada-camarma_de_esteruelas_centro_urbano-35856717666_109700/,2025-02-08,Error al procesar consumo,Error al procesar emisiones,119 m²,3,2,,4517782-P.2485,N/A,N/A,,,N/A,,N/A,,,,A estrenar,,N/A,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en calle de la Jabonería,"ESTUDIO SAN JOSE-FRONTERAS, S.L.",2.054 €/m²,299.900 €,146 m²,28148,https://www.pisos.com/comprar/casa_adosada-zona_noroeste-50916697705_100200/,2025-02-04,"D, D","D, D",146 m²,3,1,Más de 50 años,TC633-607065,,,,,,,,,,,En buen estado,,,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Daganzo de Arriba,Estudio Inmobiliario Daganzo SL,2.040 €/m²,399.900 €,196 m²,28053,https://www.pisos.com/comprar/casa_adosada-daganzo_de_arriba_centro_urbano-51691805513_100200/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,196 m²,3,2,Entre 10 y 20 años,TC1119-603211,,N/A,,,,,,Propia,,,En buen estado,,Privado,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle de la Plata,  s/n","PREMIER ESPAÑA, S.A.",3.745 €/m²,310.900 €,83 m²,28148,https://www.pisos.com/comprar/piso-zona_sureste-5129093556_109700/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,83 m²,2,2,,4991481-0,,,N/A,N/A,,,N/A,,,,A estrenar,,,,,,4ª,,,,,,,,,,,,,,,,,,,,,,,
"Chalet en calle de Hoces Cabriel,  s/n",BRINUM HOMES,1.264 €/m²,344.000 €,272 m²,28172,https://www.pisos.com/comprar/chalet-villalbilla_centro_urbano-4766762566_109700/,2024-12-18,Error al procesar consumo,Error al procesar emisiones,272 m²,3,3,,4528801-21449146,,,N/A,,,,N/A,,,,A estrenar,,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle de la Plata,  s/n","PREMIER ESPAÑA, S.A.",3.521 €/m²,309.900 €,88 m²,28148,https://www.pisos.com/comprar/piso-zona_sureste-5121390467_109700/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,88 m²,2,2,,4991481-0,,,N/A,N/A,,,N/A,,,,A estrenar,,,,,,5ª,,,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en calle de la Gran Vía, 12",Hercesa,2.834 €/m²,337.270 €,119 m²,28032,https://www.pisos.com/comprar/casa_adosada-camarma_de_esteruelas_centro_urbano-38421574526_109700/,2025-02-08,Error al procesar consumo,Error al procesar emisiones,119 m²,3,2,,4517782-P.2485,N/A,N/A,,,N/A,,,,,,A estrenar,,N/A,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa unifamiliar en Las Conejeras-El Esparragal,Estudio Plaza Mayor-Pinilla Sl,1.717 €/m²,795.000 €,463 m²,28049,https://www.pisos.com/comprar/casa_unifamiliar-las_conejeras_el_esparragal-45840750440_100200/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,463 m²,5,3,Entre 30 y 50 años,TC820-590152,,N/A,,,,,,,,,En buen estado,N/A,,Unifamiliar,,,,N/A,Parquet,,,,,,,,,,,,,,,,,,,,,
"Chalet en calle del Mar Cantábrico,  s/n","PREMIER ESPAÑA, S.A.",2.127 €/m²,763.900 €,359 m²,28104,https://www.pisos.com/comprar/chalet-paracuellos_de_jarama_centro_urbano-5069706416_109700/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,359 m²,5,3,,4991481-21673030,,,N/A,N/A,,,N/A,N/A,,,A estrenar,,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en calle de la Gran Vía, 12",Hercesa,2.858 €/m²,340.200 €,119 m²,28032,https://www.pisos.com/comprar/casa_adosada-camarma_de_esteruelas_centro_urbano-38350600856_109700/,2025-02-08,Error al procesar consumo,Error al procesar emisiones,119 m²,3,2,,4517782-P.2485,N/A,N/A,,,N/A,,,,,,A estrenar,,N/A,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en calle del Labrador,UN HOGAR.ES,1.282 €/m²,250.000 €,195 m²,28122,https://www.pisos.com/comprar/casa-ribatejada_centro_urbano-50882563877_512422/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,195 m²,4,2,Entre 30 y 50 años,4512422-000382,Más de 2,Gasoil,Más de 2,,,,N/A,Propia,180 m²,900 m²,En buen estado,,Privado,,N/A,,,,Gres,Entre 10 y 20 €,Aluminio,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,
Piso en Parque Henares,Estudio Nuevo Parque Henares Sl,1.952 €/m²,498.000 €,255 m²,28130,https://www.pisos.com/comprar/piso-parque_henares-50891854068_100200/,2025-02-19,"D, C","D, C",255 m²,5,4,Entre 20 y 30 años,TC1081-606095,,N/A,2,,,,,,,,A reformar,N/A,Privado,,N/A,,,,Mármol,,,,,,,,,,,,,,,,,,,,,
Loft en Camarma de Esteruelas,INMOBILIARIA TECNICA NORTE PASARELA,2.046 €/m²,155.500 €,76 m²,28032,https://www.pisos.com/comprar/loft-camarma_de_esteruelas_centro_urbano-50024677943_106700/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,76 m²,1,1,Entre 10 y 20 años,IFC76153-1796TN,,,,,,,,,70 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa pareada en Parque Henares,Estudio Nuevo Parque Henares Sl,2.007 €/m²,550.000 €,274 m²,28130,https://www.pisos.com/comprar/casa_pareada-parque_henares-50847782468_100200/,2025-01-21,"F, F","F, F",274 m²,4,4,Entre 20 y 30 años,TC1081-601562,,N/A,2,,,,,Propia,,,En buen estado,N/A,Privado,Pareada,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en calle Valle del Cabriel,Neinor Homes,3.234 €/m²,465.800 €,144 m²,28148,https://www.pisos.com/comprar/casa-zona_suroeste-47534385231_109700/,2024-12-18,Error al procesar consumo,Error al procesar emisiones,144 m²,3,3,,-2316,,,,,,,,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle de Alfonso VI,  s/n",INGESCASA,2.666 €/m²,325.359 €,122 m²,28005,https://www.pisos.com/comprar/piso-espartales28806-2565326368_109700/,2024-12-18,"A, A","A, A",122 m²,3,2,,4995071-18997615,,,N/A,,,N/A,N/A,,,,A estrenar,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,
"Ático en calle de la Plata,  s/n","PREMIER ESPAÑA, S.A.",4.693 €/m²,384.900 €,82 m²,28148,https://www.pisos.com/comprar/atico-zona_sureste-4499403687_109700/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,82 m²,2,2,,4991481-21081771,,,N/A,N/A,,,N/A,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Paracuellos de Jarama,Estudio Desarrollo Paracuellos Del Jarama Slu,2.859 €/m²,386.000 €,135 m²,28104,https://www.pisos.com/comprar/piso-paracuellos_de_jarama_centro_urbano-51713952412_100200/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,135 m²,3,2,Entre 10 y 20 años,TC1195-609286,,N/A,,,,N/A,N/A,,,,En buen estado,,Comunitario,,N/A,,3ª,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Espartales,Estudio Alcala Espartales Sl,2.293 €/m²,399.000 €,174 m²,28005,https://www.pisos.com/comprar/casa_adosada-espartales28806-51762652508_100200/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,174 m²,3,2,Entre 20 y 30 años,TC904-609812,,N/A,1,,,,,,,,En buen estado,,Privado,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle de Alfonso VI,  s/n",INGESCASA,2.785 €/m²,281.315 €,101 m²,28005,https://www.pisos.com/comprar/piso-espartales28806-4640475794_109700/,2024-12-18,"A, A","A, A",101 m²,2,2,,4995071-0,,,N/A,,,N/A,N/A,,,,A estrenar,,,,,,Bajo,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Meco,INMOBILIARIA ESTACION,2.930 €/m²,169.995 €,58 m²,28083,https://www.pisos.com/comprar/apartamento-meco_centro_urbano-8392962083_993574/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,58 m²,1,1,Entre 10 y 20 años,4993574-IEMECO,1,Eléctrica,1,,N/A,,,,55 m²,,En buen estado,,,,Independiente amueblada,,1ª,,Gres,Entre 20 y 40 €,PVC,,Salón comedor con balcon,,,,,N/A,N/A,N/A,N/A,N/A,Sureste,N/A,,,,,,
"Chalet en calle Senda Perdida,  s/n","PREMIER ESPAÑA, S.A.",3.519 €/m²,717.900 €,204 m²,28005,https://www.pisos.com/comprar/chalet-colonia_avenida_de_meco28805-5145583736_109700/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,204 m²,4,3,,4991481-21713110,,,N/A,,,,N/A,,,,A estrenar,,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avenida de la Luz,Torresrubí Gestión Inmobiliaria,1.988 €/m²,175.000 €,88 m²,28083,https://www.pisos.com/comprar/piso-meco_centro_urbano-49264248212_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,88 m²,3,1,Entre 30 y 50 años,SA398-23166/1865,,Gas natural,,,,N/A,N/A,,81 m²,,,,,,,,3ª,,,,,,N/A,,,,,,,,,N/A,Noreste,,,,,,,
"Piso en calle de la Virgen de Loreto, 20",Hercesa,1.682 €/m²,529.900 €,315 m²,28005,https://www.pisos.com/comprar/piso-colonia_avenida_de_meco28805-38370312587_109700/,2025-01-08,Error al procesar consumo,Error al procesar emisiones,315 m²,4,2,,4517782-P.2463,N/A,N/A,,,N/A,,N/A,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet unifamiliar en Paracuellos de Jarama,Grupo JR Inmobiliaria,3.461 €/m²,360.000 €,104 m²,28104,https://www.pisos.com/comprar/chalet_unifamiliar-paracuellos_de_jarama_centro_urbano-48390521117_515299/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,104 m²,2,2,,4515299-1228,,,1,,N/A,,,Propia,98 m²,504 m²,En buen estado,,Privado,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,
Piso en Casco Histórico,Estudio Alcalá Zona Centro Slu,3.440 €/m²,172.000 €,50 m²,28005,https://www.pisos.com/comprar/piso-centro_casco_historico28805-51735199498_100200/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,50 m²,1,1,Más de 50 años,TC827-609542,,,,,,,,,,,En buen estado,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
"Chalet en calle Senda Perdida,  s/n","PREMIER ESPAÑA, S.A.",2.590 €/m²,709.900 €,274 m²,28005,https://www.pisos.com/comprar/chalet-colonia_avenida_de_meco28805-5129142604_109700/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,274 m²,4,3,,4991481-21713105,,,N/A,,,,N/A,,,,A estrenar,,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Daganzo de Arriba,INMOBILIARIA TECNICA NORTE PASARELA,2.222 €/m²,480.000 €,216 m²,28053,https://www.pisos.com/comprar/chalet-daganzo_de_arriba_centro_urbano-50932405471_106700/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,216 m²,4,4,,IFC76153-1801TN,,,,,,,,,210 m²,216 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Loeches,Estudio Loeches-Torres De La Alameda Sl,1.275 €/m²,179.900 €,141 m²,28075,https://www.pisos.com/comprar/piso-loeches_centro_urbano-46675457138_100200/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,141 m²,3,2,Entre 10 y 20 años,TC929-586556,,Central,,,,,,,,,En buen estado,N/A,,,N/A,,1ª,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de Miguel Ángel,LIDERPISO,2.345 €/m²,190.000 €,81 m²,28005,https://www.pisos.com/comprar/piso-puerta_de_madrid_el_juncal28802-50858104846_271200/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,81 m²,3,1,Entre 30 y 50 años,2712-003135,1,Central,,,N/A,N/A,,,69 m²,,En buen estado,Frío y calor,,,Amueblada,,1ª,,Tarima flotante,126 €,Aluminio,,De paso,,,,,N/A,Roble,,N/A,,Este,,,,,,,
Casa unifamiliar en Zona Noroeste,Estudio Plaza Habana 2024 Sl,1.388 €/m²,150.000 €,108 m²,28148,https://www.pisos.com/comprar/casa_unifamiliar-zona_noroeste-49192781232_100200/,2024-11-19,"D, D","D, D",108 m²,,,Más de 50 años,TC1186-515126,,,,,,,,,,,A reformar,,,Unifamiliar,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Espartales,Estudio Alcala Espartales Sl,2.495 €/m²,499.000 €,200 m²,28005,https://www.pisos.com/comprar/casa_adosada-espartales28805-51714014519_100200/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,200 m²,5,4,Entre 20 y 30 años,TC904-610032,,N/A,2,,,,N/A,Comunitaria,,,En buen estado,N/A,Privado,Adosada,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle de la Plata,  s/n","PREMIER ESPAÑA, S.A.",3.754 €/m²,307.900 €,82 m²,28148,https://www.pisos.com/comprar/piso-zona_sureste-5097912151_109700/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,82 m²,2,2,,4991481-21746714,,,N/A,N/A,,,N/A,,,,A estrenar,,,,,,4ª,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle del Hospital,VOHOME PROPIEDADES TORREJON DE ARDOZ,2.357 €/m²,198.000 €,84 m²,28148,https://www.pisos.com/comprar/piso-zona_noroeste-49255519148_100500/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,84 m²,3,1,Más de 50 años,SA1478-GZG-12042094,,Gas natural,,,N/A,N/A,N/A,,,,En buen estado,,,,Cocina amueblada,,1ª,,Parquet,,,,,,,,,N/A,,,,,,,,,,,,
Chalet en Avenida Unión Europea,ALCALA SERCOMCASA,2.380 €/m²,750.000 €,315 m²,28083,https://www.pisos.com/comprar/chalet-meco_centro_urbano-40837309558_524533/,2025-02-08,"A, A","A, A",315 m²,4,4,Menos de 5 años,4524533-SER0182,,Aerotermia,Más de 2,,N/A,,N/A,Propia,278 m²,500 m²,En buen estado,Aerotermia,Privado,,N/A,Sistema de videovigilancia,,,Gres,,PVC,N/A,N/A,N/A,,,,,,Triples con pantalla calor-frio,,,Sur,,,,,,,
Piso en calle de Trafalgar,ALTAIR INMOBILIARIA,2.611 €/m²,175.000 €,67 m²,28049,https://www.pisos.com/comprar/piso-coslada_casco_antiguo28821-50009750881_514042/,2024-12-11,Error al procesar consumo,Error al procesar emisiones,67 m²,3,1,,4514042-COSLADA-25,2,Gas natural,,,N/A,,,,61 m²,,En buen estado,,,,,,3ª,,Parquet,,Aluminio,,,,,,,N/A,N/A,N/A,N/A,,Sur,N/A,,N/A,,,,
Piso en Avenida de la Luz,Realtyplus el Vuelo del Dron,1.578 €/m²,180.000 €,114 m²,28083,https://www.pisos.com/comprar/piso-meco_centro_urbano-49220959272_526848/,2025-02-20,"E, E","E, E",114 m²,3,1,Entre 30 y 50 años,4526848-139-30,Más de 2,,,,,N/A,N/A,,88 m²,,A reformar,,Comunitario,,N/A,,3ª,,Gres,Entre 80 y 100 €,Aluminio,,N/A,N/A,,,,N/A,,,N/A,,Noreste,,,,N/A,N/A,,
"Chalet en calle del Mar Cantábrico,  s/n","PREMIER ESPAÑA, S.A.",2.268 €/m²,793.900 €,350 m²,28104,https://www.pisos.com/comprar/chalet-paracuellos_de_jarama_centro_urbano-5158356840_109700/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,350 m²,5,3,,4991481-21735382,,,N/A,N/A,,,N/A,N/A,,,A estrenar,,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Valleaguado-La Cañada,"ESTUDIO CAÑADA_VALLEAGUADO, S.L.",2.571 €/m²,270.000 €,105 m²,28049,https://www.pisos.com/comprar/piso-valleaguado_la_canada28823-50901469775_100200/,2025-02-14,"E, E","E, E",105 m²,3,2,Entre 30 y 50 años,TC171-608116,,N/A,,,,,,,,,En buen estado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chalet en calle de Soto del Henares, 34",AVANCE URBANO,1.777 €/m²,320.000 €,180 m²,28172,https://www.pisos.com/comprar/chalet-villalbilla_centro_urbano-3032755362_109700/,2025-02-17,"A, A","A, A",180 m²,4,3,,4995907-19514080,,Gas natural,N/A,N/A,,,N/A,,,,A estrenar,,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Casco Antiguo,Estudio Nuevo Coslada Pueblo Slu,2.738 €/m²,178.000 €,65 m²,28049,https://www.pisos.com/comprar/piso-coslada_casco_antiguo28821-50099311972_100200/,2025-02-19,"E, E","E, E",65 m²,2,1,Entre 30 y 50 años,TC1092-605006,,N/A,,,,N/A,N/A,,,,En buen estado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Pryconsa, Juan de Austria","ESTUDIO ALCALA EL VAL, S.L.U.",2.371 €/m²,185.000 €,78 m²,28005,https://www.pisos.com/comprar/piso-pryconsa_juan_de_austria28804-44187217908_100200/,2025-01-29,"E, E","E, E",78 m²,3,1,Más de 50 años,TC198-582684,,,,,,N/A,N/A,,,,Reformado,,,,N/A,,,,,Más de 100 €,,,,,,,,,,,N/A,,,,,,,,,
Piso en Chorrillo,TECNOCASA ESTUDIO ALCALA EL CHORRILLO,2.542 €/m²,178.000 €,70 m²,28005,https://www.pisos.com/comprar/piso-chorrillo28806-51736706919_100200/,2025-02-20,"E, E","E, E",70 m²,3,1,Más de 50 años,TC418-607632,,N/A,,,,N/A,,,,,En buen estado,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Pryconsa, Juan de Austria","ESTUDIO ALCALA EL VAL, S.L.U.",2.800 €/m²,140.000 €,50 m²,28005,https://www.pisos.com/comprar/piso-pryconsa_juan_de_austria28804-50868511236_100200/,2025-01-29,Error al procesar consumo,Error al procesar emisiones,50 m²,1,1,Más de 50 años,TC198-604958,,N/A,,,,,,,,,A estrenar,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Serracines,INFINIT INMOBILIARIA,1.520 €/m²,424.200 €,279 m²,28057,https://www.pisos.com/comprar/chalet-fresno_de_torote_centro_urbano-41734727742_100500/,2025-02-05,"E, F","E, F",279 m²,4,3,Entre 30 y 50 años,SA5173-INF0022/10685,1,N/A,1,N/A,N/A,,,Propia,201 m²,2.188 m²,,,N/A,,,,,N/A,,,,,,,N/A,,,,,,,,Este,,N/A,,,,,
Piso en calle de la Veredilla,VOHOME PROPIEDADES TORREJON DE ARDOZ,3.271 €/m²,350.000 €,107 m²,28148,https://www.pisos.com/comprar/piso-zona_noreste-43375683300_100500/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,107 m²,3,1,Entre 30 y 50 años,SA1478-GZG-18052076,1,Gas natural,,N/A,,N/A,N/A,Propia,86 m²,,En buen estado,,,,Cocina americana,,5ª,,Tarima flotante,Entre 80 y 100 €,,,,,,,,N/A,,N/A,,,Noreste,,,,,,N/A,
"Chalet en calle de Hoces Cabriel,  s/n",BRINUM HOMES,1.270 €/m²,362.000 €,285 m²,28172,https://www.pisos.com/comprar/chalet-villalbilla_centro_urbano-4923448289_109700/,2024-12-18,Error al procesar consumo,Error al procesar emisiones,285 m²,3,3,,4528801-21460765,,,N/A,,,,N/A,,,,A estrenar,,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Camino de los Afligidos, 54",Centro Comercial Inmobiliario10,Error al procesar precio m²,257.200 €,3,28005,https://www.pisos.com/comprar/piso-el_val_barrio-5240828049_109700/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,,3,2,,IF4098-CCI-022-000048235,,,N/A,N/A,,,N/A,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Zona Noreste,"ESTUDIO BARRIO ZARZUELA, S.L.U.",3.404 €/m²,214.500 €,63 m²,28148,https://www.pisos.com/comprar/piso-zona_noreste-51668028897_100200/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,63 m²,2,,Más de 50 años,TC676-604021,,N/A,,,,,,,,,Reformado,N/A,,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Piso en Mejorada del Campo,Estudio Mejorada Del Campo Sl,3.972 €/m²,290.000 €,73 m²,28084,https://www.pisos.com/comprar/piso-mejorada_del_campo_centro_urbano-51684200512_100200/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,73 m²,2,2,Entre 10 y 20 años,TC918-607544,,,1,N/A,,N/A,,N/A,,,A estrenar,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle Estonia,Realtyplus el Vuelo del Dron,2.664 €/m²,365.000 €,137 m²,28083,https://www.pisos.com/comprar/piso-meco_centro_urbano-51680233520_526848/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,137 m²,3,2,Entre 5 y 10 años,4526848-139-31,Más de 2,Gas natural,1,,,,,Comunitaria,115 m²,,En buen estado,Frío y calor,Privado,,N/A,,Bajo,,Tarima flotante,Más de 100 €,Aluminio,,N/A,,,,,N/A,,,N/A,,Noreste,N/A,,,,N/A,N/A,
Piso en calle de Andrea Doria,KEYKASA,2.461 €/m²,160.000 €,65 m²,28005,https://www.pisos.com/comprar/piso-pryconsa_juan_de_austria28804-50854066703_510085/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,65 m²,3,1,,510085-002215,,,,,,,N/A,,60 m²,,A reformar,,,,N/A,,4ª,,Terrazo,,Hierro,,,,,,,,,,,,,,,,,,,
