nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Antigüedad,Conservación,Gastos de comunidad,Referencia,Armarios empotrados,Tipo suelo,Aire acondicionado,Calefacción,Garaje,Terraza,Jardín,Piscina,Tipo de casa,Vidrios dobles,Cocina equipada,Puerta blindada,Trastero,Orientación,Planta,Exterior,Carpintería exterior,Ascensor,Adaptado a personas con movilidad reducida,Superficie solar,Agua,Chimenea,Comedor,Soleado,Amueblado,Sistema de seguridad,Carpintería interior,Gas,Lavadero,Portero automático,Balcón,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Teléfono,Interior,No se aceptan mascotas,Luz
Piso en Alcorcón,ELITE ASESORAMIENTO INMOBILIARIO,2.734 €/m²,216.000 €,79 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-51736980995_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,79 m²,73 m²,3,1,,,,SA1398-4426/6592,,,,,,N/A,,,,,,N/A,,Sur,1ª,,,,,,,,,,,,,,,,,,,,,,,,
Chalet adosado en calle Nueva,ANKANOVA,842 €/m²,150.000 €,178 m²,https://www.pisos.com/comprar/chalet_adosado-cadalso_de_los_vidrios_centro_urbano-43393863241_990508/,Anuncio actualizado el 20/02/2025,"F, F","F, F",madrid_suroeste,178 m²,151 m²,3,3,,En buen estado,,4990508-000049,N/A,,,,1,N/A,,,,,N/A,,,,,,Aluminio,,,,,,N/A,,,,N/A,,,,,N/A,,,,,,,
Finca rústica en El Álamo,TU HOGAR EN PANGEA,16 €/m²,50.000 €,3.081 m²,https://www.pisos.com/comprar/finca_rustica-el_alamo_centro_urbano-49187968537_108500/,Anuncio actualizado el 16/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,3.081 m²,3.081 m²,,,,,,AG571-858VP,,,,,,,,,,,,,,,,,,,,3.081 m²,,,,,,,,,,,,,,,,,,,
Piso en Casco Antiguo,REFOR SERVICIOS INMOBILIARIOS,3.172 €/m²,349.000 €,110 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-41678662540_526607/,Anuncio actualizado el 13/02/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,110 m²,100 m²,3,2,Entre 30 y 50 años,Reformado,,4526607-1,En todas las habitaciones,Gres,N/A,Sistema de aerotermia en toda la vivienda,,Terraza exterior,,Piscina o jacuzzi,,,Cocina office,N/A,,Sur-oeste,1ª,N/A,Ventanas climalit con rotura de puente térmico de,,,,,,N/A,,Amueblado con cocina equipada,,Puertas de diseño lacadas en blanco,N/A,,,,,,,,,,,
"Piso en Alcorcón, Zona de - Centro, Distrito - Zona Renfe",REDPISO ALCORCON CENTRO,2.705 €/m²,243.500 €,90 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-51697256440_104700/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,90 m²,85 m²,3,1,Más de 50 años,En buen estado,Entre 40 y 60 €,STA49-RP1602025134691,,Tarima maciza,,Gas natural,,N/A,,,,,,N/A,,Noreste,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Finca rústica en El Álamo,TU HOGAR EN PANGEA,Error al procesar precio m²,90.000 €,AG571-807VP,https://www.pisos.com/comprar/finca_rustica-el_alamo_centro_urbano-42515479552_108500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,,,,,,,,AG571-807VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Alcorcon,GLOBALPISO ALCORCON,2.311 €/m²,430.000 €,186 m²,https://www.pisos.com/comprar/duplex-valderas_los_castillos_parque_lisboa28924-51756805951_105700/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,186 m²,140 m²,5,3,Más de 50 años,,,GB3-ALC553 PISO DUPLEX EN VENTA EN ALCORCON - PARQUE L,,,N/A,Gas natural,,N/A,,,,,,,,-1,9ª,,,N/A,,,,,,,,,,,,,,,,,,,,,
Chalet en Pijorro,ADESA 33 INMOBILIARIA,1.624 €/m²,450.000 €,277 m²,https://www.pisos.com/comprar/chalet-navalcarnero_centro_urbano-50067341537_103800/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,277 m²,,5,3,,En buen estado,,INB590-40075,N/A,,Frío y calor,Gas natural,,,,Propia,,,N/A,,N/A,Sureste,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en Urbanización del Palomar, 65",JCB ASESORES,820 €/m²,210.000 €,256 m²,https://www.pisos.com/comprar/casa_adosada-san_martin_de_valdeiglesias_centro_urbano-50072158381_100500/,Anuncio actualizado el 13/02/2025,"F, F","F, F",madrid_suroeste,256 m²,,6,3,Entre 30 y 50 años,En buen estado,,SA3124-1184 S.M.VALDEIGLESIAS,1,,,,1,N/A,N/A,,Adosada,,,,N/A,,,,,,,255 m²,,,,,,,,,,,,,,,,,,,
Chalet en Villa del Prado,TEAM JAVIER VILLALBA,1.030 €/m²,370.000 €,359 m²,https://www.pisos.com/comprar/chalet-villa_del_prado_centro_urbano-49236878039_101800/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,359 m²,,4,2,,,,IF5563-VILLA DEL PRADO,1,,,Central,1,N/A,Privado,Propia,,,,,,,,,,,,1.100 m²,,,,,,,,,,,,,,,,,,,
"Piso en calle de San Damián, 1",HOGARES NAVALCARNERO,1.991 €/m²,239.000 €,120 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-48381250811_525846/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,120 m²,87 m²,3,2,Entre 20 y 30 años,Reformado,,4525846-000041,Más de 2,Tarima maciza,Frío y calor,Gas natural,1,,,,,N/A,N/A,N/A,N/A,Noreste,1ª,N/A,PVC,,,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,N/A,,,,,,N/A,,
"Casa en Avenida del Generalísimo, 13",EL FRESNO GESTION INMOBILIARIA,600 €/m²,300.000 €,500 m²,https://www.pisos.com/comprar/casa-villa_del_prado_centro_urbano-41704645524_101800/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,500 m²,,7,2,Más de 50 años,,,IF77096-1-1481,,,,Central,1,N/A,Privado,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Coimbra-Guadarrama,Pro Realty inmobiliaria,1.753 €/m²,719.000 €,410 m²,https://www.pisos.com/comprar/chalet-coimbra_guadarrama-50882738135_108900/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,410 m²,,6,5,,En buen estado,,XA548-5427,,,,,2,N/A,,Propia,,,N/A,,N/A,,,,,,,,N/A,N/A,,,,N/A,,,,,,,,,,,,,
"Piso en calle del Arcángel Gabriel, 3",HOGARES NAVALCARNERO,1.999 €/m²,299.900 €,150 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-50905547670_525846/,Anuncio actualizado el 22/01/2025,"B, B","B, B",madrid_suroeste,150 m²,100 m²,3,2,Menos de 5 años,A estrenar,,4525846-ARCANGEL3299,Más de 2,Gres,Frío y calor,Gas natural,1,N/A,Privado,Comunitaria,,,N/A,,N/A,Este,1ª,N/A,PVC,N/A,,,,,N/A,N/A,,,,,N/A,,N/A,,,,N/A,,,,
"Ático en Avenida del Dos de Mayo, 9",HOGARES SEVILLA LA NUEVA,2.569 €/m²,185.000 €,72 m²,https://www.pisos.com/comprar/atico-sevilla_la_nueva_centro_urbano-47525330483_100500/,Anuncio actualizado el 28/11/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,72 m²,,1,1,Entre 10 y 20 años,,,SA4642-00064/9778,1,,N/A,Gas natural,,N/A,,Comunitaria,,,,,N/A,,2ª,,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Plaza de San Juan de Covas,GRINVAL,3.083 €/m²,222.000 €,72 m²,https://www.pisos.com/comprar/piso-valderas_los_castillos_parque_lisboa28925-51765360383_501113/,Anuncio actualizado el 11/02/2025,"E, E","E, E",madrid_suroeste,72 m²,64 m²,3,1,Más de 50 años,En buen estado,Más de 100 €,501113-3181,1,Gres,,Central,,N/A,,,,,N/A,N/A,,Noroeste,1ª,N/A,Aluminio,N/A,N/A,,,,N/A,N/A,,,,,,,,,,,,,,,
Casa rústica en Chapinería,TEAM JAVIER VILLALBA,2.446 €/m²,2.500.000 €,1.022 m²,https://www.pisos.com/comprar/casa_rustica-chapineria_centro_urbano-41724060962_101800/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,1.022 m²,,5,7,,,,IF5563-FINCA BALINESA CHAPINERÍA,1,,,Central,1,N/A,Privado,Propia,Rústica,,N/A,,N/A,,,,,,,300.000 m²,,,,,N/A,N/A,,,N/A,,,,,,,,,,
"Piso en calle Pino Silvestre, 1",HOGARES NAVALCARNERO,1.438 €/m²,269.000 €,187 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-48423171478_525846/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,187 m²,100 m²,3,2,Entre 10 y 20 años,En buen estado,,4525846-000040,Más de 2,Parquet,Frío y calor,Gas natural,2,N/A,Privado,,,N/A,N/A,N/A,N/A,Noreste,2ª,N/A,Aluminio,N/A,N/A,,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,,
Piso en Alcorcon,GLOBALPISO ALCORCON,4.090 €/m²,180.000 €,44 m²,https://www.pisos.com/comprar/piso-valderas_los_castillos_parque_lisboa28925-51718812396_105700/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,44 m²,35 m²,1,1,Entre 20 y 30 años,,,GB3-ALC552 PISO EN VENTA EN ALCORCON,,,,N/A,,,,N/A,,,,,N/A,-1,3ª,,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Centro,Huspy,2.731 €/m²,549.000 €,201 m²,https://www.pisos.com/comprar/piso-mostoles_centro28933-51676945830_108500/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,201 m²,,6,3,,,,AG662-64da9561-2437-44e8-be5f-935248d2ff71,N/A,,N/A,Gas natural,,,,,,,,,,Sur,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en calle Oslo,"DESARROLLO ALCORCON OESTE, S.L.",5.000 €/m²,500.000 €,100 m²,https://www.pisos.com/comprar/piso-parque_oeste_fuente_cisneros_campodon-51695359037_100200/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,100 m²,,3,2,Entre 20 y 30 años,En buen estado,,TC47-513374,,Parquet,N/A,N/A,1,,Comunitario,Comunitaria,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
"Chalet en calle Sagitario,  s/n",HABITAT INMOBILIARIA,3.839 €/m²,529.900 €,138 m²,https://www.pisos.com/comprar/chalet-sur_este28938-5140802441_109700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,138 m²,,4,2,,A estrenar,,4990150-MPMA,,,,,,N/A,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avenida de los Abogados de Atocha,NOVOGAR,4.561 €/m²,479.000 €,105 m²,https://www.pisos.com/comprar/piso-norte_universidad28933-50925797612_100500/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,105 m²,,3,2,Entre 5 y 10 años,En buen estado,,SA2575-106124835,1,,N/A,,1,N/A,N/A,N/A,,,,,N/A,Sur,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Valderas-Los Castillos-Parque Lisboa,Grupo Inmobiliario Ares,3.384 €/m²,220.000 €,65 m²,https://www.pisos.com/comprar/piso-valderas_los_castillos_parque_lisboa28924-49248888342_108500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,65 m²,,2,1,,,,AG610-PIS2803,,Tarima flotante,,Central,,,,,,,Individual,N/A,N/A,,,N/A,,N/A,N/A,,,,,,N/A,,,,,,,,,,,,,,
Chalet en San Martín de Valdeiglesias,TEAM JAVIER VILLALBA,2.950 €/m²,2.950.000 €,1.000 m²,https://www.pisos.com/comprar/chalet-san_martin_de_valdeiglesias_centro_urbano-84188824495_101800/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,1.000 m²,,11,9,,,,IF5563-ISLA PRIVADA CON PALACIO,1,,,Central,1,N/A,Privado,,,,N/A,N/A,N/A,Al mar,,,,,,10.850 m²,,,,,,N/A,,,N/A,,,,,,,,,,
"Piso en Alcorcón, Zona de - Centro, Distrito - Casco Antiguo",REDPISO ALCORCON CENTRO,3.163 €/m²,357.500 €,113 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-47543989264_104700/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,113 m²,84 m²,2,2,Entre 10 y 20 años,En buen estado,,STA49-RP1602024123577,N/A,Tarima maciza,Frío y calor,Gas natural,1,,,,,,,N/A,N/A,Noroeste,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en calle del General Asensio,HOGARES SEVILLA LA NUEVA,1.857 €/m²,209.900 €,113 m²,https://www.pisos.com/comprar/piso-sevilla_la_nueva_centro_urbano-45932746837_100500/,Anuncio actualizado el 28/11/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,113 m²,,3,2,Entre 20 y 30 años,,,SA4642-00059/9778,1,,,Gas natural,,N/A,,Comunitaria,,,,,,,Bajo,,,,,,,,,,,,,,,,N/A,,,,,,,,
"Casa unifamiliar en calle del General Martínez Benito, nº 39",MASCASA INMOBILIARIA,624 €/m²,156.000 €,250 m²,https://www.pisos.com/comprar/casa_unifamiliar-san_martin_de_valdeiglesias_centro_urbano-945856909108685_109700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,250 m²,250 m²,5,3,Más de 50 años,Reformado,,4994239-SMV-035,,,,,1,N/A,,,Unifamiliar,,N/A,,,,,,,,,101 m²,,,,,,,,,,,,,,,,,,,
Piso en Castañeras,Estudio Nuevo Arroyomolinos Sl,1.406 €/m²,270.000 €,192 m²,https://www.pisos.com/comprar/piso-arroyomolinos_castaneras-44170567998_100200/,Anuncio actualizado el 18/02/2025,"E, E","E, E",madrid_suroeste,192 m²,,4,2,Entre 10 y 20 años,Reformado,,TC940-583299,,,N/A,N/A,,,,Comunitaria,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en calle Copenhague,FINCAS RUIZ MADRID,3.612 €/m²,289.000 €,80 m²,https://www.pisos.com/comprar/duplex-parque_oeste_fuente_cisneros_campodon-50897130947_100500/,Anuncio actualizado el 17/02/2025,"E, E","E, E",madrid_suroeste,80 m²,,1,2,,En buen estado,,sa5578-T-406,1,Tarima flotante,Frío,Gas natural,1,N/A,Comunitario,Comunitaria,,N/A,Cocina amueblada,,N/A,,5ª,N/A,,N/A,,,,,,,,N/A,,,,,,,,,,,,,
"Piso en calle de San Antonio, 12",HOGARES NAVALCARNERO,2.450 €/m²,245.000 €,100 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-50867820324_525846/,Anuncio actualizado el 18/02/2025,"E, E","E, E",madrid_suroeste,100 m²,95 m²,3,1,,A estrenar,Entre 20 y 40 €,4525846-000056,Más de 2,Parquet,Frío y calor,Eléctrica,,N/A,,,,,N/A,N/A,,,2ª,N/A,,N/A,N/A,,,,N/A,,,,N/A,,N/A,N/A,N/A,,,,N/A,,,,
Piso en Alcorcón,INMO AMR,3.612 €/m²,289.000 €,80 m²,https://www.pisos.com/comprar/piso-parque_oeste_fuente_cisneros_campodon-50851727217_100500/,Anuncio actualizado el 16/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,80 m²,62 m²,1,2,Entre 20 y 30 años,En buen estado,Más de 100 €,SA2054-AMR -  RO1076,1,Parquet,Frío,Gas natural,1,N/A,Comunitario,Comunitaria,,N/A,Cocina amueblada,N/A,N/A,Noroeste,5ª,N/A,,N/A,,,,,,N/A,,,,,N/A,,N/A,,,,N/A,,,,
Piso en calle de los Mártires,SOKERIM,2.012 €/m²,161.000 €,80 m²,https://www.pisos.com/comprar/piso-el_alamo_centro_urbano-48426760550_520499/,Anuncio actualizado el 04/02/2025,"G, G","G, G",madrid_suroeste,80 m²,62 m²,3,1,Más de 50 años,En buen estado,,4520499-000193,,Gres,,,,N/A,,,,,,,,,Bajo,N/A,Aluminio,,,,,,,,,,,,,,,,,,,,,,
Piso en Avenida del Oeste,GRUPO TIZONA  ALCORCON,3.358 €/m²,309.000 €,92 m²,https://www.pisos.com/comprar/piso-las_retamas_prado_santo_domingo_ensanche_sur28922-51726391654_100500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",madrid_suroeste,92 m²,,3,1,,En buen estado,,SA4152-107368529,1,,N/A,Central,,N/A,N/A,N/A,,,,,,Sur,9ª,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en calle de los Mártires,HOGARES SEVILLA LA NUEVA,2.897 €/m²,199.900 €,69 m²,https://www.pisos.com/comprar/piso-brunete_centro_urbano-43364007582_100500/,Anuncio actualizado el 26/11/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,69 m²,,3,2,Entre 10 y 20 años,,,SA4642-00035/9778,,,N/A,Gas natural,,N/A,,,,,,,,,1ª,,,,,,,,,,,,,,,,N/A,,,,,,,,
Casa unifamiliar en Urbanización Entrepinos,Inmobiliaria Burdecor,987 €/m²,159.000 €,161 m²,https://www.pisos.com/comprar/casa_unifamiliar-urbanizacion_entrepinos-45867227689_523618/,Anuncio actualizado el 10/02/2025,"D, C","D, C",madrid_suroeste,161 m²,160 m²,3,2,Entre 10 y 20 años,En buen estado,Entre 60 y 80 €,4523618-B-185,Más de 2,Gres,Frío y calor,Estufa,Más de 2,N/A,Privado,Comunitaria,Unifamiliar,N/A,N/A,,,Sureste,,,Aluminio,,,1.052 m²,,,N/A,,,,Madera,,N/A,,,N/A,N/A,N/A,,,,,
Apartamento en Valderas-Los Castillos-Parque Lisboa,Huspy,4.047 €/m²,425.000 €,105 m²,https://www.pisos.com/comprar/apartamento-valderas_los_castillos_parque_lisboa28924-51758483941_108500/,Anuncio actualizado el 19/02/2025,"F, F","F, F",madrid_suroeste,105 m²,,4,2,,,,AG662-0b33bbf5-4b49-4c2f-871e-904b1599c957,,,,,,,,,,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,,,,,
Dúplex en Avenida de Villanueva de la Cañada,HOGARES SEVILLA LA NUEVA,3.071 €/m²,254.900 €,83 m²,https://www.pisos.com/comprar/duplex-brunete_centro_urbano-47564970095_100500/,Anuncio actualizado el 26/11/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,83 m²,83 m²,2,2,Entre 20 y 30 años,,,SA4642-00066/9778,1,,N/A,Gas natural,,,,Comunitaria,,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle del Nuncio,FINCAS RUIZ MADRID,2.363 €/m²,397.000 €,168 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-50923297888_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,168 m²,,3,1,Entre 30 y 50 años,En buen estado,,sa5578-T-407,,Tarima flotante,Frío,N/A,,,,,,N/A,,,,,1ª,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Avenida de Italia,HOGARES ARROYOMOLINOS,3.199 €/m²,399.900 €,125 m²,https://www.pisos.com/comprar/piso-zona_europa-51697904852_525651/,Anuncio actualizado el 19/02/2025,"E, E","E, E",madrid_suroeste,125 m²,125 m²,4,3,Entre 10 y 20 años,En buen estado,,4525651-Italia,Más de 2,,,Gas natural,,N/A,,Comunitaria,,,,,,,Bajo,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avenida del Alcalde de Móstoles,NOVOGAR,2.583 €/m²,310.000 €,120 m²,https://www.pisos.com/comprar/piso-norte_universidad28932-50883141281_100500/,Anuncio actualizado el 01/02/2025,"D, D","D, D",madrid_suroeste,120 m²,,3,2,,En buen estado,Entre 60 y 80 €,SA2575-106475463,1,,N/A,,1,,,,,,,,,Norte,2ª,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en calle de Cáceres,GRINVAL,2.755 €/m²,248.000 €,90 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28922-48345310793_501113/,Anuncio actualizado el 11/02/2025,"E, E","E, E",madrid_suroeste,90 m²,72 m²,3,1,Entre 30 y 50 años,En buen estado,160 €/mes (calefacción y agua caliente centrales),501113-05522,,Gres,,Central,,Acristalada,Comunitario,Comunitaria,,,Amueblada a estrenar,N/A,,Oeste,1ª,N/A,Aluminio,N/A,N/A,,,,Salón de paso,Sol de tarde,,,Puertas de roble,,Patio en la cocina,Y físico,,,,,,,,,
Casa en calle Real,R 2000 Servicios Inmobiliarios,587 €/m²,47.000 €,80 m²,https://www.pisos.com/comprar/casa-cadalso_de_los_vidrios_centro_urbano-45916577288_519303/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,80 m²,80 m²,2,1,Más de 50 años,A reformar,,4519303-000909,,Gres,,Gas natural,,,,,,N/A,N/A,N/A,,Oeste,,,Madera,,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,,,
Piso en Centro,GRUPO TIZONA .-Pintor Murillo,2.637 €/m²,239.999 €,91 m²,https://www.pisos.com/comprar/piso-mostoles_centro28934-50862062518_100500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",madrid_suroeste,91 m²,,3,1,,En buen estado,,SA4147-MU-MA-DOS,1,,N/A,,,N/A,,,,,,,,,2ª,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Alcorcón - San Jose de Valderas,ELITE ASESORAMIENTO INMOBILIARIO,3.880 €/m²,326.000 €,84 m²,https://www.pisos.com/comprar/piso-valderas_los_castillos_parque_lisboa28925-50926788052_100500/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,84 m²,78 m²,3,1,,,,SA1398-4421/6592,,Parquet,,,,N/A,,,,,,N/A,,,6ª,,,N/A,,,,,,,,,,,,,,,,,,,,,
"Piso en calle de Tolomeo, 2",HOGARES NAVALCARNERO,1.789 €/m²,229.000 €,128 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-48393274674_525846/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,128 m²,90 m²,3,2,Entre 20 y 30 años,Reformado,,4525846-000046,Más de 2,Tarima flotante,Frío y calor,Gas natural,1,N/A,,,,N/A,N/A,N/A,N/A,Sureste,2ª,N/A,PVC,,,,,,N/A,N/A,N/A,,N/A,N/A,N/A,,,,,,,,,,
"Piso en Alcorcón, Zona de - Centro, Distrito - Casco Antiguo",REDPISO ALCORCON CENTRO,3.202 €/m²,285.000 €,89 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-51672601551_104700/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,89 m²,80 m²,3,2,Más de 50 años,En buen estado,Más de 100 €,STA49-RP1602025134506,,Parquet,,Gas natural,1,N/A,,,,,,N/A,,Noreste,,,,N/A,,,,,,,N/A,,,,,,,,,,,,,,
Piso en calle del Cuartel,HOGARES SEVILLA LA NUEVA,2.833 €/m²,255.000 €,90 m²,https://www.pisos.com/comprar/piso-brunete_centro_urbano-45843550744_100500/,Anuncio actualizado el 26/11/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,90 m²,,3,2,Entre 20 y 30 años,,,SA4642-00058/9778,1,,N/A,Gas natural,,N/A,,,,,,,,,Semisótano,,,,,,,,,,,,,,,,N/A,,,,,,,,
Piso en Avenida de los Abogados de Atocha,NOVOGAR,4.142 €/m²,435.000 €,105 m²,https://www.pisos.com/comprar/piso-norte_universidad28933-50864592349_100500/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,105 m²,,3,2,,En buen estado,Más de 100 €,SA2575-106866124,1,,N/A,,1,N/A,N/A,N/A,,,,,N/A,Sur,3ª,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Chalet en calle de Jacinto Benavente,CALIBE ASESORES INMOBILIARIOS,2.020 €/m²,495.000 €,245 m²,https://www.pisos.com/comprar/chalet-sevilla_la_nueva_centro_urbano-51760237991_101800/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,245 m²,,3,1,Más de 50 años,,,IF6298-eg1,,,,Central,1,,Privado,Propia,,,N/A,,,,,,,,,966 m²,,,,,N/A,,,,,,,,,,,,,,
Casa pareada en calle Menorca,INMOGES,1.066 €/m²,159.999 €,150 m²,https://www.pisos.com/comprar/casa_pareada-villamanta_centro_urbano-47523099660_101800/,Anuncio actualizado el 20/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,150 m²,,2,3,,En buen estado,,IF6199-BR-1798,1,,,,,N/A,,,Pareada,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa pareada en El Álamo,TEAM JAVIER VILLALBA,1.203 €/m²,385.000 €,320 m²,https://www.pisos.com/comprar/casa_pareada-el_alamo_centro_urbano-48408789412_101800/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,320 m²,,4,3,,,,IF5563-CHALET EL ÁLAMO,1,,,Central,1,N/A,Privado,Propia,Pareada,,N/A,,N/A,,,,,,,500 m²,,,,,N/A,,,,,,,,,,,,,,
"Casa adosada en calle de Somosierra,  s/n",BROSH,1.911 €/m²,414.900 €,217 m²,https://www.pisos.com/comprar/casa_adosada-navalcarnero_centro_urbano-3888297778_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,217 m²,,4,3,,A estrenar,,4525022-20466164,,,,,N/A,N/A,Privado,,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa rústica en calle de Villaamil,Inmobiliaria Burdecor,3.455 €/m²,235.000 €,68 m²,https://www.pisos.com/comprar/casa_rustica-mostoles_centro28934-44177525250_523618/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,68 m²,67 m²,3,1,Más de 50 años,A reformar,,4523618-B-166,,,,,,,,,Rústica,,,,,Este,,,,,,199 m²,,,,,,,,,,,,N/A,N/A,N/A,,,,,
Chalet en calle del Romeral,HOGARES SEVILLA LA NUEVA,1.908 €/m²,354.900 €,186 m²,https://www.pisos.com/comprar/chalet-villamantilla_centro_urbano-46739340080_100500/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,186 m²,,4,3,Entre 20 y 30 años,,,SA4642-00061/9778,1,,,N/A,,N/A,N/A,Propia,,,,,N/A,,,,,,,516 m²,,,,,,,,,,,,,,,,,,,
