nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Armarios empotrados,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Garaje,Puerta blindada,Terraza,Jardín,Piscina,Orientación,Urbanizado,Calle alumbrada,Tipo de casa,Trastero,Planta,Exterior,Gastos de comunidad,Amueblado,Ascensor,Gas,Portero automático,Sistema de seguridad,Lavadero,Calle asfaltada,Teléfono,Chimenea,Soleado,Adaptado a personas con movilidad reducida,Se aceptan mascotas,Agua,Interior,Balcón,Luz,No se aceptan mascotas
Piso en Avenida de España,OPEN HOUSE INMOBILIARIA,2.777 €/m²,175.000 €,63 m²,https://www.pisos.com/comprar/piso-naranjo_la_serna28941-47562537780_996012/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,63 m²,54 m²,,1,1,Menos de 5 años,A estrenar,4996012-FUEN-P7 (2),1,Lacado blanco,Gres,N/A,Aluminio,,Eléctrica,Amueblada,Amplio,,N/A,,,,Sureste,,,,Interior,Bajo,N/A,Entre 20 y 40 €,,,,,,N/A,,,,N/A,,,,,,,
Piso en calle de los Ángeles,OPEN HOUSE INMOBILIARIA,3.381 €/m²,186.000 €,55 m²,https://www.pisos.com/comprar/piso-avanzada_la_cueva28944-49194229874_996012/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,55 m²,45 m²,,1,1,Menos de 5 años,A estrenar,4996012-FUEN-ANGELES-1,1,Lacado blanco,Gres,N/A,PVC,Aerotermia,Aerotermia,Americana,N/A,,N/A,,Comunitario,Comunitaria,Sureste,,,,,Bajo,N/A,Entre 40 y 60 €,,,,,,,,,,N/A,N/A,,,,,,
Chalet en Sector III,MISTER PISO,1.666 €/m²,520.000 €,312 m²,https://www.pisos.com/comprar/chalet-getafe_sector_iii28905-49176641695_109300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,312 m²,260 m²,,5,3,Entre 30 y 50 años,,EP1051-501024,,,,,,N/A,Gas natural,Cocina montada,,N/A,,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Piso en calle de Grecia,ALFA HERMANOS PARDO,2.792 €/m²,229.000 €,82 m²,https://www.pisos.com/comprar/piso-cerro_el_molino28943-51734498156_101000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,82 m²,,,3,1,,,AF203-2241/121,Más de 2,,,,,Frío,,,,,N/A,,,,Sudeste,,,,,,N/A,,,N/A,,,,,,,,,,,,,,,
"Piso en calle de Fuentebella, 44",FINCAS ORTIZ,2.403 €/m²,189.900 €,79 m²,https://www.pisos.com/comprar/piso-parla_fuentebella-51761638684_100500/,Anuncio actualizado el 11/02/2025,"E, E","E, E",madrid_sur,79 m²,65 m²,,3,1,Entre 30 y 50 años,En buen estado,SA3087-107247688,,,,,,N/A,,,,,,N/A,,N/A,Sur,,,,,3ª,N/A,Más de 100 €,,N/A,,,,,,,,,,,,,,,
Piso en calle de El Higueral,TECNOSUR,2.052 €/m²,195.000 €,95 m²,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-49208875960_524328/,Anuncio actualizado el 04/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,95 m²,91 m²,,3,2,Entre 30 y 50 años,Reformado,4524328-ARROYO-911,Más de 2,Roble,Gres,,Aluminio,Frío y calor,Central,,,,N/A,,,,Este,,,,N/A,4ª,N/A,,,N/A,,N/A,,,,,,,,,,,,,
Piso en Madrid,"ALQUILER SEGURO,S.A.",1.893 €/m²,142.000 €,75 m²,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28945-42558239530_108900/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,75 m²,,,4,1,,En buen estado,XA24-001/017/007854,N/A,,,,,N/A,,N/A,N/A,,,N/A,,,,,,,,1ª,,N/A,,N/A,,,,,,,,,,,N/A,,,N/A,
Piso en calle de Jesús,HOGARES LEGANES,2.759 €/m²,149.000 €,54 m²,https://www.pisos.com/comprar/piso-leganes_la_fortuna28917-48385912282_525822/,Anuncio actualizado el 14/10/2024,"E, F","E, F",madrid_sur,54 m²,50 m²,,2,1,Más de 50 años,En buen estado,4525822-RIOJA- LA FORTUNA,2,,Tarima flotante,,,Frío y calor,Gas natural,N/A,N/A,,N/A,N/A,,,Este,,,,,2ª,,Entre 60 y 80 €,,,,,,N/A,,,,,,,,N/A,,,
"Piso en calle de la Sal, 44",CAPITAL HOME NAVALCARNERO,2.032 €/m²,126.000 €,62 m²,https://www.pisos.com/comprar/piso-villayuventus_renfe28981-51702608804_101800/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,62 m²,,,3,1,Más de 50 años,,IF76877-CHParla,,,,,,,,,,,,,,,,,,,,4ª,,,,,,,,,,,,,,,,,,,
Piso en calle de Alava,HIDALGO Y  PANTALEON,2.941 €/m²,191.190 €,65 m²,https://www.pisos.com/comprar/piso-vivero_hospital_universidad-51712192119_100500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,65 m²,,,3,1,,En buen estado,SA5844-LL-64275,,,,,,,,,,,,,,,,,,,,1ª,,,,,,,,,,,,,,,,,,,
Piso en calle Centro,AL ANDALUS PROPERTIES,1.551 €/m²,225.000 €,145 m²,https://www.pisos.com/comprar/piso-aranjuez_centro-49237260432_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,145 m²,,,4,2,,,EP953-3683,,,,,,,Gas natural,N/A,,,,N/A,,,Sureste,,,,N/A,,N/A,Entre 60 y 80 €,N/A,N/A,,,,,,,,,,,N/A,,,,
Chalet en La Zarzuela,MB Gestión Inmobiliaria -Madrid,1.537 €/m²,319.900 €,208 m²,https://www.pisos.com/comprar/chalet-torrejon_de_velasco_centro_urbano-47511446292_100500/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,208 m²,,199 m²,4,3,,En buen estado,SA200-R-1993,1,,Gres,N/A,,,Gas natural,Cocina amueblada,,,N/A,,Privado,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Casa adosada en Nuevo Aranjuez-Ciudad de las Artes-El Mirador,Estudio Mirador De Aranjuez Slu,1.754 €/m²,299.999 €,171 m²,https://www.pisos.com/comprar/casa_adosada-nuevo_aranjuez_ciudad_de_las_artes_el_mirador-50852466286_100200/,Anuncio actualizado el 30/01/2025,"B, C","B, C",madrid_sur,171 m²,,,4,1,Entre 30 y 50 años,En buen estado,TC1202-607881,,,,,,N/A,,,,2,,,Privado,,,,,Adosada,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Zona La Estación,MB Gestión Inmobiliaria -Madrid,1.839 €/m²,390.000 €,212 m²,https://www.pisos.com/comprar/casa_adosada-valdemoro_estacion-47527641072_100500/,Anuncio actualizado el 04/02/2025,"D, D","D, D",madrid_sur,212 m²,,,4,3,Entre 20 y 30 años,En buen estado,SA200-R-1985,1,,Gres,N/A,,Frío,Gas natural,Cocina amueblada,,,N/A,N/A,Privado,,,,,Adosada,,,,,,,,,,,,,N/A,,,,,,,,
Piso en Centro,REAL ESTATE GABINETE INMOBILIARIO,1.800 €/m²,135.000 €,75 m²,https://www.pisos.com/comprar/piso-parla_centro28981-51725192741_525871/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,75 m²,75 m²,,3,1,,En buen estado,4525871-000012,,,Gres,,Aluminio,,,N/A,N/A,,N/A,,,,,,,,,4ª,N/A,,,,,,,,,,,,,,,,,,
Casa en La Alhóndiga,REDPISO,2.779 €/m²,177.900 €,64 m²,https://www.pisos.com/comprar/casa-la_alhondiga28904-51742400858_510357/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,64 m²,51 m²,,2,1,Más de 50 años,En buen estado,4510357-ALHTT,,,Gres,,Aluminio,Frío y calor,Eléctrica,,,,N/A,N/A,,,Sur,,,,,,,Entre 40 y 60 €,,,,,,,,,,,,,,,,,
Piso en Centro,"ESTUDIO POLVORANCA, S.L.",2.752 €/m²,189.900 €,69 m²,https://www.pisos.com/comprar/piso-leganes_centro28911-50863400394_100200/,Anuncio actualizado el 12/02/2025,"G, F","G, F",madrid_sur,69 m²,,,4,1,Más de 50 años,En buen estado,TC462-605658,,,,,,,,,,,,N/A,N/A,Comunitaria,,,,,,,,,,N/A,,,,,,,,,,,,,,,
Piso en calle de Rafael,Asian Consulting,1.656 €/m²,299.900 €,181 m²,https://www.pisos.com/comprar/piso-valdemoro_hospital28342-47536684170_109300/,Anuncio actualizado el 03/09/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,181 m²,122 m²,,3,2,,En buen estado,EP613-510181,,,,,,Frío-calor,,N/A,,Comunitario 1 plazas,,,Comunitario,Comunitaria,"Este, oeste",,,,N/A,,,90,,N/A,,,,,,,,,,,,,,,
Piso en Pintores-Ferial,"CONSULTING INMOBILIARIO PARLA CENTRO, S.L.",2.309 €/m²,164.000 €,71 m²,https://www.pisos.com/comprar/piso-pintores_ferial28982-50845193366_100200/,Anuncio actualizado el 18/02/2025,"E, E","E, E",madrid_sur,71 m²,,,3,1,Más de 50 años,Reformado,TC220-606160,,,,,,N/A,N/A,N/A,,,,N/A,,,,,,,,2ª,,,,N/A,,,,,,,,,,,,,,,
Piso en Centro,Estudio Leganés Santos Y Batallas S.L,2.753 €/m²,179.000 €,65 m²,https://www.pisos.com/comprar/piso-leganes_centro28912-50883952986_100200/,Anuncio actualizado el 18/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,65 m²,,,2,,Más de 50 años,En buen estado,TC908-606487,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,
Piso en calle de León,Grupo ReisVilaX Gestoras de Activos,2.406 €/m²,259.900 €,108 m²,https://www.pisos.com/comprar/piso-villayuventus_renfe28982-50883135788_106000/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,108 m²,95 m²,,4,2,,,NI406-GRV8238,N/A,,Tarima flotante,,Aluminio,,N/A,Amueblada,N/A,1,,N/A,,N/A,,,,,,1ª,,,Cocina amueblada,N/A,,,,,,,,,,,Agua individual,,,,
Casa adosada en Paseo Mozart,ADARA online,1.288 €/m²,232.000 €,180 m²,https://www.pisos.com/comprar/casa_adosada-nuevo_aranjuez_ciudad_de_las_artes_el_mirador-51727530437_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,180 m²,170 m²,40 m²,4,3,,En buen estado,SA4922-107356788,1,,,,,N/A,,,,1,,N/A,N/A,N/A,Sur,,,Adosada,N/A,,,,,,,,,,,,,,,,,,,,
Piso en Centro,HOGARES LEGANES,1.799 €/m²,269.900 €,150 m²,https://www.pisos.com/comprar/piso-leganes_centro28911-45099337270_525822/,Anuncio actualizado el 27/09/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,150 m²,140 m²,,4,2,,En buen estado,4525822-LEGANES CENTRO,N/A,,Parquet,,,Frío y calor,Central,N/A,N/A,,,N/A,,,Noroeste,,,,,2ª,N/A,,,,,,,N/A,,,,N/A,,,,,N/A,,
