nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Antigüedad,Gastos de comunidad,Referencia,Amueblado,Armarios empotrados,Tipo suelo,Calefacción,Garaje,Orientación,Superficie solar,Tipo de casa,Agua,Comedor,Terraza,Conservación,Aire acondicionado,Cocina equipada,Jardín,Trastero,Piscina,Vidrios dobles,Chimenea,Sistema de seguridad,Puerta blindada,Balcón,Urbanizado,Lavadero,Teléfono,Exterior,Interior,Calle alumbrada,Calle asfaltada,Ascensor,Adaptado a personas con movilidad reducida,Se aceptan mascotas,Soleado,Carpintería exterior,Carpintería interior,Portero automático,Gas
Chalet en La Moraleja,Gilmar La Moraleja,7.083 €/m²,8.500.000 €,1.200 m²,28904,https://www.pisos.com/comprar/chalet-la_moraleja_encinar_de_los_reyes28109-10849575971_102100/,2025-02-06,Error al procesar consumo,Error al procesar emisiones,1.200 m²,,7,9,,,,GM6-156547,,,,,N/A,Sur,10.000 m²,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,
Chalet en La Moraleja,Gilmar La Moraleja,10.588 €/m²,10.800.000 €,1.020 m²,28904,https://www.pisos.com/comprar/chalet-la_moraleja_encinar_de_los_reyes28109-51753652401_102100/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,1.020 m²,,7,8,,,,GM6-204390,,,,,N/A,,2.815 m²,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,
Casa en calle de la Estrella,BREM GLOBAL INMOBILIARIA,747 €/m²,65.000 €,87 m²,28902,https://www.pisos.com/comprar/casa-puentes_viejas_centro_urbano-50015925824_100500/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,87 m²,,3,1,,Más de 50 años,,SA5479-20122024/11756,,,,,,,137 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Valdeolmos,INMOBILIARIA TECNICA NORTE PASARELA,2.537 €/m²,335.000 €,132 m²,28162,https://www.pisos.com/comprar/casa_adosada-valdeolmos-50888762096_106700/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,132 m²,108 m²,4,3,,Menos de 5 años,,IFC76153-1798TN,,,,,,,210 m²,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en La Moraleja,Gilmar La Moraleja,9.829 €/m²,11.500.000 €,1.170 m²,28904,https://www.pisos.com/comprar/chalet-la_moraleja_encinar_de_los_reyes28109-51726688661_102100/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,1.170 m²,,7,7,,,,GM6-204394,,,,,N/A,,3.093 m²,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,
Finca rústica en calle Real,BREM GLOBAL INMOBILIARIA,69 €/m²,245.000 €,133 m²,28901,https://www.pisos.com/comprar/finca_rustica-lozoyuela-48366840561_100500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,133 m²,,6,2,,,,SA5479-251020242/11756,N/A,,,N/A,,,3.503 m²,,N/A,N/A,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,,,,
Casa pareada en Madrid,JLC CONSTRUCCIONES,32 €/m²,357.206 €,11.109 m²,28059,https://www.pisos.com/comprar/casa_pareada-fuente_el_saz_de_jarama_centro_urbano-42578671058_100500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,11.109 m²,110 m²,3,2,,,,SA4724-746/10378,,1,Gres,N/A,,,195 m²,Pareada,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en calle Real,BREM GLOBAL INMOBILIARIA,3.153 €/m²,350.000 €,111 m²,28901,https://www.pisos.com/comprar/chalet-lozoyuela-46666780435_100500/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,111 m²,,3,1,,,,SA5479-12082024/11756,,,,,1,,4.193 m²,,N/A,,,,,,,,Propia,,,,,,,,,,,,,,,,,,,,
Chalet en Lozoya Somosierra,Concepción HERNANDEZ TENDERO,2.094 €/m²,840.000 €,401 m²,28129,https://www.pisos.com/comprar/chalet-san_agustin_del_guadalix_centro_urbano-43420697477_108700/,2025-01-24,Error al procesar consumo,Error al procesar emisiones,401 m²,401 m²,5,5,,Entre 30 y 50 años,,UVC841-23338,,,,,,,1.704 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Soto de La Moraleja,Gilmar La Moraleja,7.653 €/m²,1.990.000 €,260 m²,28904,https://www.pisos.com/comprar/piso-la_moraleja_encinar_de_los_reyes28109-51714202556_102100/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,260 m²,,6,4,,,,GM6-201837,,,,,Más de 2,,,,,,70,,,,N/A,N/A,N/A,,,,,,,,,Exterior,,,,,,,,,,,
Casa unifamiliar en calle del Cerrillo,CRUZ & ASOCIADOS,1.945 €/m²,710.000 €,365 m²,28045,https://www.pisos.com/comprar/casa_unifamiliar-colmenar_viejo_centro-49209780014_501223/,2025-01-31,"D, D","D, D",365 m²,293 m²,5,3,,Entre 20 y 30 años,,4501223-000533,,Más de 2,Tarima maciza,Gas natural,2,Oeste,264 m²,Unifamiliar,,,,En buen estado,Frío y calor,,Privado,,,N/A,,,N/A,,,,,,,N/A,N/A,,,,,PVC,Madera noble,,N/A
Piso en Soto de La Moraleja,Gilmar La Moraleja,6.989 €/m²,685.000 €,98 m²,28904,https://www.pisos.com/comprar/piso-la_moraleja_encinar_de_los_reyes28109-51726276720_102100/,2025-02-15,Error al procesar consumo,Error al procesar emisiones,98 m²,,2,2,,,,GM6-202469,,,,,1,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,Exterior,,,,,,,,,,,
Estudio en Rosa Luxemburgo-Padrerón-Polígono Industrial Norte,Huspy,4.000 €/m²,280.000 €,70 m²,28134,https://www.pisos.com/comprar/estudio-rosa_luxemburgo_padreron_poligono_industrial_norte-51754395496_108500/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,70 m²,,1,1,,,,AG662-50ac7424-cfdd-4f51-a4e5-c83ca0086cbb,,,,,,Sur,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Valdeolmos,INMOBILIARIA TECNICA NORTE PASARELA,2.310 €/m²,335.000 €,145 m²,28162,https://www.pisos.com/comprar/casa_adosada-valdeolmos-49185159566_106700/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,145 m²,145 m²,3,2,,,,IFC76153-1794TN,,,,,,,165 m²,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Arroyo de La Vega,Gilmar La Moraleja,6.218 €/m²,740.000 €,119 m²,28006,https://www.pisos.com/comprar/piso-alcobendas_ensanche28100-51688832830_102100/,2025-02-10,Error al procesar consumo,Error al procesar emisiones,119 m²,,2,2,,,,GM6-203857,,,,,1,,,,,,150,,,,N/A,N/A,N/A,,,,,,,,,,Interior,,,,,,,,,,
Piso en Alcobendas,Gilmar La Moraleja,5.476 €/m²,460.000 €,84 m²,28006,https://www.pisos.com/comprar/piso-alcobendas_ensanche28100-51680681981_102100/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,84 m²,,2,2,,,,GM6-205162,,,,,1,,,,,,22,,,,N/A,N/A,N/A,,,,,,,,,Exterior,,,,,,,,,,,
Piso en calle de la Cruz de San Francisco,CRUZ & ASOCIADOS,2.032 €/m²,185.000 €,91 m²,28045,https://www.pisos.com/comprar/piso-colmenar_viejo_centro-49166923157_501223/,2025-01-28,"E, E","E, E",91 m²,71 m²,2,1,1ª,Entre 20 y 30 años,Entre 40 y 60 €,4501223-000532,,1,Tarima flotante,Gas natural,,Sur,,,,,,En buen estado,,Americana,,,,,,,N/A,,,,,N/A,,,,,,,N/A,PVC,,,N/A
Casa adosada en calle República Argentina,BREM GLOBAL INMOBILIARIA,1.226 €/m²,265.000 €,216 m²,28030,https://www.pisos.com/comprar/casa_adosada-la_cabrera_centro_urbano-50900891471_100500/,2025-02-18,"E, E","E, E",216 m²,195 m²,3,3,,Entre 30 y 50 años,,SA5479-07012025/11756,,1,,N/A,,,,Adosada,,,N/A,,,,N/A,N/A,Comunitaria,,N/A,,N/A,,,,,,,,,,,,,,,,
Apartamento en Encinar de los Reyes,Huspy,5.633 €/m²,1.690.000 €,300 m²,28904,https://www.pisos.com/comprar/apartamento-la_moraleja_encinar_de_los_reyes28109-51695162697_108500/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,300 m²,,7,4,,,,AG662-287fc02b-0831-4b31-8f33-4c08f460c5cd,,N/A,,,,,,,,,,,N/A,,N/A,N/A,Privada,,,,,,,,,,,,,N/A,,,,,,,
"Casa pareada en calle de Jorge Manrique, 23",MAYAC INMOBILIARIA,1.894 €/m²,360.000 €,190 m²,28164,https://www.pisos.com/comprar/casa_pareada-valdetorres_de_jarama_centro_urbano28150-50096047553_100500/,2024-12-13,Error al procesar consumo,Error al procesar emisiones,190 m²,170 m²,4,2,,Entre 30 y 50 años,,SA3310-106754984,,,,,,,1.215 m²,Pareada,,,,En buen estado,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Piso en Soto de La Moraleja,Gilmar La Moraleja,10.036 €/m²,1.375.000 €,137 m²,28904,https://www.pisos.com/comprar/piso-la_moraleja_encinar_de_los_reyes28109-51759791354_102100/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,137 m²,,3,3,,,,GM6-204340,,,,,,,,,,,,,,,N/A,,N/A,,,,,,,,,,Interior,,,,,,,,,,
Estudio en calle de Pablo Picasso,PROMOVIVIENDA,4.931 €/m²,143.000 €,29 m²,28006,https://www.pisos.com/comprar/estudio-alcobendas_centro28100-51687467737_100500/,2025-02-03,"D, C","D, C",29 m²,27 m²,,1,,Más de 50 años,,SA2666-PA26,,,,,,Este,,,,,,En buen estado,,,,,,,,,,,,,,N/A,,,,,,,,,,,
Chalet en La Moraleja,Gilmar La Moraleja,5.678 €/m²,7.200.000 €,1.268 m²,28904,https://www.pisos.com/comprar/chalet-la_moraleja_encinar_de_los_reyes28109-38362055889_102100/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,1.268 m²,,6,8,,,,GM6-188573,,,,,,,2.611 m²,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,
"Ático en calle de Bulgaria,  s/n","PREMIER ESPAÑA, S.A.",2.999 €/m²,854.900 €,285 m²,28903,https://www.pisos.com/comprar/atico-nuevo_tres_cantos-4967011312_109700/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,285 m²,,4,3,,,,4991481-21547027,,,,,N/A,,,,,,N/A,A estrenar,,,,N/A,,,,,,,,,,,,,,N/A,,,,,,,
Chalet en La Moraleja,Gilmar La Moraleja,Error al procesar precio m²,A consultar,2.904 m²,28904,https://www.pisos.com/comprar/chalet-la_moraleja_encinar_de_los_reyes28109-51763243766_102100/,2025-02-06,Error al procesar consumo,Error al procesar emisiones,2.904 m²,,9,12,,,,GM6-137887,,,,,,,10.273 m²,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,
"Chalet en calle de las Américas, 3",MAYAC INMOBILIARIA,1.316 €/m²,474.000 €,360 m²,28059,https://www.pisos.com/comprar/chalet-fuente_el_saz_de_jarama_centro_urbano-45880958993_100500/,2024-08-26,Error al procesar consumo,Error al procesar emisiones,360 m²,240 m²,4,3,,Entre 20 y 30 años,,SA3310-105458924,,1,,,1,,500 m²,,,,,En buen estado,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,
Casa pareada en Talamanca de Jarama,TEAM JAVIER VILLALBA,1.783 €/m²,330.000 €,185 m²,28145,https://www.pisos.com/comprar/casa_pareada-talamanca_de_jarama_centro_urbano-51730483840_101800/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,185 m²,,4,3,,,,IF5563-PAREADO TALAMANCA,,1,,Central,1,,300 m²,Pareada,,,N/A,,,,Privado,,Comunitaria,,,,,,,,,,,,,,,,,,,,
Chalet en Soto de La Moraleja,Gilmar La Moraleja,7.779 €/m²,2.645.000 €,340 m²,28904,https://www.pisos.com/comprar/chalet-la_moraleja_encinar_de_los_reyes28109-44204135221_102100/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,340 m²,,5,5,,,,GM6-173824,,,,,Más de 2,Oeste,392 m²,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,
Piso en Avenida Alejandro Rubio,SKY SOLUTIONS,2.518 €/m²,136.000 €,54 m²,28067,https://www.pisos.com/comprar/piso-guadalix_de_la_sierra_centro_urbano-50833679326_101800/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,54 m²,,2,1,4ª,Entre 30 y 50 años,,IF76741-Alejandro Rubio_Guadalix,,,,Central,1,,,,,,N/A,,,N/A,,N/A,Comunitaria,,,,,,,,,,,,,,,,,,,,
Piso en Plaza de la Constitución,HOGARES TRES CANTOS,3.200 €/m²,320.000 €,100 m²,28903,https://www.pisos.com/comprar/piso-centro_zona_de_la_estacion-50855935535_528974/,2025-01-29,"D, D","D, D",100 m²,70 m²,2,1,1ª,Entre 20 y 30 años,,4528974-constcar,N/A,2,,Gas natural,1,,,,,N/A,,En buen estado,,N/A,,N/A,,,,,,,,N/A,N/A,N/A,,,,N/A,N/A,,,,,,N/A
Piso en Valdelasfuentes-Norte,MAGNAPOL Soluciones Inmobiliarias,4.407 €/m²,670.000 €,152 m²,28006,https://www.pisos.com/comprar/piso-valdelasfuentes_norte28100-51708368309_179400/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,152 m²,128 m²,2,2,1ª,Entre 10 y 20 años,,1794-2102812_F2,,Más de 2,Parquet,Gas natural,1,Noroeste,,,,N/A,2 amplias terrazas,En buen estado,Frío y calor,N/A,Comunitario,N/A,Comunitaria,N/A,,,N/A,,,N/A,,Vista despejada,,,,N/A,N/A,,N/A,PVC,,N/A,N/A
Ático en El Soto- Próximo A Colegio Las Irlandesas,MAGNAPOL Soluciones Inmobiliarias,5.652 €/m²,1.690.000 €,299 m²,28904,https://www.pisos.com/comprar/atico-el_soto_de_la_moraleja-42524086193_179400/,2025-01-29,Error al procesar consumo,Error al procesar emisiones,299 m²,290 m²,6,4,2ª,Entre 20 y 30 años,,1794-001397_V,,,Parquet y marmol,Por gas natural,2,,,,,Amplio,2,En buen estado,Frío y calor,Office,Comunitario,,Comunitaria,N/A,,N/A,N/A,,,N/A,,N/A,,,,N/A,,,N/A,,,N/A,Sin especificar
Piso en S.S. de los Reyes,Gilmar RACE - Santo Domingo,4.604 €/m²,198.000 €,43 m²,28134,https://www.pisos.com/comprar/piso-arroyos_y_tempranales28703-51705292746_102100/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,43 m²,,1,1,,,,GM27-204089,,,,,1,,,,,,7,,,,N/A,,N/A,,,,,,,,,Exterior,,,,,,,,,,,
Chalet en calle del Sauce,GINMAS,2.833 €/m²,595.000 €,210 m²,28094,https://www.pisos.com/comprar/chalet-navalafuente_centro_urbano-50899116704_100500/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,210 m²,200 m²,5,2,,Entre 30 y 50 años,Más de 100 €,SA5301-107170796,,1,,,1,Norte,2.750 m²,,,,N/A,En buen estado,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Chalet unifamiliar en calle de Piqueras,HOGARES TRES CANTOS,1.773 €/m²,1.190.000 €,671 m²,28903,https://www.pisos.com/comprar/chalet_unifamiliar-tres_cantos_soto_de_vinuelas-48410329213_528974/,2024-11-09,"D, D","D, D",671 m²,600 m²,5,4,,Entre 30 y 50 años,,4528974-PIQUIERASANA,,Más de 2,,Gas natural,2,,1.476 m²,,,N/A,N/A,En buen estado,Frío y calor,N/A,Privado,,,,N/A,,N/A,,N/A,N/A,N/A,,,,,,,,,,,,N/A
Chalet en Avenida del Pilar,JLC CONSTRUCCIONES,4.839 €/m²,537.195 €,111 m²,28059,https://www.pisos.com/comprar/chalet-fuente_el_saz_de_jarama_centro_urbano-40097057371_100500/,2025-01-06,Error al procesar consumo,Error al procesar emisiones,111 m²,,3,2,,,,SA4724-726/10378,,1,,,1,,747 m²,,N/A,,,,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,
Finca rústica en Algete,remax collection activo residencial,140 €/m²,2.850.000 €,3.300 m²,28009,https://www.pisos.com/comprar/finca_rustica-algete_centro_urbano-48397628763_100500/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,3.300 m²,,6,6,,,,SA2325-AR02876/7288,,,,Gasoil,1,,20.282 m²,,N/A,N/A,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,,,,,
Casa en calle del Mercado,GAVAC GESTION DE PROPIEDADES,468 €/m²,195.000 €,416 m²,28085,https://www.pisos.com/comprar/casa-miraflores_de_la_sierra_centro_urbano-47571588140_520609/,2024-11-13,Error al procesar consumo,Error al procesar emisiones,416 m²,415 m²,4,3,,,,4520609-VENTA CASA EN MIRAFLORES,,,,Eléctrica,,,196 m²,,,,,A reformar,,,,,,,,,,,N/A,,,,,N/A,N/A,,,,,,,,
Piso en Sector de los Pintores,HOGARES TRES CANTOS,3.230 €/m²,419.900 €,130 m²,28903,https://www.pisos.com/comprar/piso-nuevo_tres_cantos-51731948642_528974/,2025-02-11,"D, D","D, D",130 m²,110 m²,3,2,5ª,Entre 30 y 50 años,,4528974-pintores3hab,N/A,2,,Gas natural,1,,,,,N/A,N/A,En buen estado,Frío y calor,N/A,,N/A,,,,N/A,N/A,N/A,,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,,N/A,N/A
Piso en Algete,CONSULTING INMOBILIARIO C Y H,2.141 €/m²,227.000 €,106 m²,28009,https://www.pisos.com/comprar/piso-algete_centro_urbano-48390762370_106700/,2025-02-10,Error al procesar consumo,Error al procesar emisiones,106 m²,97 m²,3,2,,Entre 30 y 50 años,,IFC76289-04300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,
Chalet en calle Albéniz,YÑARRA SERVICIOS INMOBILIARIOS,1.875 €/m²,375.000 €,200 m²,28164,https://www.pisos.com/comprar/chalet-valdetorres_de_jarama_centro_urbano28150-41726763860_100500/,2024-11-22,Error al procesar consumo,Error al procesar emisiones,200 m²,180 m²,3,2,,Entre 20 y 30 años,,SA2591-103994976,,,,,,Sur,3.000 m²,,,,,En buen estado,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,
Chalet en La Moraleja,Gilmar La Moraleja,7.027 €/m²,13.000.000 €,1.850 m²,28904,https://www.pisos.com/comprar/chalet-la_moraleja_encinar_de_los_reyes28109-51669065513_102100/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,1.850 m²,,9,9,,,,GM6-198844,,,,,N/A,,5.021 m²,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,
Chalet en La Moraleja,Huspy,6.166 €/m²,3.700.000 €,600 m²,28904,https://www.pisos.com/comprar/chalet-la_moraleja_distrito28109-51687335264_108500/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,600 m²,,6,6,,,,AG662-e2836039-2a3b-43cc-ab60-c4c7120a6092,,N/A,,,,Suroeste,,,,,,,N/A,,N/A,N/A,Privada,,,,,,,,,,,,,,,,,,,,
Piso en Nueva Estación de Servicio,Huspy,1.011 €/m²,1.595.000 €,1.577 m²,28009,https://www.pisos.com/comprar/piso-nueva_estacion_de_servicio-51708108376_108500/,2025-02-17,"D, D","D, D",1.577 m²,,5,6,,,,AG662-8f5d3700-dd63-473d-9501-cba9b4e344c2,,,,,,,,,,,,,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
Chalet unifamiliar en Avenida de Andalucía,CRUZ & ASOCIADOS,2.650 €/m²,795.000 €,300 m²,28045,https://www.pisos.com/comprar/chalet_unifamiliar-colmenar_viejo_fuente_santa-49232854890_501223/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,300 m²,280 m²,6,3,,Entre 20 y 30 años,,4501223-000537,,Más de 2,Gres,Gas natural,1,Este,500 m²,,,,N/A,En buen estado,,,Privado,,Propia,,N/A,,,,,,,,,,,,,,,PVC,,,
Chalet en calle Camino del Tomillar,BREM GLOBAL INMOBILIARIA,1.400 €/m²,280.000 €,200 m²,28063,https://www.pisos.com/comprar/chalet-gargantilla_de_lozoya-51699734497_100500/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,200 m²,150 m²,3,1,,Entre 30 y 50 años,,SA5479-14022025/11756,N/A,1,,N/A,1,,1.800 m²,,N/A,,,,,,,N/A,Propia,,N/A,,,,,,,,,,,,,,,,,,
Casa en calle de Buenadicha,BREM GLOBAL INMOBILIARIA,1.259 €/m²,325.000 €,258 m²,28151,https://www.pisos.com/comprar/casa-torrelaguna_centro_urbano-50865090836_100500/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,258 m²,210 m²,5,3,,Entre 30 y 50 años,,SA5479-300120252/11756,N/A,1,,Gas natural,,,,,N/A,N/A,N/A,,,,,N/A,Propia,,N/A,,,,,,,,,,,,,,,,,,
"Casa rústica en calle de las Carretas, 2",GINMAS,2.003 €/m²,649.000 €,324 m²,28067,https://www.pisos.com/comprar/casa_rustica-guadalix_de_la_sierra_centro_urbano-43334362953_100500/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,324 m²,300 m²,5,3,,Más de 50 años,,SA5301-101327901,,1,,,1,Sur,200 m²,Rústica,,,,En buen estado,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
"Ático en calle de Luis Martínez Feduchi, 32",AVANZIA GESTION PATRIMONIAL Y CONSULTORIA,4.427 €/m²,1.160.000 €,262 m²,28904,https://www.pisos.com/comprar/atico-la_moraleja_encinar_de_los_reyes-34211243449_101800/,2025-02-04,Error al procesar consumo,Error al procesar emisiones,262 m²,,3,3,4ª,,,IF6381-m feduchi,,1,,Central,,,,,,,N/A,En buen estado,,N/A,,N/A,Propia,,,,N/A,,,N/A,,,,,,N/A,,,,,,,
"Piso en Travesía del Convento, 26",BREM GLOBAL INMOBILIARIA,1.967 €/m²,179.000 €,91 m²,28030,https://www.pisos.com/comprar/piso-la_cabrera_centro_urbano-45866381481_100500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,91 m²,,2,2,1ª,,,SA5479-101889591/11756,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Fuente el Saz de Jarama,CONSULTING INMOBILIARIO C Y H,1.573 €/m²,469.000 €,298 m²,28059,https://www.pisos.com/comprar/casa-fuente_el_saz_de_jarama_centro_urbano-35877766600_106700/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,298 m²,298 m²,4,3,,Entre 10 y 20 años,,IFC76289-004170,,,,,,,363 m²,,,,N/A,En buen estado,N/A,,N/A,,N/A,,,,N/A,,,,,,,,,,,,,,,,
Chalet adosado en calle de Sierra Bermeja,HOGARES TRES CANTOS,3.099 €/m²,619.900 €,200 m²,28903,https://www.pisos.com/comprar/chalet_adosado-tres_cantos_soto_de_vinuelas-50902565522_528974/,2025-01-23,"D, D","D, D",200 m²,160 m²,4,3,,Entre 20 y 30 años,,4528974-BERMEJA,,Más de 2,,Gas natural,1,,,,,N/A,N/A,En buen estado,Frío y calor,N/A,Privado,,Comunitaria,,,,,,,N/A,,,,,,,,N/A,,,,,
Ático en Ensanche,Huspy,9.765 €/m²,1.250.000 €,128 m²,28006,https://www.pisos.com/comprar/atico-alcobendas_ensanche28100-51668226874_108500/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,128 m²,,4,3,,,,AG662-a8251460-2359-47a8-944f-3443a15d48ac,,N/A,,,,Sur,,,,,,,N/A,,,N/A,,,,,,,,,,,,,,N/A,,,,,,,
Piso en Arroyo de la Vega,Huspy,6.606 €/m²,1.090.000 €,165 m²,28904,https://www.pisos.com/comprar/piso-arroyo_de_la_vega28108-51760378251_108500/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,165 m²,,4,2,,,,AG662-9a443628-1041-43d9-8b63-e9925d2ccf2f,,,,Gas natural,,Sur,,,,,,,N/A,,,N/A,Comunitaria,,,,,,,,,,,,,N/A,,,,,,,
"Chalet en calle de Miguel Hernández, 5",Urbanización Parque Miraflores,1.440 €/m²,350.000 €,243 m²,28085,https://www.pisos.com/comprar/chalet-miraflores_de_la_sierra_centro_urbano-8750592571_109700/,2024-12-18,Error al procesar consumo,Error al procesar emisiones,243 m²,,3,3,,,,4517258-13335566,,,,,N/A,,,,,,N/A,A estrenar,,N/A,Privado,,,,,,,,,,,,,,,,,,,,,,
Chalet en La Moraleja,Gilmar La Moraleja,13.000 €/m²,6.500.000 €,500 m²,28904,https://www.pisos.com/comprar/chalet-la_moraleja_encinar_de_los_reyes28109-51751319895_102100/,2025-02-06,Error al procesar consumo,Error al procesar emisiones,500 m²,,,,,,,GM6-193301,,,,,,,10.000 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Dehesa Vieja-Puente Cultural,Huspy,977 €/m²,1.955.000 €,2.000 m²,28134,https://www.pisos.com/comprar/piso-dehesa_vieja_puente_cultural28708-51683481774_108500/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,2.000 m²,,7,5,,,,AG662-3d8f5b12-e60d-4e8d-b78d-4a6f6499d298,,N/A,,,,,,,,,,,N/A,,N/A,N/A,Privada,,,,,,,,,,,,,,,,,,,,
Piso en Centro,AGENCIA CONTACASA ASESORES,2.275 €/m²,182.000 €,80 m²,28045,https://www.pisos.com/comprar/piso-el_olivar_la_magdalena-50856258204_103800/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,80 m²,,2,1,2ª,,Entre 10 y 20 €,INB35-1389-C2990,,,,,,,,,,,,En buen estado,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en La Moraleja,Gilmar La Moraleja,7.180 €/m²,4.495.000 €,626 m²,28904,https://www.pisos.com/comprar/chalet-la_moraleja_encinar_de_los_reyes28109-51765859281_102100/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,626 m²,,5,7,,,,GM6-194728,,,,,N/A,,1.953 m²,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,
Piso en El Soto de la Moraleja,Huspy,6.376 €/m²,2.200.000 €,345 m²,28904,https://www.pisos.com/comprar/piso-el_soto_de_la_moraleja28109-51685292051_108500/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,345 m²,,4,5,,,,AG662-a2689439-be1b-4b64-8394-5a35f717c68f,,N/A,,Gas natural,,Sur,,,,,,,N/A,,,N/A,Comunitaria,,,,,,,,,,,,,N/A,,,,,,,
Casa adosada en El Soto de la Moraleja,Saguar Real Estate,5.750 €/m²,1.150.000 €,200 m²,28904,https://www.pisos.com/comprar/casa_adosada-el_soto_de_la_moraleja28109-49250554264_101800/,2024-11-15,Error al procesar consumo,Error al procesar emisiones,200 m²,,3,3,,,,IF76587-Sinag Home. Un hogar donde la vida brilla.,N/A,1,,Central,1,,60 m²,Adosada,,,N/A,,,N/A,Privado,N/A,Comunitaria,,,,,,,N/A,,,,,,,,,,,,,
Chalet adosado en El Soto - Muy Próximo A Colegios,MAGNAPOL Soluciones Inmobiliarias,5.227 €/m²,1.150.000 €,220 m²,28904,https://www.pisos.com/comprar/chalet_adosado-el_soto_de_la_moraleja28109-50866866134_179400/,2025-02-02,Error al procesar consumo,Error al procesar emisiones,220 m²,200 m²,4,4,,Entre 30 y 50 años,,1794-1101567_V,,Más de 2,Parquet,Gas natural,2,Sureste,120 m²,,,40 metros,N/A,A reformar,Frío,N/A,Privado,,Comunitaria,N/A,N/A,,,,,,,,,,,,,,,PVC,Blanca,,
