nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Antigüedad,Gastos de comunidad,Referencia,Amueblado,Armarios empotrados,Tipo suelo,Calefacción,Garaje,Orientación,Superficie solar,Tipo de casa,Agua,Comedor,Terraza,Conservación,Aire acondicionado,Cocina equipada,Jardín,Trastero,Piscina,Vidrios dobles,Chimenea,Sistema de seguridad,Puerta blindada,Balcón,Urbanizado,Lavadero,Teléfono,Exterior,Interior,Calle alumbrada,Calle asfaltada,Ascensor,Adaptado a personas con movilidad reducida,Se aceptan mascotas,Soleado,Carpintería exterior,Carpintería interior,Portero automático,Gas
"Chalet en Avenida de La Cabrera, 6",BREM GLOBAL INMOBILIARIA,926 €/m²,389.000 €,420 m²,28030,https://www.pisos.com/comprar/chalet-la_cabrera_centro_urbano-45834361000_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,420 m²,,8,4,,,,SA5479-100803946/11756,,,,,1,,3.400 m²,,,,N/A,,,,N/A,N/A,Propia,,,,,,,,,,,,,,,,,,,,
Casa adosada en San Agustín del Guadalix,Estudio Inmobiliario San Agustin De Guadalix Sl,2.117 €/m²,449.000 €,212 m²,28129,https://www.pisos.com/comprar/casa_adosada-san_agustin_del_guadalix_centro_urbano-49255024310_100200/,2025-01-23,Error al procesar consumo,Error al procesar emisiones,212 m²,,4,4,,Entre 30 y 50 años,,TC930-600668,,,Parquet,,,,,Adosada,,,,En buen estado,N/A,N/A,,,Comunitaria,,,,,,,,,,,,,,,,,,,,
Piso en Avenida de Madrid,Neinor Homes,4.366 €/m²,441.000 €,101 m²,28129,https://www.pisos.com/comprar/piso-san_agustin_del_guadalix_centro_urbano-28340978850_109700/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,101 m²,,3,2,,,,-9233,,N/A,,,,,,,,,2,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de Valverde,ALFA SIERRA NORTE,1.834 €/m²,200.000 €,109 m²,28085,https://www.pisos.com/comprar/piso-miraflores_de_la_sierra_centro_urbano-49244018942_101000/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,109 m²,,3,1,,,,AF189-2216/59,,Más de 2,,,,,,,,,6,,Frío,,,,,,,,N/A,,,,,N/A,,,,,,,,,,,
Casa en calle Cañada de Guadalajara,REDPISO PARACUELLOS,1.140 €/m²,350.000 €,307 m²,28041,https://www.pisos.com/comprar/casa-cobena_centro_urbano-43356004120_104700/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,307 m²,240 m²,5,2,,Entre 30 y 50 años,,STA17-RP2662023115055,,N/A,Gres,N/A,,,,,,,,A reformar,,,N/A,,,,,,,,,,,,,,,,,,,,,,
"Piso en Avenida de Juan Pablo II,  s/n",HABITAT INMOBILIARIA,4.202 €/m²,685.000 €,163 m²,28903,https://www.pisos.com/comprar/piso-nuevo_tres_cantos-5181122462_109700/,2025-02-03,"A, A","A, A",163 m²,,4,2,Bajo,,,4990150-MTR2,,,,,N/A,,,,,,N/A,A estrenar,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Soto de La Moraleja,Gilmar La Moraleja,7.575 €/m²,1.250.000 €,165 m²,28904,https://www.pisos.com/comprar/piso-la_moraleja_encinar_de_los_reyes28109-40075941048_102100/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,165 m²,,3,3,,,,GM6-192069,,,,,2,Sur,,,,,,,,,N/A,N/A,N/A,,,,,,,,,,Interior,,,,,,,,,,
Dúplex en calle de la Redondilla,Magursa  Servicios Inmobiliarios,1.215 €/m²,96.000 €,79 m²,28151,https://www.pisos.com/comprar/duplex-torrelaguna_centro_urbano-35845190773_511448/,2025-02-20,"E, D","E, D",79 m²,70 m²,2,2,1ª,Entre 10 y 20 años,,511448-012424,,2,Tarima flotante,,,,,,,,,A reformar,,,,,,,,,,,,,,,,,,,,,,,,,
"Chalet en Avenida de Miraflores de la Sierra, 2",BROSH,2.240 €/m²,475.000 €,212 m²,28085,https://www.pisos.com/comprar/chalet-miraflores_de_la_sierra_centro_urbano-5115339221_109700/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,212 m²,,4,3,,,,4525022-21694373,,,,,N/A,,,,,,N/A,A estrenar,,,Privado,,,,,,,,,,,,,,,,,,,,,,
"Chalet en calle de los Tilos, 58",MAR & GOLF UNIQUE HOMES S.L.,3.679 €/m²,1.490.000 €,405 m²,28129,https://www.pisos.com/comprar/chalet-san_agustin_del_guadalix_centro_urbano-50019880628_106700/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,405 m²,390 m²,4,3,,,,IFC76009-V8918-4,,,,N/A,,,,,,,N/A,,N/A,,N/A,N/A,N/A,N/A,,N/A,,,,,,,,,,,,,,,,,
