nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Tipo suelo,Aire acondicionado,Calefacción,Ascensor,Superficie útil,Gastos de comunidad,Amueblado,Armarios empotrados,Puerta blindada,Terraza,Orientación,Planta,Exterior,Cocina equipada,Comedor,Trastero,Portero automático,Soleado,Garaje,Vidrios dobles,Agua,Interior,Piscina,Carpintería interior,Carpintería exterior,Gas,Lavadero,Sistema de seguridad,Adaptado a personas con movilidad reducida,Balcón,Jardín,Superficie solar,Tipo de casa,Se aceptan mascotas,No se aceptan mascotas,Teléfono,Chimenea,Calle alumbrada,Urbanizado,Calle asfaltada,Luz
Piso en calle de Paterna,TOTALLY RAD,1.337 €/m²,99.000 €,74 m²,28079,https://www.pisos.com/comprar/piso-villaverde_san_cristobal-49195474463_525064/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,74 m²,3,1,Más de 50 años,En buen estado,4525064-TR0244784,,,,,74 m²,,,,,,,1ª,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle del Duque de Sesto,FORTUNY MADRID REAL ESTATE,8.540 €/m²,1.580.000 €,185 m²,28079,https://www.pisos.com/comprar/piso-goya28009-37591077165_100500/,2024-11-08,Error al procesar consumo,Error al procesar emisiones,185 m²,3,3,,En buen estado,SA2499-PIS2733,,N/A,,N/A,,,,1,,N/A,Norte,1ª,N/A,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,
Chalet en El Plantío,Alfa Rivas,5.376 €/m²,9.000.000 €,1.674 m²,28079,https://www.pisos.com/comprar/chalet-moncloa_aravaca_el_plantio-50094862398_100500/,2025-02-04,Error al procesar consumo,Error al procesar emisiones,1.674 m²,9,13,Entre 10 y 20 años,,SA4961-CM-10393/8383,Mármol,N/A,N/A,,,,,1,N/A,N/A,Este,,,,,,,,1,,,,Propia,,,,,N/A,,,N/A,2.869 m²,,,,,N/A,,,,
Piso en Goya,Huspy,14.262 €/m²,4.350.000 €,305 m²,28079,https://www.pisos.com/comprar/piso-goya28001-51755068221_108500/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,305 m²,3,3,,,AG662-e491ed8f-511e-4ca1-ac69-c43e61408a15,,N/A,Gas natural,N/A,,,N/A,N/A,,,Oeste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Casa de Campo,Huspy,5.179 €/m²,720.000 €,139 m²,28079,https://www.pisos.com/comprar/apartamento-casa_de_campo28023-51766058425_108500/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,139 m²,2,2,,,AG662-12710d14-fd54-4fd8-b4ab-c8894604c354,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Piso en Guindalera,Gilmar Avenida América,7.258 €/m²,450.000 €,62 m²,28079,https://www.pisos.com/comprar/piso-goya28028-50098535084_102100/,2025-01-16,Error al procesar consumo,Error al procesar emisiones,62 m²,1,1,,,GM20-204214,,,,,,,,,,,,,Exterior,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Mirasierra,Gilmar Mirasierra,4.687 €/m²,1.500.000 €,320 m²,28079,https://www.pisos.com/comprar/piso-castilla28034-47548250289_102100/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,320 m²,5,3,,,GM23-201172,,,,,,,,,,160,Sureste,,Exterior,,,,,,Más de 2,,,,N/A,,,,,,,,N/A,,,,,,,,,,
"Apartamento en calle de la Torrecilla del Leal, 22",Pasa a tu casa,4.973 €/m²,189.000 €,38 m²,28079,https://www.pisos.com/comprar/apartamento-centro_embajadores_lavapies28012-43377244276_524622/,2024-08-22,Error al procesar consumo,Error al procesar emisiones,38 m²,1,1,Entre 30 y 50 años,Reformado,4524622-M-123,Tarima flotante,,,,30 m²,Entre 20 y 40 €,N/A,,,,,Bajo,,Amueblada con electrodomésticos,,,N/A,,,Climalit,,N/A,,Lacadas en blanco,Aluminio,,,,,,,,,N/A,,N/A,,,,,
Piso en Salamanca,Alegría Madrid,16.263 €/m²,1.789.000 €,110 m²,28079,https://www.pisos.com/comprar/piso-recoletos28001-50858421586_100500/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,110 m²,2,2,Entre 30 y 50 años,,SA5787-MEM085/11412,Tarima flotante,N/A,N/A,N/A,88 m²,Más de 100 €,N/A,1,,N/A,Este,2ª,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Piso en Castellana,DIPLOMATIC REAL ESTATE,11.176 €/m²,1.900.000 €,170 m²,28079,https://www.pisos.com/comprar/piso-salamanca_castellana28006-945856909381506_109700/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,170 m²,2,2,Entre 20 y 30 años,Reformado,996542-2658-AM,Parquet,Frío y calor,Central,N/A,155 m²,,N/A,Más de 2,,,Sur,8ª,,N/A,N/A,N/A,,N/A,1,,,,,,PVC,,,,,,,,,,,,N/A,,,,
